﻿DefaultPlayerName_Family,Vinegar,ซู
CharacterInfo_叶银瓶,"The daughter of Ye Pengju, she grew up with her father in the Ye Family Battalion. She is bored with the dull rules of the army and yearns for the free and exciting world of martial arts. Unfortunately, she lacks enough knowledge and experience, and is not cautious enough in her actions. She often causes various troubles and can only endure being grounded by her father time and time again.",ธิดาของเย่เผิงจู เติบโตมากับบิดาในกองพันตระกูลเย่ เบื่อหน่ายในกฎระเบียบของกองทัพ โหยหายุทธภพอันอิสระเสรีและน่าตื่นเต้น โชคไม่ที่ดีที่ความรู้และประสบการณ์ของนางยังน้อย ทำให้นางสร้างปัญหาต่างๆเป็นประจำ และถูกบิดาตำหนิครั้งแล้วครั้งเล่า
CharacterInfo_佟道辅,"The head of the Imperial City Department, originally a favorite of the emperor, held a high-ranking position under the emperor, responsible for monitoring the dynamics of all forces in the world. With the emperor being captured by the Yan Kingdom, the political situation was turbulent for a while, and he also placed bets everywhere looking for a suitable backer.",หัวหน้ากรมวังหลวงซึ่งแต่เดิมเป็นที่โปรดปรานของฮ่องเต้ ดำรงตำแหน่งระดับสูงรองจากฮ่องเต้ ซึ่งรับผิดชอบในการติดตามควบคุมกองกำลังทั้งหมดในโลก เมื่อองค์ฮ่องเต้ถูกแคว้นเยี่ยนจับตัวไป สถานการณ์ทางการเมืองก็ปั่นป่วนอยู่พักหนึ่ง และเขายังวางเดิมพันทุกที่เพื่อหาผู้คอยสนับสนุนเขาที่เหมาะสม
CharacterInfo_叶鹏举,"The founder of Ye Family Battalion, the Jiedushi of Zhao Kingdom. He was loyal to Zhao Kingdom all his life, with many elite soldiers under his command. He has led troops to resist the southern invasion of Yan Kingdom many times, with outstanding military achievements. He loves his soldiers like his own children and has a lot of insights into the training of soldiers, but he is very troubled by the education of his children.",ผู้ก่อตั้งกองพันตระกูลเย่ ผู้บัญชาการทหารแห่งแคว้นจ้าว เขาซื่อสัตย์ต่อแคว้นจ้าวมาทั้งชีวิต พร้อมไปด้วยทหารชั้นยอดมากมายคอยติดตาม หลายต่อหลายครั้งที่เขาได้นำกองทัพคอยต่อต้านการรุกรานของแคว้นเยี่ยน จนเต็มไปด้วยผลงานโดดเด่นมากมาย เขานั้นรักทหารเหมือนกับลูกของตัวเอง และเชี่ยวชาญการฝึกฝนทหารเป็นอย่างมาก แต่ถึงอย่างนั้นเขากลับมีปัญหาในการอบรมสั่งสอนลูกจริงๆ ของตน
CharacterInfo_重阳子,"The current leader of Taoist Sect, one of the legendary ""Eight Saints"". He was seriously injured while defending Chuxiang City decades ago and lost all his martial arts skills, but he realized the truth of nature and his martial arts skills were even better than before. Under his leadership, the disciples of Taoist Sect are all upright and righteous, saving the world and helping the people, with a strong sense of chivalry.",ผู้นำคนปัจจุบันของสำนักเต๋า หนึ่งในแปดเซียนในตำนาน หลายสิบปีก่อน เขาได้บาดเจ็บสาหัสจากการปกป้องเมืองฉู่เซียง กระทั่งสูญเสียวรยุทธทั้งหมดไป แต่นั่นเองที่ทำให้เขาเข้าถึงแก่นแท้ของธรรมชาติ ทำให้มีวรยุทธที่กล้าแข็งยิ่งกว่าเก่า ภายใต้การนำของเขาคนนี้ เหล่าสานุศิษย์แห่งสำนักเต๋าต่างก็เปี่ยมไปด้วยความซื่อสัตย์มากคุณธรรม ช่วยเหลือโลก ช่วยเหลือผู้คน ด้วยความกล้าหาญอย่างยิ่งยวด
CharacterInfo_方啸天,"The leader of the Divine Flame Sect , with extraordinary strength, is not inferior to any leader of the Central Plains sect.\nAmbitious, aiming to dominate the desert and establish an unprecedented foundation. He holds an incomplete treasure map and is eager to uncover the secret of the treasure in his lifetime.","ผู้นำของนิกายไฟศักดิ์สิทธิ์ ที่มีความเข้มแข็งเป็นพิเศษไม่ด้อยกว่าผู้นำคนใดของสำนักจากจงหยวน\nมีความทะเยอทะยาน มีเป้าหมายที่จะครองทะเลทรายและสร้างรากฐานที่ไม่เคยมีมาก่อน เขาถือแผนที่สมบัติที่ไม่สมบูรณ์ และกระตือรือร้นที่จะเปิดเผยความลับของสมบัติในช่วงชีวิตของเขา"
CharacterInfo_柴王爷,"The descendant of the former dynasty's royal family, who still has a noble status in this dynasty, can sit on an equal footing with Duke Qi and Duke Kang. Although he is not a martial artist, he is well acquainted with all the major sects in the martial arts world and knows all the major events in the martial arts world.",ผู้สืบทอดของราชวงค์เก่าที่ยังคงมีสถานะชั้นสูงอยู่ในราชวงค์ปัจจุบัน กระทั่งสามารถนั่งเทียบเคียงกับอ๋องฉีและอ๋องคัง ได้ด้วยซ้ำ แม้เขาจะไม่ใช้ผู้ฝึกยุทธ แต่ก็สนิทสนมกับเหล่าสำนักหลักในยุทธภพ อีกทั้งยังรู้ข่าวคราวทั่วยุทธภพอีกด้วย
CharacterInfo_邋遢张,"Zhong Yangzi's junior brother, a lover of wine, but with extraordinary talent, he entered the Passive through the way of wine, reaching a realm that ordinary people can hardly reach. He is lazy by nature, does not care about trivial matters, and dislikes pretentious people the most.",น้องชายของ ฉงหยางสื่อ ผู้ชื่นชอบสุรา แต่ด้วยความสามารถพิเศษ เขาเบิกพลังแฝงผ่านทางสุรา เข้าถึงเขตแดนที่คนธรรมดาแทบจะไม่สามารถเข้าถึงได้ เป็นคนเกียจคร้านโดยธรรมชาติ ไม่สนใจเรื่องเล็กๆ น้อยๆ และไม่ชอบคนเสแสร้งมากที่สุด
CharacterInfo_蔡元常,"The curator of Confucius Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he lamented that the quality of talents was declining too fast, so he began to advocate quality education, hoping to improve the overall quality of Confucian students. Under his leadership, Confucius Temple is full of talents and has become a top power.","ภัณฑารักษ์วัดขงจื้อ หนึ่งใน ""แปดเซียน"" ในตำนาน หลังจากปกป้องเมืองฉู่เซียง เขาคร่ำครวญว่าคุณภาพและความสามารถลดลงเร็วเกินไป เขาจึงเริ่มสนับสนุนการศึกษาที่มีคุณภาพ โดยหวังว่าจะปรับปรุงคุณภาพโดยรวมของนักเรียนขงจื๊อ ภายใต้การนำของเขา วัดขงจื้อเต็มไปด้วยพรสวรรค์และกลายเป็นมหาอำนาจ"
CharacterInfo_蔡攸之,"The only son of Cai Yuanchang, and also the designated successor of the Confucius Temple by Cai Yuanchang.",บุตรชายเพียงคนเดียวของไช่หยวนฉาง ผู้ซึ่งได้รับการแต่งตั้งให้เป็นผู้สืบทอดวัดขงจื้อโดยไช่หยวนฉาง
CharacterInfo_损道人,"One of the four Guardians of the Nine Factions Sect, who travels around the world under the guise of a Taoist priest, with a unique understanding of physiognomy and Feng Shui."
CharacterInfo_邪戏子,"One of the four Guardians of the Nine Factions Sect, whose identity and gender are a mystery. Every appearance is in the guise of an opera performer, with every move filled with the rhythm of opera. The dance is graceful and captivating."
CharacterInfo_曼陀罗,"Mysterious dancer from the Western Regions, with unparalleled beauty, any man who sees her, even just a glance, will fall for her. Disappointed with the men in the world, she chose to live in seclusion in Snowflower Valley, accompanied by nature, birds and beasts.",นางรำลึกลับจากดินแดนตะวันตก เปี่ยมความงดงามมากด้วยเสน่ห์ไม่มีใครเทียบได้ บุรุษคนไหนพบนางแม้เพียงสบตาก็ตกหลุมรัก นางเลือกที่จะอยู่อย่างสันโดษในหุบเขาโบตั๋น ด้วยความผิดหวังกับบุรุษทั้งหลายในโลกนี้ พร้อมด้วยธรรมชาติ นก และสัตว์ร้าย
CharacterInfo_步绝尘,"The leader of Swallow Nest, who has a good Qinggong of Traceless step, often sneaks into wealthy families to steal money and food to help the poor.",ผู้นำแห่งรังนกนางแอ่น เป็นเลิศด้านวิชาตัวเบา ไร้ร่องรอยสืบเสาะ มักจะลอบเข้าไปขโมยของจากตระกูลร่ำรวยแล้วนำไปช่วยเหลือคนยากจนอยู่เสมอ
CharacterInfo_华严,"A high monk of Shifa Temple, who practices Buddhism in the temple all day, never leaves the temple or hurts people, but has a kind of oppressive power that is not angry and prestigious.",พระเถระชั้นสูงแห่งอารามฉีฟา ผู้ปฏิบัติธรรมอยู่ในวัดตลอดวัน ไม่เคยออกจากวัดหรือทำร้ายผู้ใด แต่กลับมีพลังกดดันประเภทหนึ่งที่ไร้ความโกรธเกรี้ยวและสูงส่ง
CharacterInfo_慧元,"The abbot of Shifa Temple, one of the legendary ""Eight Saints"". After defending Chuxiang City, he returned to Shifa Temple to promote Buddhism and save the souls of those who died in decades of war. On the other hand, he opened the door of Buddhism to shelter the people, and repeatedly sent monk soldiers to sabotage the military plans of the Yan Kingdom, which caused him to be hated by the head of the Yan army.","เจ้าอาวาสอารามฉีฟา หนึ่งใน""แปดเซียน""ในตำนาน หลังจากปกป้องเมืองฉู่เซียงสำเร็จ ก็ได้กลับไปยังอารามฉีฟาเพื่อทำนุบำรุงศาสนาพุทธ คอยโปรดสัตว์ให้เหล่าผู้ตายในสงครามมาตลอดหลายสิบปี อีกทางหนึ่งก็เปิดประตูแห่งพุทธศาสนาคอยปกป้องผู้คน และคอยส่งเหล่าลูกศิษย์ออกไปทำลายแผนการของแคว้นเยี่ยนหลายต่อหลายครั้ง จนค่อยๆ กลายเป็นหนามยอกอกในสายตาของแคว้นเยี่ยนในที่สุด"
CharacterInfo_癞头癫,"A wandering monk from Shifa Temple, a disciple of Abbot Hui Yuan. He is carefree, does not chant sutras or worship Buddha, behaves strangely and is a meat eater. However, he is compassionate and has helped many in need, earning him the respect of the people as a living Bodhisattva.",หลวงจีนพเนจรแห่งอารามฉีฟา เป็นศิษย์น้องของเจ้าอาวาสฮุ่ยหยวน เขานั้นทั้งปล่อยเนื้อปล่อยตัว ไม่สวดมนต์ภาวนา ไม่เคารพบูชาพระพุทธเจ้า ทั้งประพฤติตัวแหกคอก กินเนื้อสัตว์ แต่ถึงอย่างนั้นเขาก็มีความเห็นอกเห็นใจผู้อื่นและคอยช่วยเหลือผู้คนจำนวนมาก จนได้รับการยกย่องเป็นพระโพธิสัตว์ที่ยังมีชีวิต
CharacterInfo_秦会之,"A trusted civil official of Duke Kang, he holds a high position in Duke Kang's manor and has earned Duke Kang's trust. Duke Kang often follows his advice.",เจ้าหน้าที่พลเรือนที่เชื่อถือได้ของอ๋องคัง เขาดำรงตำแหน่งระดับสูงในตำหนักอ๋อง และได้รับความไว้วางใจจากอ๋องคัง ซึ่งอ๋องคังมักทำตามคำแนะนำของเขา
CharacterInfo_完颜昭宁,"The princess of Yan Kingdom, the niece of Wanyan Wuzhu and the cousin of Wanyan Liang. She has the ambition and talent of a man, and wants to eliminate wars and create a peaceful world by helping Wanyan Wuzhu unify the world.",องค์หญิงแห่งแคว้นเยี่ยน หลานสาวของหวันเหยียนอู๋จู และเป็นลูกพี่ลูกน้องของหวันเหยียนเหลียง นางมีความทะเยอทะยานและพรสวรรค์ในแบบบุรุษผู้หนึ่ง ต้องการขจัดสงครามและสร้างแผ่นดินที่สงบสุข โดยช่วยเหลือให้หวันเหยียนอู๋จูรวมแผ่นดินเป็นหนึ่งเดียว
CharacterInfo_恶乞丐,"One of the four Guardians of the Nine Factions Sect, a Beggar by origin, but never grateful. He begs in the streets and alleys, and every wealthy family he passes by, whether they give him alms or not, will be robbed clean in a few days. Once taught Hong Xiaoqi some self-defense skills on a whim."
CharacterInfo_庖春秋,"The owner of the butcher's shop in Daliang City. His ancestors were royal chefs for generations, but the ancestral skills were lost, and Pao Chunqiu became the owner of a regular butcher's shop in Daliang City.",เถ้าแก่ร้านขายเนื้อประจำเมืองต้าเหลียง บรรพบุรุษของเขาเป็นพ่อครัวหลวงมาหลายต่อหลายรุ่น แต่เนื่องจากทักษะที่สืบทอดมาได้สูญหายไป เปาชุนชิว จึงได้กลายมาเป็น เถ้าแก่ร้านขายเนื้อประจำเมืองต้าเหลียงแทน
CharacterInfo_秦阎罗,"The owner of the Relic House in Lin'an City, he has a grudge against Yi Zhihua from Daliang City and is willing to use the power of Great Ant City to defeat him.",เจ้าของหอสมบัติในเมืองหลินอัน เขามีความแค้นกับยี่จื่อฮัวจากเมืองต้าเหลียง และเต็มใจที่จะใช้พลังของเมืองแมลงปอเพื่อเอาชนะเขา
CharacterInfo_叶云,"The eldest son of Ye Pengju, the vanguard officer of the Ye Family Battalion, possesses Herculean strength and has made numerous military achievements. He is impulsive and often disobeys military orders to fight on his own. Although he often wins by luck, he still gets punished according to military regulations, which makes him resentful.",ลูกชายคนโตของเย่เผิงจู และเป็นทหารแนวหน้าของกองพันตระกูลเย่ เขามีพละกำลังเหนือมนุษย์ ทั้งยังสร้างผลงานในการรบไว้มากมาย เขาเป็นคนหุนหันพลันแล่น มักไม่เชื่อฟังคำสั่งของกองทัพ และออกไปรบด้วยตนเอง แม้ว่าเขาโชคดีได้รับชัยชนะบ่อยครั้ง แต่เขาก็ยังถูกลงโทษตามกฎเกณฑ์ทหาร ซึ่งทำให้เขาไม่พอใจ
CharacterInfo_完颜乌珠,"The fourth prince of the Yan Kingdom and the grand marshal of the Yan Yun Iron Army. He successfully captured the emperor of the Zhao Kingdom and supported Duke Qi, commanding Duke Qi to rule the country in the name of the Zhao emperor and lead the Yan Yun Iron Army to dominate the Central Plains, ready to invade and swallow the entire territory of the Zhao Kingdom.",องค์ชายสี่แห่งแคว้นเยี่ยน และแม่ทัพใหญ่แห่งทัพเหล็กเยี่ยนหยุน เขาสามารถจับตัวฮ่องเต้แคว้นจ้าวได้สำเร็จ และได้สนับสนุน อ๋องฉี อยู่เบื้องหลังเพื่อให้เขาขึ้นเป็นฮ่องเต้แห่งแคว้นจ้าว จากนั้นจึงค่อยรุกราน และกลืนกินแคว้นจ้าว เป็นการยึดครองดินแดนภาคกลางในที่สุด
CharacterInfo_完颜亮,"A member of the royal family of the Yan Kingdom, he is the nephew and right-hand man of Wanyan Wuzhu. He assists Wanyan Wuzhu in devising strategies, setting a series of plans against the martial arts forces. Employing various methods, he seeks to divide and entice individuals within the martial arts community, intending to eliminate obstacles for the subsequent southern invasion.",สมาชิกของราชวงศ์แคว้นเยี่ยน หลานชายและมือขวาของหวันเหยียนอู๋จู เขาให้คำแนะนำแก่หวันเหยียนอู๋จู และได้กำหนดกลยุทธ์ต่างๆ เพื่อต่อต้านกองกำลังจากเหล่าจอมยุทธ์ โดยใช้วิธีต่างๆ ในการแบ่งแยกและเอาชนะเหล่าจอมยุทธ์ โดยตั้งใจที่จะขจัดอุปสรรค ที่จะเป็นเสี้ยนหนามสำหรับการรุกรานทางใต้ในภายหลัง
CharacterInfo_萧元霸,"Once a slave nurtured by the royal family of the Yan Kingdom, Xiao Yuanba possessed immense physical strength and boundless power. His extraordinary qualities caught the attention of Wanyan Wuzhu, who decided to bring him back to Yan Yun Iron Army for attentive nurturing. Over the course of several years, Xiao Yuanba emerged as a formidable vanguard general, leading the charge in numerous battles and achieving remarkable military feats, earning him a reputation as a fearless and distinguished warrior.",ครั้งหนึ่งเคยเป็นทาสที่ได้รับการเลี้ยงดูจากราชวงศ์แห่งแคว้นเยี่ยน เสี่ยวหยวนป้ามีพละกำลังมหาศาลและพลังอันไร้ขอบเขต คุณสมบัติพิเศษของเขาดึงดูดความสนใจของหวันเหยียนอู๋จู ซึ่งตัดสินใจนำเขากลับไปที่กองทัพเหล็กเยี่ยนหยุน เพื่อการเลี้ยงดูที่เอาใจใส่ ในช่วงหลายปีที่ผ่านมาเสี่ยวหยวนป้ากลายเป็นแม่ทัพแนวหน้าที่น่าเกรงขาม เป็นผู้นำในการรบหลายครั้งและประสบความสำเร็จทางทหารอย่างน่าทึ่ง ทำให้เขาได้รับชื่อเสียงในฐานะนักรบผู้กล้าหาญและโดดเด่น
CharacterInfo_定风波,"The leader of Jiujiang Fortress, who has gathered a large number of followers under the banner of ""equality of nobles and commoners, sharing wealth and poverty"", and whose power is even comparable to that of the army. Under the suggestion of military adviser Zhuge Shenji, he wants to further expand his power and share the south of the Yangtze River with Duke Kang.","ผู้นำค่ายน้ำจิ่วเจียงเขาได้รวบรวมผู้ติดตามจำนวนมากภายใต้ข้อความของ ""ความเสมอภาคของทุกคน แบ่งปันความมั่งคั่ง"" และพลังของเขายิ่งใหญ่มากจนสามารถเทียบเคียงกับกองทัพได้ ภายใต้ข้อเสนอของกุนซือจูเก๋อเฉินจี เขาต้องการขยายอำนาจของเขาเพิ่มเติม และแบ่งปันมณฑลเจียงหนานกับอ๋องคัง"
CharacterInfo_诸葛神机,"The military advisor of Jiujiang Fortress, who has won the trust of Ding Fengbo. In fact, he is quite dissatisfied with Ding Fengbo and feels that he should have a higher position. Therefore, he is secretly in contact with Duke Kang, planning to seize the water village.",กุนซือทางทหารของค่ายน้ำจิ่วเจียง ผู้ได้รับความไว้วางใจจากติงเฟิงป๋อ อันที่จริงเขาค่อนข้างไม่พอใจติงเฟิงป๋อ และรู้สึกว่าเขาควรมีตำแหน่งที่สูงกว่า ดังนั้น เขาจึงแอบติดต่อกับอ๋องคังก่อนวางแผนที่จะยึดค่ายน้ำจิ่วเจียง
CharacterInfo_定海棠,"The second master of Jiujiang Fortress, Ding Fengbo's niece, is responsible for helping her uncle handle all matters of Jiujiang Fortress. Perhaps because she grew up in the water village, she has a masculine air from a young age, without much gentleness of a girl, but she occasionally reveals a bit of cuteness.",ผู้บัญชาการอันดับสองแห่งค่ายน้ำจิ่วเจียง และเป็นน้องสาวของติงเฟิงป๋อ เธอมีหน้าที่ดูแลสิ่งต่างๆในค่ายน้ำจิ่วเจียง ซึ่งก็ทำได้อย่างยอดเยี่ยม เธอไม่พอใจ และไม่เห็นด้วยกับแผนการแบ่งแยกเจียงหนานของจูเก๋อเป็นอย่างมาก
CharacterInfo_穆再兴,"The adopted son of General Yang, who narrowly escaped after General Yang was killed. He changed his surname to Mu to avoid revenge and no longer interacts with others. Although he is blind, he has developed the ability of auditory sight and protects the peace of Zhongzhou ferry by himself.",บุตรบุญธรรมของแม่ทัพหยางรอดตายอย่างหวุดหวิดหลังจากแม่ทัพหยางถูกสังหาร เขาเปลี่ยนแซ่เป็น มู่ เพื่อหลบหนีหารแก้แค้น และไม่สุงสิงกับผู้ใด แม้ว่าเขาจะตาบอด เขาก็ยังพัฒนาความสามารถในการมองด้วยเสียง และปกป้องความสงบสุขของเรือข้ามฟากจงโจวด้วยตัวเอง
CharacterInfo_扶摇子,"The head of Linlang Temple, the leader of the legendary ""Eight Saints"", lives alone in Linlang Temple. It is said that he is over a hundred years old, has seen all the joys and sorrows, separations and reunions, and blood and gore in the world, and nothing can stir his heart.\nThe only thing he cares about is the oath of the ""Eight Saints"". If anyone breaks the oath, he will punish them himself.","เจ้าอารามหลินหลาง ผู้นำของแปดเซียนในตำนาน อาศัยอยู่คนเดียวในอารามหลินหลาง ว่ากันว่าปัจจุบันมีอายุมากกว่าร้อยปีแล้ว ได้พบเจอทั้งสุขทุกข์ การพบเจอ การแยกจาก การฆ่าสังหาร มาทั้งหมด จนไม่มีสิ่งใดสามารถสั่นคลอนจิตใจได้อีก\nมีอยู่เพียงสิ่งเดียวที่เขาสนใจ นั่นคือคำสาบานของ แปดเซียน ผู้ใดผิดคำสาบานนั้น เขาจะลงโทษมันผู้นั้นด้วยตนเอง"
CharacterInfo_残棋,"One of the four sages of the Confucius Temple, who was obsessed with martial arts in his early years, but due to the reversal of his meridians, he became paralyzed in his lower limbs and lacked vitality throughout his body. After becoming paralyzed, he studied chess and gained a deeper understanding of martial arts through the complex and changing chess game.",หนึ่งในสี่ปราชญ์ของวัดขงจื๊อ ผู้ที่หมกมุ่นอยู่กับศิลปะการต่อสู้ในช่วงแรก แต่เนื่องจากภาวะเส้นลมปราณย้อนกลับของเขา เขาจึงกลายเป็นอัมพาตที่แขนขาส่วนล่างและขาดกำลังวังชาทั่วร่างกาย หลังจากเป็นอัมพาต เขาได้ศึกษาหมากรุกและได้รับความเข้าใจอย่างลึกซึ้งเกี่ยวกับวิทยายุทธผ่านเกมหมากรุกที่ซับซ้อนและแปรเปลี่ยนแปลงไป
CharacterInfo_剑痴,"The master of Langya Sword Pavilion, one of the legendary ""Eight Saints"", is recognized as the world's number one swordsman. He has been obsessed with swordsmanship since he was a child, and was fortunate to be guided by a peerless master. At a young age, he defeated all the heroes in the world with a single Qingfeng sword. After guarding Chuxiang City, he elevated his swordsmanship to the level of swordsmanship, reaching the realm where everything is a sword.",เจ้าสำนัก ศาลากระบี่หลางหยา หนึ่งใน แปดเซียน ในตำนาน ได้รับขนานนามว่าเป็น มือกระบี่อันดับหนึ่ง ตัวเขานั้นหลงไหลในวิชากระบี่มาตั้งแต่ยังเด็ก และโชคดีได้รับการสั่งสอนจากอาจารย์ที่ไร้ผู้เปรียบ ตั้งแต่สมัยหนุ่ม เขาก็สามารถเอาชนะเหล่าผู้กล้าทั่วหล้าด้วยกระบี่ฉิงเฟิงเพียงเล่มเดียว หลังจากเหตุการณ์คุ้มกันเมืองฉู่เซียง ก็สามารถยกระดับวิชากระบี่ของตน เข้าสู่เขตแดนทุกสิ่งล้วนเป็นกระบี่
CharacterInfo_欧冶恒,"A disciple of Langya Sword Pavilion, a descendant of the swordsmith giant Ou Yezi, who experienced a great change in his family when he was young, and was luckily saved by Jian Chi's visit. Jian Chi was afraid that he still had demons in his heart and would fall into the evil way if he sought revenge, so he only taught him the method of sword casting, but Ouye Heng was quite talented and realized swordsmanship in the method of sword casting.",ศิษย์แห่งศาลากระบี่หลางหยา ผู้สืบทอดของช่างตีกระบี่ยักษ์ โอวเย่ซี เมื่อเขายังเด็ก ก็ได้พบเจอการเปลี่ยนแปลงครั้งยิ่งใหญ่ภายในตระกูล แต่โชคดีที่ถูกมารกระบี่ช่วยไว้ มารกระบี่นั้นกลัวว่าเขาจะยังมีจิตมารอยู่ในใจ และจะก้าวสู่หนทางแห่งการแก้แค้นจึงได้สอนเพียงวิชาหลอมกระบี่ ถึงอย่างนั้น ด้วยพรสวรรค์ของเขา ก็สามารถเข้าถึงสำนึกกระบี่ได้จากวิชาหลอมกระบี่นั่นเอง
CharacterInfo_韩红玉,"The current head of Tiger Escort, she is bold and straightforward. She has loved weapons since she was a child and dislikes housework. She took over the management of Tiger Escort after the previous head disappeared. Despite the decline of Tiger Escort, she still strives to keep it going.","หัวหน้าสำนักคุ้มภัยพยัคฆาคนปัจจุบัน, มีความกล้าหาญและตรงไปตรงมา, หลงไหลในอาวุธมาตั้งแต่เด็กๆ แต่ไม่ค่อยชอบงานบ้าน. เธอเข้ามาบริหารสำนักคุ้มภัยพยัคฆา หลังจากที่หัวหน้าคนก่อนนี้หายตัวไป, แม้ว่าคนของสำนักคุ้มภัยพยัคฆาจะลดลง แต่เธอก็ยังคงดิ้นรนเพื่อให้มันดำเนินต่อไปได้"
