﻿FondTag_武器,Weapon,อาวุธ
FondTag_宝箱,Chest,หีบสมบัติ
FondTag_钥匙,Key,กุญแจ
FondTag_材料,Material,วัตถุดิบ
FondTag_令牌,Token,ตรา
FondTag_兽环,Animal ring,แหวนนักษัตร
FondTag_经书,Scripture,คัมภีร์
FondTag_结缘,Betrothal,การหมั้น
FondTag_珍品,
FondTag_释法寺典籍,
UnitName_枚,Piece,ชิ้น
UnitName_点,Dot,จุด
UnitName_块,Block,ก้อน
UnitName_副,Pair,คู่
UnitName_把,Handle,อัน
UnitName_杆,Pole,เสา
UnitName_根,Root,อัน
UnitName_柄,Handle,อัน
UnitName_支,Stick,ต้น
UnitName_张,Sheet,อัน
UnitName_件,Item,ชิ้น
UnitName_束,Bundle,ช่อ
UnitName_个,Individual,ชิ้น
UnitName_朵,Blossom,ดอก
UnitName_贴,Patch,แผ่น
UnitName_条,Strip,อัน
UnitName_只,Only,ชิ้น
UnitName_口,Mouth,อัน
UnitName_颗,Grain,เม็ด
UnitName_组,Group,ชุด
UnitName_包,Pack,ห่อ
UnitName_本,Book,เล่ม
UnitName_封,Seal,ฉบับ
UnitName_堆,Pile,กอง
UnitName_两,Two,ชุด
UnitName_份,Portion,ชิ้น
UnitName_笼,Cage,เข่ง
UnitName_碗,Bowl,ชาม
UnitName_串,String,พวง
UnitName_瓶,Bottle,ขวด
UnitName_坛,Jar,ไห
UnitName_桶,Barrel,ถัง
UnitName_匹,Horse,ผืน
UnitName_盒,Box,ตลับ
UnitName_罐,Can,กระปุก
UnitName_方,Square,ผืน
UnitName_壶,Pot,ไห
UnitName_杯,Cup,ถ้วย
UnitName_段,Segment,หน่วย
UnitName_卷,Roll,ม้วน
ItemName_铜钱,Coin,อีแปะ
ItemName_江湖历练,Jianghu Knowledge,ประสบการณ์ยุทธ
ItemName_名声历练,Fame point,ค่าชื่อเสียง
ItemName_门派贡献,Sect contribution,ความดีความชอบสำนัก
ItemName_试炼令牌,Trial token,ตราทดสอบ
ItemName_残渣,Residue,สารตกค้าง
ItemName_粗布裹手,Simple cloth gloves,ผ้าพันมือธรรมดา
ItemName_棉布手套,Cotton gloves,ถุงมือใยฝ้าย
ItemName_皮革手套,Leather gloves,ถุงมือหนัง
ItemName_兽纹手套,Beast-pattern gloves,ถุงมือหนังสัตว์ร้าย
ItemName_铁手,Iron fist,ถุงมือเหล็ก
ItemName_缠丝拳套,Silk glove,ถุงมือผ้าไหม
ItemName_精钢护手,Steel gauntlet,ถุงมือเหล็กกล้า
ItemName_震山拳套,Mountain Basher glove,ถุงมือทลายภูผา
ItemName_铁虎爪,Iron tiger claw,กรงเล็บเสือเหล็ก
ItemName_奔雷铁手,Quick gauntlet,ถุงมือเหล็กอัสนีบาต
ItemName_幽冥拳套,Hell glove,ถุงมือยมโลก
ItemName_金刚护手,Diamond gauntlet,ถุงมือวัชระ
ItemName_寒铁拳套,Cold iron glove,ถุงมือเหล็กเย็น
ItemName_昆仑,Kunlun,ถุงมือคุนหลุน
ItemName_降龙,Dragon Slayer,ถุงมือพิฆาตมังกร
ItemName_乾坤,Heaven and Earth,ถุงมือสวรรค์ปฐพี
ItemName_开明,Enlightened,ถุงมือรู้แจ้ง
ItemName_少昊,Freedom,ถุงมือจักรพรรดิเช่าเฮ่า
ItemName_北冥,North Sea,ถุงมือทะเลเหนือ
ItemName_木剑,Wooden sword,กระบี่ไม้
ItemName_黑铁剑,Black iron sword,กระบี่เหล็กนิล
ItemName_青铜剑,Bronze sword,กระบี่ทองสัมฤทธิ์
ItemName_生铁剑,Cast iron sword,กระบี่เหล็กหลอม
ItemName_白虹剑,Rainbow sword,กระบี่รุ้งขาว
ItemName_紫电剑,Lightning sword,กระบี่อัสนีม่วง
ItemName_游龙剑,Dragon sword,กระบี่มังกร
ItemName_青罡剑,Blue Steel sword,กระบี่ชิงกัง
ItemName_倚天剑,Heaven sword,กระบี่อิงฟ้า
ItemName_青冥剑,Dawn sword,กระบี่ฟ้าบันดาล
ItemName_承影剑,Shadow sword,กระบี่เงา
ItemName_百炼剑,Damascus sword,กระบี่ไป๋เหลียน
ItemName_龙渊剑,Abyss Dragon sword,กระบี่เหวลึกมังกร 7 ดาว
ItemName_干将,Ganjiang,กระบี่ก้านเจี้ยง
ItemName_含光,Hidden Light,กระบี่แห่งแสง
ItemName_鱼肠,Fish Stomach,กระบี่มัจฉา
ItemName_轩辕,Xuanyuan,กระบี่ซวนหยวน
ItemName_九凤,Nine Phoenix,กระบี่เก้าหงสา
ItemName_巨阙,The Giant,กระบี่หนักทำลายล้าง
ItemName_大石剑,Big stone sword,กระบี่หินใหญ่
ItemName_菜刀,Kitchen knife,มีดทำครัว
ItemName_剔骨尖刀,Bone remover knife,มีดเลาะกระดูก
ItemName_砍柴刀,Hatchet,มีดเหน็บ
ItemName_大砍刀,Big blade,มีดพร้า
ItemName_砍山刀,Mountain blade,ดาบภูเขา
ItemName_九环刀,Nine rings blade,ดาบเก้าห่วง
ItemName_宣花斧,Xuanhua axe,ขวานมีดซวนฮัว
ItemName_碎宇刀,Rain Breaker,ดาบผ่าจักรวาล
ItemName_冷艳锯,Cold Saw,ง้าวมังกรเขียว
ItemName_绣春刀,Officer blade,ดาบเจ้าหน้าที่
ItemName_太乙刀,Taiyi blade,ดาบไท่ยี่
ItemName_修罗刀,Shura blade,ดาบอสุรา
ItemName_绿露刀,Six ways blade,ดาบน้ำค้างมรกต
ItemName_玄铁菜刀,Black iron blade,มีดครัวเหล็กนิล
ItemName_大夏龙雀,Summer Sparrow,ดาบมังกรวิหคชาด
ItemName_犬神刀,Canine God,ดาบเขี้ยวเทพสุนัข
ItemName_龙牙刀,Dragon Tooth,ดาบเขี้ยวมังกร
ItemName_昆吾,Kunwu,ดาบคุนหวู่
ItemName_应龙,Ying Dragon,ดาบมังกรอิงหลง
ItemName_刑天,Xingtian,ดาบเทพขวานสิงเทียน
ItemName_红缨枪,Red spear,หอกพู่แดง
ItemName_梅花枪,Plum spear,หอกดอกเหมย
ItemName_雁翅枪,Wings spear,หอกปีกห่านป่า
ItemName_钢叉,Trident,ส้อมเหล็ก
ItemName_木枪,Wooden spear,หอกไม้
ItemName_蛇矛枪,Snake spear,หอกงู
ItemName_混铁枪,Iron spear,หอกเหล็ก
ItemName_牛角叉,Horn trident,หอกสามง่าม
ItemName_梨花枪,Pear Blossom,หอกหลีฮวา
ItemName_霸王枪,Emperor Spear,หอกจักรพรรดิ
ItemName_沥泉枪,Slipstream Spear,หอกธาราหยด
ItemName_句芒,Jumang,หอกเทพเจ้าจูมัง
ItemName_混沌,Origin,หอกฟ้ากำเนิด
ItemName_烧火棍,Fire stick,แท่งไม้ติดไฟ
ItemName_木棍,Wooden stick,ท่อนไม้
ItemName_木杵,Wooden hammer,ค้อนไม้
ItemName_竹竿,Bamboo stick,ท่อนไม้ไผ่
ItemName_短棒,Short stick,แท่งไม้สั้น
ItemName_镔铁杖,Steel staff,พลองเหล็ก
ItemName_齐眉棍,Eyebrow staff,พลองเสมอคิ้ว
ItemName_青竹杖,Bamboo staff,กระบองไม้ไผ่
ItemName_长弓,Long bow,ธนูยาว
ItemName_盘龙棍,Dragon staff,พลองมังกร
ItemName_齐天棍,Heaven staff,พลองสวรรค์
ItemName_囚龙柱,Dragon Seal,เสาจองจำมังกร
ItemName_烛阴,Zhuyin,คบเพลิงมังกรจูหลง
ItemName_穷奇,Qiongqi,กระบองฉงฉี
ItemName_亮银锤,Silver hammer,ค้อนเงิน
ItemName_大铁锤,Big Iron Hammer,ค้อนเหล็กใหญ่
ItemName_蒲扇,Cattail fan,พัดสาน
ItemName_折扇,Folding fan,พัดด้ามจิ้ว
ItemName_鹅羽扇,Butterfly fan,พัดขนห่าน
ItemName_铁骨扇,Steel fan,พัดเหล็ก
ItemName_团扇,Round fan,พัดทรงกลม
ItemName_绢宫扇,Silk palace fan,พัดลายตันชิ่ง
ItemName_雕翎扇,Eagle feather fan,พัดขนนกอินทรี
ItemName_留香扇,Liuxiang fan,พัดธูป
ItemName_西江月,Moon over West River,จันทราเหนือธาราตะวันตก
ItemName_满江红,Prismatic River,พัดแม่น้าสีชาด
ItemName_破阵子,Formation Breaker,พัดฝ่าขบวนรบ
ItemName_定风波,Ding Fengbo,พัดยุติโกลาหล
ItemName_浪淘沙,Waves Scouring the Sands,พัดคลื่นซัดกวาดทราย
ItemName_卜算子,Fortune Teller,พัดพยากรณ์
ItemName_祝融,Zhurong,พัดเทพจู้หรง
ItemName_夸父,Kuafu,พัดเซียนควาฟู่
ItemName_青丘,Qingqiu,พัดชิงชิว
ItemName_短剑,Short sword,กระบี่สั้น
ItemName_匕首,Dagger,มีดสั้น
ItemName_峨嵋刺,Emei dagger,มีดง้อไบ๊
ItemName_短刀,Short blade,ดาบสั้น
ItemName_狼牙匕,Wolf fang dagger,มีดเขี้ยวหมาป่า
ItemName_点钢刺,Diangang dagger,มีดเหล็กแหลม
ItemName_三棱锥,Tri-dagger,ไตรกริช
ItemName_飞来梭,Flying dagger,มีดบิน
ItemName_流云锥,Drifting Cloud,กริชเกลียวเมฆาไหล
ItemName_孤星刺,Lone Star,มีดดาวเดียวดาย
ItemName_飞影匕,Flying Shadow,มีดเงาบิน
ItemName_织女梭,Weaver Girl,กระสวยสาวทอผ้า
ItemName_残雪刺,Last Snow,หนามหิมะค้าง
ItemName_嘲风,Wind Jester,เฉาเฟิง
ItemName_精卫,Jingwei,กริชจิงเว่ย
ItemName_睚眦,Vengeful,หยาจื้อ
ItemName_狼毫笔,Wolf hair pen,พู่กันขนหมาป่า
ItemName_羊毫笔,Goat hair pen,พู่กันขนแพะ
ItemName_猪鬃笔,Pig hair pen,พู่กันขนหมู
ItemName_鼠须笔,Mouse whisker pen,พู่กันหนวดหนู
ItemName_圆锋,Round Edge,พู่กันขอบกลม
ItemName_昌化,Changhua,พู่กันจังฮวา
ItemName_佩阿,Peia,พู่กันเปีย
ItemName_鸡距,Cockspur,พู่กันเดือยไก่
ItemName_鹿毛笔,Deer hair pen,พู่กันขนกวาง
ItemName_龙须,Dragon Whisker,พู่กันหนวดมังกร
ItemName_麟角,Unicorn Horn,พู่กันเขากิเลน
ItemName_太虚,Taixu,พู่กันไท่ซวี
ItemName_玄黄,Mysterious Yellow,พู่กันเหลืองลึกลับ
ItemName_洪荒,Primal Land,พู่กันบรรพกาล
ItemName_梧桐琴,Parasol Tree,กู่ฉินไม้อู๋ถง
ItemName_玉瑶琴,Beautiful Jade,กู่ฉินประดับหยก
ItemName_响泉琴,Melody River,กู่ฉินสายธารบรรเลง
ItemName_百纳琴,Assimilator,กู่ฉินไม้ร้อยชิ้น
ItemName_七弦,Seven Strings,กู่ฉิน 7 สาย
ItemName_落霞,Sunset,กู่ฉินอัสดง
ItemName_独幽,Loneliness,กู่ฉินเดียวดาย
ItemName_春雷,Spring Thunder,กู่ฉินสายฟ้าลั่นในวสันตฤดู
ItemName_焦尾,Scorched Tail,กู่ฉินหางไหม้
ItemName_绿绮,Green Beauty,กู่ฉินลายไม้เขียว
ItemName_绕梁,Lingering,กู่ฉินสะท้านภพ
ItemName_号钟,Bell Sound,กู่ฉินระฆังกังวาน
ItemName_囚牛,Qiuniu,กู่ฉินมังกรฉิวหนิว
ItemName_木箫,Wooden flute,ขลุ่ยไม้
ItemName_洞箫,Hole flute,ขลุ่ยเซียว
ItemName_竹箫,Bamboo flute,ขลุ่ยไม้ไผ่
ItemName_铁箫,Iron flute,ขลุ่ยเหล็ก
ItemName_紫竹箫,Violet bamboo flute,ขลุ่ยไม้ไผ่ม่วง
ItemName_玉屏箫,Jade flute,ขลุ่ยหยก
ItemName_九节箫,Nine-sections flute,ขลุ่ยเก้าส่วน
ItemName_枉凝眉,Vain Eyebrows,ขลุ่ยคิ้วขมวด
ItemName_关山月,Mountain Moon,ขลุ่ยภูผาจันทรา
ItemName_冷沧浪,Blue Waves,ขลุ่ยคลื่นคราม
ItemName_有凤来仪,Phoenix's Grace,ขลุ่ยห้วงวิหคเพลิง
ItemName_碧海潮声,Sound of the Tide,ขลุ่ยคลื่นมรกต
ItemName_笑傲江湖,Proud Wanderer,ขลุ่ยเย้ยยุทธจักร
ItemName_硬木琵琶,Wooden lute,ผีผาไม้
ItemName_鸡翅琵琶,Chicken wing lute,ผีผาไม้ปีกไก่
ItemName_花梨琵琶,Pear lute,ผีผาไม้ชิงชัน
ItemName_紫檀琵琶,Rosewood lute,ผีผาไม้จันทร์แดง
ItemName_牛角琵琶,Ox horn lute,ผีผาเขาวัว
ItemName_象牙琵琶,Elephant tooth lute,ผีผางาช้าง
ItemName_玉石琵琶,Jade lute,ผีผาหยก
ItemName_双凤琵琶,Twin Phoenix lute,ผีผาหงส์คู่
ItemName_绕殿雷,Circling Thunder,ผีผาก้องอัสนี
ItemName_烧槽,Burning Hole,ผีผาหลุมไหม้
ItemName_玄象,Mysterious Elephant,ผีผาทางช้างเผือก
ItemName_青山,Blue Mountain,ผีผาภูผามรกต
ItemName_狮子丸,Lion Ball,ผีผาลูกแก้วราชสีห์
ItemName_窄袖衣,Female clothes,เสื้อสตรี
ItemName_绢麻衣,Linen clothes,เสื้อผ้าลินิน
ItemName_兽皮袄,Leather clothes,ชุดหนัง
ItemName_护心铠,Protection armor,เกราะป้องกัน
ItemName_粗布衣,Rugged clothes,เสื้อผ้าหยาบ
ItemName_麻布衣,Cloth robe,เสื้อผ้าป่าน
ItemName_戎装,Uniform,เครื่องแบบทหาร
ItemName_百衲衣,Monk clothes,จีวรร้อยชิ้น
ItemName_官差服,Official uniform,เครื่องแบบของทางการ
ItemName_逍遥衣,Wanderer clothes,ชุดพเนจร
ItemName_精铁内甲,Steel armor,เกราะเหล็ก
ItemName_锁子铠,Chain armor,เกราะโซ่
ItemName_僧袍,Monk robe,จีวร
ItemName_道袍,Taoist robe,เสื้อคลุมลัทธิเต๋า
ItemName_夜行衣,Night clothes,ชุดดำ
ItemName_儒生服,Student clothes,เครื่องแบบขงจื๊อ
ItemName_赤翎服,Chiling robe,ชุดคลุมขนแดง
ItemName_飞鱼锦服,Flying Fish uniform,เครื่องแบบมัฉฉาบิน
ItemName_侠客装,Jianghu outfit,ชุดจอมยุทธ
ItemName_蚕丝衣,Silk clothes,เสื้อผ้าไหม
ItemName_青红襦,Blue outfit,ชุดเขียวแดง
ItemName_流云衫,Drifting Cloud robe,เสื้อคลุมเคลื่อนเมฆา
ItemName_金刚甲,Diamond armor,เกราะวัชระ
ItemName_明光铠,Glorious armor,เกราะเจิดจรัส
ItemName_朱雀服,Phoenix outfit,ชุดวิหคเพลิง
ItemName_麒麟甲,Unicorn armor,เกราะกิเลน
ItemName_玄武铠,Turtle armor,เกราะเต่าดำ
ItemName_紫罗裙,Purple dress,ชุดแพรม่วง
ItemName_山海袍,Mountain and Sea robe,เสื้อคลุมภูเขาทะเล
ItemName_袈裟,Seven Artifacts cassock,จีวร 7 สมบัติ
ItemName_太极服,Taichi outfit,ชุดไทเก็ก
ItemName_黑色披风,Black cape,เสื้อคลุมดำ
ItemName_秀才服,Hongru Green Collar,เสื้อคลุมนักปราชญ์
ItemName_隐形披风,Invisible cape,เสื้อคลุมล่องหน
ItemName_天蚕宝衣,Silk armor,เกราะอ่อนขนเม่น
ItemName_兽王宝甲,Beast King armor,เกราะราชาสัตว์ร้าย
ItemName_霹雳宝铠,Thunder armor,เกราะอัสนีบาต
ItemName_紫薇,Emperor,ผ้าคลุมจักรพรรดิสวรรค์
ItemName_狻猊,Suanni,เกราะมังกรซวนหนี
ItemName_真武,Zhenwu,เกราะอ่อนเจิ้นหวู่
ItemName_碧霞,Jade Cloud,ชุดเมฆาหยก
ItemName_不动山,Immovable Mountain,เกราะภูผาหนักแน่น
ItemName_彩绣香囊,Embroidered sachet,ซองปักปราณีต
ItemName_粗糙的护身符,Simple Safe-keeping Charm,เครื่องรางเรียบง่าย
ItemName_香包,Sachet,ถุงเครื่องหอม
ItemName_花环,Wreath,พวงมาลา
ItemName_艾草束,Wormwood bundle,พวงบอระเพ็ด
ItemName_狼牙吊坠,Wolf fang amulet,เครื่องรางเขี้ยวหมาป่า
ItemName_长命锁,Longevity lock,จี้อายุยืน
ItemName_玉石吊坠,Jade pendant,จี้หยก
ItemName_佛手玉坠,Buddha earrings,จี้หยกพระหัตถ์
ItemName_投名状,Nomination Certificate,ใบรับรองความภักดี
ItemName_工字佩,"""GONG"" inscripted jade ornament",จี้รูปตัว กง(工)
ItemName_三彩乐俑,Three colors statue,รูปปั้นตุ๊กตาสามสี
ItemName_三足金蟾,Three-legged golden toad,คางคกทองสามขา
ItemName_酒葫芦,Wine gourd,สุราน้ำเต้า
ItemName_檀木念珠,Sandalwood prayer beads,ลูกประคำไม้จันทน์
ItemName_茱萸花,Dogwood flower,ดอกจูหยู
ItemName_牡丹花,Peony,ดอกโบตั๋น
ItemName_护心镜,Protector glass,กระจกป้องกันหัวใจ
ItemName_狗皮膏药,Dog-skin plaster,ยาพอกหนังสุนัข
ItemName_静心玉环,Mind-clearing jade ring,แหวนหยกใจสงบ
ItemName_锦帕,Brocade handkerchief,ผ้าเช็ดหน้าลายปัก
ItemName_碎玉风铃,Broken jade wind chimes,กระดิ่งลมพู่หยก
ItemName_板砖,Brick,อิฐ
ItemName_官府腰牌,Official token,ป้ายคำสั่งทางการ
ItemName_黑玉扳指,Obsidian ring,แหวนหยกนิล
ItemName_青须剑穗,Blue sword string,พู่กระบี่น้ำเงิน
ItemName_双鱼玉佩,Yin Yang jade ornament,จี้หยกหยินหยาง
ItemName_玉莲花,Lotus gem,จี้หยกบัวหลวง
ItemName_滴水观音,Water Avalokitesvara,จี้หยดน้ำเจ้าแม่กวนอิม
ItemName_玉辟邪,Exorcist gem,หยกปัดเป่าสิ่งชั่วร้าย
ItemName_金雕长羽,Golden eagle feather,ขนอินทรีทอง
ItemName_兽皮鼓,Beast skin drum,กลองหนังสัตว์
ItemName_云纹琉璃珠,Sculptured jade,ลูกปัดหยกลายเมฆ
ItemName_青铜面具,Bronze mask,หน้ากากทองสัมฤทธ์
ItemName_玉蝉,Cicada gem,จั๊กจั่นหยก
ItemName_青风令牌,Blue Wind token,ตราสัญลักษณ์วายุคราม
ItemName_太极玉佩,Taichi jade ornament,จี้หยกไทเก็ก
ItemName_虎威镖旗,Tiger Escort flag,ธงสำนักคุ้มภัยพยัคฆา
ItemName_爪甲挟刀,Claw blade,มีดกรงเล็บ
ItemName_玄衣令,Black Robe token,สัญลักษณ์เสื้อคลุมดำ
ItemName_神捕腰牌,Crime Investigation token,ป้ายคาดเอวสำนักเทพมือปราบ
ItemName_将军府腰牌,General Mansion token,ป้ายจวนแม่ทัพ
ItemName_叶家军腰牌,Ye Family Battalion token,ตรากองทัพตระกูลเย่
ItemName_玄色绳结,Black knot,สัญลักษณ์นิกายเก้าฝ่าย
ItemName_九江鱼篓,Jiujiang fish pole,กระชังปลาจิ่วเจียง
ItemName_玄铁令牌,Black iron token,ตราเหล็กนิล
ItemName_百草符,Hundred Plants charm,เครื่องรางร้อยพฤกษา
ItemName_君子玉,Gentleman gem,จี้หยกสุภาพชน
ItemName_菩提佛珠,Buddha prayer beads,ประคำพุทธอธิษฐาน
ItemName_通犀辟毒牌,Detoxification plate,ป้ายกันพิษ
ItemName_游商令牌,Wandering merchant token,ตราพ่อค้าพเนจร
ItemName_火焰令,Flame Seal,ป้ายอัคคี
ItemName_透光镜,Magnifying glass,กระจกโปร่งแสง
ItemName_引虫香,Bug-attracting fragrance,ธูปหอมล่อแมลง
ItemName_大黑锅,Black pot,หม้อดำใหญ่
ItemName_百味调料罐,Spice bottle,โถปรุงร้อยรส
ItemName_磨刀石,Whetstone,หินลับมีด
ItemName_玉如意,Wish gem,หยกปรารถนา
ItemName_寒玉玦,Cold gem,ข้อมือหยกเย็น
ItemName_羊脂玉佩,Jade ornament,เครื่องประดับหยก
ItemName_金蚕蛊,Golden silkworm,กู่พิษหนอนไหมทอง
ItemName_六寸金针,Six inches gold needle,เข็มทอง 6 นิ้ว
ItemName_凤鸟玉佩,Phoenix jade ornament,จี้หยกหงสา
ItemName_盗圣扳指,Bandit God's ring,แหวนเทพโจร
ItemName_神捕令,Crime Investigator Token,ตราสำนักเทพมือปราบ
ItemName_平衡车,Balanced vehicle,พาหนะยืนทรงตัว
ItemName_皇族玉佩,Royal jade ornament,จี้หยกหลวง
ItemName_金饭碗,Golden bowl,จอกทองลายหัวมังกร
ItemName_四海全舆图,Four Seas map,แผนที่ทะเลทั้งสี่
ItemName_调兵虎符,Troops deploying Tiger token,ตราคำสั่งทหารเสือ
ItemName_传国玉玺,Imperial Seal,ตราประทับแผ่นดิน
ItemName_千机钥,Heaven key,กุญแจพันกลไก
ItemName_免死金牌,Death-exemption Plate,ป้ายทองเว้นตาย
ItemName_高僧舍利,Eminent monk's Śarīra,พระธาตุของหลวงจีนผู้ประเสริฐ
ItemName_七宝佛珠,Seven Artifacts prayer beads,ลูกประคำเจ็ดสมบัติ
ItemName_功德牌,Merit Plaque,แผ่นคุณธรรมขงจื้อ
ItemName_天穹之印,Seal of the Sky,ตราประทับแห่งสวรรค์
ItemName_苍生之印,Seal of the People,ตราประทับแห่งปวงชน
ItemName_社稷之印,Seal of the State,ตราประทับแห่งรัฐ
ItemName_虚日鼠兽环,Animal ring - The Mouse,แหวนนักษัตร - ชวด
ItemName_牛金牛兽环,Animal ring - The Ox,แหวนนักษัตร - ฉลู
ItemName_尾火虎兽环,Animal ring - The Tiger,แหวนนักษัตร - ขาล
ItemName_房日兔兽环,Animal ring - The Rabbit,แหวนนักษัตร - เถาะ
ItemName_亢金龙兽环,Animal ring - The Dragon,แหวนนักษัตร - มะโรง
ItemName_翼火蛇兽环,Animal ring - The Snake,แหวนนักษัตร - มะเส็ง
ItemName_星日马兽环,Animal ring - The Horse,แหวนนักษัตร - มะเมีย
ItemName_鬼金羊兽环,Animal ring - The Goat,แหวนนักษัตร - มะแม
ItemName_觜火猴兽环,Animal ring - The Monkey,แหวนนักษัตร - วอก
ItemName_昴日鸡兽环,Animal ring - The Rooster,แหวนนักษัตร - ระกา
ItemName_娄金狗兽环,Animal ring - The Dog,แหวนนักษัตร - จอ
ItemName_室火猪兽环,Animal ring - The Pig,แหวนนักษัตร - กุน
ItemName_石灰粉,Lime powder,ผงปูนขาว
ItemName_飞蝗石,Sharp stone,หินแหลมคม
ItemName_袖箭,Shuriken,เข็มในแขนเสื้อ
ItemName_铜钱镖,Throwing coin,ดาวกระจาย
ItemName_飞刀,Throwing blade,มีดปา
ItemName_鸡毛箭,Feather arrow,ลูกธนู
ItemName_毒镖,Poisoned dart,ลูกดอกอาบยาพิษ
ItemName_五毒梅花针,Five Poisons plum needle,เข็มพิษดอกเหมย
ItemName_铁胎丸,Steel ring,ลูกกลมเหล็ก
ItemName_霹雳弹,Thunder bullet,ระเบิดอัสนี
ItemName_玉毫针,Jade needle,เข็มผึ้งหยก
ItemName_霹雳雷火弹,Exploding thunder bullet,ระเบิดเพลิงอัสนี
ItemName_暴雨梨花钉,Violent storm pear needle,พายุฝนเข็มดอกสาลี่
ItemName_迷魂烟,Ecstasy smoke,ระเบิดควันสลบ
ItemName_蚀筋化骨水,Bone melting liquid,ยาพิษหลอมกระดูก
ItemName_夺命十三香,Killing fragrance,สิบสามหอมพรากชีวิต
ItemName_铜钥匙,Bronze key,กุญแจทองแดง
ItemName_西域珠宝,Xiyu treasure,สบบัติซียู่
ItemName_释门戒律,Temple rules,กฎของวัด
ItemName_释门戒律（手抄本）,Temple rules (handwritten),กฎของวัด (เขียนด้วยลายมือ)
ItemName_破草鞋,Tattered shoes,รองเท้าขาดรุ่งริ่ง
ItemName_柴王府请帖,Duke Chai's invitation card,เทียบเชิญของอ๋องไฉ
ItemName_铁胎弓,Steel bow,คันธนูเหล็ก
ItemName_杨家牌位,Yang Family memorial tablet,ป้ายวิญญาณตระกูลหยาง
ItemName_风闻令牌,Rumor token,ป้ายสัญลักษณ์ข่าวลือ
ItemName_账本,Ledger,บัญชีแยกประเภท
ItemName_字迹潦草的信纸,Bad handwriting letter,จดหมายที่ลายมือไม่ดี
ItemName_樵夫的钥匙,Woodcutter's key,กุญแจของคนตัดฟืน
ItemName_王大锤的钥匙,Hammer Wang's key,กุญแจของช่างตีเหล็กหวัง
