﻿Fame-35_1_1,This pigeon letter...,นกพิราบส่งสาร...
Fame-35_9_3,I'd like to know more.,ข้าขอรับฟังรายละเอียด
Fame-35_9_4,"Well, you are still young, it's normal if you don't know.",อืม เจ้ายังเยาว์วัย ไม่รู้ก็ไม่แปลก
Fame-35_9_5,"In the past decades, the Central Plains martial arts world has been hit hard three times. Each time, countless promising heroes died, and countless Martial Arts were lost forever.",ในช่วงหลายสิบปีที่ผ่านมานี้ ยุทธภพในแถบจงหยวน ได้รับความเสียหายอย่างหนักถึงสามครั้งด้วยกัน ในแต่ละครั้งล้วนมีจอมยุทธ์ผู้มีอนาคตสดใสมากมายต้องสังเวยชีวิต และวิทยายุทธอันล้ำค่ามากมายต้องสูญหายไป
Fame-35_9_6,"The first time was when the Yan Yun Iron Army marched south. Although they were defeated by the great hero and General Yang, countless small sects and factions along their path were slaughtered by the Yan Yun Iron Army.",ครั้งแรก กองทัพเหล็กเยี่ยนหยุนบุกโจมตีลงใต้ แม้จะถูกจอมยุทธ์ผู้ยิ่งใหญ่และแม่ทัพหยางเอาชนะได้ แต่ระหว่างทางที่ลงใต้ สำนักน้อยใหญ่ นับไม่ถ้วนล้วนถูกกองทัพเหล็กเยี่ยนหยุนสังหารจนสิ้น
Fame-35_9_7,"The second time was when the Yan Army attacked Chuxiang City for the second time. At that time, General Yang had been wrongfully imprisoned, and the only ones assisting in the city's defense were the old Taoists now known as the Eight Saints, as well as countless wandering heroes.",ครั้งที่สอง เป็นการที่กองทัพเยี่ยนยกทัพมาตีเมืองฉู่เซียงเป็นครั้งที่สอง ในตอนนั้นแม่ทัพหยางถูกใส่ความจนต้องโทษจำคุก ผู้ที่ร่วมกันรักษาเมืองจึงมีเพียงนักพรตเฒ่า ที่ต่อมาได้รับการขนานนามว่าเป็นแปดเซียน รวมถึงเหล่าจอมยุทธ์พเนจรอีกนับไม่ถ้วน
Fame-35_9_8,"Everyone knows that it was the Vagabonds who assisted the defenders in repelling the Yan Yun Iron Army, but how many people know how dangerous this battle was?",ผู้คนรู้ว่าศึกครั้งนี้เป็นเหล่าจอมยุทธ์ในยุทธภพที่ร่วมมือกับทหารรักษาการณ์ต้านทานกองทัพเหล็กเยี่ยนหยุน แต่ความยากลำบากและอันตรายของศึกครั้งนี้ มีสักกี่คนที่รู้?
Fame-35_9_9,"Even though the old Taoists and others were already the leading figures among the younger generation of the martial arts world, they barely survived, not to mention the ordinary Vagabonds. How many of them died in this battle, tens or even hundreds?",แม้แต่นักพรตเฒ่าและคนอื่นๆ ที่เป็นผู้นำในหมู่จอมยุทธ์รุ่นเยาว์ยังแทบเอาชีวิตไม่รอด แล้วพวกจอมยุทธ์พเนจรธรรมดาทั่วไปเล่า จะเหลือรอดสักกี่คน? ในศึกครั้งนี้พวกเขาต้องสังเวยชีวิตไปเท่าไหร่กัน นับสิบหรือนับร้อย?
Fame-35_9_10,It truly was a case of one man's success built on the bones of thousands...,เบื้องหลังความสำเร็จอันยิ่งใหญ่ของคนเพียงคนเดียว เต็มไปด้วยซากกระดูกของผู้คนนับพัน...
Fame-35_9_11,"As for the third time, it was...",สำหรับครั้งที่สามนั้น เป็นเหตุการณ์ที่...
Fame-35_10_1,Was it that time with Chu Kuangsheng?,เหตุการณ์ในครั้งนั้น เกี่ยวกับฉู่กวงเฉิง ใช่หรือไม่?
Fame-35_10_2,"Indeed, it seems you also know about this matter, so there's no need for me to hide it.",ดังเจ้าว่า เจ้าก็คงจะรู้เรื่องนี้อยู่แล้ว ข้าก็คงไม่จำเป็นต้องปิดบังอีกต่อไป
Fame-35_10_3,"Back then, Chu Kuangsheng caused a great disturbance in the martial arts world in the name of ""promoting righteousness"". Anyone in the martial arts world who had committed even the slightest sin would lose their life at his hands.","ในอดีต, ฉู่กวงเฉิงเคยก่อความปั่นป่วนใหญ่หลวงในยุทธภพ ภายใต้ธงแห่ง ""ชิดชูคุณธรรม"" ผู้ใดในยุทธภพที่เคยกระทำความผิดแม้เพียงเล็กน้อย ก็ไม่อาจรอดพ้นเงื้อมมือของเขาไปได้!"
Fame-35_10_4,"At that time, the aftermath of the second catastrophe was still lingering, and many newly established small sects and factions had Sect Leaders who came from humble backgrounds. After such a purge, how many of them were truly innocent?",ในเวลานั้น เงามืดจากมหันตภัยครั้งที่สองยังไม่จางหาย สำนักเล็กๆที่เพิ่งก่อตั้งขึ้นมากมาย ล้วนมีเจ้าสำนักที่มีภูมิหลังต่ำต้อยสามัญ หลังจากการกวาดล้างเช่นนั้นแล้ว จะมีสักกี่คนกันที่บริสุทธิ์โดยแท้จริง?
Fame-35_10_5,"Chu Kuangsheng didn't care about right or wrong, he would ruthlessly assassinate anyone who had committed a sin, causing countless bloodshed. We had no choice but to subdue him and imprison him in the Ice Prison...",ฉู่กวงเฉิงหาได้ใส่ใจว่าใครถูกใครผิดไม่ ผู้ใดเคยก่อบาปกรรม ต่อให้เพียงเล็กน้อย ล้วนต้องถูกสังหารอย่างไร้ปรานี เกิดการนองเลือดทั่วหล้านับครั้งไม่ถ้วน! พวกเรามิอาจนิ่งเฉยได้ จึงจำต้องร่วมมือกันปราบเขา และจองจำไว้ในคุกน้ำแข็ง...
Fame-35_11_1,"—More than a decade ago, Chu Kuangsheng, the Sect Leader of the Nine Factions Sect, caused a great disturbance among various sects and even killed countless Vagabonds...",—กว่าสิบปีก่อน ฉู่กวงเฉิง ประมุขนิกายเก้าฝ่าย ได้ก่อความวุ่นวายครั้งใหญ่ในหมู่สำนักต่างๆ และสังหารผู้พเนจรไปนับไม่ถ้วน...
Fame-35_11_2,"At that time, the aftermath of the second catastrophe was still lingering, and many newly established small sects and factions had Sect Leaders who came from humble backgrounds. After such a purge, how many of them were truly innocent?",ในเวลานั้น เงามืดจากมหันตภัยครั้งที่สองยังไม่จางหาย สำนักเล็กๆที่เพิ่งก่อตั้งขึ้นมากมาย ล้วนมีเจ้าสำนักที่มีภูมิหลังต่ำต้อยสามัญ หลังจากการกวาดล้างเช่นนั้นแล้ว จะมีสักกี่คนกันที่บริสุทธิ์โดยแท้จริง?
Fame-35_11_3,"Chu Kuangsheng didn't care about right or wrong, he would ruthlessly assassinate anyone who had committed a sin, causing countless bloodshed. We had no choice but to subdue him...",ฉู่กวงเฉิงหาได้ใส่ใจว่าใครถูกใครผิดไม่ ผู้ใดเคยก่อบาปกรรม ต่อให้เพียงเล็กน้อย ล้วนต้องถูกสังหารอย่างไร้ปรานี เกิดการนองเลือดทั่วหล้านับครั้งไม่ถ้วน! พวกเรามิอาจนิ่งเฉยได้ จึงจำต้องร่วมมือกันปราบเขา...
Fame-35_11_4,Why was I completely unaware of such a significant event?,เหตุใดเรื่องใหญ่ถึงเพียงนี้ ข้ากลับไม่ล่วงรู้แม้แต่น้อย?
Fame-35_11_5,"Because he was originally one of the Eight Saints, we deliberately suppressed this matter, not wanting to mislead those who had just stepped into the martial arts world.",เพราะเดิมทีเขาเป็นหนึ่งในแปดเซียน พวกเราจึงจงใจปกปิดเรื่องนี้ไว้ มิอยากให้ผู้ที่เพิ่งก้าวเข้าสู่ยุทธภพต้องไขว้เขวไปกับมัน
Fame-35_12_1,"Hmph, those guys have already caused a lot of harm. If they get a firm footing, who knows what crimes they will commit!",ฮึ่ม! พวกนั้นก่อเภทภัยมามากพอแล้ว หากปล่อยให้ตั้งหลักได้ ใครจะรู้ว่ายังจะก่อกรรมอันใดขึ้นอีก!
Fame-35_12_2,"But how many of them didn't deserve to die, and how many of them had already given up their past and turned over a new leaf? How can you generalize?",แต่ในบรรดาพวกเขามีสักกี่คนที่ไม่สมควรตาย? และมีสักกี่คนที่ได้ละทิ้งอดีตและเริ่มต้นชีวิตใหม่แล้ว? ไยเจ้าจึงเหมารวมเช่นนี้เล่า?
Fame-35_12_3,"Do you really believe that those hypocrites will change their ways? You're so naive, do you deserve to be the Sect Leader of the Three Sects? Do you deserve to be one of the Eight Saints!?",ท่านเชื่อจริงๆ หรือว่าพวกเดรัจฉานเหล่านั้นจะกลับตัวกลับใจ? ท่านช่างไร้เดียงสาถึงเพียงนี้ยังกล้าเป็นผู้นำของสามสำนักใหญ่และแปดเซียนอีกหรือ?
Fame-35_12_4,"Both of you... The person in question isn't here, what's the use of arguing so fiercely...",ทั้งสองท่าน... บุคคลที่พวกท่านกล่าวถึงมิได้อยู่ที่นี่ จะโต้เถียงกันไปใยให้เสียเวลา...
Fame-35_12_5,Hmph!,ฮึ่ม!
Fame-35_13_1,"What my senior brother did... indeed had many problems, but the Three Sects at that time also had their own issues, otherwise, why would they turn a blind eye to the Xuan He Emperor's northern hunting expedition?","เรื่องที่ศิษย์พี่ทำนั้น... แน่นอนว่ามีปัญหามากมาย แต่ในตอนนั้นทั้งสามสำนักใหญ่ก็มีปัญหาของตนเอง \nมิฉะนั้นจะปล่อยให้ฮ่องเต้ซวนเหอถูกจับไปทางเหนือได้อย่างไร?"
Fame-35_13_2,"The problems of the Three Sects should be handled by the people of the Three Sects, and should not be interfered with by others.",เรื่องของสามสำนักใหญ่ ควรให้คนในสามสำนักใหญ่จัดการกันเอง คนอื่นไม่ควรเข้ามายุ่งเกี่ยว
Fame-35_13_3,"Moreover, hasn't the Nine Factions Sect also become a place of refuge for the wicked? Why are you strict with others but lenient with yourself?",ยิ่งกว่านั้น นิกายเก้าฝ่ายของท่านมิได้กลายเป็นที่พักพิงของผู้กระทำความชั่วไปแล้วหรือ? เหตุใดท่านจึงเข้มงวดกับผู้อื่นแต่ผ่อนปรนกับตนเอง?
Fame-35_13_4,"If he hadn't indulged the people of the Nine Factions Sect so much, you wouldn't have ended up in the situation you're in now.",หากเขาไม่ปล่อยปละละเลยคนของนิกายเก้าฝ่ายมากขนาดนั้น ท่านคงไม่ตกอยู่ในสถานการณ์เช่นนี้หรอก
Fame-35_13_5,Sigh...,เฮ้อ...
Fame-35_14_1,"I now understand the three catastrophes, but what do these have to do with the Martial Arts Tournament?",ข้าเข้าใจถึงมหาภัยพิบัติทั้งสามแล้ว แต่เหตุการณ์เหล่านี้เกี่ยวข้องอะไรกับการประลองยุทธ?
Fame-35_14_2,"After these three calamities, the martial arts world has declined significantly compared to a hundred years ago. We then decided to hold the Martial Arts Tournament every three years, inviting heroes from all over the world to gather and exchange martial arts skills.",หลังจากมหาภัยพิบัติทั้งสามครั้งนั้น ยุทธภพได้เสื่อมถอยลงอย่างมากเมื่อเทียบกับเมื่อร้อยปีก่อน พวกเราจึงตัดสินใจจัดการประลองยุทธขึ้นทุกๆ สามปี โดยเชิญเหล่าจอมยุทธจากทั่วทุกสารทิศมารวมตัวกันเพื่อแลกเปลี่ยนวิชา และฟื้นฟูความรุ่งโรจน์ของยุทธภพให้กลับคืนมา
Fame-35_14_3,"At that time, we will point out the deficiencies in their martial arts or internal strength, and then have Jian Chi personally forge weapons for the outstanding ones...",ในเวลานั้น พวกเราจะชี้ให้เห็นถึงข้อบกพร่องในวรยุทธหรือพลังภายในของพวกเขา และจากนั้นมารกระบี่จะลงมือตีอาวุธให้แก่ผู้ที่มีความสามารถโดดเด่นเป็นการส่วนตัว...
Fame-35_14_4,We hope that this grand event can promote the progress of all martial arts schools and restore the martial arts world to its former glory.,พวกเราหวังว่าชุมนุมใหญ่ครั้งนี้จะสามารถส่งเสริมความก้าวหน้าของโรงฝึกวรยุทธทุกแห่ง และฟื้นฟูยุทธภพให้กลับมารุ่งโรจน์ดังเช่นในอดีต
Fame-35_14_5,"Indeed, the efforts that the seniors have put into the martial arts world are immeasurable. Although I am not talented, I am willing to contribute.",แน่นอน ความพยายามที่เหล่าผู้เฒ่าได้ทุ่มเทให้กับยุทธภพนั้นมากมายเหลือคณานับ แม้ข้าจะไม่ใช่อัจฉริยะ แต่ข้าก็เต็มใจที่จะมีส่วนร่วม
Fame-35_14_6,"Well, that's good. The Sword Discussion Conference is held on the Sword Discussion Platform in Wuyue Region, let's go there as soon as possible, {PlayerName}.",อืม นั่นก็ดี งานชุมนุมวิจารณ์กระบี่จัดขึ้นที่ลานวิจารณ์กระบี่ในเขตอู๋เยว่ เจ้ารีบไปที่นั่นเถอะ{PlayerName}
Fame-35_15_1,"Amitabha, three years have passed in a blink of an eye, and it's time for the Sword Duel Convention again.",อมิตาพุทธ พริบตาเดียวสามปีก็ผ่านไป ถึงเวลางานชุมนุมวิจารณ์กระบี่อีกครั้งแล้ว
Fame-35_16_1,"Abbot, what is this Sword Duel Convention?",ท่านเจ้าอาวาส งานชุมนุมวิจารณ์กระบี่คืออะไรหรือ?
Fame-35_17_1,"Master, what is this Sword Duel Convention?",ท่านอาจารย์ งานชุมนุมวิจารณ์กระบี่คืออะไรหรือขอรับ?
Fame-35_18_1,This Sword Duel Convention is a grand martial arts event that I and a few friends decided to hold. We invite martial artists from all over the world to participate and make friends through martial arts. The aim is to restore the martial arts world to its former glory as soon as possible.,งานชุมนุมวิจารณ์กระบี่นี้ เป็นงานใหญ่ของยุทธภพ ที่ข้าและเหล่าสหายตัดสินใจจัดขึ้น พวกเราเชิญจอมยุทธจากทั่วทุกสารทิศมาร่วมงาน เพื่อกระชับมิตรผ่านการประลอง จุดมุ่งหมายคือการฟื้นฟูความรุ่งโรจน์ของยุทธภพให้กลับคืนมาโดยเร็วที่สุด
Fame-35_18_2,The former glory?,ความรุ่งโรจน์ในอดีตอย่างนั้นหรือ?
Fame-35_18_3,"Hehe, you are still young, you probably don't know that the martial arts world has experienced three calamities.",เหอะๆ เจ้ายังเยาว์นัก คงไม่รู้ว่ายุทธภพเคยผ่านมหันตภัยมาถึงสามคราแล้ว
Fame-35_18_4,"Please enlighten me, master.",ขอท่านอาจารย์โปรดชี้แนะข้าด้วย
Fame-35_18_5,"The first calamity was when the Yan army first came south. Although the great hero and General Yang managed to repel them, all the schools that resisted the Yan people along the way were slaughtered.",มหันตภัยครั้งแรกเกิดขึ้นเมื่อกองทัพเยี่ยนบุกลงใต้ แม้จอมยุทธ์ผู้ยิ่งใหญ่และแม่ทัพหยางจะสามารถต้านทานพวกมันไว้ได้ แต่เหล่าสำนักที่ลุกขึ้นต่อต้านชาวเยี่ยนระหว่างทางล้วนถูกสังหารจนสิ้น!
Fame-35_18_6,"The second calamity was when the Yan army came south again. This time General Yang was in trouble, and I and a few friends gathered heroes from all over the world to protect Chuxiang City.",มหันตภัยครั้งที่สองบังเกิดขึ้นเมื่อกองทัพเยี่ยนยกทัพลงใต้เป็นครั้งที่สอง ครานี้แม่ทัพหยางตกอยู่ในสถานการณ์ลำบาก ข้ากับสหายไม่กี่คนจึงรวบรวมเหล่าจอมยุทธจากทั่วทุกสารทิศ เพื่อปกป้องเมืองฉู่เซียง!
Fame-35_18_7,"I know about this, it was the time when you were called the Eight Saints, right?",เรื่องนี้ข้ารู้ดี... นั่นเป็นช่วงเวลาที่ท่านได้รับการขนานนามว่า แปดเซียน ใช่หรือไม่?
Fame-35_18_8,"Amitabha, the so-called Eight Saints are all fake fame. How can a few people resist the powerful Yan army? If possible, I would rather give up this fake fame and let the hundreds of heroic spirits who died under Chuxiang City return.",อมิตาพุทธ คำว่า แปดเซียน นั้นเป็นเพียงชื่อเสียงจอมปลอม บุรุษเพียงไม่กี่คนจะต้านทานกองทัพเยี่ยนอันเกรียงไกรได้เยี่ยงไร? หากเป็นไปได้ อาตมายอมสละชื่อเสียงลวงนี้ แลกกับการให้เหล่าวิญญาณวีรชนหลายร้อยดวงที่สิ้นชีพใต้กำแพงเมืองฉู่เซียงได้หวนคืนมา!
Fame-35_18_9,A single success costs a thousand bones... The battle at that time must have been more fierce than the legend.,ความสำเร็จเพียงหนึ่ง ต้องแลกด้วยกระดูกนับพัน... ศึกในครั้งนั้น คงดุเดือดยิ่งกว่าตำนานเล่าขานเป็นแน่!
Fame-35_18_10,"I pray day and night, hoping that those heroic spirits can rest in peace as soon as possible.",ข้าสวดภาวนาทั้งยามกลางวันและยามค่ำคืน หวังเพียงให้ดวงวิญญาณวีรชนเหล่านั้นได้สงบสุขโดยเร็ววัน
Fame-35_18_11,As for the third calamity...,ส่วนมหันตภัยครั้งที่สามนั้น...
Fame-35_19_1,"You should know, it was that Chu Kuangsheng...",เจ้าคงรู้ดี... นั่นก็คือฉู่กวงเฉิง...
Fame-35_19_2,"It seems that he stirred up disputes in the martial arts world, interfered with the situation between Yan and Zhao, and caused chaos in the three religions?","ดูเหมือนว่าเขาจะก่อความวุ่นวายในยุทธภพ แทรกแซงสถานการณ์ระหว่างเยี่ยนและจ้าว \nและสร้างความปั่นป่วนในสามสำนักใหญ่ใช่หรือไม่?"
Fame-35_19_3,"Yes, but there's more to it. At that time, the aftermath of the second calamity was still there, and many positions in the martial arts world were still vacant, so many new martial artists wanted to fill those vacancies.",ใช่ แต่ยังมีเรื่องที่ซับซ้อนกว่านั้น ในเวลานั้น เงามืดจากมหันตภัยครั้งที่สองยังไม่จางหาย ตำแหน่งต่าง ๆ ในยุทธภพยังคงว่างอยู่มากมาย ทำให้จอมยุทธหน้าใหม่จำนวนมากต้องการเข้ามาเติมเต็มตำแหน่งเหล่านั้น
Fame-35_19_4,"Among these newcomers, many were originally from the grass-roots, or were criminals. Chu Kuangsheng went to them, listed their crimes one by one, and finally killed them one by one.",ในหมู่จอมยุทธหน้าใหม่เหล่านี้ หลายคนเดิมทีมาจากชนชั้นรากหญ้า หรือเป็นอาชญากร ฉู่กวงเฉิงไปหาพวกเขา แจกแจงความผิดของพวกเขาทีละคน และสุดท้ายก็ลงมือสังหารพวกเขาทีละคน
Fame-35_20_1,"Ah, in the final analysis, this third calamity is also related to me.",อา... เมื่อไตร่ตรองดูแล้ว มหันตภัยครั้งที่สามนี้ก็เกี่ยวข้องกับข้าด้วยเช่นกัน
Fame-35_20_2,"This person was originally a good friend who fought side by side with me in the battle of Chuxiang City. His martial arts skills can be described as the strongest in the world. If it weren't for his help, I would probably have died in Chuxiang City.",บุคคลผู้นี้เดิมทีเป็นสหายที่ร่วมรบเคียงบ่าเคียงไหล่กับข้าในศึกเมืองฉู่เซียง ทักษะวรยุทธ์ของเขาสามารถกล่าวได้ว่าแข็งแกร่งที่สุดในใต้หล้า หากมิได้ความช่วยเหลือจากเขา ข้าคงต้องสิ้นชีพในเมืองฉู่เซียงแล้ว
Fame-35_20_3,"After the battle of Chuxiang, many martial artists were killed or injured, and many positions were vacant. Therefore, many new martial artists tried to fill those vacancies.",หลังจากศึกเมืองฉู่เซียง เหล่าจอมยุทธจำนวนมากต้องสิ้นชีพหรือบาดเจ็บ ตำแหน่งต่าง ๆ จึงว่างเปล่า ทำให้จอมยุทธหน้าใหม่หลายคนพยายามเข้ามาเติมเต็มตำแหน่งเหล่านั้น
Fame-35_20_4,"Among these newcomers, many were originally from the grass-roots, or were criminals. That good friend went to them, listed their crimes one by one, and finally killed them one by one.",ในหมู่จอมยุทธหน้าใหม่เหล่านี้ หลายคนเดิมทีมาจากชนชั้นรากหญ้า หรือเป็นอาชญากร สหายร่วมรบผู้นั้นไปหาพวกเขา แจกแจงความผิดของพวกเขาทีละคน และสุดท้ายก็ลงมือสังหารพวกเขาทีละคน
Fame-35_21_1,"Hmph, those guys have already caused a lot of harm. If they get a firm footing, who knows what crimes they will commit!",ฮึ่ม! พวกนั้นก่อเภทภัยมามากพอแล้ว หากปล่อยให้ตั้งหลักได้ ใครจะรู้ว่ายังจะก่อกรรมอันใดขึ้นอีก!
Fame-35_21_2,"Amitabha, heaven has its own virtues, how can you arbitrarily take people's lives?",อมิตาพุทธ สวรรค์มีคุณธรรมของตน เหตุใดจึงพรากชีวิตผู้อื่นโดยพลการ
Fame-35_21_3,"Heh, are you showing off your so-called kindness now? Where were you when those guys were killing and setting fires?",เหอะ ท่านสำแดงความเมตตาจอมปลอมไปใย? พวกมันสังหารผู้คน จุดไฟเผาบ้านเมือง ครานั้นท่านอยู่หนใด?
Fame-35_21_4,"Both of you... The person in question isn't here, what's the use of arguing so fiercely...",ทั้งสองท่าน... บุคคลที่พวกท่านกล่าวถึงมิได้อยู่ที่นี่ จะโต้เถียงกันไปใยให้เสียเวลา...
Fame-35_21_5,Hmph!,ฮึ่ม!
Fame-35_22_1,"What my senior brother did... indeed had many problems, but the Three Sects at that time also had their own issues, otherwise, why would they turn a blind eye to the Xuan He Emperor's northern hunting expedition?","เรื่องที่ศิษย์พี่ทำนั้น... แน่นอนว่ามีปัญหามากมาย แต่ในตอนนั้นทั้งสามสำนักใหญ่ก็มีปัญหาของตนเอง \nมิฉะนั้นจะปล่อยให้ฮ่องเต้ซวนเหอถูกจับไปทางเหนือได้อย่างไร?"
Fame-35_22_2,"Amitabha, at that time, Shifa Temple was not under my control, and I didn't know what my master planned...",อมิตาพุทธ ในยามนั้นอารามซื่อฟายังมิได้อยู่ภายใต้การดูแลของอาตมา และอาตมาก็มิอาจล่วงรู้เจตนาของท่านประมุข...
Fame-35_22_3,"If it were up to this old monk, I would never sit idly by and watch the emperor go hunting in the north, and the country fall into ruin...",หากหลวงจีนเฒ่าผู้นี้ได้เป็นผู้กุมบังเหียนอำนาจ มีหรือที่จะปล่อยให้องค์ฮ่องเต้ถูกจับเป็นเชลยศึก ปล่อยให้บ้านเมืองล่มสลาย...
Fame-35_22_4,"Although your words sound nice now, if you hadn't ignored the requests made to your senior brother, how could the subsequent events have happened?",ถึงเจ้าจะพูดจาดูดีในวันนี้ แต่หากพวกเจ้าไม่เคยใส่ใจต่อคำร้องขอของอาจารย์ปู่ ก็คงไม่มีเรื่องราวเช่นวันนี้
Fame-35_22_5,Sigh...,เฮ้อ...
Fame-35_23_1,"So there's such a backstory to this Sword Duel Convention. If I can contribute even a little, I won't hesitate!",ที่แท้งานชุมนุมวิจารณ์กระบี่ เบื้องหลังมีที่มาที่ไปเช่นนี้ หากข้าสามารถช่วยเหลือได้แม้เพียงสักเล็กน้อย ข้าก็จะทำให้เต็มที่!
Fame-35_23_2,"Amitabha, there is no greater good.",อมิตาพุทธ คุณธรรมที่ยิ่งใหญ่กว่านี้หามีไม่
Fame-35_23_3,"The Sword Discussion Conference is held on the Sword Discussion Platform in Wuyue Region, you can go there with me.",งานชุมนุมวิจารณ์กระบี่จะจัดขึ้นที่ลานวิจารณ์กระบี่ในเขตอู๋เยว่ เจ้าไปที่นั่นพร้อมข้าแล้วกัน
Fame-35_24_1,"Time flies, day and night. Another three years have passed.",กาลเวลาผันผ่าน ล่วงเลยวันคืน สามปีล่วงเลยไปอีกครั้ง
Fame-35_24_2,"Three years? What do you mean, Dojokeeper, are you saying...",สามปี? หมายความว่าอย่างไร? ท่านเจ้าสำนักกำลังพูดถึง...
Fame-35_24_3,"This Sword Duel Convention was originally organized by me, the Dojokeeper, out of concern for the decline of the martial arts world. I discussed it with the other eight saints and decided to hold it every three years, aiming to foster the younger generation and help the martial arts world recover its vitality.",งานชุมนุมวิจารณ์กระบี่ครั้งนี้ เดิมทีข้าผู้เป็นเจ้าสำนักเป็นผู้ริเริ่ม ด้วยความกังวลต่อความเสื่อมถอยของยุทธภพ ข้าจึงได้หารือกับแปดเซียน และตัดสินใจจัดขึ้นทุกๆ สามปี โดยมีจุดมุ่งหมายเพื่อส่งเสริมคนรุ่นใหม่ และช่วยฟื้นฟูให้ยุทธภพกลับมารุ่งเรืองอีกครั้ง
