﻿SlgTechName_科技0,Technology 0,วิทยาการ 0
SlgTechName_通用_商人_神秘商人,Unlock Nameless Merchant,ปลดล็อคพ่อค้านิรนาม
SlgTechName_通用_招募科技1,Recruit Quality Increase 1,เพิ่มคุณภาพการรับสมัคร 1
SlgTechName_通用_招募科技2,Recruit Quality Increase 2,เพิ่มคุณภาพการรับสมัคร 2
SlgTechName_通用_招募科技3,Recruit Quality Increase 3,เพิ่มคุณภาพการรับสมัคร 3
SlgTechName_通用_招募自动刷新数1,Automatic Recruitment 1,เพิ่มจำนวนรับสมัครอัตโนมัติ 1
SlgTechName_通用_招募自动刷新数2,Auto Recruit 2,เพิ่มจำนวนรับสมัครอัตโนมัติ 2
SlgTechName_通用_招募自动刷新数3,Auto Recruit 3,เพิ่มจำนวนรับสมัครอัตโนมัติ 3
SlgTechName_通用_资源产出增益1,Increase Production 1,เพิ่มผลผลิต 1
SlgTechName_通用_资源产出增益2,Increase Production 2,เพิ่มผลผลิต 2
SlgTechName_通用_资源产出增益3,Increase Production 3,เพิ่มผลผลิต 3
SlgTechName_通用_守军科技1,Unlock Garrison Disciple,ปลดล็อคศิษย์ประจำการ
SlgTechName_通用_守军科技2,Enhance Garrison Disciple 1,เสริมพลังศิษย์ประจำการ 1
SlgTechName_通用_守军科技3,Enhance Garrison Disciple 2,เสริมพลังศิษย์ประจำการ 2
SlgTechName_通用_守军手动控制,Manual Control,ควบคุมด้วยตนเอง
SlgTechName_通用_守军自动恢复1,Guard Recovery 1,ฟื้นฟูผู้พิทักษ์ 1
SlgTechName_通用_守军自动恢复2,Guard Recovery 2,ฟื้นฟูผู้พิทักษ์ 2
SlgTechName_通用_守军自动恢复3,Guard Recovery 3,ฟื้นฟูผู้พิทักษ์ 3
SlgTechName_通用_资源低保1,Basic Resource 1,ทรัพยากรพื้นฐาน +1
SlgTechName_通用_资源低保2,Basic Resource 2,ทรัพยากรพื้นฐาน +2
SlgTechName_通用_资源低保3,Basic Resource 3,ทรัพยากรพื้นฐาน +3
SlgTechInfo_通用_行为增益_疗伤1,Healing Effect Increase 20%., เพิ่มประสิทธิภาพการรักษา 20%
SlgTechInfo_通用_行为增益_疗伤2,Healing Effect Increase 20%., เพิ่มประสิทธิภาพการรักษา 20%
SlgTechInfo_通用_行为增益_疗伤3,Healing Effect Increase 30%., เพิ่มประสิทธิภาพการรักษา 30%
SlgTechInfo_通用_行为增益_惠民1,Stability increases by 20 points after benefiting the people.,ความมั่นคงเพิ่มขึ้น 20 แต้ม หลังจากช่วยเหลือผู้คน
SlgTechInfo_通用_行为增益_惠民2,Stability increases by 20 points after benefiting the people.,ความมั่นคงเพิ่มขึ้น 20 แต้ม หลังจากช่วยเหลือผู้คน
SlgTechInfo_通用_行为增益_惠民3,Stability increases by 30 points after benefiting the people.,ความมั่นคงเพิ่มขึ้น 30 แต้ม หลังจากช่วยเหลือผู้คน
SlgTechInfo_通用_行为增益_修炼1,Learn Effect Increase 20%.,เพิ่มประสิทธิภาพการฝึกฝน 20%
SlgTechInfo_通用_行为增益_修炼2,Learn Effect Increase 20%.,เพิ่มประสิทธิภาพการฝึกฝน 20%
SlgTechInfo_通用_行为增益_修炼3,Learn Effect Increase 30%.,เพิ่มประสิทธิภาพการฝึกฝน 30%
SlgTechInfo_通用_行为减耗_进攻1,Attack Cost Reduction 15%.,ลดค่าที่ใช้ในการโจมตีลง 15%
SlgTechInfo_通用_行为减耗_进攻2,Attack Cost Reduction 15%.,ลดค่าที่ใช้ในการโจมตีลง 15%
SlgTechInfo_通用_行为减耗_进攻3,Attack Cost Reduction 20%.,ลดค่าที่ใช้ในการโจมตีลง 20%
SlgTechInfo_通用_行为减耗_疗伤1,Healing Cost Reduction 15%.,ลดค่าที่ใช้ในการรักษาลง 15%
SlgTechInfo_通用_行为减耗_疗伤2,Healing Cost Reduction 15%.,ลดค่าที่ใช้ในการรักษาลง 15%
SlgTechInfo_通用_行为减耗_疗伤3,Healing Cost Reduction 20%.,ลดค่าที่ใช้ในการรักษาลง 20%
SlgTechInfo_通用_行为减耗_惠民1,Benefit People Cost Reduction 15%.,ลดค่าที่ใช้ในการช่วยเหลือผู้คนลง 15%
SlgTechInfo_通用_行为减耗_惠民2,Benefit People Cost Reduction 15%.,ลดค่าที่ใช้ในการช่วยเหลือผู้คนลง 15%
SlgTechInfo_通用_行为减耗_惠民3,Benefit People Cost Reduction 20%.,ลดค่าที่ใช้ในการช่วยเหลือผู้คนลง 20%
SlgTechInfo_通用_行为减耗_补给1,Supply Cost Reduction 15%.,ลดค่าที่ใช้ในการส่งเสบียงลง 15%
SlgTechInfo_通用_行为减耗_补给2,Supply Cost Reduction 15%.,ลดค่าที่ใช้ในการส่งเสบียงลง 15%
SlgTechInfo_通用_行为减耗_补给3,Supply cost reduced by 20%.,ลดค่าที่ใช้ในการส่งเสบียงลง 20%
SlgTechInfo_通用_行为减耗_修炼1,Learn cost reduced by 15%.,ลดค่าที่ใช้ในการเรียนรู้ลง 15%
SlgTechInfo_通用_行为减耗_修炼2,Learn cost reduced by 15%.,ลดค่าที่ใช้ในการเรียนรู้ลง 15%
SlgTechInfo_通用_行为减耗_修炼3,Learn cost reduced by 20%.,ลดค่าที่ใช้ในการเรียนรู้ลง 20%
SlgTechInfo_通用_行为减耗_研究1,Meditation cost reduced by 15%.,ลดค่าที่ใช้ในการทำสมาธิลง 15%
SlgTechInfo_通用_行为减耗_研究2,Meditation cost reduced by 15%.,ลดค่าที่ใช้ในการทำสมาธิลง 15%
SlgTechInfo_通用_行为减耗_研究3,Meditation cost reduced by 20%.,ลดค่าที่ใช้ในการทำสมาธิลง 20%
SlgTechInfo_通用_弟子上限_5,Sect Disciple limit increased to 5.,เพิ่มจำนวนศิษย์ในสำนักสูงสุดเป็น 5
SlgTechInfo_通用_弟子上限_6,Sect Disciple limit increased to 6.,เพิ่มจำนวนศิษย์ในสำนักสูงสุดเป็น 6
SlgTechInfo_通用_弟子上限_7,Sect Disciple limit increased to 7.,เพิ่มจำนวนศิษย์ในสำนักสูงสุดเป็น 7
SlgTechInfo_通用_弟子上限_8,Sect Disciple limit increased to 8.,เพิ่มจำนวนศิษย์ในสำนักสูงสุดเป็น 8
SlgTechInfo_通用_弟子上限_9,Sect Disciple limit increased to 9.,เพิ่มจำนวนศิษย์ในสำนักสูงสุดเป็น 9
SlgTechInfo_通用_弟子上限_10,Sect Disciple limit increased to 10.,เพิ่มจำนวนศิษย์ในสำนักสูงสุดเป็น 10
SlgTechInfo_通用_商人_资源1,Unlock Resource Merchant (Visit next month).,ปลดล็อก พ่อค้าทรัพยากร (จะมาเยือนในเดือนหน้า)
SlgTechInfo_通用_商人_资源2,Resource Merchant will sell more goods.,พ่อค้าทรัพยากรจะขายสินค้ามากขึ้น
SlgTechInfo_通用_商人_资源3,Resource Merchant will sell more goods.,พ่อค้าทรัพยากรจะขายสินค้ามากขึ้น
SlgTechInfo_通用_商人_装备1,Unlock Equipment Merchant (Visit next month).,ปลดล็อก พ่อค้าอุปกรณ์ (จะมาเยือนในเดือนหน้า)
SlgTechInfo_通用_商人_装备2,Equipment Merchant will sell better goods.,พ่อค้าอุปกรณ์จะขายสินค้าคุณภาพดีขึ้น
SlgTechInfo_通用_商人_装备3,Equipment Merchant will sell better goods.,พ่อค้าอุปกรณ์จะขายสินค้าคุณภาพดีขึ้น
SlgTechInfo_通用_商人_武功1,Unlock Martial Arts Merchant (Visit next month).,ปลดล็อก พ่อค้าวรยุทธ์ (จะมาเยือนในเดือนหน้า)
SlgTechInfo_通用_商人_武功2,Martial Arts Merchant will sell more goods.,พ่อค้าวรยุทธ์จะขายสินค้ามากขึ้น
SlgTechInfo_通用_商人_武功3,Martial Arts Merchant will sell more goods.,พ่อค้าวรยุทธ์จะขายสินค้ามากขึ้น
SlgTechInfo_通用_商人_神秘商人,Unlock Nameless Merchant (Visit next month).,ปลดล็อก พ่อค้านิรนาม (จะมาเยือนในเดือนหน้า)
SlgTechInfo_通用_招募科技1,Improve the quality of Disciples during recruitment.,เพิ่มคุณภาพของศิษย์ในระหว่างการรับสมัคร
SlgTechInfo_通用_招募科技2,Improve the quality of Disciples during recruitment.,เพิ่มคุณภาพของศิษย์ในระหว่างการรับสมัคร
SlgTechInfo_通用_招募科技3,Improve the quality of Disciples during recruitment.,เพิ่มคุณภาพของศิษย์ในระหว่างการรับสมัคร
SlgTechInfo_通用_招募自动刷新数1,Automatically refresh 1 Disciple per turn.,รีเฟรชศิษย์ใหม่อัตโนมัติ 1 คนต่อรอบ
SlgTechInfo_通用_招募自动刷新数2,Automatically refresh 1 Disciple per turn.,รีเฟรชศิษย์ใหม่อัตโนมัติ 1 คนต่อรอบ
SlgTechInfo_通用_招募自动刷新数3,Automatically refresh 1 Disciple per turn.,รีเฟรชศิษย์ใหม่อัตโนมัติ 1 คนต่อรอบ
SlgTechInfo_通用_资源产出增益1,Territory resource income increased by 20%.,รายได้ทรัพยากรในอาณาเขตเพิ่มขึ้น 20%
SlgTechInfo_通用_资源产出增益2,Territory resource income increased by 20%.,รายได้ทรัพยากรในอาณาเขตเพิ่มขึ้น 20%
SlgTechInfo_通用_资源产出增益3,Territory resource income increased by 30%.,รายได้ทรัพยากรในอาณาเขตเพิ่มขึ้น 30%
SlgTechInfo_通用_守军科技1,Unlock the Garrison Disciple function.,ปลดล็อคฟังก์ชัน ศิษย์ประจำการ
SlgTechInfo_通用_守军科技2,Enhance Garrison Disciple.,เสริมพลังศิษย์ประจำการ
SlgTechInfo_通用_守军科技3,Enhance Garrison Disciple.,เสริมพลังศิษย์ประจำการ
SlgTechInfo_通用_守军手动控制,Unlock manual control of Garrison Disciple.,ปลดล็อคควบคุมด้วยตนเองของศิษย์ประจำการ
SlgTechInfo_通用_守军自动恢复1,"Garrison Disciple, automatically recover 5% of HP and MP each round.",ศิษย์ประจำการ จะฟื้นฟู HP และ MP 5% อัตโนมัติต่อรอบ
SlgTechInfo_通用_守军自动恢复2,"Garrison Disciple, automatically recover 5% of HP and MP each round.",ศิษย์ประจำการ จะฟื้นฟู HP และ MP 5% อัตโนมัติต่อรอบ
SlgTechInfo_通用_守军自动恢复3,"Garrison Disciple, automatically recover 10% of HP and MP each round.",ศิษย์ประจำการ จะฟื้นฟู HP และ MP 10% อัตโนมัติต่อรอบ
SlgTechInfo_通用_资源低保1,"Automatically gain 20 minerals, herbs, wood, food per turn.","จะได้รับ 20 แร่, สมุนไพร, ไม้, และอาหารอัตโนมัติในแต่ละรอบ"
SlgTechInfo_通用_资源低保2,"Automatically gain 50 minerals, herbs, wood, food per turn.","จะได้รับ 50 แร่, สมุนไพร, ไม้, และอาหารอัตโนมัติในแต่ละรอบ"
SlgTechInfo_通用_资源低保3,"Automatically gain 100 minerals, herbs, wood, food per turn.","จะได้รับ 100 แร่, สมุนไพร, ไม้, และอาหารอัตโนมัติในแต่ละรอบ"
SlgTechName_通用_快速战斗,Quick Battle,ต่อสู้แบบด่วน
SlgTechName_释法寺_解锁dlc连环掌,Martial Art: Continuous Palm,วรยุทธ์: ฝ่ามือต่อเนื่อง
SlgTechName_释法寺_解锁dlc罗汉拳法,Martial Art: Arhat Fist,วรยุทธ์: หมัดอรหันต์
SlgTechName_释法寺_解锁dlc普渡杖法,Martial Art: Enlighten Staff,วรยุทธ์: ไม้เท้ารู้แจ้ง
SlgTechName_释法寺_解锁dlc韦陀杖法,Martial Art: Veda Staff,วรยุทธ์: พลองพระเวท
SlgTechName_释法寺_解锁dlc般若掌,Martial Art: Prajna Palm,วรยุทธ์: ฝ่ามือปัญญา
SlgTechName_释法寺_解锁dlc大力金刚掌,Martial Art: Powerful Diamond Palm,วรยุทธ์: ฝ่ามือวชิระ
SlgTechName_释法寺_解锁dlc金刚降魔杵,Martial Art: Evil Destroyer Diamond Staff,วรยุทธ์: พลองวชิระสยบมาร
SlgTechName_释法寺_解锁dlc紧那罗王棍,Martial Art: Kinnara Staff,วรยุทธ์: พลองราชากินนร
SlgTechName_释法寺_解锁dlc如来神掌,Martial Art: Vairocana Godly Palm,วรยุทธ์: ฝ่ามือยูไล
SlgTechName_释法寺_解锁dlc达摩杖法,Martial Art: Dharma Staff,วรยุทธ์: ไม้เท้าโพธิธรรม
SlgTechName_释法寺_解锁dlc金钟罩,Martial Art: Golden Bell Technique,วรยุทธ์: ระฆังทองคุ้มกาย
SlgTechName_释法寺_解锁dlc横练金身,Martial Art: Forging Golden Body,วรยุทธ์: กายาวัชระทองคำ
SlgTechName_释法寺_解锁dlc大日如来经,Martial Art: Vairocana Solar Sutra,วรยุทธ์: ไวโรจนะมหาสูตร
SlgTechName_儒圣馆_解锁dlc一指禅,Martial Art: Zen Finger,วรยุทธ์: ฌานหนึ่งดรรชนี
SlgTechName_儒圣馆_解锁dlc龙蛇笔法,Martial Art: Dragon Snake Pen,วรยุทธ์: พู่กันงูมังกรร่ายรำ
SlgTechName_儒圣馆_解锁dlc流云飞扇,Martial Art: Drifting Cloud Fan,วรยุทธ์: พัดเมฆาล่องลอย
SlgTechName_儒圣馆_解锁dlc泛沧浪,Martial Art: Floating Blue,วรยุทธ์: เกลียวคลื่น
SlgTechName_儒圣馆_解锁dlc通天手,Martial Art: Omnipotent Hand,วรยุทธ์: หัตถ์ทงเทียน
SlgTechName_儒圣馆_解锁dlc曹全碑,Martial Art: Cao Quan Steele,วรยุทธ์: จารึกเฉาฉวน
SlgTechName_儒圣馆_解锁dlc逍遥游,Martial Art: Carefree Life,วรยุทธ์: อิสระจร
SlgTechName_儒圣馆_解锁dlc高山流水,Martial Art: Mountain and River,วรยุทธ์: เขาสูงธารน้ำไหล
SlgTechName_儒圣馆_解锁dlc灭天掌,Martial Art: Sky Destroyer Palm,วรยุทธ์: ฝ่ามือทลายสวรรค์
SlgTechName_儒圣馆_解锁dlc江山多娇,Martial Art: Country Full of Beauties,วรยุทธ์: แผ่นดินที่งดงาม
SlgTechName_儒圣馆_解锁dlc扇舞春秋,Martial Art: Spring and Autumn Fan,วรยุทธ์: ระบำพัดสารทวสันต์
SlgTechName_儒圣馆_解锁dlc广陵散,Martial Art: Guangling Melody,วรยุทธ์: ลำนำแห่งกว่างหลิง
SlgTechName_儒圣馆_解锁dlc儒雅风流,Martial Art: Elegant Romanticist,วรยุทธ์: หรูหราสง่างาม
SlgTechName_儒圣馆_解锁dlc盛世春秋,Martial Art: Glorious Era,วรยุทธ์: ยุคทองอันเจิดจรัส
SlgTechName_儒圣馆_解锁dlc儒十三经,Martial Art: Confucius Thirteen Sutras,วรยุทธ์: ขงจื้อสิบสามคัมภีร์
SlgTechName_道玄宗_解锁dlc太乙剑法,Martial Art: Taiyi Sword,วรยุทธ์: เพลงกระบี่ไทยี่
SlgTechName_道玄宗_解锁dlc须弥剑法,Martial Art: Sumeru Sword,วรยุทธ์: เพลงกระบี่เขาพระสุเมรุ
SlgTechName_道玄宗_解锁dlc七巧如意手,Martial Art: Dexterous Hand,วรยุทธ์: หัตถ์เจ็ดปรารถนา
SlgTechName_道玄宗_解锁dlc逍遥拳法,Martial Art: Carefree Fist,วรยุทธ์: หมัดสราญรมย์
SlgTechName_道玄宗_解锁dlc太极剑法,Martial Art: Taichi Sword,วรยุทธ์: กระบี่ไทเก๊ก
SlgTechName_道玄宗_解锁dlc岁寒三友,Martial Art: Three Friends of Winter,วรยุทธ์: สามสหายเหมันต์
SlgTechName_道玄宗_解锁dlc醉仙拳,Martial Art: Wine God Fist,วรยุทธ์: หมัดเซียนเมามาย
SlgTechName_道玄宗_解锁dlc太极拳,Martial Art: Taichi Fist,วรยุทธ์: หมัดไทเก๊ก
SlgTechName_道玄宗_解锁dlc无极剑法,Martial Art: Infinity Sword,วรยุทธ์: เพลงกระบี่ไร้ขอบเขต
SlgTechName_道玄宗_解锁dlc贯云指,Martial Art: Cloud Piercing Finger,วรยุทธ์: ดรรชนีทะลวงเมฆา
SlgTechName_道玄宗_解锁dlc凌波诀,Martial Art: Wave Rider Technique,วรยุทธ์: วิชาทะยานคลื่น
SlgTechName_道玄宗_解锁dlc太极玄,Martial Art: Nether Taichi,วรยุทธ์: พลังเทพไท้เก๊ก
SlgTechName_道玄宗_解锁dlc无极混元功,Martial Art: Infinity Origin Move,วรยุทธ์: พลังรวมศูนย์ไร้สิ้นสุด
SlgTechName_九流门_解锁dlc黑虎拳,Martial Art: Black Tiger Fist,วรยุทธ์: หมัดพยัคฆ์ทมิฬ
SlgTechName_九流门_解锁dlc雷云掌,Martial Art: Thundercloud Palm,วรยุทธ์: ฝ่ามือเมฆาอัสนี
SlgTechName_九流门_解锁dlc伤情别离掌,Martial Art: Breakup Palm,วรยุทธ์: ฝ่ามือกำสรด
SlgTechName_九流门_解锁dlc断魂爪,Martial Art: Soul Destroyer Claw,วรยุทธ์: กรงเล็บสะบั้นวิญญาณ
SlgTechName_九流门_解锁dlc撼天指法,Martial Art: Heaven Shaking Finger,วรยุทธ์: ดรรชนีสะเทือนฟ้า
SlgTechName_九流门_解锁dlc玄煞劲,Martial Art: Nether Killing Force,วรยุทธ์: ปราณปรโลกสังหาร
SlgTechName_九流门_解锁dlc玄阴诀,Martial Art: Nether Yin Manual,วรยุทธ์: เคล็ดหยินเร้นลับ
SlgTechName_九流门_解锁dlc天魔噬魂术,Martial Art: Archdemon's Soul Eating Skill,วรยุทธ์: มารฟ้ากลืนวิญญาณ
SlgTechName_妙音坊_解锁dlc阳春白雪,Martial Art: Spring White Snow,วรยุทธ์: หิมะในฤดูใบไม้ผลิ
SlgTechName_妙音坊_解锁dlc阳关三叠,Martial Art: Triassis Yangguan,วรยุทธ์: ด่านหยางกวนสามท่อน
SlgTechName_妙音坊_解锁dlc音波功,Martial Art: Soundwave Attack,วรยุทธ์: พลังคลื่นเสียง
SlgTechName_妙音坊_解锁dlc汉宫秋月,Martial Art: Autumn Palace Moon,วรยุทธ์: พระราชวังฮั่นในคืนพระจันทร์สารท
SlgTechName_妙音坊_解锁dlc蝶舞天涯,Martial Art: Dancing Butterfly Over Skyline,วรยุทธ์: ระบำผีเสื้อเหนือเส้นขอบฟ้า
SlgTechName_妙音坊_解锁dlc鹧鸪天,Martial Art: Partridge Day,วรยุทธ์: หยางกุ้ยเฟยร่ำเมรัย
SlgTechName_妙音坊_解锁dlc十面埋伏,Martial Art: Full Directional Ambush,วรยุทธ์: ซุ่มจู่โจมทั้งสิบทิศ
SlgTechName_妙音坊_解锁dlc傲江湖,Martial Art: Proud Wanderer,วรยุทธ์: เย้ยยุทธจักร
SlgTechName_妙音坊_解锁dlc碧涧流泉,Martial Art: Flowing Mountain Stream,วรยุทธ์: ลำธารภูเขาน้ำตก
SlgTechName_妙音坊_解锁dlc凌波诀,Martial Art: Wave Rider Technique,วรยุทธ์: วิชาทะยานคลื่น
SlgTechName_妙音坊_解锁dlc洛神步,Martial Art: God Step,วรยุทธ์: ท่าเท้าเทพธิดา
SlgTechName_妙音坊_解锁dlc霓裳羽衣经,Martial Art: Dancing Garment Sutra,วรยุทธ์: คัมภีร์อาภรณ์ร่ายรำ
SlgTechName_九黎部落_解锁dlc腐尸枪法,Martial Art: Rotting Spear,วรยุทธ์: เพลงหอกสลายซาก
SlgTechName_九黎部落_解锁dlc暗香凌波,Martial Art: Hidden Fragrance Wave,วรยุทธ์: คลื่นซ่อนหอม
SlgTechName_九黎部落_解锁dlc黄泉引路枪,Martial Arts: Death Bringer Spear,วรยุทธ์: หอกเบิกทางยมโลก
SlgTechName_九黎部落_解锁dlc梅花三弄,Martial Arts: Plum Flower Three Lanes,วรยุทธ์: ตำนานรักดอกเหมย
SlgTechName_九黎部落_解锁dlc九黎巫叉,Martial Arts: Jiuli Trident,วรยุทธ์: หอกตรีศูลจิ่วลี่
SlgTechName_九黎部落_解锁dlc万蛊谣,Martial Arts: Ancient Song,วรยุทธ์: ลือเรื่องหมื่นพิษ
SlgTechName_九黎部落_解锁dlc腐毒功,Martial Arts: Poison Technique,วรยุทธ์: วิชาพิษกัดกร่อน
SlgTechName_九黎部落_解锁dlc罗刹毒经,Martial Arts: Raksha Poison Sutra,วรยุทธ์: รากษกพิษยสูตร
SlgTechName_九黎部落_解锁dlc巫蛊毒功,Martial Arts: Ancient Sage Poison Technique,วรยุทธ์: มนตร์พิษโบราณ
SlgTechName_九江水寨_解锁dlc开山刀法,Martial Arts: Mountain Clear Blade,วรยุทธ์: ดาบสะบั้นภูผา
SlgTechName_九江水寨_解锁dlc疾风刺,Martial Arts: Wind Stab,วรยุทธ์: แทงวายุกระโชก
SlgTechName_九江水寨_解锁dlc狂风扇诀,Martial Arts: Tornado Fan,วรยุทธ์: พัดวายุคลั่ง
SlgTechName_九江水寨_解锁dlc怒流刀法,Martial Arts: Furious Blade,วรยุทธ์: ดาบพายุคลั่ง
SlgTechName_九江水寨_解锁dlc银蛇流光,Martial Arts: Silver Snake Mirage,วรยุทธ์: เงาคลื่นอสรพิษเกล็ดเงิน
SlgTechName_九江水寨_解锁dlc风卷残云式,Martial Arts: Storming Cloud Fan,วรยุทธ์: พายุพัดเมฆากระหน่ำ
SlgTechName_九江水寨_解锁dlc吞鲸刀法,Martial Arts: Devouring Blade,วรยุทธ์: ดาบกลืนกิน
SlgTechName_九江水寨_解锁dlc天外流星,Martial Arts: Shooting Star,วรยุทธ์: ดาวตกนอกฟ้า
SlgTechName_九江水寨_解锁dlc蝶恋花,Martial Arts: Flirting Butterfly,วรยุทธ์: ผีเสื้อเหย้าบุปผา
