﻿tag1,Nameless Region,พื้นที่ไร้นาม
tag2_chuanwen2_1,"It is said that the Buddhist monk of Shifa Temple is preaching in the <color=#c44b0e>Yunlin Temple</color>, and that the Taoist Sect's Zhang Lata may appear near the <color=#c44b0e>Wine God Tower</color>.",ว่ากันว่าหลวงจีนแห่งอารามฉีฟากำลังเทศนาใน <color=#c44b0e>อารามป่าเมฆา</color> และ ลาทาจางแห่งสำนักเต๋าอาจจะปรากฏตัวใกล้กับ <color=#c44b0e>หอคอยเทพสุรา</color>.
tag2_chuanwen3_0,Suspicious Person,บุคคลน่าสงสัย
tag2_chuanwen3_1,A middle-aged man with a <color=#c44b0e>knife wound on his leg</color> was encountered in the northwest direction of Lin'an City,ชายวัยกลางคน <color=#c44b0e>มีแผลถูกมีดที่ขา</color> ถูกพบที่ทางตะวันตกเฉียงเหนือของเมืองหลินอัน
tag2_chuanwen3_2,Helping the bailiff in Lin'an City to arrest the man with a knife wound can earn a bounty of 10 guan.,ช่วยเหลือผู้ช่วยนายอำเภอจับตัวชายที่พกมีดสั้น จะได้รางวัลนำจับ 10 ก้วน
tag2_chuanwen4_0,Underground Arena,ลานประลองใต้ดิน
tag2_chuanwen4_1,"There is an underground Arena in Lin'an City, where beasts are occasionally released to fight with people, which is very exciting.",มีลานประลองใต้ดินที่เมืองหลินอัน บางคราที่นั่นจะปล่อยสัตว์ร้ายออกมาสู้กับมนุษย์ ซึ่งนับว่าน่าตื่นตายิ่ง
tag2_chuanwen4_5,"The Underground Arena in Lin'an City is the Lin'an branch of the Black Robe Group. To enter, you need to answer the correct password.",ลานประลองใต้ดินเมืองหลินอันเป็นสาขาย่อยของกลุ่มเสื้อคลุมดำ การจะเข้าไปนั้น เจ้าต้องตอบรหัสลับให้ถูกต้อง
tag2_chuanwen4_2,"The password for the entrance of the Underground Arena in Lin'an City is ""A moment in spring is worth a thousand gold, money can't buy happiness"".","รหัสลับเพื่อเข้าไปยังลานประลองใต้ดินเมืองหลินอันคือ ""ชั่วขณะในฤดูใบไม้ผลิมีค่าดั่งทองพันชั่ง ด้วยเงินตราไม่อาจซื้อหาความสุขได้"""
tag2_chuanwen4_3,"The Underground Arena in Lin'an City opens once every five days, and each contestant can only compete on stage once a day.",ลานประลองใต้ดินของเมืองหลินอันจะเปิดทำการทุก 5 วัน ผู้เข้าประลองแต่ละคนจะมีสิทธิ์ลงแข่งได้เพียงวันละครั้ง
tag2_chuanwen4_4,"With the decline of talents in the martial arts world, the number of people participating in the Lin'an CityUnderground Arena competition is dwindling. The Underground Arena has announced its permanent closure, and the legend of the Underground Arena has become a thing of the past.",การเสื่อมถอยของผู้มีพรสวรรค์ในยุทธภพ ทำให้จำนวนคนที่เข้าร่วมสนามประลองใต้ดินเมืองหลินอันนี้เหลือเพียงเบาบาง จึงได้ประกาศปิดตัวลงอย่างถาวร และสนามประลองใต้ดินอันเป็นตำนานได้กลายเป็นเพียงอดีต
tag2_chuanwen5_0,Enlightment Tower,หอรู้แจ้ง
tag2_chuanwen5_1,"The Lin'an CityEnlightment Tower is hosting an Arena treasure hunt, where the winner can obtain a priceless treasure and the opportunity to serve in the Imperial City.",หอรู้แจ้งแห่งเมืองหลินอันเป็นเจ้าภาพจัดงานประลองล่าสมบัติ ผู้ชนะจะได้รับสมบัติล้ำค่า และโอกาสเข้าไปทำงานรับใช้ในวังหลวง
tag2_chuanwen6_0,Miao Caidie,เมี้ยวไฉ่ตี้
tag2_chuanwen6_1,"First met Miao Caidie in Lin'an City, unfortunately, time is short, Miao Caidie has to return to the Jiuli Tribe in three days.",ครั้งแรกที่เห็น เหมียวไฉ่เตี๋ย อยู่ที่เมืองหลินอัน แต่น่าเสียดายที่มีเวลาไม่มาก เหมี่ยวไฉ่เตี๋ย ต้องกลับไปที่ชนเผ่า จิ่วหลี่ ในอีกสามวันต่อมา
tag3,Major Events in the Martial Arts World,เหตุการณ์สำคัญใน ยุทธจักร
tag3_chuanwen1_0,Yan Army Invades the South,กองทัพเยี่ยน บุกทางทิศใต้
tag3_chuanwen1_1,"According to secret reports, the Yan army intends to invade the south, and Chuxiang City may be under siege soon.",ตามรายงานลับ กองทัพเยี่ยนตั้งใจที่จะบุกโจมตีทางทิศใต้ และเมืองฉู่เซียงอาจจะถูกปิดล้อมในไม่ช้า
tag3_chuanwen2_0,Twelve Animal Rings,แหวนสิบสองนักษัตร
tag3_chuanwen2_1,"The Twelve Animal Rings, derived from the twelve zodiac animal forms, are named after the twenty-eight constellations. There is a great secret hidden in the Animal Rings, and only by gathering the scattered Animal Rings can one have a chance to uncover it.",แหวนนักษัตรทั้ง 12 วง มาจากรูปสัตว์ 12 ราศี ตั้งชื่อตามกลุ่มดาว 28 ดวง มีความลับที่ยิ่งใหญ่ซ่อนอยู่ในแหวนนักษัตรและมีเพียงการรวบรวมแหวนนักษัตรที่กระจัดกระจายเท่านั้นจึงจะมีโอกาสค้นพบมัน
tag4,Chuxiang City,เมืองฉู่เซียง
tag4_chuanwen1_0,Luminous cup,จอกเจิดจรัส
tag4_chuanwen1_1,It is said that the precious treasure <color=#c44b0e>Luminous Cup</color> is in the hands of Jiang Nanguai on Dirty Street.,ว่ากันว่าสมบัติอันล้ำค่า <color=#c44b0e>จอกเจิดจรัส</color> อยู่ในมือของเจียงหนานไกว่แห่งตรอกเล้าหมู
tag4_chuanwen2_0,Battle of Chuxiang City,ศึก ณ เมืองฉู่เซียง
tag4_chuanwen2_1,Shifa Temple has sent disciples to reinforce Chuxiang City!,อารามฉีฟาส่งเหล่าศิษย์ไปเสริมทัพที่เมืองฉู่เซียง
tag4_chuanwen2_2,Taoist Sect has sent disciples to reinforce Chuxiang City!,สำนักเต๋าส่งเหล่าศิษย์ไปเสริมทัพที่เมืองฉู่เซียง
tag4_chuanwen2_3,Nine Factions Sect has sent disciples to reinforce Chuxiang City!,นิกายเก้าฝ่ายได้ส่งเหล่าศิษย์ไปเสริมกำลังที่เมืองฉู่เซียง!
tag4_chuanwen2_4,Melody House has sent disciples to reinforce Chuxiang City!,ตำหนักบทเพลงได้ส่งลูกศิษย์มาเสริมกำลังที่เมืองฉู่เซียง!
tag4_chuanwen2_5,Duke Kang has sent troops to reinforce Chuxiang City!,อ๋องคังได้ส่งกองทหารไปเสริมกำลังเมืองฉู่เซียงแล้ว!
tag4_chuanwen2_6,Ye Pengju has sent troops to reinforce Chuxiang City!,เย่เผิงจู ได้ส่งกองกำลังไปเสริมกำลังเมืองชูเซียงแล้ว!
tag4_chuanwen3_0,Secret Passage Out of the City,เส้นทางลับ ที่ออกจากเมือง
tag4_chuanwen3_1,Jiang Nanguai of Dirty Street has a secret passage to escape from Chuxiang City.,ถนนเจียงหนานแสนสกปรกมีทางลับ สามารถหลบหนีจากเมืองชูเซียงได้
tag4_chuanwen3_2,The entrance to the secret passage is under a wooden box deep in Dirty Street.,ทางเข้าทางเดินลับอยู่ใต้กล่องไม้ ที่อยู่ลึกเข้าไปในถนนสกปรก
tag4_chuanwen4_0,Hero Statue,รูปปั้นวีรบุรุษ
tag4_chuanwen4_1,"The great sword on the statue is loose, it seems that it can be removed with some method.",กระบี่ยักษ์บนรูปปั้นค่อนข้างหลวม ดูเหมือนจะมีวิธีนำมันออกมาได้
tag4_chuanwen5_0,General's mansion,จวนแม่ทัพ
tag4_chuanwen5_1,"The General's Mansion in Chuxiang City is recruiting talents. Anyone with skills will be valued, and it is said that many have risen to prominence through this.",คฤหาสน์นายพลในเมืองชูเซียงกำลังรับสมัครผู้มีความสามารถ ใครก็ตามที่มีทักษะจะได้รับการยอมรับ และว่ากันว่ามีหลายคนมีชื่อเสียงขึ้นมาจากที่นี้
tag4_chuanwen6_0,Dirty Street Auction,การประมูลข้างถนนสกปรก
tag4_chuanwen6_1,"Jiang Nanguai of Dirty Street in Chuxiang City holds an auction at Wu Shi every day, and it is said that a strange copper ring will be the mysterious auction item.",เจียงหนานไกว่จากตรอกเล้าหมูในเมืองฉู่เซียง จัดการประมูลที่ยามอู๋ (Wu) ทุกวัน และว่ากันว่ามีแหวนทองแดงแปลกๆ เป็นรายการประมูลลึกลับ
tag4_chuanwen7_0,Chuxiang Ding family's mansion,คฤหาสน์สกุลติง
tag4_chuanwen7_1,The two flower pots in the Ding Family's Main Hall are the switches to the Ding Family's Secret Chamber.,กระถางดอกไม้สองกระถางในห้องโถงหลักของ ติงเจีย เป็นสวิตช์ที่นําไปสู่ห้องลับของ ติงเจีย
tag5,Daliang City,เมืองต้าเหลียง
tag5_chuanwen1_0,The World's Number One Challenge,การท้าทายอันดับหนึ่งของโลก
tag5_chuanwen1_1,"Someone in Daliang City has set up the <color=#c44b0e>World's Number One Challenge</color>, and heroes from all sides are ready to show their skills in the Arena and make a name for themselves.","มีคนในเมืองต้าเหลียงได้จัดเตรียม <color=#c44b0e> การท้าทายอันดับหนึ่งของโลก </color>, และนักสู้จากทุกทิศทุกทางก็พร้อมที่จะแสดงทักษะของพวกเขาในลานประลองและสร้างชื่อให้ตัวเอง"
tag5_chuanwen2_0,Martial Arts Contest for a Bride,งานประลองยุทธเลือกคู่
tag5_chuanwen2_1,A big shot in Daliang City is holding a martial arts competition for marriage. You can sign up for the competition from Si Shi to You Shi every day.,เหตุการณ์สำคัญในเมืองต้าเหลียงคือการจัดการแข่งขันประลองเลือกคู่ เจ้าสามารถลงทะเบียนเข้าร่วมการแข่งขันจากยามซื่อ(Si) ถึงยามโหย่ว(You) ได้ทุกวัน
tag5_chuanwen3_0,Zhangyue Casino,บ่อนจางเยว่
tag5_chuanwen3_1,The <color=#c44b0e>Zhangyue Casino</color> in Daliang City is a place to make money based on luck.,<color=#c44b0e>บ่อนจางเยว่</color> ในเมืองต้าเหลียงเป็นสถานที่ที่จะทําเงินด้วยโชค.
tag6,Martial Arts Rumors,ข่าวลือศิลปะการต่อสู้
tag6_chuanwen1_0,Night Auction Market,ตลาดประมูลราตรี
tag6_chuanwen1_1,"Night Auction Market holds an auction at Zi Shi every day, with various materials as the main auction items.",ตลาดประมูลราตรีกำลังจัดงานประมูลที่ยามจื่อ (Zi) ของทุกวัน โดยมีวัตถุดิบล้ำค่าต่างๆ เป็นสินค้าหลักในงานประมูล
tag6_chuanwen2_0,County exam,สอบระดับมณฑล
tag6_chuanwen2_1,"{PlayerName} performed excellently in the local examination and won the position of ""Jie Yuan"".","{PlayerName} มีผลงานโดดเด่นในการสอบระดับท้องถิ่น และได้รับตําแหน่ง ""เจี่ยหยวน"""
tag6_chuanwen3_0,Provincial exam,การสอบระดับมณฑล
tag6_chuanwen3_1,"{PlayerName} won the first place in the imperial examination and won the position of ""Hui Yuan"".","{PlayerName} ได้ชนะคะแนนอันดับที่หนึ่งในการสอบระดับขุนนางและได้ตำแหน่ง ""ฮุ้ยหยวน"""
tag6_chuanwen4_0,Jianghu Master,ผู้นำยุทธภพ
tag6_chuanwen4_1,"To become a Jianghu Master, your fame must reach <color=#097a76>Prominence</color>, and you must subdue the six major sects: Shifa Temple, Taoist Sect, Confucius Temple, Langya Sword Pavilion, Jiujiang Fortress, Crime Investigation Bureau. Finally, you must pass the challenge of the six sect leaders.","หากต้องการเป็นผู้นำยุทธภพ เจ้าจะต้องมีชื่อเสียงถึงระดับ<color=#097a76>โดดเด่น</color> และเจ้าต้องปราบสำนักหลักทั้งหกสำนักให้ยอมจำนน: อารามฉีฟา, สำนักเต๋า, วัดขงจื้อ, ศาลากระบี่หลางหยา, ค่ายน้ำจิวเจียง, สำนักสืบสวน ในที่สุด, เจ้าจะต้องผ่านการประลองกับเจ้าสำนักทั้งหกสำนัก"
tag6_chuanwen5_0,Jianghu Conqueror,จอมมารยุทธภพ
tag6_chuanwen5_1,"To become a Jianghu Conqueror, you must <color=#c44b0e>eliminate</color> the six major sects: Shifa Temple, Taoist Sect, Confucius Temple, Langya Sword Pavilion, Jiujiang Fortress, and Crime Investigation Bureau. When your Fame reaches <color=#c44b0e>Prominence</color>, gather the remaining forces of Jianghu and subdue them with martial force.","หากต้องการเป็นจอมมารยุทธภพ เจ้าต้อง<color=#c44b0e>กำจัด</color>สำนักหลักทั้งหก: อารามฉีฟา, สำนักเต๋า, วัดขงจื้อ, ศาลากระบี่หลางหยา, ค่ายน้ำจิวเจียง, สำนักสืบสวน เมื่อชื่อเสียงของคุณถึง <color=#c44b0e>โดดเด่น</color> ให้รวบรวมกองกำลังที่เหลือของยุทธภพและปราบพวกเขาด้วยพลังยุทธ"
tag6_chuanwen6_0,Big Devil,จอมปีศาจ
tag6_chuanwen6_1,The unparalleled Big Devil is imprisoned in the Ice Prison under the stone tower in Lin'an CityCloud Forest Temple!,จอมปีศาจที่ไม่มีใครเทียบได้ถูกคุมขังอยู่ในคุกน้ำแข็งใต้เจดีย์หินวัดป่าเมฆาแห่งเมืองหลินอัน
tag6_chuanwen7_0,Imperial Examination,การสอบระดับขุนนาง
tag6_chuanwen7_1,"To become an Imperial Scholar, first go to Chuxiang City and pass the test of the old scholar in Dragon Library, then go to Chuxiang CityGovernment Office to take the preliminary examination and obtain the ""Scholar"" status. Then go to Daliang CityImperial School to pass the test of the school principal, and then to Daliang Government Office to take the provincial examination. If you perform well, you can obtain the ""Imperial Scholar"" status!","หากต้องการเป็น บัณฑิตขุนนาง ก่อนอื่นให้ไปที่เมืองฉู่เซียง และผ่านการทดสอบของคณบดีในห้องสมุดมังกร จากนั้นไปที่ศาลาว่าการเมืองฉู่เซียง เพื่อทำการสอบระดับท้องถิ่นและรับสถานะ ""บัณฑิต"" จากนั้นไปที่เมืองต้าเหลียง สำนักบัณฑิตหลวงเพื่อผ่านการทดสอบของคณบดีที่โรงเรียน จากนั้นไปที่ศาลาว่าการเมืองต้าเหลียงเพื่อทำการสอบระดับมณฑล หากเจ้าทำงานได้ดี เจ้าจะได้รับสถานะ ""บัณฑิตขุนนาง""!"
tag6_chuanwen8_0,The Way to Wealth of Tomb Raider Sect,หนทางสู่ความมั่งคั่งของสำนักปล้นสุสาน
tag6_chuanwen8_1,"Ming Bufan, the head of the Tomb Raider Sect, knows many ways to make money, you can ask him if you want to get rich.",หมิงปู้ฟาน ผู้นำสำนักปล้นสุสาน รู้วิธีหาเงินมากมาย อยากรวยก็ขอคำแนะนำจากเขาได้
tag6_chuanwen9_0,Orchid Pavillion Preface,ลำนำศาลากล้วยไม้
tag6_chuanwen9_1,"It is said that a profound Martial Arts is hidden in the Calligraphy ""Orchid Pavillion Preface"". Only those who are proficient in calligraphy and painting and have extremely high Intelligence can comprehend its mystery.","กล่าวกันว่าวิทยายุทธอันลึกซึ้งได้ถูกซ่อนไว้ในงานเขียน ""ลำนำศาลากล้วยไม้"" เฉพาะผู้ที่เชี่ยวชาญด้านงานประดิษฐ์ตัวอักษรและการวาดภาพในระดับสูง และมีสติปัญญาอันเฉียบแหลมเท่านั้นจึงจะสามารถเข้าใจความลึกลับนี้ได้"
tag6_chuanwen10_0,Infamous,ฉาวโฉ่
tag6_chuanwen10_1,"The Sea Jiao Gang and Bandit Chief Stronghold are in the Nameless Region, and the Blue Wind Camp is in Xiangfan Region.",พรรคมังกรทะเลและค่ายหัวหน้าโจรอยู่ในเขตพื้นที่ไร้นาม ส่วนค่ายวายุครามอยู่ในเขตเซียงฝาน
tag6_chuanwen11_0,Imperial Seal,ตราประทับจักรพรรดิ
tag6_chuanwen11_1,"The Imperial Seal is broken into three pieces: the Seal of the Sky Dome, the Seal of the Living, and the Seal of the Nation. The Seal of the Sky Dome is carried by the old emperor, the Seal of the Nation is located somewhere in the southwest, and the Seal of the Living is related to the Imperial City Department. Once all three pieces are collected, they can be restored to the complete Imperial Seal through advanced Tool Crafting skills at the corresponding workbench.",ตราประทับแผ่นดินถูกทำลายเป็นสามชิ้น ได้แก่ ตราสวรรค์ ตราแห่งปวงชน และแห่งรัฐ ตราสวรรค์ถูกครอบครองโดยฮ่องเต้เก่า ตราปวงชนตั้งอยู่ที่ใดสักแห่งในทิศตะวันตกเฉียงใต้ ส่วนตราสวรรค์นั้นเชื่อมโยงกับกรมเมืองหลวง เมื่อรวบรวมทั้งสามชิ้นได้แล้ว จะสามารถประกอบกลับเป็นตราประทับแผ่นดินที่สมบูรณ์ได้ด้วยทักษะการประดิษฐ์ขั้นสูง ณ แท่นงานที่เกี่ยวข้อง
tag6_chuanwen12_0,Auction,ประมูล
tag6_chuanwen12_1,"Chuxiang City's Dirty Street, Daliang City's Glittering Artifact Auction, and Zhongzhou's Night Auction Market all hold auctions irregularly. Among them, Dirty Street auctions Throwing, Poison, Glittering Artifact Auction auctions high-quality gifts, and Night Auction Market auctions scarce Material.","ตรอกเล้าหมูเมืองฉู่เซียง, หอไข่มุกของเมืองต้าเหลียง และตลาดประมูลราตรีในจงโจว จะมีการจัดประมูลเป็นครั้งคราว ในหมู่พวกนั้น ตรอกเล้าหมูมีการประมูลพวกอาวุธลับ ยาพิษ, หอไข่มุกมีการประมูลของขวัญคุณภาพสูง และสุดท้ายตลาดประมูลราตรีจะเปิดประมูลวัตถุดิบหายาก"
tag7,Shifa Temple,อารามฉีฟา
tag7_chuanwen1_0,"""Vairocana Solar Sutra""","""ไวโรจนะมหาสูตร"""
tag7_chuanwen1_1,"The upper and lower volumes of the translated version of the Tathagata Sutra, combined with the original text of the Vairocana Solar Sutra, can yield the true ""Vairocana Solar Sutra"" Manual.","เล่มบนและล่างของ ตถาคตสูตร เวอร์ชันแปล, รวมกับข้อความต้นฉบับของ ไวโรจนะมหาสูตร จะทำให้ได้คู่มือ ""ไวโรจนะมหาสูตร"" ที่แท้จริง"
tag8,Yan Yun Iron Army,กองทัพเหล็กเยี่ยนหยุน
tag8_chuanwen1_0,Xuan He Emperor,ฮ่องเต้ซวนเหอ
tag8_chuanwen1_1,Xuan He Emperor is imprisoned in the Palace CampPrison of the Yan Army.,ฮ่องเต้ซวนเหอถูกคุมขังอยู่ในคุกค่ายทัพหลวงของกองทัพเยี่ยน
tag9,Ye Family Battalion,กองพันตระกูลเย่
tag9_chuanwen1_0,Recruitment,รับสมัคร
tag9_chuanwen1_1,Ye Family Battalion is recruiting soldiers. Those who are interested in serving the country can sign up at Marshal Ye Pengju.,กองทัพตระกูลเย่กำลังรับสมัครทหาร ผู้ใดสนใจที่จะรับใช้ประเทศชาติ สามารถสมัครได้ที่แม่ทัพเย่เปิงจู
tag10,Southwest region,ภูมิภาคตะวันตกเฉียงใต้
tag10_chuanwen1_0,Poison Dragon Egg,ไข่มังกรพิษ
tag10_chuanwen1_1,"A regular Poison Dragon can mutate through FeedToxic, evolving into a Mutant Poison Dragon. The Poison Dragon Egg it lays is an important Herb for healing special diseases.",มังกรพิษธรรมดาสามารถกลายพันธุ์เป็นมังกรพิษกลายพันธุ์ได้โดยการกินสารพิษ และไข่มังกรพิษที่มันวางไว้นั้นเป็นสมุนไพรสำคัญสำหรับการรักษาโรคบางอย่าง
tag1_chuanwen12_0,Peak Debate,งานประชันหนึ่งในใต้หล้า
tag1_chuanwen12_1,"To participate in a martial arts event like the Peak Debate, your Fame must reach at least <color=#c44b0e>Revered</color>.",หากต้องการเข้าร่วมงานประชันหนึ่งในใต้หล้า ชื่อเสียงของท่านจะต้องถึงอย่างน้อย<color=#c44b0e>น่าเลื่อมใส</color>
tag1_chuanwen13_0,High-quality farming tools,เครื่องมือทำฟาร์ม คุณภาพ-สูง
tag1_chuanwen13_1,"Once your gathering skill reaches <color=#c44b0e>Expert</color>, you can buy high-quality farming tools from the Peddler in Nameless village.",เมื่อทักษะการรวบรวมของท่านถึงขั้น<color=#c44b0e>ผู้เชี่ยวชาญ</color> ท่านจะสามารถซื้อเครื่องมือทำฟาร์มคุณภาพสูงจากพ่อค้าในหมู่บ้านไร้นามได้
tag11,Tiger Escort,สำนักคุ้มภัยพยัคฆา
tag11_chuanwen1_0,Elite Escort's whereabouts,ที่อยู่ของหัวหน้าสำนักคุ้มภัย
tag11_chuanwen1_1,Elite Escort Han was entrusted by the court to escort the emperor to Yan Kingdom. It seems that only Xuan He Emperor knows the whereabouts of Elite Escort Han.,หัวหน้าสำนักคุ้มภัยหาน ได้รับมอบหมายจากราชสำนักให้คุ้มกันองค์ฮ่องเต้ไปยังแคว้นเยี่ยน ดูเหมือนว่าจะมีเพียงองค์ฮ่องเต้ซวนเหอเท่านั้นที่รู้ที่อยู่ของหัวหน้าสำนักคุ้มภัยหาน
tag11_chuanwen1_2,Elite Escort Han was killed by the Yan Kingdom's army <color=#c44b0e>Xiao Yuanba</color> in order to protect Xuan He Emperor.,หัวหน้าสำนักคุ้มภัยหาน ถูกสังหารโดยทหารแคว้นเยี่ยน<color=#c44b0e>เสี่ยวหยวนป้า</color> เพื่อปกป้ององค์ฮ่องเต้ซวนเหอ
tag12,The Ling siblings,พี่น้องตระกูลหลิง
tag12_chuanwen1_0,Medicine Guide,คู่มือการแพทย์
tag12_chuanwen1_1,Ling Mengdie's strange disease requires <color=#c44b0e>Dragon lice</color> as a medicine guide to heal.,โรคประหลาดของหลิงเมิ่งเตี๋ยต้องใช้<color=#c44b0e>เหามังกร</color>เพื่อเป็นยารักษาโรค
tag6_chuanwen13_0,Five-Colored Orbs,ลูกแก้วห้าสี
tag6_chuanwen13_1,Collect all five colored orbs to inherit the legacy of the Goddess at the temple in the Southwest region.,รวบรวมลูกแก้วทั้งห้าสีเพื่อสืบทอดมรดกของเทพธิดาในวิหารเทพธิดาในตะวันตกเฉียงใต้
