﻿M2240-1_1_1,"Young hero, do you want to buy fish? They were just caught today, very fresh!",จอมยุทธน้อย ต้องการปลาไหม เพิ่งจับได้วันนี้ สดมาก ถูกๆเลยจ้า
M2240-5_1_5,"Rude, how can you say I'm scamming!\nLet me guess, you're here to find the Dragon Vein Treasury, aren't you?",ไร้มารยาท พูดว่าข้าโกหกได้ยังไง! คงเดาว่า แกคงมาหาสมบัติเส้นเลือดมังกร ใช่ไหมล่ะ?
M2240-5_2_1,"There are so many copies of the Dragon Vein Treasury Treasure map, I'm afraid everyone who comes here is looking for it, what's special about me looking for this treasure?",แผนที่สมบัติเส้นเลือดมังกร มีเกลื่อนไปหมด ขนาดนั้น ข้าว่าใครที่มาที่นี่ก็คงตามหาสมบัติอยู่แล้ว ข้าพิเศษยังไงที่จะหาสมบัติได้?
M2240-5_2_2,"You're right, but you're different from others.\nI can see that not only will you go into the treasure place later, but you will also come out safely!",ถูกต้องแล้ว ท่านพิเศษกว่าคนอื่นนะ ข้ามองออกว่า ท่านไม่เพียงจะเข้าไปในที่เก็บสมบัติได้เท่านั้น แต่ยังออกมาได้อย่างปลอดภัยด้วย!
M2240-5_3_1,...How do you know?,...เจ้ารู้ได้ไง
M2240-5_3_2,"Everything is Accuracy destined, I can not only see your purpose, but also see that you will not only go into the treasure place later, but also come out safely!",ทุกสิ่งถูกกำหนดไว้ล่วงหน้าแล้ว ข้าไม่เพียงเห็นชะตากรรมของท่านเท่านั้น แต่ยังเห็น ว่าท่านจะเข้าไปในคลังสมบัติได้อย่างปลอดภัย และรอดออกมา
M2240-5_4_1,"When you put it that way, does that mean other people can't come out?",ที่ท่านพูดแบบนั้น แปลว่าคนอื่นๆ ที่ไปไม่รอดออกมาเหรอ?
M2240-5_4_2,"You and I are destined, I won't charge you, I'll give you a piece of advice.",โชคชะตาถูกลิขิตไว้แล้ว ข้าจะไม่คิดเงินจากท่าน และจะให้คำแนะนำแก่ท่าน
M2240-5_4_3,What advice?,คำแนะนำอะไรหรือ
M2240-5_4_4,"...The secret of heaven must not be revealed, there are many people here, please come with me, young hero.",สิ่งที่กำหนดไว้โดยโชคชะตาไม่ควรเปิดเผย ที่นี่ผู้คนพลุกพล่านนัก โปรดจอมยุทธตามข้ามา
M2240-5_4_5,"Sir, is it okay to come here?",ท่าน มาที่นี่ได้หรือเปล่า?
M2240-5_4_6,"Yes, I'll tell you this advice now--",ใช่ เดี๋ยวฉันบอกคำแนะนำเลย
M2240-5_4_7,"{PlayerName}, go to hell--!",{PlayerName} ไปตายซะ!
M2240-5_6_1,"Hey, you're from Great Ant City, why are you attacking me!",เฮ้ย แกมาจากเมืองแมลงปอ ทำไมถึงมาลอบโจมตีข้าล่ะ!
M2240-5_6_2,...Ask me again when you get to hell!,...ไปหาคำตอบเองในนรกละกัน!
M2240-5_7_1,"Hey, who are you, why are you attacking me!",เฮ้ เจ้าเป็นใครเนี้ย มาโจมตีข้าทำไม!
M2240-5_7_2,"...Great Ant City Lord has ordered, kill without mercy!",...ท่านผู้นำเมืองแมลงปอ มีคำสั่ง สั่งฆ่าโดยไร้ความปราณี
M2240-5_8_1,"This guy actually detonated a bomb, it's terrifying...",ไอ้นี่มันบ้าจริง ๆ ไม่น่าเชื่อไประเบิดมันซะงั้น น่ากลัวจริง ๆ...
M2240-5_8_2,"What on earth is Great Ant City trying to do, it's really intriguing...",เมืองแมลงปอนี้พยายามจะทำอะไรกันแน่ น่าสนใจจริงๆ...
M2240-5_8_3,Let's go quickly before others come.,รีบไปกันเถอะ ก่อนที่คนอื่นจะมาถึง
M2240-5-1_1_1,"Young hero, please stop!",จอมยุทธน้อย หยุดก่อน
M2240-5-1_1_2,"You, weren't you dead, how can you--?",เจ้ายังไม่ตาย เป็นไปได้ยังไง--?
M2240-5-1_1_3,Huh? What do you mean dead?,ฮะ? เจ้าหมายถึงอะไรตายงั้นหรอ
M2240-5-1_1_4,"Just now, you...",เมื่อกี้เจ้า...
M2240-5-1_1_5,"I just went to the toilet, just came back, could it be...",ข้าไปเข้าห้องน้ำเมื่อกี้เอง เพิ่งกลับมา ขอเข้าไปได้ไหม
M2240-5-1_1_6,"(So it was when he was not around, the people of Great Ant City dressed up like him...)",(เมื่อเขาไม่อยู่ ผู้คนในเมืองแมลงปอก็แต่งตัวเลียนแบบเขา...)
M2240-5-1_1_7,"Could you be the one who stole my toilet paper, making me squat in the outhouse for a shichen!?",แกนี้เองหรือที่ขโมยกระดาษชำระห้องน้ำของข้า ทำให้ข้าต้องนั่งยองในห้องน้ำนานเป็นชั่วโมง!
M2241-1_1_1,"Sir, our inn's guest rooms are full. If you need to stay, please find another place...",ข้าขอโทษด้วยท่าน ร้านของเราห้องพักเต็มแล้ว ท่านคงต้องไปหาที่พักอื่นแทน
R10112-0_1_1,"Hmm? Do you need something from me, Old Sun?",อืม? ท่านต้องการอะไรจากข้า ผู้เฒ่าซุน?
R10112-0_2_1,"I'm curious, how did you end up traveling with Miss Duan?",ข้าอยากรู้จริงๆ ว่า เจ้าไปกับคุณหนูต้วนได้อย่างไร?
R10112-0_2_2,"Old Sun just pointed the way for the girl in the village, thinking that following her might lead to something interesting.",ผู้เฒ่าซุนบอกทางเด็กสาวในหมู่บ้านนี้ว่าถ้าตามข้ามาจะเจอเรื่องสนุกๆ ก็แค่นั้นเอง
R10112-0_3_1,Are you from the Central Plains? Or are you from the Yan Yun Region?,ท่านมาจากจงหยวนใช่ไหม หรือมาจากแดนเยี่ยนหยุน?
R10112-0_3_2,"Didn't Old Sun say it? Old Sun's ancestors lived in the East Sheng Da Shen Zhou, in front of the Mountain of Flowers and Fruit...",เฒ่าซุนไม่ได้บอกไว้ใช่ไหม ว่าบรรพบุรุษผู้เฒ่าซุนมีถิ่นกำเนิดจากที่เทพนครแห่งดาวเหนือ เบื้องหน้าภูเขาแห่งบุปผาและผลไม้...
R10112-0_3_3,"Stop, stop, stop, I mean seriously.",หยุดก่อน! ข้าพูดจริงนะ!
R10112-0_3_4,Could Old Sun possibly deceive you?,ผู้เฒ่าซุนอาจพูดหลอกก็ได้
R10112-0_3_5,"(This guy seems to either have a problem with his brain, or he's too immersed in his role, it seems impossible to get the truth out of him.)",(ดูท่าทางคงสติไม่ดีไม่ก็คงอินกับบทบาทเกินไป ถามอะไรก็เหมือนจะไม่ได้ความจริง.)
R10112-0_3_6,"One last thing, how should I address you?",สุดท้ายนี้ ข้าควรเรียกท่านอย่างไรดี
R10112-0_3_7,"How to address Old Sun? Eldest Brother, Great Sage, Sun Yogin, Wukong, pick any one, Old Sun doesn't mind.","จะเรียกเหล่าซุนว่าอย่างไรดีงั้นหรือ? ศิษย์พี่ใหญ่, เทพเซียน, ซุนหงอคง, หงอคง เชิญเรียกตามใจชอบ ข้าไม่ถือสาหรอก"
R10112-0_3_8,Then I'll call you Sun Yogin.,งั้นข้าเรียกเจ้าว่า ซุนหงอคง
R10112-4_1_1,"Old Sun is still on the journey to the west, I can't travel with you.",ผู้เฒ่าซุนคงยังอยู่บนเส้นทางการแสวงบุญ ไม่สามารถร่วมทางกับเจ้าได้
R10112-4_2_1,"Hey, Old Sun won't join forces with you, thief!",เฮ้ ผู้เฒ่าซุน ไม่ร่วมวงกับเจ้าพวกหัวขโมย!
R10112-4_3_1,"The journey to the west is not about having more people, wait until there is a spot available by your side, then come find Old Sun.","คณะเดินทางไปเก็บพระคัมภีร์นั้นไม่ใช่ว่าคนเยอะยิ่งดี , ขอเว้นที่ให้บรรดาอาจารย์ก่อน , เสร็จแล้วค่อยมาหาผู้เฒ่าซุน"
R10112-4_4_1,It's time for Old Sun to show his skills!,ถึงเวลาที่ผู้เฒ่าซุนจะโชว์ฝีมือแล้ว!
R10112-5_1_1,"(Sniff) So many years have passed, but the smell of this place hasn't changed!",(ดม) ผ่านมาหลายปีแล้ว กลิ่นของสถานที่นี้ยังเหมือนเดิม!
R10112-5_1_2,"Brother Xingzhe, have you been here before?","พี่เฉิงเจ๋อ,  เคยมาที่นี้หรือเปล่า"
R10112-5_1_3,"In order to investigate Liu Er, Old Sun wouldn't miss any place to gather information.",ในตอนแรกที่สอบสวนหลิวเอ๋อ ผู้เฒ่าซุนคงจะไม่ปล่อยโอกาสในการสืบหาข่าว
R10112-5_2_1,"Hiss... Isn't this the Kingdom of Women? If my master had the chance to come here, I wonder what kind of trouble he would cause, hehe!",โอ้โห! ที่นี่มันเมืองผู้หญิงนี่นา ถ้าอาจารย์มีโอกาสมาที่นี่ คงเกิดเรื่องสนุกๆ ขึ้นแน่ๆ แหะๆ
R10112-5_2_2,"This Melody House is not the Kingdom of Women, their Musical martial arts... are like the Tight-Band Spell!","ที่ตำหนักบทเพลง ไม่ใช่ดินแดนแห่งสตรีล้วน , ศิลปะการต่อสู้ที่เน้นการโจมตีด้วยเสียง... ช่างเหมือนกับมนต์สะกดll!"
R10112-5_2_3,Ah! Then I dare not speak rashly here...,อ๋อ! งั้นข้าขอไม่พูดอะไรดีกว่า...
R10112-5_3_1,Hey! How did Old Sun end up back here...,โอ้โห! ผู้เฒ่าซุนกลับมาที่นี่ได้ยังไงเนี่ย...
R10112-5_3_2,"Brother Xingzhe, have you been here before?",พี่เฉิงเจ๋อ เคยมาที่นี่มาก่อนหรือไม่?
R10112-5_3_3,"Old Sun heard that Jiannan wine comes from the southwest, so I wanted to come here to gather information.",ผู้เฒ่าซุนได้ยินว่า สุราเจียนหนาน มาจากตะวันตกเฉียงใต้ ข้าจึงมาที่นี่เพื่อหาข้อมูลเกี่ยวกับสุราชนิดนี้
R10112-5_3_4,"I got lost and randomly attacked this place, almost got skewered by an old man here who thought I was a monkey!",ข้าหลงทางแล้ว บังเอิญเข้ามาที่นี่ จนเกือบถูกชายชราที่นี่ไล่ออกไปเหมือนลิง!
R10112-5_3_5,"However, it was later discovered that the information was wrong. Jiannan wine has nothing to do with the southwest, but the southwest... these mountains and forests, this climate, it's really addictive.",แต่ทว่าภายหลังกลับพบว่าข้อมูลผิดพลาดไป สุราเจียนหนาน ไม่ได้มีความเกี่ยวข้องกับ ภูมิภาคตะวันตกเฉียงใต้ แต่ว่า... ที่ภูมิภาคตะวันตกเฉียงใต้ นี้สิ ภูเขาป่าไม้ อากาศ ช่างดึงดูดใจให้หลงใหลเสียจริง
R10112-5_3_6,"Brother Xingzhe, you've chased from the southwest to Yan Yun, your footprints are all over the place, truly worthy of the name ""Traveler"".","พี่เฉิงเจ๋อ ออกเดินทางจากแดนตะวันตกเฉียงใต้ไปยังเยี่ยนหยุน เท้าของเขาเหยียบย่ำทั่วดินแดน เขาสมควรได้รับสมญาว่า ""นักเดินทาง"" อย่างแท้จริง"
R10112-5_4_1,"Sir, don't you think... this arena is perfect for opera?",ท่าน คิดว่าเวทีนี้เหมาะสำหรับการแสดงมากไหม?
R10112-5_4_2,"You're not thinking of dragging me up to perform again, are you?",จะมาลากข้าไปเล่นละครอีกเหรอ? ไม่นะ ข้าไม่อยากไป
R10112-5_4_3,"Hey, Old Sun is not afraid to speak directly, your opera skills are not up to par.",เฮ้ ผู้เฒ่าซุนไม่ต้องพูดมาก ฝีมือร้องเพลงของเจ้ายังไม่ถึงขั้น!
R10112-5_4_4,"That's good, I don't want to play Xiao Zuanfeng again.",ดีเลย ไม่อยากเล่นเป็น ซุนหงอคง อีกแล้ว
R10112-5_4_5,Old Sun has met someone whose opera skills are even better than mine.,เหล่าซุนเจอกับผู้ที่มีความสามารถในการแสดงงิ้วเหนือกว่าตัวเองเสียแล้ว
R10112-5_4_6,Oh? There's someone that good?,โอ้? มีผู้ที่เก่งกาจถึงเพียงนั้นเชียวหรือ?
R10112-5_4_7,"This person paints his face with the makeup of a tyrant, but dances with the sleeves of Yu Ji. He sings two roles in one opera, sometimes the tyrant, sometimes Yu Ji, I've never seen such a fanatic, but he said he's never seen someone as naturally suited for opera as me.",ผู้นี้แต่งหน้าเป็นทรราช แต่ร่ายรำด้วยแขนเสื้อของอวี้จี ขับร้องสองบทบาทในงิ้วเรื่องเดียว บางคราเป็นทรราช บางคราเป็นอวี้จี ข้าไม่เคยพบผู้ใดคลั่งไคล้ถึงเพียงนี้ แต่เขากลับบอกว่าไม่เคยพบผู้ใดเหมาะกับงิ้วได้อย่างเป็นธรรมชาติเช่นข้า
R10112-5_4_8,"He pulled me every day, wanting to take me as his disciple and teach me opera skills. But I already have a master, and before I can avenge him, I won't consider anything else!",เขาคะยั้นคะยอข้าทุกวัน หวังรับข้าเป็นศิษย์และถ่ายทอดวิชางิ้วให้ แต่ข้ามีอาจารย์แล้ว ก่อนจะล้างแค้นให้อาจารย์ ข้าจะไม่สนใจสิ่งใด!
R10112-5_4_9,"But thinking about it now, I kind of miss him, I just don't know where he is.",แต่พอคิดดูแล้ว ข้าก็คิดถึงเขาอยู่บ้าง เพียงแต่ไม่รู้ว่าเขาอยู่ที่ใด
R10112-5_5_1,I'm afraid I can only give you some bad news.,ข้าเกรงว่าคงมีแต่ข่าวร้ายมาบอกเจ้า
R10112-5_5_2,Hmm?,หืม?
R10112-5_5_3,"The person you mentioned should be Xie Xizi, one of the four Guardians of the Nine Factions Sect. As you said, he wore the mask of the Overlord and the water sleeves of Yu Ji.",คนที่เจ้าพูดถึงน่าจะเป็น เซี่ยซีจื่อ หนึ่งในสี่องครักษ์ของนิกายเก้าฝ่าย อย่างที่เจ้าว่า เขาสวมหน้ากากจอมราชันย์และแขนเสื้อน้ำของหยูจี
R10112-5_5_4,Oh? Where is this person now?,โฮ่? ตอนนี้คนผู้นี้อยู่ที่ไหน?
R10112-5_5_5,"To be honest, he has been executed for his tyranny and causing trouble.",ความจริงแล้ว เขาถูกประหารชีวิตไปแล้ว เนื่องจากความโหดเหี้ยมและก่อปัญหา
R10112-5_5_6,Alas... such is life.,โถ...แค่ชีวิต
R10112-5_5_7,I guess he committed suicide. I just don't know whether he was Yu Ji or the Overlord when he died.,คาดว่าเขาคงจะฆ่าตัวตายสินะ ข้าก็ไม่อาจทราบได้ว่าตอนที่เขาตาย เขาเป็นหยูจีหรือจอมราชันย์กันแน่
R10112-5_6_1,"The person you mentioned is Xie Xizi, one of the four Guardians of the Nine Factions Sect. I have crossed swords with him before.",คนที่เจ้าพูดถึงนั่นก็คือ เซี่ยซีจื่อ หนึ่งในสี่องครักษ์ของนิกายเก้าฝ่าย ข้าเคยประมือกับเขาครั้งหนึ่ง
R10112-5_6_2,"He was crazy and didn't speak human language. He only sang songs, but his martial arts were indeed good.",เขาเป็นคนบ้า ไม่พูดภาษาคน ได้แต่ร้องเพลง แต่ฝีมือวรยุทธก็ไม่ธรรมดาเลยทีเดียว
R10112-5_6_3,I haven't seen him since we crossed swords. I don't know what happened to him later.,หลังจากที่ข้าประมือกับเขาครั้งนั้นก็ไม่ได้พบเขาอีกเลย ไม่รู้ว่าหลังจากนั้นเขาเป็นตายร้ายดีอย่างไร
R10112-5_7_1,The person you admire must be very good at opera.,คนที่เจ้าชื่นชมคงต้องเชี่ยวชาญด้านงิ้วเป็นอย่างมาก
R10112-5_7_2,"Not only was he good at opera, but his martial arts were also very strong. It's a pity that he didn't want to teach me martial arts, only opera. And I was eager for revenge, so I ran away from him soon.",ไม่เพียงแต่เชี่ยวชาญด้านงิ้ว แต่ฝีมือวรยุทธของเขายังเก่งกาจมากอีกด้วย น่าเสียดายที่เขาไม่ยอมสอนวิทยายุทธ์ให้ข้า สอนแต่งิ้วเท่านั้น และข้าเองก็กระหายที่จะล้างแค้น จึงหนีออกมาจากเขาในไม่ช้า
R10112-5_8_1,"{PlayerSurName} benefactor, you have taken me, old Sun, on the journey to the West again. Along the way, things have changed, and it seems that I have some new insights.",ท่านผู้มีพระคุณ {PlayerSurName} ท่านได้นำข้า ตาเฒ่าซุน ออกเดินทางสู่ประจิมอีกครั้ง ระหว่างทาง สรรพสิ่งผันแปร ข้ารู้สึกได้ว่าตนเองก็ได้เข้าใจอะไรใหม่ๆขึ้นมาบ้าง
R10112-5_8_2,"From now on, your journey to the West, {PlayerSurName} benefactor, will be protected by me, old Sun!",นับจากนี้ การเดินทางสู่ประจิมของท่าน {PlayerSurName} จะได้รับการคุ้มครองจากข้า ตาเฒ่าซุน!
M2260-1_1_1,"Now, attack!",ตอนนี้แหละ โจมตีเลย!
M2260-1_2_1,I knew there would be ambushes here!,ข้ารู้อยู่แล้วว่าจะมีการซุ่มโจมตีที่นี่!
M2261-1_1_1,"Those who underestimate Great Ant City, die!","ผู้ใดสบประมาทเมืองแมลงปอ, ผู้นั้นไซร้...ถึงฆาต!"
M2261-1_2_1,"With your skills, you're not even worth a second look.","เจ้ามีเพียงฝีมือระดับนี้, มิอาจทอดสายตามองเป็นครั้งที่สองได้เลย!"
M2262-1_1_1,I'll make sure you can't return!,ข้าจะทำให้เจ้าไม่มีวันหวนกลับมาได้!
M2262-1_2_1,Want to kill me? You're not capable!,ฆ่าข้างั้นรึ? เจ้าคงไม่มีความสามารถขนาดนั้น!
M2262-2_1_1,Kill!,ฆ่า!
M2262-2_2_1,"In front of my power, this ambush is nothing!",อยู่ต่อหน้าข้า ซุ่มโจมตีไปก็ไร้ประโยชน์!
M2262-3_1_1,Kill!,ฆ่า!
M2262-3_2_1,"It's endless, it would be better to do it all at once, it would save time.",มันไม่รู้จักจบสิ้น ทำมันทีเดียวไปเลยน่าจะดีกว่า ประหยัดเวลาได้อีกด้วย
M2263-1_1_1,"Hisahide Saito, meet your end——",ฮิซาฮิเดะ ไซโตะ พบกับจุดจบของเจ้า——
M2263-1_1_2,"Strange, why is there no one here?",น่าแปลก เหตุใดที่นี่จึงไม่มีใครเลย?
M2263-1_1_3,"It seems that Saito is not here, but this room is too quiet, it makes people feel uneasy, better to run away from here.",ไซโตะมิได้อยู่ที่นี่ กระท่อมนี้เงียบสงัดวังเวงราวกับป่าช้า ยามนี้ข้ารู้สึกขนลุกซู่ไปทั้งตัว เห็นทีต้องเผ่นออกไปจากที่นี่เสียแล้ว!
M2262-4_1_1,Wake up!,ตื่นสิ!
M2262-4_2_1,"How many of these guys are there, they're like cockroaches that can't be killed.",พวกมันมีเยอะแยะราวกับฝูงแมลงสาบ ที่ฆ่าเท่าไหร่ก็ไม่หมดสิ้น!
R20740-2_1_1,"{PlayerSurName} Young hero, are you going to Great Ant City?","{PlayerSurName} ยอดวีรบุรุษน้อย เจ้าจะไปยังเมืองแมลงปอหรือไม่?"""
R20740-2_2_1,Come find Xiao when you want to go.,หากยอดวีรบุรุษน้อยคิดอยากไป ก็กลับมาหาเจ้าเซียวอีกคราได้
R20740-2_3_1,"Alright, Xiao will prepare a ship for you.",เอาล่ะ เจ้าเซียวจะเตรียมเรือให้เจ้า
R20740-2_3_2,"You board the ship to Great Ant City.\nThe land of Yan Yun slowly disappears before your eyes, and the island where Great Ant City is located slowly appears on the sea.",เรือสำเภาโต้คลื่นลม มุ่งหน้าสู่จุดหมายคือเมืองแมลงปอ ดินแดนเยี่ยนหยฺนค่อยๆ เลือนรางลับสายตา ขณะเดียวกัน เกาะที่ตั้งของเมืองแมลงปอก็เริ่มปรากฏขึ้นกลางทะเลกว้างใหญ่ เผยให้เห็นทิวทัศน์งดงามราวภาพวาด
R20740-2_4_1,Do you want to return to Deep Snow Manor?,เจ้าต้องการกลับไปที่หมู่ตึกหิมะหรือไม่?
R20740-2_5_1,"You step on the ship back to Yan Yun Region.\nThe pale land slowly rises from the sea, and you return to the familiar place.",เจ้าก้าวเท้าขึ้นเรือ มุ่งหน้ากลับสู่แคว้นเยี่ยนหยุน ผืนดินซีดจางค่อยๆ โผล่พ้นน้ำทะเลขึ้นมา เจ้ากลับคืนสู่สถานที่ที่คุ้นเคย
