﻿BuffEffect_OnEnable,{0} gains <#00FF00>{1}</color> status,{0} ได้รับ สถานะ <#00FF00>{1}</color> 
BuffPropUp_蓄力解锁,Can use <#29F161>Charge</color> in battle,สามารถใช้ <#29F161>พุ่งชน</color> ในการต่อสู้
BuffPropUp_防御解锁,Can use <#29F161>Defense</color> in battle,สามารถใช้ <#29F161>ตั้งรับ</color> ในการต่อสู้
BuffPropUp_调息解锁,Can use <#29F161>Regen</color> in battle,สามารถใช้<#29F161>ฟื้นฟูต่อเนื่อง</color>ในการต่อสู้
BuffPropUp_归元解锁,Can use <#29F161>Regen</color> in battle,สามารถใช้ <#29F161>ลมปราณฟื้นฟู</color> ในระหว่างต่อสู้ได้
BuffPropUp_治疗解锁,Can use <#29F161>Heal</color> in battle,สามารถใช้<#29F161>รักษา</color>ในการต่อสู้
BuffPropUp_施毒解锁,Can use <#29F161>Poison</color> in battle,สามารถใช้<#29F161>แพร่พิษ</color>ในการต่อสู้
BuffPropUp_解毒解锁,Can use <#29F161>Detoxify</color> in battle,สามารถใช้<#29F161>ขจัดพิษ</color>ในการต่อสู้
BuffPropUp_轻身解锁,Can use <#29F161>Speed Up</color> in battle,สามารถใช้<#29F161>เร่งความเร็ว</color>ในการต่อสู้
BuffPropUp_濒死效果,<#FE2929>Dying</color> status,สถานะ <#FE2929>ใกล้ตาย</color>
BuffInfo_会心一击,"Rage effect triggered, next action Attack increases Damage by 100%, Rage effect expires after Attack.",เข้าสู่สถานะโกรธ การโจมตีถัดไปจะเพิ่มความเสียหาย 100% ผลของสถานะโกรธจะหมดลงหลังโจมตี
BuffInfo_重伤,"Five-dimensional aptitude decreases by <#FE2929>1 point</color>, Qinggong decreases by <#FE2929>50</color>, HP and MP decrease by <#FE2929>10%</color>",ค่าพลังทั้ง 5 วิถีลดลง<#FE2929>1 หน่วย</color> วิชาตัวเบาลดลง<#FE2929>50 หน่วย</color> พลังชีวิต และพลังภายในลดลง<#FE2929>10%</color>
BuffInfo_濒死,"Five-dimensional aptitude decreases by <#FE2929>3 points</color>, HP and MP decrease by <#FE2929>25%</color>, additional damage received increases by <#FE2929>30%</color>, Movement Range decreases by <#FE2929>5 squares</color> (minimum Movement Range not less than 1 square)",ค่าพลังทั้ง 5 วิถีลดลง <#FE2929>3 หน่วย</color> พลังชีวิต และพลังภายในลดลง <#FE2929>25%</color> ได้รับความเสียหายเพิ่มขึ้น <#FE2929>30%</color>ระยะเคลื่อนที่ลดลง <#FE2929>5 ช่อง</color> (ระยะเคลื่อนที่ขั้นต่ำอยู่ที่ 1 ช่อง)
BuffInfo_失明,Accuracy probability is forced to <#FE2929>15%</color>,ความน่าจะเป็นที่แม่นยำถูกบังคับให้<#FE2929>15%</color>
BuffInfo_骨折,"Attack damage decreases by <#FE2929>15%</color>, Movement Range decreases by <#FE2929>2 squares</color> (minimum Movement Range not less than 1 square)",ความเสียหายจากการโจมตีลดลง<#FE2929>15%</color>ระยะการเคลื่อนที่ลดลง<#FE2929>2 ตาราง</color>(ระยะการเคลื่อนที่ขั้นต่ำไม่น้อยกว่า 1 ตาราง)
BuffInfo_毒疮,"When attacked, the attacker is inflicted with <#FE2929>Poisoned</color> effect, and you enter the battle with <#FE2929>50 points of Poisoned</color>",เมื่อถูกโจมตีผู้โจมตีจะติดสถานะ<#FE2929>พิษ</color>เอฟเฟกต์และคุณเข้าสู่การต่อสู้ด้วย<#FE2929>พิษ 50 แต้ม</color>
BuffInfo_紊乱,"When attacking, the final damage fluctuates between <#FE2929>25%~125%</color>, and you enter the battle with <#FE2929>50 points of Internal Injury</color>",เมื่อทำการโจมตี ความเสียหายสุดท้ายจะผันผวนระหว่าง<#FE2929>25%~125%</color>และคุณเข้าสู่การต่อสู้ด้วย<#FE2929>อาการบาดเจ็บภายใน 50 แต้ม</color>
BuffInfo_血亏,"When receiving Heal effect, the <#FE2929>effect is halved</color>",เมื่อได้รับผลฟื้นฟู <#FE2929>ประสิทธิภาพลดลงครึ่งนึง</color>
BuffInfo_团队体力效果_0,"When current Stamina is higher than <#29F161>90</color>, Increases Damage by <#29F161>15%</color>, Defense increases by <#29F161>15%</color>, Qinggong increases by <#29F161>15%</color>",เมื่อมีเรี่ยวแรงมากกว่า <#29F161>90</color> สร้างความเสียหายมากขึ้น <#29F161>15%</color> พลังป้องกันเพิ่มขึ้น <#29F161>15%</color> วิชาตัวเบาเพิ่มขึ้น <#29F161>15%</color>
BuffInfo_团队体力效果_1,"When current Stamina is higher than <#29F161>75</color>, Increases Damage by <#29F161>10%</color>, Defense increases by <#29F161>10%</color>, Qinggong increases by <#29F161>10%</color>",เมื่อมีเรี่ยวแรงมากกว่า <#29F161>75</color> สร้างความเสียหายมากขึ้น <#29F161>10%</color> พลังป้องกันเพิ่มขึ้น <#29F161>10%</color> วิชาตัวเบาเพิ่มขึ้น <#29F161>10%</color>
BuffInfo_团队体力效果_2,"When current Stamina is higher than <#29F161>60</color>, Increases Damage by <#29F161>5%</color>, Defense increases by <#29F161>5%</color>, Qinggong increases by <#29F161>5%</color>",เมื่อมีเรี่ยวแรงมากกว่า <#29F161>60</color> สร้างความเสียหายมากขึ้น <#29F161>5%</color> พลังป้องกันเพิ่มขึ้น <#29F161>5%</color> วิชาตัวเบาเพิ่มขึ้น <#29F161>5%</color>
BuffInfo_团队体力效果_3,No effect bonuses,ไม่มีโบนัสเอฟเฟกต์
BuffInfo_团队体力效果_4,"When current Stamina is lower than <#FE2929>45</color>, damage decreases by <#FE2929>5%</color>, Defense decreases by <#FE2929>5%</color>, Qinggong decreases by <#FE2929>5%</color>",เมื่อมีเรี่ยวแรงต่ำกว่า <#FE2929>45</color> สร้างความเสียหายลดลง <#FE2929>5%</color> พลังป้องกันลดลง <#FE2929>5%</color> วิชาตัวเบาลดลง <#FE2929>5%</color>
BuffInfo_团队体力效果_5,"When current Stamina is lower than <#FE2929>30</color>, damage decreases by <#FE2929>10%</color>, Defense decreases by <#FE2929>10%</color>, Qinggong decreases by <#FE2929>10%</color>",เมื่อมีเรี่ยวแรงต่ำกว่า <#FE2929>30</color> สร้างความเสียหายลดลง <#FE2929>10%</color> พลังป้องกันลดลง <#FE2929>10%</color> วิชาตัวเบาลดลง <#FE2929>10%</color>
BuffInfo_团队体力效果_6,"When current Stamina is lower than <#FE2929>15</color>, damage decreases by <#FE2929>20%</color>, Defense decreases by <#FE2929>20%</color>, Qinggong decreases by <#FE2929>20%</color>",เมื่อมีเรี่ยวแรงต่ำกว่า <#FE2929>15</color> สร้างความเสียหายลดลง <#FE2929>20%</color> พลังป้องกันลดลง <#FE2929>20%</color> วิชาตัวเบาลดลง <#FE2929>20%</color>
BuffInfo_团队体力效果_7,"When current Stamina is <#FE2929>0</color>, damage decreases by <#FE2929>30%</color>, Defense decreases by <#FE2929>30%</color>, Qinggong decreases by <#FE2929>30%</color>",เมื่อมีเรี่ยวแรงเป็น <#FE2929>0</color> สร้างความเสียหายลดลง <#FE2929>30%</color> พลังป้องกันลดลง <#FE2929>30%</color> วิชาตัวเบาลดลง <#FE2929>30%</color>
BuffInfo_团队心情效果_0,"Current Mood is above <#29F161>90</color>, combat increases EXP from defeating enemies by <#29F161>30%</color>",ค่าอารมณ์มากกว่า <#29F161>90</color> ได้รับค่าประสบการณ์จากการเอาชนะศัตรูเพิ่มขึ้น <#29F161>30%</color>
BuffInfo_团队心情效果_1,"Current Mood is above <#29F161>75</color>, combat increases EXP from defeating enemies by <#29F161>20%</color>",ค่าอารมณ์มากกว่า <#29F161>75</color> ได้รับค่าประสบการณ์จากการเอาชนะศัตรูเพิ่มขึ้น <#29F161>20%</color>
BuffInfo_团队心情效果_2,"Current Mood is above <#29F161>60</color>, combat increases EXP from defeating enemies by <#29F161>10%</color>",ค่าอารมณ์มากกว่า <#29F161>60</color> ได้รับค่าประสบการณ์จากการเอาชนะศัตรูเพิ่มขึ้น <#29F161>10%</color>
BuffInfo_团队心情效果_3,No effect bonuses,ไม่มีโบนัสเอฟเฟกต์
BuffInfo_团队心情效果_4,"Current Mood is below <#FE2929>45</color>, only <#FE2929>80%</color> of EXP is gained from defeating enemies in combat",ค่าอารมณ์ต่ำกว่า <#FE2929>45</color> ได้รับค่าประสบการณ์จากการเอาชนะศัตรูเพียง <#FE2929>80%</color> ของปกติ
BuffInfo_团队心情效果_5,"Current Mood is below <#FE2929>30</color>, only <#FE2929>40%</color> of EXP is gained from defeating enemies in combat",ค่าอารมณ์ต่ำกว่า <#FE2929>30</color> ได้รับค่าประสบการณ์จากการเอาชนะศัตรูเพียง <#FE2929>40%</color> ของปกติ
BuffInfo_团队心情效果_6,"Current Mood is below <#FE2929>15</color>, only <#FE2929>20%</color> of EXP is gained from defeating enemies in combat",ค่าอารมณ์ต่ำกว่า <#FE2929>15</color> ได้รับค่าประสบการณ์จากการเอาชนะศัตรูเพียง <#FE2929>20%</color> ของปกติ
BuffInfo_团队心情效果_7,"Current Mood is at 0, no EXP is gained from defeating enemies in combat",ค่าอารมณ์เท่ากับ 0 ไม่ได้รับค่าประสบการณ์จากการเอาชนะศัตรูในการต่อสู้
BuffInfo_风寒,Action Speed decreases by <#FE2929>5%</color>,ความเร็วท่าร่างลดลง <#FE2929>5%</color>
BuffInfo_点穴,"Unable to act, immediately lifted after being attacked.",ขยับไม่ได้ จะหายทันทีที่ถูกโจมตี
BuffInfo_压制,"Attack effect <#FE2929>-80%</color>, Defense effect <#FE2929>-80%</color>, Action Speed <#FE2929>-40%</color>"
BuffInfo_jmDai9,Constitution <#29F161>+1</color>\nOverall HP increases by <#29F161>5%</color>
BuffInfo_jmDu9,Strength <#29F161>+1</color>\nIncreases Damage by <#29F161>5%</color> when using external attacks
BuffInfo_jmRen9,Constitution <#29F161>+1</color>\nDamage reduction by <#29F161>5%</color> when attacked externally
BuffInfo_jmChong9,Dexterity <#29F161>+1</color>\nAction Speed in combat increases by <#29F161>5%</color>
BuffInfo_jmYinQiao9,Strength <#29F161>+1</color>\nChance of internal force boost in combat increases by <#29F161>5%</color>
BuffInfo_jmYangQiao9,Intelligence <#29F161>+1</color>\nChance of internal force protection in combat increases by <#29F161>5%</color>
BuffInfo_jmYinWei9,Intelligence <#29F161>+1</color>\nQi value in combat increases by <#29F161>50 points</color>
BuffInfo_jmYangWei9,Dexterity <#29F161>+1</color>\nQi defense value in combat increases by <#29F161>50 points</color>
BuffInfo_免疫迷惑,Immune to Charm,ต้านทานเสน่ห์
BuffInfo_强制加入队伍,"Eyes are lifeless, soul is out of body, like a walking corpse, at your mercy.",ดวงตาไร้แวว ร่างไร้วิญญาณ เป็นดั่งซากศพเดินได้ ทุกอย่างขึ้นกับท่าน
BuffInfo_怒气爆发,"After triggering Rage, self-inflicted Poisoned, Internal Injury, Bleeding, Sealed, Blinded are reduced by 50%, Action Speed increases by 20%, each time being Attacked, Action Speed increases by an additional 10%, lasting until the next action is taken.",หลังเข้าสู่สถานะโกรธ สถานะผิดปกติ พิษ บาดเจ็บภายใน เลือดไหล สกัดจุด ตาบอด ลดลง 50% ความเร็วท่าร่างเพิ่มขึ้น 20% ทุกครั้งที่ถูกโจมตีความเร็วท่าร่างเพิ่มขึ้นอีกครั้งละ 10% ผลนี้จะอยู่จนกว่าจะจบตาถัดไป
BuffInfo_野生Buff_普通1,"Normal Character attribute bonus, HP, MP, Attack, Defense, Qinggong increase by 20%, bonus is lost after being Invited to the team.",โบนัส ค่าพลัง พลังชีวิต พลังภายใน พลังโจมตี พลังป้องกัน วิชาตัวเบา ของตัวละครทั่วไปเพิ่มขึ้น 20% โบนัสนี้จะหายไปหากอยู่ในทีม
BuffInfo_野生Buff_精英1,"Elite Character attribute bonus, HP, MP, Attack, Defense, Qinggong increase by 50%, bonus is lost after being Invited to the team.",โบนัส ค่าพลัง พลังชีวิต พลังภายใน พลังโจมตี พลังป้องกัน วิชาตัวเบา ของตัวละครชั้นยอดเพิ่มขึ้น 50% โบนัสนี้จะหายไปหากอยู่ในทีม
BuffInfo_野生Buff_Boss1,"Boss Character attribute bonus, HP, MP, Attack, Defense increase by 100%, Qinggong increases by 50%, bonus is lost after being Invited to the team.",โบนัส ค่าพลัง พลังชีวิต พลังภายใน พลังโจมตี พลังป้องกัน ของตัวละครหัวหน้าเพิ่มขึ้น 100% วิชาตัวเบาเพิ่มขึ้น 50% โบนัสนี้จะหายไปหากอยู่ในทีม
BuffInfo_难度修正_0,"Attack damage decreases by <#29F161>20%</color>, final damage received when attacked increases by <#29F161>20%</color>; Attack, Defense, HP, Qinggong decrease by <#29F161>20%</color>.","ความเสียหายพลังโจมตีลดลง <#29F161>20%</color>, ความเสียหายรวมเมื่อถูกโจมตีจะได้ที่ได้รับเพิ่มขึ้น<#29F161>20%</color>; พลังโจมตี, พลังป้องกัน, พลังชีวิต, วิชาตัวเบา ลดลง <#29F161>20%</color>."
BuffInfo_难度修正_1,No attribute bonus.,ไม่มี
BuffInfo_难度修正_2,"Attack increases damage by <#FE2929>10%</color>, final damage received when Attacked is reduced by <#FE2929>10%</color>; Attack, Defense, HP increase by <#FE2929>20%</color>; Qinggong increases by <#FE2929>25%</color>.","ความเสียหายพลังโจมตีเพิ่มขึ้น <#FE2929>10%</color>, ความเสียหายรวมที่ได้เมื่อถูกโจมตีลดลง <#FE2929>10%</color>; พลังโจมตี, พลังป้องกัน, HP เพิ่มขึ้น <#FE2929>20%</color>; วิชาตัวเบาเพิ่มขึ้น <#FE2929>25%</color>."
BuffInfo_难度修正_3,"Attack increases damage by <#FE2929>20%</color>, final damage received when Attacked is reduced by <#FE2929>20%</color>; Attack, Defense, HP increase by <#FE2929>40%</color>; Qinggong increases by <#FE2929>50%</color>.","ความเสียหายพลังโจมตีเพิ่มขึ้น <#FE2929>20%</color>, ความเสียหายรวมที่ได้เมื่อถูกโจมตีลดลง <#FE2929>20%</color>; พลังโจมตี, พลังป้องกัน, HP เพิ่มขึ้น <#FE2929>40%</color>; วิชาตัวเบาเพิ่มขึ้น <#FE2929>50%</color>."
BuffInfo_一见如故,"When Relations with the protagonist reach Close, receive Encouraged, after entering battle, <#29F161>Attack increases by 5%</color>, effect is lost after the battle ends.","เมื่อความสัมพันธ์กับตัวเอกถึงขั้น ""สนิทกัน"" จะได้รับบัฟ ""กำลังใจ"" เมื่อเข้าสู่การต่อสู้ <#29F161> พลังโจมตีจะเพิ่มขึ้น 5%</color> เอฟเฟกต์นี้จะหายไปเมื่อจบการต่อสู้"
BuffInfo_情投意合,"When Relations with the protagonist reach Intimate, receive Encouraged, after entering battle, <#29F161>Attack increases by 5%, Defense increases by 5%</color>, effect is lost after the battle ends."
BuffInfo_患难与共,"When Relations with the protagonist reach Devoted, receive Encouraged, after entering battle, <#29F161>Attack increases by 10%, Defense increases by 10%</color>, effect is lost after the battle ends."
BuffInfo_同生共死,"When Relations with the protagonist reach Inseparable, receive Encouraged, after entering battle, <#29F161>Attack increases by 15%, Defense increases by 15%</color>, effect is lost after the battle ends."
BuffInfo_dong0,Action Speed+2,ความเร็วท่าร่าง+2
BuffInfo_dong1,Combo rate +1%,อัตราโจมตีต่อเนื่อง +1%
BuffInfo_dong2,"At the start of the battle, Initial Action Point increases by 100.",เมื่อเริ่มการต่อสู้ ท่าร่างเริ่มต้นจะเพิ่มขึ้น 100
BuffInfo_dong3,Action Speed+2
BuffInfo_dong4,Combo rate +1%
BuffInfo_dong5,"At the start of the battle, Movement Range increases by 1 square."
BuffInfo_dong6,Action Speed+5
BuffInfo_dong7,Combo rate +2%,อัตราโจมตีต่อเนื่อง +2%
BuffInfo_dong8,"The first external Attack in each battle increases the Combo rate by 25%, the effect is cleared after the Attack."
BuffInfo_dong9,Action Speed+5
BuffInfo_dong10,Combo rate +2%,อัตราโจมตีต่อเนื่อง +2%
BuffInfo_dong11,"After each Attack, you can move again, but you can only choose to rest or retreat after moving."
BuffInfo_dong12,Action Speed+5
BuffInfo_dong13,Combo rate +2%,อัตราโจมตีต่อเนื่อง +2%
BuffInfo_dong14,"For each square moved before an Attack, the final damage of this Attack increases by 10%."
BuffInfo_jing0,Parry+2%,ปัดป้อง+2%
BuffInfo_jing1,Parry+2%,ปัดป้อง+2%
BuffInfo_jing2,"For each point of Constitution, the final damage received is reduced by 2%."
BuffInfo_jing3,Parry+2%,ปัดป้อง+2%
BuffInfo_jing4,Parry+2%,ปัดป้อง+2%
BuffInfo_jing5,"Each time you are Attacked, Parry is triggered, you gain an additional 10 points of Spirit, and your Qi value increases by 100 points."
BuffInfo_jing6,Parry+3%,ปัดป้อง+3%
BuffInfo_jing7,Parry+3%,ปัดป้อง+3%
BuffInfo_jing8,Receive No damage for the first time being attacked in each battle (Unable to receive damage brought by No damage negative status).
BuffInfo_jing9,Parry+3%,ปัดป้อง+3%
BuffInfo_jing10,Parry+3%,ปัดป้อง+3%
BuffInfo_jing11,"Each attack received reduces final damage by 10%, up to a maximum of 50% reduction."
BuffInfo_jing12,Parry+3%,ปัดป้อง+3%
BuffInfo_jing13,Parry+3%,ปัดป้อง+3%
BuffInfo_jing14,"This attack does not move, final attack damage increases by 30%, for each point of Dexterity lower than the opponent, the final damage increases by an additional 8%."
BuffInfo_gang0,Critical+1%
BuffInfo_gang1,Critical+1%
BuffInfo_gang2,Each point of Strength increases final attack damage by 1%.
BuffInfo_gang3,Critical+2%
BuffInfo_gang4,Critical+2%
BuffInfo_gang5,"Trigger Critical when attacking, gain an additional 10 points of Spirit."
BuffInfo_gang6,Critical+2%
BuffInfo_gang7,Critical+2%
BuffInfo_gang8,The first attack in this battle will definitely be Critical if it hits the target.
BuffInfo_gang9,Critical+2%
BuffInfo_gang10,Critical+2%
BuffInfo_gang11,"After each attack, enemies at the edge of the damage range will receive 20% of the attack's Splash damage."
BuffInfo_gang12,Critical+2%
BuffInfo_gang13,Critical+2%
BuffInfo_gang14,"Killing an enemy allows for another action, choosing external attack doubles MP Cost, effective once per action."
BuffInfo_rou0,Evasion+1%
BuffInfo_rou1,Parry+2%,ปัดป้อง+2%
BuffInfo_rou2,"Each time being attacked, the attacker's Critical is reduced by 50%."
BuffInfo_rou3,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_rou4,Parry+3%,ปัดป้อง+3%
BuffInfo_rou5,"Each time being attacked, gain an additional 5 points of Spirit and increase Qi by 50 points."
BuffInfo_rou6,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_rou7,Parry+3%,ปัดป้อง+3%
BuffInfo_rou8,"When attacked, there is a 30% chance to Reflect 20% damage to the attacker, each two-level difference between the two sides increases or decreases the Reflect effect by 1%, up to 10%."
BuffInfo_rou9,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_rou10,Parry+3%,ปัดป้อง+3%
BuffInfo_rou11,"After each attack received, Qi increases by 100 points."
BuffInfo_rou12,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_rou13,Parry+3%,ปัดป้อง+3%
BuffInfo_rou14,"When attacked with enemies nearby, only 60% of the actual damage is taken, 40% is shared by nearby enemies."
BuffInfo_xu0,Evasion+1%
BuffInfo_xu1,Evasion+1%
BuffInfo_xu2,"Successful Evasion when attacked, opponent's Action Speed decreases by 20% until their next action."
BuffInfo_xu3,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_xu4,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_xu5,"Trigger Evasion when attacked, gain an additional 10 points of Spirit and increase Qi by 150 points."
BuffInfo_xu6,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_xu7,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_xu8,"Effects of Poisoned, Internal Injury, Bleeding, Blinded, Sealed are reduced by 50%."
BuffInfo_xu9,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_xu10,Evasion+1.5%,หลบหลีก+1.5%
BuffInfo_xu11,"Each attack received temporarily increases Evasion by 5%, effect is cleared after triggering Evasion or at the end of the battle."
BuffInfo_xu12,Evasion+2%
BuffInfo_xu13,Evasion+2%
BuffInfo_xu14,"Effects of Poisoned, Internal Injury, Bleeding, Blinded, Sealed produced when attacking are increased by 100%, opponent's Qi decreases by 150 points."
BuffInfo_shi0,Accuracy+1.5%
BuffInfo_shi1,Accuracy+1.5%
BuffInfo_shi2,"Each successful hit temporarily increases Critical by 5%, effect is cleared after triggering Critical or at the end of the battle."
BuffInfo_shi3,Accuracy+2%,ความแม่นยำ+2%
BuffInfo_shi4,Accuracy+2%,ความแม่นยำ+2%
BuffInfo_shi5,Gain an additional 5 points of Spirit when hitting an enemy target.
BuffInfo_shi6,Accuracy+2%,ความแม่นยำ+2%
BuffInfo_shi7,Accuracy+2%,ความแม่นยำ+2%
BuffInfo_shi8,"Each attack on a target increases final damage of the next attack by 5% and deals an additional 25 points of damage, up to a maximum of 25% increase in final damage and 125 points of additional damage."
BuffInfo_shi9,Accuracy+2%,ความแม่นยำ+2%
BuffInfo_shi10,Accuracy+2%,ความแม่นยำ+2%
BuffInfo_shi11,Critical increases damage by 30%.
BuffInfo_shi12,Accuracy+2.5%
BuffInfo_shi13,Accuracy+2.5%
BuffInfo_shi14,"Each attack reduces the target's Evasion by 25%, for each point of Strength higher than the opponent, the final damage increases by an additional 8%."
BuffInfo_宠物驯兽Buff1,"HP increases by 20%, Attack increases by 20%, Defense increases by 20%"
BuffInfo_宠物驯兽Buff2,"HP increases by 40%, Attack increases by 40%, Defense increases by 40%"
BuffInfo_宠物驯兽Buff3,"HP increases by 60%, Attack increases by 60%, Defense increases by 60%, Unlock one pet skill."
BuffInfo_宠物驯兽Buff4,"HP increases by 80%, Attack increases by 80%, Defense increases by 80%, Unlock two pet skills."
BuffInfo_宠物驯兽Buff5,"HP increases by 100%, Attack increases by 100%, Defense increases by 100%, Unlock three pet skills."
BuffInfo_CustomDiff1,Immune to Reflect damage.,ต้านทานการสะท้อนความเสียหาย
BuffInfo_CustomDiff2,Additional damage for Pierce Back attack.
BuffInfo_CustomDiff3,Additional damage for Pierce Side attack.
BuffInfo_CustomDiff4,Spirit gain <#29F161>increases by an additional 100%</color>.
BuffInfo_CustomDiff5,Cause <#FE2929>5 points of Poisoned</color> to the enemy when attacking.
BuffInfo_CustomDiff6,Cause <#FE2929>5 points of Internal Injury</color> to the enemy when attacking.
BuffInfo_CustomDiff7,Inflict <#FE2929>5 points of Bleeding</color> on the enemy during an Attack.
BuffInfo_CustomDiff8,Inflict <#FE2929>5 points of Sealed</color> on the enemy during an Attack.
BuffInfo_CustomDiff9,Inflict <#FE2929>5 points of Blinded</color> on the enemy during an Attack.
BuffInfo_CustomDiff10,"During an Attack, the effects of Poisoned, Internal Injury, Bleeding, Blinded, Sealed are increased by 50%, and the effects of Poisoned, Internal Injury, Bleeding, Blinded, Sealed received during an Attack are reduced by 50%."
BuffInfo_CustomDiff11,"In addition to the Internal break effect, you can also have special negative states such as Poison Immunity, Bleeding, Internal Injury, Sealed, Blinded, Disarm, Disable armor, Weakness, Vulnerable, etc."
BuffInfo_CustomDiff12,"Upon receiving a Finishing Strike, become Invincible, recover <#29F161>50% HPMP</color>, effective once per battle."
BuffInfo_招式三千雷动,Critical-10%
BuffInfo_招式先破后立,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式形单影只,Evasion-10%,หลบหลีก-10%
BuffInfo_招式饮鸩止渴,
BuffInfo_招式挥刀断流,Combo rate -10%
BuffInfo_招式目迷神离,
BuffInfo_招式所向披靡,Parry-10%,ปัดป้อง-10%
BuffInfo_招式烈焰焚身,Movement Range reduced by 3 squares.,ระยะการเคลื่อนที่ ลดลง 3 ตาราง
BuffInfo_招式八方风雨,
BuffInfo_招式游刃有余,
BuffInfo_招式针锋相对,
BuffInfo_招式独占鳌头,Weapon properties and effects are nullified.
BuffInfo_招式横扫四海,"The armor worn by the target falls off, unable to exert its effects."
BuffInfo_招式万象森罗,Parry-20%
BuffInfo_招式万劫不复,
BuffInfo_招式斩筋断脉,Action Speed-25%
BuffInfo_招式摧枯拉朽,Critical-20%
BuffInfo_招式居合斩,Guaranteed to be Critically hit when Attacked.
BuffInfo_招式肋一寸,This Attack will Pierce the enemy's armor properties and effects.
BuffInfo_招式魂飞魄散,Reduce current MP by 5% after each action.
BuffInfo_招式魂不守舍,Attack damage fluctuates between 25%-80%.
