﻿CharaName_NameFormat,{0} {1}
CharaName_沉默的独眼浪客,Silent one-eyed wanderer
CharaName_财大气粗的富商,Rich merchant
CharaName_气质如兰的女子,Woman with an orchid-like temperament
CharaName_一丝不苟的郎中,Meticulous doctor
CharaName_颇有心机的将军,Cunning General
CharaName_嚣张跋扈的公子,Arrogant and domineering young master
CharaName_傲慢冷酷的少年,Arrogant and cold youth
CharaName_带面罩的神秘人,Mysterious person with mask
CharaName_深沉的年轻公子,Deep young gentlemen
CharaName_精灵古怪的女孩,Wacky girl
CharaName_气质高贵的公子,Elegant gentlemen
CharaName_眉心有疤的男子,Man with a scar on his brow
CharaName_霸气外露的男子,Domineering man
CharaName_美艳冷傲的少妇,Beautiful and arrogant young woman
CharaName_一身土腥味的汉子,Man with a strong earthy smell
CharaName_气质儒雅的中年人,Gentlemanly middle-aged man
CharaName_带着面具的捕头,Masked constable
CharaName_狂傲不羁的书生,Arrogant and unruly scholar
CharaName_个性跳脱的画师,Eccentric painter
CharaName_清冷无言的女子,Cold and silent woman
CharaName_满脸狞笑的壮汉,Grinning strong man
CharaName_冷峻严肃的中年人,Stern and serious middle-aged man
CharaName_俊秀的年轻捕头,Handsome young constable
CharaName_俊秀飘逸的年轻人,Handsome and elegant young man
CharaName_豪放不羁的剑客,Unrestrained swordsman
CharaName_老态龙钟的婆婆,Doddering granny
CharaName_温柔典雅的女子,Gentle and elegant woman
CharaName_其貌不扬的伙计,Ugly attendant
CharaName_正直干练的士兵,Upright and capable soldier
CharaName_清冷的蒙面女子,Cold masked woman,สตรีสวมผ้าคลุมหน้าท่าทีเย็นชา
CharaName_长相凶横的大汉,Fierce-looking man
CharaName_性感豪放的女子,Sexy and unrestrained woman
CharaName_憔悴的囚服老者,Emaciated old man in prison uniform
CharaName_彪悍的中年人,Fierce middle-aged man
CharaName_疲惫的中年人,Tired middle-aged man
CharaName_勤劳的中年人,Hardworking middle-aged man
CharaName_玩世不恭的少年,Cynical youth
CharaName_文质彬彬的老者,Gentle and refined Elder
CharaName_相貌丑陋的汉子,Ugly-looking man
CharaName_昏昏欲睡的老者,Sleepy old man
CharaName_挑担的小哥,Porter
CharaName_肌肉有力的汉子,Muscular man
CharaName_猥琐的汉子,Sleazy man
CharaName_彪悍的汉子,Fierce man
CharaName_须发皆白的老者,Old man with white hair and beard
CharaName_风韵犹存的女子,Woman still charming
CharaName_憨厚的胖子,Simple and honest fat man
CharaName_老管家,Old butler
CharaName_伤心断肠的书生,Heartbroken scholar
CharaName_孔武有力的武夫,Strong-armed warrior
CharaName_神情倨傲的公子,Arrogant young master
CharaName_僧人,Monk
CharaName_小沙弥,Novice monk
CharaName_严肃冷峻的师兄,Stern and cold senior brother
CharaName_和蔼可亲的师兄,Kind and friendly senior brother
CharaName_面目狰狞的师兄,Fierce-looking senior brother
CharaName_腿脚不便的老者,Old man with difficulty walking
CharaName_鼻青脸肿的拳师,Bruised boxer
CharaName_和蔼慈祥的老儒,Kind and benevolent old scholar
CharaName_精明市侩的商贩,Shrewd and mercenary merchant
CharaName_哑口无言的婆婆,Mute old woman
CharaName_满脸胡须的大汉,Bearded man
CharaName_天真无邪的女孩,Ingenue
CharaName_举止猥琐的老头,A lewd old man
CharaName_群芳馆·馆主,Qunfang Hall Dojokeeper
CharaName_身上有伤的妇人,Injured Women
CharaName_风流倜傥的剑客,Charming Swordsman
CharaName_欧阳,Ouyang
CharaName_花,Hua
CharaName_洛,Luo
CharaName_华,Hua
CharaName_福箐郡主,Lady Fuqing
CharaName_曲,Qu
CharaName_绛,Jiang
CharaName_叶,Ye
CharaName_长春子,Chang Chunzi
CharaName_苗,Miao
CharaName_洪,Hong
CharaName_任,Ren
CharaName_释,Shi
CharaName_凌,Ling
CharaName_佟,Tong
CharaName_重,Zhong
CharaName_方,Square
CharaName_柴,Chai
CharaName_邋遢张,Zhang Lata
CharaName_蔡,Cai
CharaName_损道人,Sun Daoren
CharaName_疯戏子,Feng Xizi
CharaName_曼陀罗,Man Tuoluo
CharaName_步,Bu
CharaName_华严,Hua Yan
CharaName_慧元,Hui Yuan
CharaName_癞头癫,Lai Toudian
CharaName_秦,Qin
CharaName_慕容,Mu Rong
CharaName_恶乞丐,E Qigai
CharaName_毒伢婆,Du Yapo
CharaName_庖,Pao
CharaName_完颜,Wan Yan
CharaName_萧,Xiao
CharaName_定,Ding
CharaName_诸葛,Zhu Ge
CharaName_穆,Mu
CharaName_扶摇子,Fu Yaozi
CharaName_残棋,Can Qi
CharaName_剑痴,Jian Chi
CharaName_欧冶,Ou Ye
CharaName_韩,Han
CharaName_独孤,Du Gu
CharaName_柳生,Liu Sheng
CharaName_服部,Fu Bu
CharaName_月咏,Yue Yong
CharaName_孔,Kong
CharaName_计,Ji
CharaName_顾,Gu
CharaName_说书人,Shuo Shuren
CharaName_沈,Shen
CharaName_老魔头,Lao Motou
CharaName_牛,Niu
CharaName_李,Li
CharaName_江南怪,Jiang Nanguai
CharaName_廖,Liao
CharaName_时,Shi
CharaName_石,Shi
CharaName_柳,Liu
CharaName_吕,Lu
CharaName_燕,Yan
CharaName_铁面人,Tie Mianren
CharaName_康王,Kang Wang
CharaName_紫,Zi
CharaName_霍,Huo
CharaName_公孙,Gong Sun
CharaName_命,Ming
CharaName_齐王,Qi Wang
CharaName_裘,Qiu
CharaName_书,Shu
CharaName_画,Hua
CharaName_哑,Ya
CharaName_霸,Ba
CharaName_陆,Lu
CharaName_唐,Tang
CharaName_杨,Yang
CharaName_半瓶,Ban Ping
CharaName_鬼,Gui
CharaName_一枝花,Yi Zhihua
CharaName_宣和,Xuan He
CharaName_建炎,Jian Yan
CharaName_啸月,Xiao Yue
CharaName_赤睛,Chi Jing
CharaName_刚烈,Gang Lie
CharaName_大黑,Da Hei
CharaName_司晨,Si Chen
CharaName_山君,Shan Jun
CharaName_白首,Bai Shou
CharaName_灵猿,Ling Yuan
CharaName_玄霜,Xuan Shuang
CharaName_三花,San Hua
CharaName_流浪狗,Stray Dog
CharaName_黑猿,Hei Yuan
CharaName_刘,Liu
CharaName_樵夫,Woodcutter
CharaName_农夫,Farmer
CharaName_包打听,Bao Dating
CharaName_村长,Village Head
CharaName_王,Wang
CharaName_渔夫,Fisherman
CharaName_小宝,Xiao Bao
CharaName_小花,Xiao Hua
CharaName_小丫,Xiao Ya
CharaName_货郎,Peddler
CharaName_采石匠,Quarryman
CharaName_车夫,Coachman
CharaName_马,Horse
CharaName_猥琐的山贼,Sleazy brigand
CharaName_彪悍的山贼,brigand
CharaName_白头翁,Old man with white hair
CharaName_落魄江湖人,Down-and-out wanderer
CharaName_屠户,Butcher
CharaName_守卫,Guard
CharaName_掌柜,Shopkeeper
CharaName_店小二,Waiter
CharaName_铁匠,Blacksmith
CharaName_朝奉,Courtier
CharaName_保镖,Bodyguard
CharaName_伙计,Clerk
CharaName_知府,Prefect
CharaName_师爷,Clerk
CharaName_捕头,Constable
CharaName_馆主,Dojokeeper
CharaName_郎中,Doctor
CharaName_药童,Pharmacy boy
CharaName_厨师,Chef
CharaName_守塔将军,Tower guarding general
CharaName_住持,Abbot
CharaName_家丁,Servant
CharaName_商贩,Merchant
CharaName_丫鬟,Servant girl
CharaName_侍女,Maid
CharaName_护卫,Guard
CharaName_镖师,Escort master
CharaName_狱卒,Prison guard
CharaName_耍猴人,Monkey trainer
CharaName_猴子,Monkey
CharaName_卖艺男子,Performing man
CharaName_舞姬,Dancer
CharaName_小厮,Boy servant
CharaName_打更人,Night watchman
CharaName_差役,Bailiff
CharaName_护院武师,Guardian martial artist
CharaName_武馆弟子,Martial arts disciple
CharaName_看门人,Doorman
CharaName_司仪,Emcee
CharaName_康王府侍女,Duke Kang's manor maid
CharaName_老婆婆,Old granny
CharaName_老爷爷,Old grandpa
CharaName_中年,Middle-aged
CharaName_孤寡老妇人,Lonely old widow
CharaName_武者,Warrior
CharaName_主簿,Registrar
CharaName_庄家,Landlord
CharaName_路人,Passerby
CharaName_观主,Temple master
CharaName_道士,Taoist priest
CharaName_丁员外,Merchant Ding
CharaName_丁小姐,Miss Ding
CharaName_护院,Guardian
CharaName_院长,Dean
CharaName_刘寡妇,Widow Liu
CharaName_管家,Butler
CharaName_侍妾,Concubine
CharaName_士兵,Soldier
CharaName_将领,General
CharaName_云游道人,Wandering Taoist
CharaName_壮汉,Strong man
CharaName_混混,Ruffian
CharaName_老奶奶,Old granny
CharaName_学童,Schoolboy
CharaName_门卫,Gatekeeper
CharaName_野猫,Stray cat
CharaName_乞丐,Beggar
CharaName_白羽,Bai Yu
CharaName_沙弥,Novice monk
CharaName_楼主,Building owner
CharaName_仆人,Servant
CharaName_妇女,Woman
CharaName_小孩,Child
CharaName_管事,Steward
CharaName_西域商人,Western merchant
CharaName_锦衣女子,Woman in brocade
CharaName_老黄牛,Old yellow ox
CharaName_大黑狗,Big black dog
CharaName_大白鹅,Big White Goose
CharaName_老母鸡,Old Hen
CharaName_大公鸡,Big Rooster
CharaName_野狼,Wild Wolf
CharaName_野猪,Wild Boar
CharaName_蝮蛇,Viper
CharaName_灰狼,Grey Wolf
CharaName_毒蝎,Poisonous Scorpion
CharaName_落单的野猪,Lone Wild Boar
CharaName_喽罗,Thug
CharaName_练功武师,Martial Arts Trainer
CharaName_恶犬,Vicious dog
CharaName_中年妇人,Middle-aged Woman
CharaName_年轻妇人,Young Woman
CharaName_机关人,Machinery Man
CharaName_行商,Traveling salesman
CharaName_艄公,Boatman
CharaName_游戏研发人员,Game Developer
CharaName_妙音坊弟子,Melody House Disciple
CharaName_儒圣馆弟子,Confucius Temple Disciple
CharaName_宦官,Eunuch
CharaName_蛊仙教弟子,Gu Immortal Sect Disciple
CharaName_蚍蜉城死士,Dragonfly City Minions
CharaName_护院高手,Guardian Expert
CharaName_茶博士,Tea Doctor
CharaName_山贼,Mountain Bandit
CharaName_黄米豆沙粽,Yellow Rice and Red Bean Zongzi
CharaName_腊肉香肠粽,Cured Meat Sausage Zongzi
CharaName_莲藕凉糕粽,Lotus Root Cold Cake Zongzi
CharaName_椒盐豌豆粽,Salt and Pepper Pea Zongzi
CharaName_端午郎君,Dragon Boat Festival Lord
CharaName_武僧,Martial Monk
CharaName_铜人,Bronze man
CharaName_练功武僧,Training Monk
CharaName_释痴,Shi Chi
CharaName_释贪,Shi Tan
CharaName_释慢,Shi Man
CharaName_大师兄,Eldest Brother
CharaName_释愚,Shi Yu
CharaName_释厄,Shi E
CharaName_守经弟子,Scripture Guardian Disciple
CharaName_香客,Pilgrim
CharaName_罗汉堂首座,Arhat Hall Head
CharaName_金身铜人,Golden Body Bronze Man
CharaName_弟子,Disciple
CharaName_真人,Spiritual master
CharaName_药师,Pharmacist
CharaName_长老,Elder
CharaName_儒生,Scholar
CharaName_祭酒,Priests
CharaName_老儒生,Old Scholar
CharaName_童生,Child Scholar
CharaName_司业,Siyi
CharaName_精英,Elite
CharaName_练功精英,Training Elite
CharaName_乐姬,Musician
CharaName_捕快,Constable
CharaName_护法,Guardian
CharaName_练功护法,Training Guardian
CharaName_军士,Sergeant
CharaName_统领,Commander
CharaName_千夫长,Chiliarch
CharaName_训练官,Training Officer
CharaName_百夫长,Centurion
CharaName_上京军,Capital Army
CharaName_中都军,Central Army
CharaName_南京军,Southern Capital Army
CharaName_教头,Instructor
CharaName_机关傀牛,Machinery Bull
CharaName_校尉,Colonel
CharaName_背嵬军,Beiwei Army
CharaName_选锋军,Xuanfeng Army
CharaName_胜捷军,Shengjie Army
CharaName_踏白军,Tabai Army
CharaName_下隐,Junior Hermit
CharaName_上隐,Senior Hermit
CharaName_干将,Ganjiang
CharaName_族人,Clanman
CharaName_蛊人,Gu Man
CharaName_练功弟子,Training Disciple
CharaName_镖头,Escort Leader
CharaName_舞娘,Dancer
CharaName_帮众,Gang Member
CharaName_守关铜人,Guardian Bronze Man
CharaName_中年汉子,Middle-aged Man
CharaName_老翁,Old Man
CharaName_老妪,Old Woman
CharaName_幼童,Child
CharaName_喽啰,Thug
CharaName_马王爷,Horse Prince
CharaName_猕猴,Macaque
CharaName_蜥蜴,Lizard
CharaName_青蛇,Green Snake
CharaName_守陵傀儡,Tomb Guardian Puppet
CharaName_老大,Boss
CharaName_流民,Refugee
CharaName_吊睛虎,Cross-eyed Tiger
CharaName_守陵傀牛,Tomb Guardian Bull
CharaName_人伢婆,Old Hag
CharaName_草上飞,Grasshopper
CharaName_破戒僧,Oathsbreak Monk
CharaName_独眼龙,One-eyed Dragon
CharaName_昆仑奴,Kunlun Slave
CharaName_邪教徒,Cultist
CharaName_偷盗者,Thief
CharaName_江洋大盗,Robber baron
CharaName_采花大盗,Sex Thief
CharaName_浑身酸臭的乞丐,Stinky Beggar
CharaName_年轻乞丐,Young Beggar
CharaName_满脸凶相的泼皮,Fierce-faced Ruffian
CharaName_泼皮的同伙,Ruffian's Accomplice
CharaName_鬼鬼祟祟的蒙面人,Sneaky Masked Man
CharaName_富商,Rich Merchant
CharaName_水贼,Water Bandit
CharaName_商人,Merchant
CharaName_官员,Official
CharaName_被擒兄弟,Captured Brother
CharaName_黑衣人,Man in black
CharaName_燕子窝弟子,Nest of Swallow disciple
CharaName_蒙面人,Masked Man
CharaName_老实巴交的中年人,Honest Middle-aged Man
CharaName_楚楚动人的少妇,Charming Young Woman
CharaName_恶匪,Evil Bandit
CharaName_鸭,Duck
CharaName_三花猫,San Hua Cat
CharaName_大黄牛,Big Yellow Ox
CharaName_公鸡,Rooster
CharaName_鳄鱼,Crocodiles
CharaName_猥琐的衙役,Sleazy Bailiff
CharaName_蛮横的壮汉,Bully Strongman
CharaName_异域妩媚女子,Exotic Charming Woman
CharaName_恶汉,Evil Man
CharaName_舞棍的男子,Stick Dancing Man
CharaName_擂台参赛者,Arena Competitor
CharaName_竞技场参赛者,Arena Participant
CharaName_迷宫机关人,Maze Machinery Man
CharaName_神秘人,Mysterious Man
CharaName_兵士,Soldier
CharaName_帮手,Helper
CharaName_邋遢乞丐,Ragged Beggar
CharaName_老者,Old Man
CharaName_金兵,Golden Soldier
CharaName_山贼头目,Brigand
CharaName_泼皮,Hooligan
CharaName_江湖人·甲,Vagabond Jia
CharaName_江湖人·乙,Vagabond Yi
CharaName_二麻子,Er Mazi
CharaName_牢头,Prison Head
CharaName_士卒,Soldier
CharaName_将军,General
CharaName_冯,Feng
CharaName_燕国士兵,Yan Country Soldier
CharaName_燕国将领,Yan Country General
CharaName_杀手,Assassin
CharaName_白衣书生,White-clothed Scholar
CharaName_带斗笠人,Man with Bamboo Hat
CharaName_无聊人,Bored Man
CharaName_看热闹的闲汉,Busybody
CharaName_商人·甲,Merchant·A
CharaName_商人·乙,Merchant·B
CharaName_破戒的和尚,Oathsbreak Monk
CharaName_还俗的道士,Secular Taoist
CharaName_沉默的武人,Silent Warrior
CharaName_嚣张的武人,Arrogant Warrior
CharaName_博学的书生,Learned Scholar
CharaName_多年参赛者,Long-time Participant
CharaName_凑数的路人,Filler Bystander
CharaName_耍剑的少年,Sword-playing Youth
CharaName_懒散的家丁,Lazy Servant
CharaName_黑衣人头领,Black-clothed Leader
CharaName_楚襄武馆弟子,Chuxiang Dojo Disciple
CharaName_大梁武馆弟子,Daliang Dojo Disciple
CharaName_霖安武馆弟子,Lin'an Dojo Disciple
CharaName_打手,Henchman
CharaName_执法弟子,Law Enforcement Disciple
CharaName_一只眼的江湖客,One-eyed Wanderer
CharaName_老当益壮的脏乞丐,Strong Dirty Beggar
CharaName_不守清规的破戒僧,Rule-breaking Renegade Monk
CharaName_不甘寂寞的店小二,Lonely Waiter
CharaName_霸气侧漏的虬髯客,Dominant Bearded Guest
CharaName_深藏不露的黑衣人,Shrewd Black Man
CharaName_忧郁阴沉的江湖客,Gloomy Wanderer
CharaName_风度翩翩的公子哥,Graceful Young Gentleman
CharaName_自命不凡的摆渡人,Self-proclaimed Ferryman
CharaName_身强体壮的莽汉,Tough Guy
CharaName_孱弱的老婆婆,Frail Old Woman
CharaName_慵懒的守卫,Lazy Guard
CharaName_惹事的混混,Troublemaker
CharaName_黑子,Black Piece
CharaName_白子,White Piece
CharaName_楚襄城差役,Chuxiang City Bailiff
CharaName_江湖人士,Vagabond
CharaName_无极观观主,Master of Wuji View
CharaName_冷香门门主,Master of Lengxiang Gate
CharaName_飞鹰帮帮主,Master of Flying Eagle Gang
CharaName_烂柯寺住持,Abbot of Lankesi
CharaName_悬空阁阁主,Master of Xuankong Pavilion
CharaName_青蛇帮帮主,Master of Green Snake Gang
CharaName_飞羽帮帮主,Master of Flying Feather Gang
CharaName_太华宗宗主,Master of Taihua Sect
CharaName_迷踪门门主,Master of Mizong Gate
CharaName_猿赖氏,Yuan Lai Clan
CharaName_左天,Zuo Tian
CharaName_副指挥使,Deputy Commander
CharaName_孤儿,Orphan
CharaName_乌骨,Wu Gu
CharaName_平明,Ping Ming
CharaName_贺晓,He Xiao
CharaName_丹顶,Dan Ding
CharaName_王二狗,Wang Ergou
CharaName_刘大壮,Liu Dazhuang
CharaName_赵旺财,Zhao Wangcai
CharaName_李毛蛋,Li Maodan
CharaName_书生,Scholar
CharaName_千金,Rich Lady
CharaName_江湖人·丙,Vagabond Bing
CharaName_江湖人·丁,Vagabond Ding
CharaName_江湖人·戊,Vagabond Wu
CharaName_邪郎中,Evil Doctor
CharaName_中年妇女,Middle-aged Woman
CharaName_中年男人,Middle-aged Man
CharaName_逃犯,Fugitive
CharaName_关卡差役,Checkpoint Bailiff
CharaName_真武弟子,Zhenwu Disciple
CharaName_弓手,Archer
CharaName_释法寺传人,Shifa Temple Successor
CharaName_儒圣馆传人,Confucius Temple Successor
CharaName_死士,Desperate
CharaName_江湖人,Vagabond
CharaName_齐王护卫,King of Qi Guard
CharaName_齐王精锐护卫,King of Qi Elite Guard
CharaName_夺宝者,Treasure Hunter
CharaName_闲汉,Loafer
CharaName_守关人,Gatekeeper
CharaName_戒律弟子,Disciple of Precepts
CharaName_释忧,Shi You
CharaName_释喜,Shi Xi
CharaName_释恐,Shi Kong
CharaName_释悲,Shi Bei
CharaName_释惊,Shi Jing
CharaName_释怒,Shi Nu
CharaName_释思,Shi Si
CharaName_副将,Deputy General
CharaName_普通木人桩,Ordinary Wooden Dummy
CharaName_重型木人桩,Heavy Wooden Dummy
CharaName_罗汉,Arhat
CharaName_道玄宗传人,Taoist Sect Successor
CharaName_蔡攸之,Cai Youzhi
CharaName_安抚副使,Deputy Pacifier
CharaName_高僧残念,High Monk Remnant
CharaName_守城将领,City Defense General
CharaName_守城士兵,City Defense Soldier
CharaName_守城弓兵,City Defense Archer
CharaName_老妇人,Old Woman
CharaName_老人,Old Man
CharaName_妇人,Woman
CharaName_头目,Leader
CharaName_流寇,Roving bandit
CharaName_霖安城乞丐,Lin'an City Beggar
CharaName_贴身,Close Guard
CharaName_大内将军,Palace General
CharaName_大内侍卫,Palace Guard
CharaName_大内弓兵,Palace Archer
CharaName_年轻人·甲,Young Man·Jia
CharaName_年轻人·乙,Young Man·Yi
CharaName_甲,Jia
CharaName_乙,Yi
CharaName_丙,Bing
CharaName_野和尚,Wild Monk
CharaName_假道士,Fake Taoist
CharaName_祝指生,Zhu Zhisheng
CharaName_文征明,Wen Zhengming
CharaName_徐真卿,Xu Zhenqing
CharaName_鲁唐生,Lu Tangsheng
CharaName_魔化·蔡元常,Demonize · Cai Yuanchang
CharaName_书圣,Book Saint
CharaName_画圣,Painting Saint
CharaName_棋圣,Chess Saint
CharaName_琴圣,Zither Saint
CharaName_观众,Audience
CharaName_棕熊,Brown Bear
CharaName_猛虎,Fierce Tiger
CharaName_白猿,White Ape
CharaName_火猪,Fire Pig
CharaName_雪狼,Snow Wolf
CharaName_恶猴,Evil Monkey
CharaName_食铁兽,Iron-eating Beast
CharaName_翠太岁,Cui Taisui
CharaName_刁蛇斧,Snake Axe
CharaName_笑面人,Smiling Face Man
CharaName_破戒的道人,Taoist who broke the precepts
CharaName_自信的武人,Confident Warrior
CharaName_爆裂拳,Explosive Fist
CharaName_百裂手,Hundred Crack Hand
CharaName_释法寺·沙弥,Shifa Temple·Shami
CharaName_九流门·弟子,Nine Factions Sect·Disciple
CharaName_神捕门·捕快,Crime Investigation Bureau·Constable
CharaName_神捕门·捕头,Crime Investigation Bureau·Chief Constable
CharaName_燕子窝·弟子,Nest of Swallow·Disciple
CharaName_虎威镖局·镖头,Tiger Escort·Biaotou
CharaName_琅琊剑阁·练功弟子,Langya Sword Pavilion·Training Disciple
CharaName_海龙帮·喽罗,Hailong Gang·Luo Luo
CharaName_飞鹰帮·喽罗,Flying Eagle Gang·Luo Luo
CharaName_道玄宗·弟子,Taoist Sect·Disciple
CharaName_孩子王,Child King
CharaName_老小孩,Old Kid
CharaName_虿寨主,Chai Village Chief
CharaName_孔雀翎,Peacock Feather
CharaName_毒丈夫,Poisonous Man
CharaName_寒潭客,ColdPond Man
CharaName_赛鲁班,Sai Luban
CharaName_柱擎天,Grand Pillar
CharaName_舞蛇人,Snake Dancer
CharaName_梁上子,Liang Shangzi
CharaName_花公子,Gentleman Flower
CharaName_赤炼,Chi Lian
CharaName_母夜叉,Night Demon Mother
CharaName_拦路虎,Roadblock Tiger
CharaName_截江龙,River-cutting Dragon
CharaName_上三杆,Top Poles Man
CharaName_神无救,Shen WuJiu
CharaName_白无常,White Grim Reaper
CharaName_黑无常,Black Grim Reaper
CharaName_潜火军,Hidden Fire Army
CharaName_赤焰鬼,Red Flame Ghost
CharaName_霸王花,Overlord Flower
CharaName_忍者,Ninja
CharaName_撼天锤,Shaking Hammer
CharaName_妙笔生,Magic Pen Master
CharaName_黑旋风,Black Whirlwind
CharaName_双尾蝎,Double-tailed Scorpion
CharaName_仙药童,Fairy Medicine Boy
CharaName_寻玉师,Jade Seeker
CharaName_妇人心,Woman's Heart
CharaName_独钓客,Solo Angler
CharaName_制甲师,Armor Maker
CharaName_王府厨师,Palace Chef
CharaName_收藏家,Collector
CharaName_老仙姑,Old Fairy Lady
CharaName_老药师,Old Pharmacist
CharaName_妙裁缝,Master Tailor
CharaName_木雕师,Wood Carver
CharaName_建筑师,Architect
CharaName_卖艺人,Street Performer
CharaName_异国商人,Foreign Merchant
CharaName_美食家,Gourmet
CharaName_庄稼人,Farmer
CharaName_秀才郎,Scholar
CharaName_穷书生,Poor Scholar
CharaName_金钱豹,Money Leopard
CharaName_甜品商,Dessert Merchant
CharaName_老郎中,Old Doctor
CharaName_山中人,Mountain Man
CharaName_行脚商,Peddler
CharaName_珍宝商,Treasure Merchant
CharaName_俏丫鬟,Pretty Maid
CharaName_酒中客,Wine Guest
CharaName_摆渡人,Ferryman
CharaName_大小姐,Young Lady
CharaName_布头商,Cloth Merchant
CharaName_何仙姑,He Fairy Lady
CharaName_高山猎人,Mountain Hunter
CharaName_军需官,Military Supply Officer
CharaName_菜园子,Vegetable Garden
CharaName_炼丹师,Alchemist
CharaName_赛华佗,Sai Huatuo
CharaName_影子护卫,Shadow guardian
CharaName_侍卫,Guard
CharaName_九流门死士,Nine Factions Sect Desperate
CharaName_沉鱼落雁,Alluring beauty
CharaName_劫匪,Robber
CharaName_兵痞,Army Riffraff
CharaName_周玉汤,Zhou Yutang
CharaName_孙三娘,Sun Sanniang
CharaName_陆仁贾,Lu Renjia
CharaName_自信的刀客,Confident Swordsman
CharaName_白面书生,White-faced Scholar
CharaName_火凤凰,Fire Phoenix
CharaName_齐钰,Qi Yu
CharaName_狂虎,Kuang Hu
CharaName_战雄飞,Zhan Xiongfei
CharaName_夜枭,Ye Xiao
CharaName_震山虎,Zhen Shanhu
CharaName_赛尉迟,Sai Yuchi
CharaName_索命,Suo Ming
CharaName_习剑的道士,Taoist Practicing Sword
CharaName_翻江龙,Overturning River Dragon
CharaName_铁心,Iron Heart
CharaName_霹雳火,Thunderbolt Fire
CharaName_土耗子,Earth Mouse
CharaName_索命鬼,Lethal Ghost
CharaName_花和尚,Flower Monk
CharaName_黑蝙蝠,Black Bat
CharaName_铜钱豹,Coin Leopard
CharaName_求败,Invincible
CharaName_加藤小太郎,Kato Kotaro
CharaName_瘦狼,Thin Wolf
CharaName_四郎,Four Lang
CharaName_刺客,Assassin
CharaName_强盗,Robber
CharaName_密探,Spy
CharaName_弓兵,Archer
CharaName_恶霸,Bully
CharaName_猎户,Hunter
CharaName_猎犬,Hunting Dog
CharaName_巨熊,Giant Bear
CharaName_盗墓人,Tomb Raider
CharaName_路霸,Road Bully
CharaName_暗探,Secret Detective
CharaName_猿猴,Monkey
CharaName_食人虎,Man-eating Tiger
CharaName_晨,Chen
CharaName_四娘-生,Siniang-live
CharaName_四娘-老,Siniang-old
CharaName_四娘-病,Siniang-illness
CharaName_四娘-死,Siniang-death
CharaName_千雪,Qianxue
CharaName_青青,Qingqing
CharaName_忘忧,Wangyou
CharaName_紫烟,Ziyan
