﻿RandomBattle_0,Start Battle,เริ่มการต่อสู้
explainFailTip_霖安城,"Confession is lenient, resistance is strict! Everything you say will be used as evidence, and lying will increase your punishment!",สารภาพโทษสถานเบา ขัดขืนโทษสถานหนัก ทุกคำพูดของเจ้าจะถูกบันทึกไว้ หากคำใดโกหกต้องรับโทษเพิ่ม!
apologySuccessTip_霖安城,"Since you are so sincere, go ahead, I didn't see anything!",ในเมื่อท่านจริงใจเช่นนี้ เชิญ ข้าจะถือว่าไม่เห็นสิ่งใดทั้งนั้น!
apologyItemQuitTip_ 霖安城,"Lin'an Prison welcomes you, come with me!",เรือนจำหลินอันยินดีต้อนรับ ตามข้ามา!
runAwaySuccessTip_霖安城,"Arrogant people will fall sooner or later! Remember, the net of heaven is wide but lets nothing through!",คนหยิ่งผยองจะพลาดพลั้งไม่ช้าก็เร็ว! สวรรค์มีตาฟ้ามีแวว เจ้าไม่มีทางหนีพ้น
runAwayFailTip_霖安城,You think you can escape from the Government Office? That would be a disgrace to my uniform!,เจ้าคิดว่าสามารถหลบหนีจากศาลาว่าการได้หรือ? นั่นคงทำให้เครื่องแบบของข้าเสื่อมเสียแล้ว!
failMoneyTip_霖安城,"The food has been scarce lately, we were just about to have a feast! Kid, you're in luck!",ช่วงนี้อาหารขาดแคลน ไอ้หนู เจ้าโชคดีมากนะที่พวกเรากำลังฉลองกันพอดี!
failItemOtherTip_霖安城,"How did you get such a valuable treasure? You must have stolen it, right? Confiscated!",เหตุใดเจ้าจึงมีของล้ำค่าเช่นนี้? เจ้าขโมยมาใช่ไหม? ยึดเอาไว้!
failItemBagTip_霖安城,"The goods are confiscated, you can go now, go wherever you want!",ของถูกยึดแล้ว จะไปไหนก็ไป!
failBuffTip_霖安城,I hope you reflect on your actions! Don't show up in public for a while!,ข้าหวังว่าเจ้าจะไตร่ตรองการกระทำของตนนะ! ช่วงนี้อย่าปรากฏตัวในที่สาธารณะสักพัก!
startTip_汴州城,"The Government Office is looking for you everywhere, but you came to us!",ศาลาว่าการกำลังตามหาเจ้าไปทั่ว แต่เจ้าก็ยังมาหาเรา!
fightTip_汴州城,"Assaulting a Government Office employee is a serious crime, are you ignorant of the law?",จู่โจมคนของศาลาว่าการถือเป็นความผิดร้ายแรง คิดจะฝ่าฝืนกฏหมายงั้นรึ
explainSuccessTip_汴州城,"What you said makes sense, I can't refute it!",ที่พูดมาก็ฟังดูมีเหตุผล ข้าไม่มีข้อโต้แย้งใดๆ
explainFailTip_汴州城,"Confession is lenient, resistance is strict! Everything you say will be used as evidence, and lying will increase your punishment!",สารภาพโทษสถานเบา ขัดขืนโทษสถานหนัก ทุกคำพูดของเจ้าจะถูกบันทึกไว้ หากคำใดโกหกต้องรับโทษเพิ่ม!
apologySuccessTip_汴州城,"Since you are so sincere, go ahead, I didn't see anything!",ในเมื่อท่านจริงใจเช่นนี้ เชิญ ข้าจะถือว่าไม่เห็นสิ่งใดทั้งนั้น!
apologyItemQuitTip_ 汴州城,"Bianliang Prison welcomes you, come with me!",เรือนจำเบียนเหลียงยินดีต้อนรับ ตามข้ามา!
runAwaySuccessTip_汴州城,"Arrogant people will fall sooner or later! Remember, the net of heaven is wide but lets nothing through!",คนหยิ่งผยองจะพลาดพลั้งไม่ช้าก็เร็ว! สวรรค์มีตาฟ้ามีแวว เจ้าไม่มีทางหนีพ้น
runAwayFailTip_汴州城,You think you can escape from the Government Office? That would be a disgrace to my uniform!,เจ้าคิดว่าสามารถหลบหนีจากศาลาว่าการได้หรือ? นั่นคงทำให้เครื่องแบบของข้าเสื่อมเสียแล้ว!
failMoneyTip_汴州城,"The food has been scarce lately, we were just about to have a feast! Kid, you're in luck!",ช่วงนี้อาหารขาดแคลน ไอ้หนู เจ้าโชคดีมากนะที่พวกเรากำลังฉลองกันพอดี!
failItemOtherTip_汴州城,"How did you get such a valuable treasure? You must have stolen it, right? Confiscated!",เหตุใดเจ้าจึงมีของล้ำค่าเช่นนี้? เจ้าขโมยมาใช่ไหม? ยึดเอาไว้!
failItemBagTip_汴州城,"The goods are confiscated, you can go now, go wherever you want!",ของถูกยึดแล้ว จะไปไหนก็ไป!
failBuffTip_汴州城,I hope you reflect on your actions! Don't show up in public for a while!,ข้าหวังว่าเจ้าจะไตร่ตรองการกระทำของตนนะ! ช่วงนี้อย่าปรากฏตัวในที่สาธารณะสักพัก!
startTip_九流门,"You must be tired of living to walk into the trap! Brothers, let's make sure this kid doesn't leave!",เดินมาเหยียบกับดักเช่นนี้ คงจะเบื่อชีวิตแล้วสินะ พี่น้อง อย่าให้เด็กนี่รอดไปได้
fightTip_九流门,"You chose this! It seems that today, the Nine Factions Sect will be your burial ground!",เจ้าเลือกเองนะ! ดูเหมือนว่าวันนี้.นิกายเก้าฝ่ายแห่งนี้จะเป็นที่ฝังศพของเจ้า!
explainSuccessTip_九流门,"It seems you have a point! Go quickly, don't let my brothers see you again!",ที่เจ้าพูดมาก็ถูก รีบไป! อย่าให้พี่น้องข้าเจอเจ้าอีก
explainFailTip_九流门,Say it again and I'll cut off your tongue! Let's see if you can lie then!,ถ้ายังไม่หุบปากข้าจะตัดลิ้นเจ้าทิ้งซะ! ดูซิว่าเจ้าจะยังโกหกได้อีกหรือไม่!
apologySuccessTip_九流门,"Money can solve everything! Since you're willing to bleed, I'll spare your worthless life!",เงินสามารถแก้ปัญหาได้ทุกสิ่ง! ในเมื่อเจ้ายอมหลั่งเลือดแลก ข้าจะไว้ชีวิตไร้ค่านี้ละกัน!
apologyItemQuitTip_ 九流门,"You dare to trick us! Be careful, we might take you back and give you to the butcher as meat bun filling!",เจ้ากล้าหลอกเรา! ระวังเราอาจพาเจ้ากลับไปและมอบเจ้าให้กับคนขายเนื้อเป็นไส้ซาลาเปา!
runAwaySuccessTip_九流门,"Forget it, escape this time, next time will be your death anniversary! Consider it a last hurrah!",ช่างเถอะ คราวนี้เจ้าหนีไปได้ คราวหน้าจะเป็นวันตายของเจ้า คิดซะว่านี่เป็นโอกาสเสพสุขครั้งสุดท้ายซะล่ะ!
runAwayFailTip_九流门,Want to escape from the Nine Factions Sect? Still dreaming? Better think about how to please my brothers!,คิดจะหนีจากนิกายเก้าฝ่าย? ฝันอยู่งั้นรึ? เอาเวลามาคิดว่าจะเอาใจพี่น้องของข้ายังไงดีกว่าน่า!
failMoneyTip_九流门,"Wouldn't it be better to do this earlier? Brothers, let's go! Let's eat meat!",แล้วทำไมไม่ทำแบบนี้ซะตั้งแต่แรก พี่น้อง ไปกันเถอะ! ไปกินเนื้อกัน!
failItemOtherTip_九流门,"How dare a nobody like you use such a thing? People need face, trees need bark, you can get lost now!","คนธรรมดาเช่นเจ้ากล้าใช้ของแบบนี้ได้ยังไง? ""คนมีหน้า ต้นไม้มีเปลือก"" ตอนนี้เจ้าหลงทาง!"
failItemBagTip_九流门,"Looking at your poor appearance, I didn't expect to find anything good on you! Go, go, go! Hurry up and leave!",เมื่อดูจากรูปลักษณ์ที่ย่ำแย่ของเจ้าแล้ว ข้าก็ไม่คิดว่าจะเจออะไรดีๆ กับเจ้า! ไปไปไป! รีบออกไปซะ!
failBuffTip_九流门,"Run for your life! Hahaha! If you cause trouble again, Nine Factions Sect will make you regret it! Enter vertically and exit horizontally!",วิ่งเพื่อชีวิตของเจ้า! ฮ่าๆๆ! หากเจ้าสร้างปัญหาอีกครั้ง นิกายเก้าฝ่ายจะทำให้เจ้าสำนึกเสียใจ! เข้าทางสวรรค์ออกทางนรก
startTip_儒圣馆,"You've provoked me time and time again, today I'll let you know that Confucius Temple is not to be trifled with!",เจ้ายั่วยุข้าครั้งแล้วครั้งเล่า วันนี้ข้าจะบอกเจ้าว่าวัดขงจื้อไม่ควรล้อเล่น!
fightTip_儒圣馆,"You've got guts, today I'll let you see the power of Confucius Temple, and scare you out of your wits!",เจ้ามีความกล้า วันนี้ข้าจะทำให้เจ้าเห็นพลังของวัดขงจื้อ และทำให้เจ้าตกใจกลัว!
explainSuccessTip_儒圣馆,"Hmph, I suppose you wouldn't dare to lie! But if there's a next time, you'll regret it for the rest of your life!",ฮึ่ม ข้าคิดว่าเจ้าคงจะไม่กล้าโกหก! แต่ถ้ามีครั้งต่อไปเจ้าจะต้องเสียใจไปตลอดชีวิต!
explainFailTip_儒圣馆,A mouth that only speaks nonsense is better off being poisoned mute.,ปากที่พูดแต่เรื่องไร้สาระ ย่อมดีกว่าถูกวางยาพิษเป็นใบ้
apologySuccessTip_儒圣馆,"Didn't expect you to be quite smart, knowing how to use money to get things done, this time I'll let you off the hook!",ไม่คิดว่าจ้าจะฉลาด รู้จักใช้เงินทำสิ่งต่างๆ ให้สำเร็จ คราวนี้ข้าจะปล่อยเจ้าหลุดลอยไป!
apologyItemQuitTip_ 儒圣馆,"Man is here, heaven is watching. Such lowly behavior, aren't you afraid of divine punishment?!",มนุษย์อยู่ที่นี่ สวรรค์กำลังเฝ้าดูอยู่ พฤติกรรมต่ำต้อยเช่นนี้ เจ้าไม่กลัวการลงโทษจากสวรรค์เหรอ!
runAwaySuccessTip_儒圣馆,I'll let you live a little longer for now!,ข้าจะให้เจ้ามีชีวิตอยู่ต่อไปอีกสักหน่อย!
runAwayFailTip_儒圣馆,"Entering Confucius Temple's No Escape is like trying to fly with wings clipped! Instead of trying to escape, you might as well save your energy to beg for mercy!",เข้าสู่แหฟ้าตะข่ายดินของวัดขงจื้อก็เหมือนกับการพยายามบินโดยถูกตัดปีกออก! แทนที่จะพยายามหลบหนี เจ้าอาจประหยัดพลังงานเพื่อขอความเมตตาได้เช่นกัน!
failMoneyTip_儒圣馆,"Disciples of Confucius Temple have always regarded money as dirt! This time is just to teach you a lesson, not coveting your possessions!",สาวกของวัดขงจื้อถือว่าเงินเป็นสิ่งสกปรกมาโดยตลอด! คราวนี้เป็นเพียงการสอนบทเรียนแก่เจ้า ไม่ใช่โลภทรัพย์สมบัติของเจ้า!
failItemOtherTip_儒圣馆,"Without these treasures by your side, you'll be too busy to bother us at Confucius Temple!",หากไม่มีสมบัติเหล่านี้เคียงข้างเจ้า เจ้าคงยุ่งเกินกว่าจะมารบกวนพวกเราที่วัดขงจื้อ!
failItemBagTip_儒圣馆,"Fighting with a weakling like you is a waste of time! It's only fair to get some benefits, otherwise it's too much of a loss!",การต่อสู้กับผู้อ่อนแอเช่นเจ้านั้นเสียเวลา! การได้รับผลประโยชน์บางอย่างก็ยุติธรรมแล้ว ไม่อย่างนั้นจะขาดทุนมากเกินไป!
failBuffTip_儒圣馆,"If you want to save some face, don't set foot in Confucius Temple's territory again!",หากเจ้าต้องการรักษาหน้าไว้ อย่าก้าวเข้าไปในอาณาเขตของวัดขงจื้ออีก!
startTip_藏剑山庄,"You little thief, dare to come here, do you think this is your home! It's not enough to quell the public's anger without punishment!",เจ้าหัวขโมยตัวน้อย กล้ามาที่นี่ คิดว่านี่คือบ้านของเจ้าเหรอ! การระงับความโกรธของประชาชนโดยไม่มีการลงโทษไม่เพียงพอเท่านั้น!
fightTip_藏剑山庄,Being an enemy of Sword Mountain Villa is a self-destructive act!,การเป็นศัตรูกับคฤหาสน์ภูเขาดาบถือเป็นการทำลายล้างตัวเอง!
explainSuccessTip_藏剑山庄,"Your words make sense, but you need to think thrice before you act in the future.",คำพูดของเจ้าฟังดูสมเหตุสมผล แต่เจ้าต้องคิดไตร่ตรองก่อนที่จะลงมือทำในอนาคต
explainFailTip_藏剑山庄,It's all nonsense! It seems you still don't know where you went wrong!,มันเป็นเรื่องไร้สาระทั้งหมด! ดูเหมือนว่าเจ้ายังไม่รู้ว่าเจ้าผิดตรงไหน!
apologySuccessTip_藏剑山庄,"You're a slippery one, next time you won't get off so easily.",เจ้ามันเจ้าเล่ห์ คราวหน้าจะไม่รอดง่ายๆ หรอก
apologyItemQuitTip_ 藏剑山庄,How despicable! You will pay a painful price for your ignorant actions!,ช่างน่ารังเกียจ! เจ้าจะต้องจ่ายราคาอันเจ็บปวดสำหรับการกระทำที่โง่เขลาของเจ้า!
runAwaySuccessTip_藏剑山庄,Next time there won't be a chance for you to escape! Reflect on your actions!,ครั้งต่อไปจะไม่มีโอกาสให้เจ้าหลบหนี! ทบทวนการกระทำของเจ้า!
runAwayFailTip_藏剑山庄,"Didn't expect you to have such a cunning mind, just like a self-righteous clown!",ไม่คิดว่าเจ้าจะมีจิตใจเจ้าเล่ห์ขนาดนี้ เหมือนตัวตลกที่เอาแต่ใจตัวเอง!
failMoneyTip_藏剑山庄,"This money is not even enough to repair half a weapon! You look quite pitiful, I'll let you go this time.",เงินจำนวนนี้ไม่เพียงพอที่จะซ่อมอาวุธเพียงครึ่งเดียวได้! เจ้าดูน่าสงสารมาก คราวนี้ข้าจะปล่อยเจ้าไป
failItemOtherTip_藏剑山庄,"A newbie in the martial arts world, how can you possess such a treasure? Before you make a name for yourself, it's better to leave it at Sword Mountain Villa for safekeeping!",มือใหม่ในโลกศิลปะการต่อสู้ เจ้าจะครอบครองสมบัติเช่นนี้ได้อย่างไร? ก่อนที่เจ้าจะสร้างชื่อให้กับตัวเอง ควรฝากไว้ที่  คฤหาสน์ภูเขาดาบ เพื่อความปลอดภัยจะดีกว่า!
failItemBagTip_藏剑山庄,"Just some worthless trinkets, and a person who can't make it to the stage!",แค่เครื่องประดับเล็กๆ น้อยๆ ที่ไร้ค่า และคนที่ไม่สามารถขึ้นเวทีได้!
failBuffTip_藏剑山庄,You think you can wander the martial arts world with your qualifications? It's laughable!,เจ้าคิดว่าเจ้าสามารถท่องโลกศิลปะการต่อสู้ด้วยคุณสมบัติขอเจ้าได้หรือไม่? น่าหัวเราะ!
startTip_九江水寨,"Good boy, you've walked right into the trap. You've saved us a lot of effort!",เด็กดี เจ้าเดินเข้าไปในกับดักแล้ว เจ้าช่วยเราได้มากมีความพยายาม!
fightTip_九江水寨,"Those who dare to challenge Jiujiang Water Camp, none of them ended well! Think it over!",บรรดาผู้ที่กล้าท้าทายค่ายน้ำจิ่วเจียง ไม่มีใครจบลงด้วยดี! คิดให้ดี!
explainSuccessTip_九江水寨,"Alright, alright, your dilly-dallying is giving me a headache! I'll let you go!",เอาล่ะ เอาล่ะ การเล่นตลกของเจ้าทำให้ข้าปวดหัว! ข้าจะปล่อยเจ้าไป!
explainFailTip_九江水寨,"Such a fake excuse, I'm afraid even a ghost wouldn't believe it!",ช่างเป็นข้อแก้ตัวปลอมๆ ข้าเกรงว่าแม้แต่ผีจะไม่เชื่อ!
apologySuccessTip_九江水寨,"You're quite savvy, knowing to spend money to save your own life! But it won't be so cheap next time!",เจ้าค่อนข้างฉลาดและรู้จักการใช้เงินเพื่อช่วยชีวิตตัวเอง! แต่ครั้งต่อไปจะไม่ถูกขนาดนี้!
apologyItemQuitTip_ 九江水寨,"Who are you trying to fool? If you really piss us off, there will be no way out for you!",เจ้ากำลังพยายามหลอกใคร? ถ้าเจ้าทำให้เราโมโหจริงๆ จะไม่มีทางออกสำหรับเจ้า!
runAwaySuccessTip_九江水寨,Damn it! You're as cunning as a loach!,ประณามมัน! เจ้าฉลาดแกมโกง!
runAwayFailTip_九江水寨,"No matter how fast you run, you can't escape from the palm of our hand!",ต่อให้เจ้าเร็วแค่ไหนก็หนีไม่พ้นเงื้อมือของพวกเรา!
failMoneyTip_九江水寨,"Looking at your pocket cleaner than your face, but actually rich as oil! Interesting!",มองกระเป๋าสะอาดกว่าหน้า แต่เข้มข้นเหมือนน้ำมันจริงๆ! น่าสนใจ!
failItemOtherTip_九江水寨,"It's a waste to leave these treasures to you! Trash should stay in the mud, stop pretending to be a big shot!",เป็นการเสียเปล่าที่จะทิ้งสมบัติเหล่านี้ไว้ให้เจ้า! ขยะควรอยู่ในโคลน หยุดแสร้งทำเป็นว่าเป็นคนสำคัญได้แล้ว!
failItemBagTip_九江水寨,"We've taken the stuff, as for your people, Jiujiang Water Camp doesn't take in trash! Get lost!",เราจัดการเรียบร้อยแล้ว ส่วนคนของเจ้า ค่ายน้ำจิ่วเจียง ไม่ทิ้งขยะ! หลงทาง!
failBuffTip_九江水寨,"Go back to your gutter and stay put! If you're incompetent, don't come out and make a fool of yourself!",กลับไปที่ซอกมุมของท่อระบายน้ำแล้วรออยู่ที่นั่น! เจ้าเด็กโง่ที่ไม่มีความสามารถควรหยุดออกมาและทำให้คนอื่นหัวเราะได้แล้ว
startTip_琳琅书院,"Daring to cause trouble in Linlang Academy, you must have eaten the heart of a bear and the gall of a leopard!",กล้าที่จะสร้างปัญหาในสถาบันลินหลางเจ้าต้องกินหัวใจของหมีและน้ำดีของเสือมาจริงๆ!
fightTip_琳琅书院,"Since you're eager to walk into the trap, today will be your one-way trip!",ในเมื่อเจ้าต้องการเดินเข้าไปในกับดัก วันนี้จะเป็นการเดินทางเที่ยวเดียวของเจ้า!
explainSuccessTip_琳琅书院,"So it was a misunderstanding? We're sorry, we were impulsive.",กลายเป็นว่าเข้าใจผิด? ข้าขอโทษจริงๆ เราหุนหันพลันแล่น
explainFailTip_琳琅书院,You're talking nonsense! It seems we need to teach you a lesson!,เจ้ากำลังพูดเรื่องไร้สาระ! ดูเหมือนว่าเราจำเป็นต้องสอนบทเรียนให้กับเจ้า!
apologySuccessTip_琳琅书院,"Money isn't everything, but without money, you can't do anything. We'll reluctantly accept this time, but don't make it a habit!",เงินไม่ใช่ทุกอย่าง แต่ถ้าไม่มีเงิน เจ้าก็ทำอะไรไม่ได้ ครั้งนี้เราจะยอมรับอย่างไม่เต็มใจ แต่อย่าทำให้เป็นนิสัย!
apologyItemQuitTip_ 琳琅书院,"Where did you learn this boring trick from, some second-rate sorcerer?",เจ้าไปเรียนรู้เคล็ดลับอันน่าเบื่อนี้มาจากไหน หมอผีชั้นสองเหรอ?
runAwaySuccessTip_琳琅书院,"You can't be lucky all the time, good luck to you!",เจ้าไม่สามารถโชคดีได้ตลอดเวลา ขอให้โชคดี!
runAwayFailTip_琳琅书院,Thinking of escaping from Linlang Academy is like a fool's dream!,การคิดที่จะหลบหนีจาก สถาบันลินหลาง ก็เหมือนกับความฝันของคนโง่!
failMoneyTip_琳琅书院,"It's good that you know your mistake, but don't make the same mistake again!",เป็นการดีที่คุณรู้ว่าตัวเองทำผิด แต่อย่าทำผิดแบบเดิมอีก!
failItemOtherTip_琳琅书院,"If you dare to offend again, you'll lose more than just things!",คราวหน้าหากกล้าทำอีก เจ้าโดนหนักกว่านี้แน่!
failItemBagTip_琳琅书院,"Scholars only talk about reason, they don't shed blood. Remember this lesson and don't offend again!",นักวิชาการพูดแต่เหตุผลเท่านั้นไม่มีการนองเลือด จำบทเรียนไว้และอย่าทำมันอีกในอนาคต!
failBuffTip_琳琅书院,"How annoying! Don't show up in front of us again, or we'll beat you every time we see you!",น่ารำคาญชะมัด! อย่ามาปรากฏตัวต่อหน้าเราอีก ไม่งั้นเราจะทุบตีเจ้าทุกครั้งที่เจอเจ้า!
startTip_释法寺,"The abbot has ordered, {player name} has committed grave sins, we must capture him alive!",เจ้าอาวาสสั่ง {player name} ได้ทำบาปร้ายแรง เราต้องจับเขาทั้งเป็น!
fightTip_释法寺,"In that case, I'll give you three moves! So you can't say the monk is bullying you!","ในกรณีนั้น, ข้าจะต่อให้เจ้าสามกระบวนท่า! เจ้าจะได้พูดไม่ได้ว่าพระกำลังรังแกเจ้า!"
explainSuccessTip_释法寺,"In front of Buddha, we don't lie. I believe what you say.",ต่อหน้าพระพุทธเจ้าเราไม่โกหก ข้าเชื่อสิ่งที่เจ้าพูด
explainFailTip_释法寺,"In front of Buddha, how dare you speak wildly?",ต่อหน้าพระพุทธเจ้าท่านกล้าพูดจาดุร้ายได้อย่างไร?
apologySuccessTip_释法寺,"Amitabha, this incense money, consider it as buying a lesson.",อมิตาภะเงินธูปนี้ถือเป็นการซื้อบทเรียน
apologyItemQuitTip_ 释法寺,Please respect the pure land of Buddhism!,โปรดเคารพดินแดนแห่งพระพุทธศาสนาอันบริสุทธิ์!
runAwaySuccessTip_释法寺,"You can hide on the first day of the lunar month, but not on the fifteenth!",เจ้าสามารถซ่อนตัวได้ในวันแรกของเดือนจันทรคติ แต่ไม่ใช่วันที่สิบห้า!
runAwayFailTip_释法寺,"The monk can run away, but the temple can't. Don't struggle in vain!",พระภิกษุหนีได้แต่วัดหนีไม่ได้ อย่าดิ้นรนอย่างเปล่าประโยชน์!
failMoneyTip_释法寺,Knowing your mistakes and correcting them is the greatest virtue.,การรู้ข้อผิดพลาดและแก้ไขเป็นคุณธรรมที่ยิ่งใหญ่ที่สุด
failItemOtherTip_释法寺,"I hope Buddha will feel your repentance, Amitabha.",ข้าหวังว่าพระพุทธเจ้าจะรู้สึกสำนึกผิดของคุณ อมิตาภะ.
failItemBagTip_释法寺,"The sea of suffering is boundless, turn back is the shore. I hope you remember this lesson and repent as soon as possible.",ทะเลทุกข์ไม่มีที่สิ้นสุด หันกลับคือฝั่ง ข้าหวังว่าเจ้าจะจำบทเรียนนี้และกลับใจโดยเร็วที่สุด
failBuffTip_释法寺,All things in the world have karma. I hope you can become a kind person after this.,ทุกสิ่งในโลกย่อมมีกรรม ข้าหวังว่าเจ้าจะเป็นคนใจดีหลังจากนี้
startTip_铁浮屠,"I was just worrying about where to find you, and you delivered yourself to my doorstep!",ข้าแค่กังวลว่าจะไปหาเจ้าที่ไหน และเจ้าก็ส่งตัวเองไปที่หน้าประตูบ้านของข้า!
fightTip_铁浮屠,"Did we hear wrong? It's good to be brave, but it's useless to lose your life!",เราได้ยินผิดหรือเปล่า? กล้าหาญก็ดี แต่ตายไปก็ไม่มีประโยชน์!
explainSuccessTip_铁浮屠,"Sweet talk, if we find out it's fake, we'll send you to the king of hell!",ทำเป็นพูดดี หากหลอกพวกข้าล่ะก็ เราจะส่งเจ้าไปลงนรกแน่!
explainFailTip_铁浮屠,"Such poor acting, and you still want to deceive Levitational Steel? How stupid!","แสดงได้ห่วยขนาดนี้, แล้วคุณยังต้องการหลอกลวงเจดีย์เหล็กอีกเหรอ? โง่บัดซบ!"
apologySuccessTip_铁浮屠,"It seems you're also a timid person who cherishes life! Levitational Steel won't stoop to crush an ant, get lost!","ดูเหมือนเจ้าจะเป็นคนขี้อายที่ทะนุถนอมชีวิตด้วย! เจดีย์เหล็กจะไม่ก้มลงไปขยี้มด, ไสหัวไปสะ!"
apologyItemQuitTip_ 铁浮屠,"Dare to fool us, it seems you're really tired of living!",กล้าหลอกเราเถอะ ดูเหมือนเจ้าจะเหนื่อยกับการใช้ชีวิตจริงๆ!
runAwaySuccessTip_铁浮屠,"It's just an insignificant ant, let it go!",เป็นแค่มดตัวเล็กๆ ปล่อยมันไป!
runAwayFailTip_铁浮屠,"A rabbit trying to escape the eyes of Haidongqing, how foolish!",กระต่ายพยายามจะหนีสายตาของไห่ตงกิง ช่างโง่เขลาจริงๆ!
failMoneyTip_铁浮屠,"With this money, you're worthless! Keep your life and run away!",ด้วยเงินจำนวนนี้ เจ้าก็ไร้ค่า! รักษาชีวิตของเจ้าและหนีไป!
failItemOtherTip_铁浮屠,"Our brothers just need such treasures, it's a bargain to exchange for your life!",พี่น้องของเราแค่ต้องการสมบัติเช่นนี้ เป็นการต่อรองราคาเพื่อแลกกับชีวิตของเจ้า!
failItemBagTip_铁浮屠,"Exchange your life with worldly possessions, you've made a big profit! Go and thank Longevity Heaven! Haha!",แลกเปลี่ยนชีวิตของเจ้าด้วยทรัพย์สินทางโลก เจ้าได้กำไรมหาศาล! ไปขอบคุณสวรรค์ที่ยืนยาว! ฮ่าๆ!
failBuffTip_铁浮屠,Offending Levitational Steel won't end well! Next time we won't let you off so easily!,การรุกรานเจดีย์เหล็กจะไม่จบลงด้วยดี! ครั้งต่อไปพวกเราจะไม่ปล่อยเจ้าไปง่ายๆ!
startTip_叶家军,"Ye Family Battalion is your sworn enemy, and you dare to come here!",กองพันตระกูลเย่เป็นศัตรูที่สาบานของเจ้า และเจ้ากล้ามาที่นี่!
fightTip_叶家军,"We're professionals when it comes to fighting, with your mediocre skills, you're just asking for humiliation!",เราเป็นมืออาชีพในเรื่องการต่อสู้ ด้วยทักษะระดับปานกลางของเจ้า เจ้าแค่ต้องการความอัปยศอดสู!
explainSuccessTip_叶家军,"We'll let you go this time! If there's a next time, we won't be lenient!",ครั้งนี้จะปล่อยเจ้าไปก่อน! หากมีครั้งหน้า เราไม่ละเว้นเจ้าแน่!
