﻿KungfuInfo_Level,The {0}th level,ขั้นที่{0}
KungfuDesc_银蛇流光,Strike the enemy off guard with the posture of a silver snake coming out of its hole.,จู่โจมศัตรูโดยไม่ทันระวัง ด้วยท่วงท่าอันตรายดังอสรพิษเกล็ดเงินพุ่งออกจากถ้ำ
KungfuDesc_一刀绝尘,"Deal damage to enemies within a fan-shaped range (5-grid radius) in front of you;\nIf not breaking defense: additionally inflict 10 points of Bleeding on the enemy;\n   If breaking defense: additionally inflict 10% of the enemy's maximum HP in damage, and inflict 20 points of Bleeding.",สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะรูปพัด (รัศมี 5 ตาราง) ด้านหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: สร้างสถานะเลือดไหล 10 แต้มแก่ศัตรู\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และสร้างสถานะเลือดไหล 20 แต้มแก่ศัตรู
KungfuDesc_太极十三势,"Deal damage to enemies within a 3-grid radius of yourself and knock them back 2 grids;\nIf not breaking defense: 35% chance to trigger Stagger, Disassembly, Slowed, Broken bone on the enemy;\n   If breaking defense: additionally inflict 15% of the enemy's maximum HP in damage, and trigger Stagger, Disassembly, Slowed, Broken bone on the enemy;","สร้างความเสียหายให้กับศัตรูภายในรัศมี 3 ช่องรอบตัวเอง และกระแทกพวกมันกลับไป 2 ช่อง\nหากไม่ทำลายการป้องกัน: มีโอกาส 35% ที่จะสร้างสถานะ ชะงัก, แยกส่วน, เชื่องช้า, กระดูกหัก ใส่ศัตรู;\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max HP ของศัตรู และสร้างสถานะ ชะงัก, แยกส่วน, เชื่องช้า, กระดูกหัก ใส่ศัตรู;"
KungfuDesc_平地惊雷,"Deal damage to enemies within a fan-shaped range (5-grid radius) in front of you;\nIf not breaking defense: no additional effects;\n   If breaking defense: additionally inflict 10% of the enemy's maximum HP in damage, 50% chance to trigger Vulnerable effect.","สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะรูปพัด (รัศมี 5 ตาราง) ด้านหน้า;\nหากไม่ทำลายการป้องกัน: ไม่มีผลลัพธ์เพิ่มเติม\n      เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และมีโอกาส 50% ที่จะทำให้เกิดสถานะ ""เปราะบาง"""
KungfuDesc_石灰漫天,"Deal damage to enemies within a fan-shaped range (4-grid radius) in front of you;\nIf not breaking defense: additionally inflict 10 points of Blinded on the enemy;\n   If breaking defense: additionally inflict 5% of the enemy's maximum HP in damage, and inflict 20 points of Blinded.",สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะรูปพัด (รัศมี 4 ตาราง) ที่อยู่ตรงหน้าคุณ\nหากไม่ทำลายการป้องกัน: เพิ่มสถานะตาบอด 10 แต้มแก่ศัตรู\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 5% ของ Max HP ของศัตรู และเพิ่มสถานะตาบอด 20 แต้ม
KungfuDesc_十字追魂,"Deal damage to enemies within a 5-grid radius and 1-grid radius around yourself;\nIf not breaking defense: additionally inflict 10 points of Bleeding on the enemy;\n   If breaking defense: additionally inflict 10% of the enemy's maximum HP in damage, and inflict 20 points of Bleeding.",สร้างความเสียหายให้กับศัตรูภายในรัศมี 5 ช่อง และรัศมี 1 ช่องรอบตัว\nหากไม่ทำลายการป้องกัน: เพิ่มสถานะเลือดไหล 10 แต้มแก่ศัตรู\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และเพิ่มสถานะเลือดไหล 20 แต้มแก่ศัตรู
KungfuDesc_天罗地网,Summon 3 constables to assist in battle within a 3x5 area in front of you.,เรียกเจ้าหน้าที่ 3 นายมาช่วยในการต่อสู่ภายในพื้นที่ 3x5 ข้างหน้าคุณ
KungfuDesc_人海战术,"Summon 5 soldiers to assist in battle within a 4x5 area in front of you, upgraded to 5 generals assisting in battle when your own Level reaches 60.",เรียกทหาร 5 นาย มาช่วยในการต่อสู้ตรงหน้า พัฒนาเป็นแม่ทัพ 5 นาย มาช่วยหากมีเลเวลถึง 60
KungfuDesc_直捣黄龙,"Deal damage to enemies within a 6x3 range in front of you and knock them back 1 grid;\nIf not breaking defense: additionally reduce the enemy's Qi by 125 points;\n   If breaking defense: additionally inflict 15% of the enemy's maximum HP in damage, and reduce the enemy's Qi by 250 points.",สร้างความเสียหายให้กับศัตรูในระยะ 6x3 ข้างหน้าคุณ และกระแทกกลับไป 1 ช่อง\nหากไม่ทำลายการป้องกัน: ลดค่าปราณเคลื่อนของศัตรูลง 125 แต้ม\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max Hp ของศัตรู และลดค่าปราณเคลื่อนของศัตรูลง 250 แต้ม
KungfuDesc_前仆后继,"Increase the Action Speed of friendly characters within a 3-grid radius of yourself by 50%, which expires after 2 actions.","เพิ่มความเร็วท่าร่างของพรรคพวกภายในรัศมี 3 ช่องรอบตัว 50%, คงอยู่ 2 รอบ"
KungfuDesc_浊浪排空,"Inflicts damage on enemies within a radius of 3 squares around oneself and knocks them back 1 square;\nWithout breaking defense: additionally inflicts 20 points of Internal Injury on the enemy;\n   Breaking defense: additionally inflicts 15% of the enemy's maximum HP in damage, and inflicts 40 points of Internal Injury, increases own Critical by 15% (lasts for 2 actions).","สร้างความเสียหายให้กับศัตรูภายในรัศมี 3 ช่องรอบๆ ตัว และกระแทกกลับไป 1 ช่อง\nหากไม่ทำลายการป้องกัน: เพิ่มสถานะบาดเจ็บภายใน 20 แต้มแก่ศัตรู\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max HP ของศัตรู และเพิ่มสถานะบาดเจ็บภายใน 40 แต้มแก่ศัตรู, เพิ่มค่าคริติคอลของตัวเอง 15% (ผลลัพธ์เกิดขึ้น 2 รอบ)"
KungfuDesc_万剑归宗,"Inflicts damage on enemies within a radius of 4 squares around oneself;\nWithout breaking defense: no additional effects;\n   Breaking defense: additionally inflicts 20% of the enemy's maximum HP in damage, for every 3 points higher own Sword is than the enemy's Sword, inflicts 1 point of Bleeding on them.","สร้างความเสียหายแก่ศัตรูในรัศมี 4 ช่องรอบๆ ตัว;\nหากไม่ทำลายการป้องกัน: ไม่มีเอฟเฟกต์เพิ่มเติม\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 20% ของ Max HP ของศัตรู, ทุกๆ ค่า""ความเชี่ยวชาญดาบ"" 3 แต้มที่สูงกว่าของศัตรู จะเพิ่มสถานะเลือดไหล 1 แต้มแก่ศัตรู."
KungfuDesc_枯木逢春,Recovers 25% of lost HP for allies within a radius of 2 squares around oneself.,ฟื้นฟู HP ที่สูญเสียไป 25% ให้กับพันธมิตรภายในรัศมี 2 ช่องรอบๆ ตัวเอง
KungfuDesc_儒门春秋,"Inflicts damage on enemies within a fan-shaped range (radius of 5 squares) in front of oneself;\nWithout breaking defense: 35% chance to trigger Confuse effect on the enemy;\n   Breaking defense: additionally inflicts 15% of the enemy's maximum HP in damage, and triggers Confuse effect; when Propriety is above 50, for every point above, reduces enemy's energy by 5 points.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะรูปพัด (รัศมี 5 ช่อง) ด้านหน้า\nหากไม่ทำลายการป้องกัน: มีโอกาส 35% ที่จะสร้างสถานะสับสนแก่ศัตรู;\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max HP ของศัตรู และทำให้เกิดสถานะ""สับสน""; เมื่อค่า ""มารยาท"" ที่มากกว่า 50 ขึ้นไป, ทุกค่าจะลดค่าปราณเคลื่อนที่ของศัตรูลง 5 คะแนน"
KungfuDesc_菩提金身,Allies within a radius of 3 squares around oneself gain 1 instance of No damage when hit effect.,พันธมิตรที่อยู่ในรัศมี 3 ช่องรอบๆ ตนเองจะได้รับความเสียหาย 1 ครั้งเมื่อถูกโจมตี
KungfuDesc_退避三舍,"Inflicts damage on enemies within a radius of 3 squares around oneself and knocks them back 3 squares;\nWithout breaking defense: no additional effects;\n   Breaking defense: additionally inflicts 10% of the enemy's maximum HP in damage, and prevents them from moving in their next action.",สร้างความเสียหายให้กับศัตรูภายในรัศมี 3 ช่องรอบๆ ตัว และกระแทกกลับไป 3 ช่อง\nหากไม่ทำลายการป้องกัน: ไม่มีผลลัพธ์เพิ่มเติม\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และทำให้ศัตรูเดินไม่ได้ 1 รอบ.
KungfuDesc_财迷心窍,"Inflicts damage on enemies within a radius of 3 squares around oneself;\nWithout breaking defense: 35% chance to trigger Charm effect on the enemy (lasts for 2 actions);\n   Breaking defense: additionally inflicts 20% of the enemy's maximum HP in damage, 75% chance to trigger Charm effect on the enemy (lasts for 2 actions).","สร้างความเสียหายให้กับศัตรูในรัศมี 3 ช่องรอบตัว\nหากไม่ทำลายการป้องกัน: มีโอกาส 35% ที่จะทำให้เกิดสถานะ ""ลุ่มหลง"" แก่ศัตรู (เกิดผล 2 รอบ);\n   เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 20% ของ Max HP ของศัตรู และมีโอกาส 75% ที่จะสร้างสถานะ ""ลุ่มหลง"" กับศัตรู (เกิดผล 2 รอบ)"
KungfuDesc_乾坤一掷,"Inflicts damage on enemies within a 5x1 range in front of oneself;\nWithout breaking defense: no additional effects;\n   Breaking defense: additionally inflicts 5% of the enemy's maximum HP in damage, for every 10 points higher own Throwing is than the enemy's Throwing, inflicts 1 point of Bleeding on them.","สร้างความเสียหายให้กับศัตรูในระยะ 5x1 ข้างหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีเอฟเฟกต์เพิ่มเติม\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 5% ของ Max HP ของศัตรู, ทุกๆ 10 แต้มที่ค่าอาวุธลับสูงกว่าของศัตรู จะทำให้ศัตรูติดสถานะเลือดไหล 1 แต้ม"
KungfuDesc_暴雨梨花,"Inflicts damage on enemies within a fan-shaped range (radius of 4 squares) in front of oneself;\nWithout breaking defense: no additional effects;\n   Breaking defense: additionally inflicts 10% of the enemy's maximum HP in damage, for every 7 points higher own Throwing is than the enemy's Throwing, inflicts 1 point of Bleeding on them.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะรูปพัด (รัศมี 4 ช่อง) ด้านหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีเอฟเฟกต์เพิ่มเติม\n   เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู, ทุกๆ 7 แต้มของค่าอาวุธลับของตัวเองที่มากกว่าของศัตรู จะทำให้ศัตรูติดสถานะเลือดไหล 1 แต้ม"
KungfuDesc_满天花雨,"Inflicts damage on enemies within a radius of 4 squares around oneself;\nWithout breaking defense: no additional effects;\n   Breaking defense: additionally inflicts 15% of the enemy's maximum HP in damage, for every 5 points higher own Throwing is than the enemy's Throwing, inflicts 1 point of Bleeding on them.","สร้างความเสียหายแก่ศัตรูรัศมี 4 ช่องรอบตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีเอฟเฟกต์เพิ่มเติม\n   เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max HP ของศัตรู, ทุกๆ 5 แต้มของค่าอาวุธลับของตัวเองที่มากกว่าของศัตรู จะทำให้ศัตรูติดสถานะเลือดไหล 1 แต้ม"
KungfuDesc_撒石灰粉,"Deal damage to enemies within a fan-shaped range (4-grid radius) in front of you;\nIf not breaking defense: additionally inflict 10 points of Blinded on the enemy;\n   If breaking defense: additionally inflict 5% of the enemy's maximum HP in damage, and inflict 20 points of Blinded.",สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะรูปพัด (รัศมี 4 ตาราง) ที่อยู่ตรงหน้าคุณ\nหากไม่ทำลายการป้องกัน: เพิ่มสถานะตาบอด 10 แต้มแก่ศัตรู\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 5% ของ Max HP ของศัตรู และเพิ่มสถานะตาบอด 20 แต้ม
KungfuDesc_红莲业火,"Inflicts damage on enemies within a radius of 4 squares around oneself;\nWithout breaking defense: 25% chance to trigger Vulnerable effect on the enemy (lasts for 1 action);\n   Breaking defense: additionally inflicts 10% of the enemy's maximum HP in damage, 50% chance to trigger Vulnerable effect on the enemy (lasts for 1 action).","สร้างความเสียหายแก่ศัตรูในรัศมี 4 ช่องรอบตัว;\nหากไม่ทำลายการป้องกัน: โอกาส 25% ที่จะทำให้เกิดสถานะ ""เปราะบาง""ต่อศัตรู (มีผล 1 รอบ);\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP สูงสุดของศัตรู และมีโอกาส 50% ที่จะทำให้เกิดสถานะ ""เปราะบาง""ต่อศัตรู (มีผล 1 รอบ)."
KungfuDesc_迷情熏香,"Inflicts damage on enemies within a range of 1 square in front of oneself;\nWithout breaking defense: no additional effects;\n   Breaking defense: additionally inflicts 5% of the enemy's maximum HP in damage, 50% chance to trigger Charm effect on the enemy (lasts for 1 action).","สร้างความเสียหายแก่ศัตรูในระยะ1 ช่องด้านหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีผลเพิ่มเติม\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 5% ของ Max HP สูงสุดของศัตรู และมีโอกาส 50% ที่จะทำให้เกิดสถานะ ""ลุ่มหลง""ต่อศัตรู (มีผล 1 รอบ)."
KungfuDesc_七息断魂雾,"Inflicts damage on enemies within a fan-shaped range (radius of 4 squares) in front of oneself;\nWithout breaking defense: additionally inflicts 10 points of Poisoned on the enemy;\n   Breaking defense: additionally inflicts 10% of the enemy's maximum HP in damage, and inflicts 20 points of Poisoned, reduces enemy's current MP by 10%.","สร้างความเสียหายแก่ศัตรูที่อยู่ในระยะรูปพัด (รัศมี 4 ช่อง) ด้านหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: สร้างพิษ 10 แต้มต่อศัตรู\n   เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู, สร้างพิษ 20 แต้ม ลด MP ปัจจุบันของศัตรูลง 10%"
KungfuDesc_酥筋化骨香,"Inflict damage on enemies within a 4-tile radius of yourself;\nWithout breaking defense: additionally reduce enemy Action Speed by 10%, Critical, Parry, Evasion by 5% (lasts for 2 actions);\n   With breaking defense: additionally reduce enemy Action Speed by 20%, Critical, Parry, Evasion by 10% (lasts for 2 actions).","สร้างความเสียหายให้กับศัตรูภายในรัศมี 4 ช่องรอบตัวเอง\nหากไม่ทำลายการป้องกัน: ลดความเร็วท่าร่างของศัตรู 10%, คริติคอล, ปัดป้อง, หลบหลีก 5% (คงอยู่ 2 รอบ);\n     เมื่อป้องกันถูกทำลาย: ลดความเร็วท่าร่างของศัตรู 20%, คริติคอล, ปัดป้อง, หลบหลีก 10% (คงอยู่ 2 รอบ);"
KungfuDesc_飞腿扬沙,"Inflict damage on enemies within a 3-tile horizontal range in front of you;\nWithout breaking defense: additionally inflict 10 points of Blinded on the enemy;\n   With breaking defense: additionally inflict damage equal to 10% of the enemy's maximum HP, and inflict 20 points of Blinded.",สร้างความเสียหายให้กับศัตรู 3 ช่องแนวนอนด้านหน้า\nหากไม่ทำลายการป้องกัน: เพิ่มสถานะตาบอด 10 แต้มแก่ศัตรู\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และเพิ่มสถานะตาบอด 20 แต้ม
KungfuDesc_投石问路,"Inflict damage on enemies within a 5x1 range in front of you;\nWithout breaking defense: no additional effects;\n   With breaking defense: additionally inflict damage equal to 10% of the enemy's maximum HP, for every 7 points your Throwing is higher than the enemy's, inflict 1 point of Internal Injury.","สร้างความเสียหายให้กับศัตรูในระยะ 5x1 ข้างหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีเอฟเฟกต์เพิ่มเติม\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู, ทุกๆ 7 แต้มที่ค่าอาวุธลับสูงกว่าของศัตรู จะทำให้ศัตรูติดสถานะบาดเจ็บภายใน 1 แต้ม"
KungfuDesc_铜锤灌顶,"Inflict damage on enemies within a 1-tile range in front of you;\nWithout breaking defense: 25% chance to trigger Unconscious effect on the enemy (lasts for 1 action);\n   With breaking defense: additionally inflict damage equal to 10% of the enemy's maximum HP, 50% chance to trigger Unconscious effect on the enemy (lasts for 1 action).","สร้างความเสียหายแก่ศัตรูในระยะ1 ช่องด้านหน้าตัวเอง\nหากไม่ทำลายการป้องกัน:  มีโอกาส 25% ที่จะทำให้ศัตรู ""หมดสติ"" (เกิดผล 1 รอบ);\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และมีโอกาส 50% ที่จะทำให้ศัตรู ""หมดสติ"" (เกิดผล 1 รอบ);"
KungfuDesc_穿云一枪,"Inflict damage on enemies within a 5x1 range in front of you;\nWithout breaking defense: additionally inflict 10 points of Bleeding on the enemy;\n   With breaking defense: additionally inflict damage equal to 10% of the enemy's maximum HP, and inflict 20 points of Bleeding.",สร้างความเสียหายให้กับศัตรูที่อยู่ในระยะ 5x1 ด้านหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: สร้างสถานะเลือดไหล 10 แต้มแก่ศัตรู\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และสร้างสถานะเลือดไหล 20 แต้มแก่ศัตรู
KungfuDesc_召唤猎犬,Summon 1 hound within a 3x3 range in front of you.,เรียกสุนัขล่าเนื้อมา 1 ตัวในระยะ 3x3 ด้านหน้าคุณ
KungfuDesc_地动山摇,"Inflict damage on enemies within a fan-shaped range (4-tile radius) in front of you;\nWithout breaking defense: additionally inflict 10 points of Internal Injury on the enemy;\n   With breaking defense: additionally inflict damage equal to 10% of the enemy's maximum HP, and inflict 20 points of Internal Injury.","สร้างความเสียหายให้กับศัตรูที่อยู่ในรัศมีรูปพัด 4 ช่องด้านหน้า;\nหากไม่ทำลายการป้องกัน: เพิ่มสถานะ ""บาดเจ็บภายใน"" 10 แต้มแก่ศัตรู\n    เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 10% ของ Max HP ของศัตรู และเพิ่มสถานะ ""บาดเจ็บภายใน"" 20 แต้ม"
KungfuDesc_石破天惊,"Inflict damage on enemies within a 3-tile radius of yourself and knock them back 1 tile;\nWithout breaking defense: 35% chance to trigger Broken bone effect on the enemy (lasts for 2 actions);\n   With breaking defense: additionally inflict damage equal to 15% of the enemy's maximum HP, and trigger Broken bone effect on the enemy (lasts for 2 actions).",สร้างความเสียหายให้กับศัตรูภายในรัศมี 3 ช่องรอบตัว และกระแทกพวกมันกลับไป 1 ช่อง\nหากไม่ทำลายการป้องกัน: มีโอกาส 35% ที่จะทำให้เกิดสถานะกระดูกหักต่อศัตรู (เกิดผล 2 รอบ);\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติมเท่ากับ 15% ของ Max HP ของศัตรู และทำให้เกิดสถานะกระดูกหักต่อศัตรู (เกิดผล 2 รอบ)
KungfuDesc_梨花奥义,"Inflict damage on enemies within a 7x3 range in front of you;\nWithout breaking defense: no additional effects;\n   With breaking defense: additionally inflict damage equal to 15% of the enemy's maximum HP, for every 5 points your Long is higher than the enemy's, inflict 1 point of Sealed.","สร้างความเสียหายให้กับศัตรูในระยะ 7x3 ข้างหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีผลเพิ่มเติม\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max HP ของศัตรู, ทุกๆ 5 แต้มที่ค่าอาวุธยาวสูงกว่าของศัตรู จะทำให้ศัตรูติดสถานะสกัดจุด 1 แต้ม"
KungfuDesc_一剑破万法,"Inflict damage on enemies within a 6x3 range in front of you;\nWithout breaking defense: no additional effects;\n   With breaking defense: additionally inflict damage equal to 15% of the enemy's maximum HP, for every 5 points your Sword is higher than the enemy's, inflict 1 point of Bleeding.","สร้างความเสียหายให้กับศัตรูในระยะ 6x3 ข้างหน้าตัวเอง\nหากไม่ทำลายการป้องกัน: ไม่มีผลเพิ่มเติม\n     เมื่อป้องกันถูกทำลาย: สร้างความเสียหายเพิ่มเติม 15% ของ Max HP ของศัตรู, ทุกๆ 5 แต้มที่ค่ากระบี่สูงกว่าของศัตรู จะทำให้ศัตรูติดสถานะเลือดไหล 1 แต้ม"
KungfuDesc_天地无极,"Inflict the following effects on enemies within a radius of 5 squares of yourself;\nUnbroken Defense: Trigger Stagger, Disassemble, Slowed, Broken Bone on the enemy;\nBroken Defense: For every additional 100MP of your current MP, inflict an additional 1% damage on the enemy, up to 35%; and trigger Stagger, Disassemble, Slowed, Broken Bone on them, after triggering, your MP Cost is emptied, then recover 10% of your maximum MP value with each action (lasts for 3 actions).","สร้างสถานะต่อไปแก่ศัตรูในรัศมี 5 ช่องรอบตัว;\nหากไม่ทำลายการป้องกัน: สร้างสถานะ ชะงัก, แยกชิ้นส่วน, เชื่องช้า, กระดูกหัก ใส่ศัตรู;\n     เมื่อป้องกันถูกทำลาย: ทุกๆ 100MP ของ MP ปัจจุบัน จะสร้างความเสียหายเพิ่มเติม 1% ต่อศัตรู สูงสุด 35%; และสร้างสถานะ ชะงัก, แยกชิ้นส่วน, เชื่องช้า, กระดูกหัก ใส่ศัตรู; หลังใช้วรยุทธจะสูญเสีย MP ทั้งหมด จากนั้นจึงฟื้นฟู 10% ของ Max MP ในแต่ละรอบ (เกิดผล 3 รอบ)"
KungfuDesc_剑意勃发,"Inflict damage on enemies within a 4-tile radius of yourself;\nWithout breaking defense: additionally inflict 10 points of Bleeding on the enemy, and reduce 100 points of their Qi;\n   With breaking defense: additionally inflict damage equal to 10% of the enemy's maximum HP, and inflict 20 points of Bleeding, reduce 175 points of their Qi.",สร้างความเสียหายใส่ศัตรูในระยะ 4 ช่องจากตนเอง\nไม่มีทำลายการป้องกัน: สร้างสถานะ เลือดไหล 10 แต้มใส่ศัตรู และลดปราณเคลื่อนที่ของศัตรูลง 100 แต้ม\nทำลายการป้องกัน: สร้างความเสียหายเพิ่มเติม 10% ของพลังชีวิตสูงสุดของศัตรู และสร้างสถานะ เลือดไหล 20 แต้ม ลดปราณเคลื่อนที่ของศัตรูลง 175 แต้ม
KungfuDesc_虫豸为伴,Summon 2 Scorpions to assist in battle within a 3x5 area in front of you.,เรียกแมงป่อง 2 ตัว มาช่วยในการต่อสู้ในพื้นที่ 3x5 ช่อง ข้างหน้า
