FactionName_珠光宝气楼,Glittering Artifact Auction,หอไข่มุก
FactionName_繁华似锦楼,Tower of Prosperity,หอเจิดจรัส
FactionName_云林寺,Yunlin Temple,วัดป่าเมฆา
FactionName_聚财坊,Relic House,หอสมบัติ
FactionName_长乐柜坊,Zhangyue Casino,บ่อนจางเยว่
FactionName_镇西关,West Border Patrol,ด่านชายแดนตะวันตก
FactionName_月老祠,God of Marriage's Shrine,ศาลเจ้าเทพเจ้าแห่งการแต่งงาน
FactionName_大理寺,Supreme Court,ศาลสูงสุด
FactionName_无双宗,Unparalleled Sect,สำนักไร้เทียมทาน
FactionName_天道帮,Heavenly Dao Gang,เส้นทางสวรรค์
FactionName_保国会,National Protection Association,สมาคมพิทักษ์แผ่นดิน
FactionName_富贵门,Rich and Noble Gate,ประตูมั่งคั่ง
FactionName_花丛派,Flower Sect,สำนักบุปผา
FactionName_无名小村,Nameless village,หมู่บ้านไร้นาม
FactionName_青风寨,Blue Wind Camp,ค่ายวายุคราม
FactionName_迷踪林,Lost Forest,ป่าสาปสูญ
FactionName_野狼谷,Wild Wolf Valley,หุบเขาหมาป่า
FactionName_顺达镖局,Shunda Escort Agency,สำนักคุ้มภัยชุนดา
FactionName_地下迷宫,Gusu Ruins,เขาวงกตใต้ดิน
FactionName_琅琊剑阁后山,
FactionName_平安镖局,Safeguard Escort,สำนักคุ้มภัยสันติสุข
FactionName_虎威镖局,Tiger Escort,สำนักคุ้มภัยพยัคฆา
FactionName_斗技场,Underground Arena,ลานประลองใต้ดิน
FactionName_脏街,Dirty Street,ตรอกเล้าหมู
FactionName_楚襄丁家,Chuxiang Ding family's mansion,คฤหาสน์สกุลติง
FactionName_琼花谷,Epiphyllum Valley,หุบเขาโบตั๋น
FactionName_马王洞,Horse King Cave,ถ้ำราชาม้า
FactionName_翠屏山,Cuiping Mountain,เขาซุยผิง
FactionName_武帝陵,Emperor Wu's Mausoleum,สุสานฮ่องเต้อู่ตี้
FactionName_邙山穴,Mang Mountain Pit,ถ้ำหลุมภูเขาหมาง
FactionName_断魂林,Forest of Broken Souls,ป่าวิญญาณสลาย
FactionName_长生冢,Longevity Tomb,สุสานอมตะ
FactionName_公用动物,
FactionName_洪小七,
FactionName_释嗔,
FactionName_凌氏兄妹,
FactionName_曼陀罗,
FactionName_庖春秋,
FactionName_穆再兴,
FactionName_无名小村牛群,
FactionName_无名小村流浪狗,
FactionName_无名小村鹅群,Goose Flock,ฝูงห่าน
FactionName_无名小村鸡群,Chicken Flock,ฝูงไก่
FactionName_无名小村猫群,
FactionName_艄公,
FactionName_沈无欺,
FactionName_楚狂生,
FactionName_绛紫烟,
FactionName_廖月龙,
FactionName_李乐雅,
FactionName_悬赏-偷盗者,
FactionName_悬赏-野外流寇,
FactionName_悬赏-采花大盗,
FactionName_时文修,
FactionName_方小白,
FactionName_杨幺儿,
FactionName_货郎,
FactionName_落魄江湖人,
FactionName_霖安开化塔护塔罗汉,
FactionName_霖安花花公子,
FactionName_霖安开路虎·张三,
FactionName_霖安过江龙·李四,
FactionName_车夫,
FactionName_野狼王啸月,
FactionName_赤睛棕熊赤睛,
FactionName_野猪头目刚烈,
FactionName_老虎山君,
FactionName_白猿白首,
FactionName_猴子追风,
FactionName_熊猫玄霜,
FactionName_机关奎牛,
FactionName_茶博士,
FactionName_狗王,
FactionName_琅琊剑阁后山黑猿,
FactionName_落单的野猪,
FactionName_猫三花,
FactionName_楚襄城野猫,
FactionName_大梁城西域商人,
FactionName_大梁城锦衣女子,
FactionName_试剑台守卫,
FactionName_宣和皇帝,
FactionName_端午节剧情,
FactionName_建炎皇帝,
FactionName_秦会之,
FactionName_燕歌行,
FactionName_中州渡口伙计,
FactionName_毒龙,
FactionName_异变毒龙,
FactionName_废弃院落,
FactionName_人伢婆-大梁-丁,
FactionName_草上飞-楚襄-丁,
FactionName_破戒僧-霖安-乙,
FactionName_独眼龙-楚襄-甲,
FactionName_昆仑奴-霖安-丙,
FactionName_邪教徒-大梁-丙,
FactionName_有腿难行-腿脚不便的老者,
FactionName_有勇无胆-鼻青脸肿的拳师,
FactionName_有教无类-和蔼慈祥的老儒,
FactionName_有言无信-精明市侩的商贩,
FactionName_有口不言-哑口无言的婆婆,
FactionInfo_燕国,"A minority group from the harsh northern lands. Under the leadership of Prince Wanyan Wuzhu, they have repeatedly invaded the Zhao Kingdom, seizing the lands north of the Yangtze River. They are now eyeing the remaining half of the kingdom.",ชนกลุ่มน้อยจากดินแดนทางตอนเหนืออันโหดร้าย ภายใต้การนำขององค์ชายหวันเหยียนอู๋จู พวกเขาได้บุกแคว้นจ้าวซ้ำแล้วซ้ำเล่า โดยยึดดินแดนทางตอนเหนือของแม่น้ำแยงซี ตอนนี้พวกเขากำลังจับตาดูอีกครึ่งหนึ่งของแคว้นที่เหลือ
FactionInfo_齐王府,"The power of Duke Qi in Daliang City. After the Yan army broke through Daliang City, they handed it over to Duke Qi for governance. Duke Qi, after taking power, indulges in calligraphy and poetry all day, being optimistic.",ด้วยอำนาจของอ๋องฉีในเมืองต้าเหลียง หลังจากที่กองทัพหยานบุกยึดเมืองต้าเหลียงได้ พวกเขาก็ได้มอบให้อ๋องฉีปกครอง หลังจากฮ่องเต้ฉีขึ้นสู่อำนาจ เขาหมกมุ่นอยู่กับงานจิตรกรรม และบทกวีตลอดทั้งวัน โดยไม่สนใจการปกครอง
FactionInfo_康王府,"The power of Duke Kang in Lin'an City, managing the Wuyue region. With the assistance of Qin Huizhi, his power has rapidly grown and is regarded by the people of Wuyue as the legitimate faction of the current court.","อำนาจของอ๋องคังในเมืองหลินอัน, สามารถปกครองเขตหวู่เยว่ และด้วยความช่วยเหลือของฉินฮุ่ยจือ อำนาจของเขาก็ขยายใหญ่ขึ้นอย่างรวดเร็วและได้รับการยกย่องจากชาวหวู่เยว่ ว่าเป็นฝ่ายที่ชอบด้วยกฎหมายในปัจจุบัน"
FactionInfo_上京城,
FactionInfo_霖安城,"Wuyue, and even the most prosperous city in the south of the Yangtze River, is the fief of Duke Kang. This place is far from the front line and is a peaceful corner. People use boats for transportation and live comfortably. It is a land of fish and rice that everyone yearns for.","หวู่เยว่, และแม้แต่เมืองที่เจริญรุ่งเรืองที่สุดทางตอนใต้ของแม่น้ำแยงซีเกียงก็ยังเป็นพื้นที่ของอ๋องคัง ที่นี่อยู่ไกลจากแนวหน้าและเป็นพื้นที่ที่สงบ ประชาชนใช้เรือในการสัญจรและใช้ชีวิตอย่างสะดวกสบาย เป็นดินแดนอุดมสมบูรณ์ในน้ำมีปลาในนามีข้าว ที่ใครๆ ก็ใฝ่ฝันถึง"
FactionInfo_楚襄城,"Located in the heart of Xiangfan Region, it has been a strategic military location since ancient times. Known for its easy defense and difficult attack, it is known as the first city in the Central Plains. Decades ago, when the Northern Yan invaded the south, they were defeated here.",ตั้งอยู่ในใจกลางของเขตเซียงฝาน และเป็นที่ตั้งยุทธศาสตร์ทางการทหารมาตั้งแต่สมัยโบราณ เป็นที่รู้กันว่าง่ายในการป้องกัน และยากที่จะโจมตี จึงได้ชื่อว่าเป็นเมืองแรกในจงหยวน หลายทศวรรษที่แล้ว เมื่อพวกเยี่ยนเหนือบุกเข้ามาทางใต้ พวกเขาต้องพบกับความพ่ายแพ้ที่นี่
FactionInfo_大梁城,"The most prosperous city in Zhongzhou Region, once the capital of the Zhao Kingdom. After the Yan army occupied it, they did not loot this place. Now it is managed by Duke Qi and is still a scene of extravagant nightlife.",เมืองที่เจริญรุ่งเรืองที่สุดในเขตจงโจว ซึ่งครั้งหนึ่งเคยเป็นเมืองหลวงของแคว้นจ้าว หลังจากที่กองทัพเยี่ยนยึดครองพวกเขาไม่ได้ปล้นสถานที่แห่งนี้ ตอนนี้ได้รับการจัดการโดยอ๋องฉี และยังคงเป็นสถานบันเทิงยามค่ําคืนที่ฟุ่มเฟือย
FactionInfo_云滇城,
FactionInfo_楼兰城,
FactionInfo_皇城司,"An institution established by the Zhao Kingdom, led by the eunuch most trusted by the Zhao Emperor, specifically for monitoring the martial arts world. Despite the current turmoil, their presence can still be seen.",องค์กรที่ก่อตั้งโดยแคว้นจ้าว นำโดยขันทีที่ฮ่องเต้จ้าวให้ความไว้วางใจมากที่สุด มีหน้าที่รับผิดชอบในการเฝ้าระวังและสอดแนมข่าวสารต่างๆ ในยุทธภพ แม้ว่าสถานการณ์ปัจจุบันจะปั่นป่วน แต่ก็ยังพวกเขาก็ยังคงดำรงอยู่ได้
FactionInfo_儒圣馆,"A Confucian academy with a long history. Under the leadership of the new dean, Cai Yuanchang, it embraces the new and recruits widely. With the assistance of the Four Arts and four virtuous people, the students are elegant and talented.",สถาบันขงจื๊อที่มีประวัติศาสตร์อันยาวนาน ภายใต้การนําของคณบดีคนใหม่ ไช่หยวนฉาง สถาบันกำลังรับลูกศิษย์ใหม่อย่างกว้างขวาง โดยได้รับความช่วยเหลือจากสี่ศิลป์และสี่ปราชญ์ ทำให้ลูกศิษย์ทั้งหลายมีความสง่างามและมากไปด้วยความสามารถ
FactionInfo_道玄宗,"A Taoist sect that has been established for hundreds of years, emphasizing self-cultivation and dual cultivation of Qi and sword. Under the leadership of Zhong Yangzi, the disciples aim to save the world and prioritize benevolence and righteousness. They are a model of the current martial arts righteous sect.",สำนักเต๋าก่อตั้งมาเป็นเวลาหลายร้อยปี โดยเน้นการฝึกฝนตนเอง ด้วยการฝึกฝนปราณและกระบี่ควบคู่กัน. ภายใต้การนำของ ฉงหยางสื่อ เหล่าศิษย์ต่างได้รับภารกิจในการช่วยเหลือโลกและช่วยเหลือผู้คนตามจุดประสงค์ของพวกเขา และให้ความสำคัญกับศีลธรรมและคุณธรรมเป็นอันดับแรก พวกเขาเป็นแบบอย่างของพรรคฝ่ายธรรมะในปัจจุบัน.
FactionInfo_释法寺,"It has always been a major sect of Buddhism in the world. In times of war, they not only help the souls who died in the war, but also provide shelter for refugees. There are countless monk soldiers who resist the Yan Kingdom under the instruction of the abbot, defending against foreign enemies.",เป็นสำนักที่สำคัญของพุทธศาสนาในโลกมาโดยตลอด ในช่วงสงคราม พวกเขาไม่เพียงแต่ช่วยเหลือดวงวิญญาณที่เสียชีวิตในสงครามเท่านั้น แต่ยังให้ที่พักพิงแก่ผู้ลี้ภัยอีกด้วย มีทหารพระภิกษุจำนวนนับไม่ถ้วนที่ต่อต้านอาณาจักรเยี่ยนภายใต้คำสั่งของเจ้าอาวาสป้องกันศัตรูจากต่างแดน
FactionInfo_九流门,"A new organization formed by a mysterious person. Because it recruits people regardless of their background and age, it has quickly grown into the largest force in the Central Plains. However, it is a mixed bag, and it is difficult to distinguish between good and evil. The current leader, Tie Mianren, is even more mysterious, and no one knows his true identity.",องค์กรใหม่ที่จัดตั้งขึ้นโดยบุคคลลึกลับ เนื่องจากรับสมัครผู้คนโดยไม่คํานึงถึงภูมิหลังและอายุ พวกเขาจึงเติบโตขึ้นอย่างรวดเร็วเป็นกองกําลังที่ใหญ่ที่สุดในจงหยวน แต่กระนั้นการมีส่วนผสมของทั้งปลาและมังกร จึงยากที่จะแยกแยะระหว่างความดีและความชั่ว ผู้นําคนปัจจุบันชายในหน้ากากเหล็กเถี่ยเหมียนเหริน ยังลึกลับยิ่งกว่า และไม่มีใครรู้ตัวตนที่แท้จริงของเขา
FactionInfo_妙音坊,"Located in the southwest region, the mountain Clear water is beautiful, and the scenery is natural. All the disciples are young girls, each with a beautiful voice and good at dancing, like fairies. They are hostile to all men in the world, and no one knows the specific reason.",ตั้งอยู่ภาคตะวันตกเฉียงใต้ ภูเขาสวย น้ำใส ทิวทัศน์ธรรมชาติอันงดงาม ศิษย์ทุกคนเป็นล้วนเด็กสาว แต่ละคนมีเสียงไพเราะ ร่ายรำงดงาม ราวกับเทพธิดา พวกนางเป็นศัตรูกับชายทุกคนบนโลก โดยไม่มีผู้ใดรู้ถึงเหตุผล
FactionInfo_蚍蜉城,"The stronghold established by Yagyū Musashi in the Central Plains, where people from Dongying often enter the Central Plains and provoke disputes everywhere, their true intentions are unknown.",ค่ายที่ก่อตั้งโดยยางิว มุซาชิ ในแผ่นดินจงหยวน ซึ่งผู้คนจากตงอิ๋ง มักจะเข้าไปในแผ่นดินจงหยวนและก่อให้เกิดความขัดแย้งในทุกที่ โดยไม่ทราบเจตนาที่แท้จริงของพวกเขา
FactionInfo_沙门岛,"Shamen Island was originally a place where the Zhao Kingdom exiled criminals, but unexpectedly, these criminals formed their own faction and established their own power on Shamen Island.",เดิมทีเกาะชาเมนเป็นสถานที่ที่อาณาจักรจ้าว เนรเทศพวกอาชญากร แต่ไม่คาดคิด อาชญากรเหล่านี้ได้ก่อตั้งฝ่ายของตนเองขึ้นและสถาปนาอำนาจของตนเองขึ้นบนเกาะ
FactionInfo_圣火宗,"A rising power in the northwest region, under the command of the current leader Fang Xiaoian, sweeps the Western Regions, invincible.",อำนาจที่เพิ่มขึ้นในภูมิภาคตะวันตกเฉียงเหนือ ภายใต้การบังคับบัญชาของผู้นำคนปัจจุบันฟางเสี่ยวเทียน กวาดล้างภูมิภาคตะวันตกอย่างไร้เทียมทาน
FactionInfo_海蛟帮,"A group of water bandits who occupy the Nameless Region on the water, they kidnap and sell people, and commit all kinds of evil. They often order their gang members to pretend to be rich businessmen to deceive people to go out to sea, and those who are fooled disappear from the world.",กลุ่มโจรสสลัดที่ยึดครองน่านน้ำในเขตพื้นที่ไร้นาม กระทำสิ่งชั่วร้ายทุกรูปแบบ ทั้งการค้ามนุษย์ ฆ่าคน และขโมยสินค้า พวกมันมักจะสั่งให้ลูกสมุนแสร้งทำเป็นพ่อค้าที่ร่ำรวยเพื่อหลอกล่วงผู้คนให้ออกทะเลและผู้คนที่ถูกหลอกล้วนหายสาบสูญไปจากโลก
FactionInfo_琅琊剑阁,"The place where Jian Chi retired and sealed his sword, inheriting the thousand-year-old sword-making technology of ancient and modern times, many of the divine weapons in the current martial arts world come from here.",สถานที่ที่มารกระบี่วางมือและเก็บรักษากระบี่ของเขา สืบทอดทักษะการตีดาบที่มีอายุนับพันปีทั้งสมัยโบราณและสมัยใหม่ อาวุธศักดิ์สิทธิ์จำนวนมากในยุทธภพปัจจุบัน ล้วนมาจากที่นี่
FactionInfo_九黎部落,"A foreign tribe in the southwest region, they believe in ancient fierce gods and are good at using witchcraft, and are regarded as heretics by the martial arts of the Central Plains. They have harassed the Central Plains many times in the early years, so they were isolated from the Central Plains by the Zhao State. Now, under the leadership of Miao Muli, they are growing stronger and gradually becoming a force not to be underestimated in the southwest region.",ชนเผ่าต่างถิ่นในภูมิภาคตะวันตกเฉียงใต้ พวกเขาเชื่อในเทพเจ้าโบราณที่ชั่วร้าย และเก่งในการใช้เวทมนต์คาถา และถูกกล่าวหาว่าเป็นพวกนอกรีต ในช่วงต้นปีที่ผ่านมาพวกเขาได้รุกรานจงหยวน และถูกขับไล่ออกจากจงหยวนโดยรัฐจ้าว ตอนนี้ภายใต้การนําของเมี้ยวมู่หลี พวกเขากําลังเติบโตอย่างแข็งแกร่ง และค่อยๆ กลายเป็นกองกําลังในภูมิภาคตะวันตกเฉียงใต้ที่ไม่อาจประมาทได้
FactionInfo_九江水寨,"Established a water village at the confluence of the nine rivers, in recent years it has gathered a large number of martial arts people, and it seems to have the momentum to divide half of the southern part of the Yangtze River.",ก่อตั้งหมู่บ้านกลางน้ำที่จุดบรรจบของแม่น้ำทั้งเก้าสาย ในช่วงไม่กี่ปีที่ผ่านมาได้รวบรวมผู้คนจาก ยุทธภพ จำนวนมาก และดูเหมือนว่าจะมีแรงผลักดันที่จะแบ่งครึ่งหนึ่งของทางตอนใต้ของแม่น้ำแยงซี
FactionInfo_琳琅馆,"A place that exists in legend, it is said that there is a fairy living here, guarding the balance of the martial arts world.",สถานที่ในตำนาน กล่าวกันว่ามีเทพธิดาอาศัยอยู่ที่นี่ คอยปกป้องความสมดุลของยุทธภพ
FactionInfo_叶家军,"The Zhao Kingdom's army commanded by Ye Pengju. The army is strict in discipline and undefeated. It has defeated the Yan Kingdom's army many times, preserving half of the Zhao Kingdom's territory, and is therefore deeply loved by the people. It is also the last hope for many people to welcome back the Zhao Emperor.",กองทัพของแคว้นจ้าว ซึ่งอยู่ภายใต้การบังคับบัญชาของเย่เผิงจู วินัยทางทหารนั้นเข้มงวดไม่แพ้ใคร เขาได้เอาชนะกองทัพของแคว้นเยี่ยนมาหลายครั้ง กอบกู้ดินแดนของแคว้นจ้าวไว้ได้ครึ่งหนึ่ง ดังนั้นจึงเป็นที่รักของผู้คนอย่างสุดซึ้ง นอกจากนี้ยังเป็นความหวังสุดท้ายของผู้คน ในการนำพาองค์ฮ่องเต้จ้าวกลับมา
FactionInfo_柴王阁,"The residence of the former dynasty royal family Chai Wangye, although it is not a martial arts sect, it has a good relationship with various martial arts sects and has a considerable reputation in the martial arts world.",ที่ประทับของในอดีตราชวงศ์ ไฉหวังเย่ แม้ว่าจะไม่ใช่สำนักยุทธ์ แต่ก็มีความสัมพันธ์อันดีกับสำนักยุทธ์ต่างๆ และค่อนข้างมีชื่อเสียงในยุทธภพ
FactionInfo_本草门,"All the disciples are doctors who are indifferent to the world and help the world. They take the treatment of diseases and saving people as their own responsibility, and it is also the place where countless doctors aspire. It is now in ruins, with only a piece of old land left.",ลูกศิษย์ทุกคนที่นี่ล้วนเป็นหมอที่ไม่แยแสต่อโลกภายนอก และยินดีช่วยเหลือโลกใบนี้ พวกเขาถือว่าการรักษาและช่วยชีวิตคนเป็นสิ่งสำคัญที่สุดของพวกเขา อีกทั้งยังเป็นสถานที่ที่แพทย์จำนวนนับไม่ถ้วนใฝ่ฝันถึง ตอนนี้มันกลับพังทลายลง เหลือเพียงที่ดินเก่าๆ เพียงผืนเดียว
FactionInfo_神捕门,"Established in the early years of this dynasty, it is an organization that exists only to punish criminals, and vows to bring all the evil people in the world to justice. All the catchers in today's large and small cities come from the Crime Investigation Bureau.",องค์กรนี้ก่อตั้งขึ้นในช่วงเริ่มต้นของราชวงศ์ปัจจุบัน เป็นองค์กรที่ตั้งขึ้นเพื่อลงโทษอาชญากร และสาบานว่าจะนำผู้กระทำผิดทั้งหมดมาเข้าสู่กระบวนการยุติธรรม มือปราบทั้งหมดในเมืองน้อยใหญ่ในปัจจุบัน ล้วนมาจากสำนักสืบสวน
FactionInfo_万兽山庄,"A large manor located in the southwest, known for its beast taming skills. The manor owner, Tang Tai Jun, moved his family here decades ago to keep his promise of guarding the southwest. Since then, they have dominated the southwest, preventing the Jiuli Tribe from invading the Central Plains.",หมู่ตึกบนภูเขาขนาดใหญ่ในบาชู เชี่ยวชาญเรื่องการฝึกสัตว์ ภายใต้การนำของถังไท่จุน เขามีอำนาจมากในการปกครองตะวันตกเฉียงใต้ จนชนเผ่าต่างๆ ในภูมิภาคตะวันตกเฉียงใต้ทั้งหมดไม่กล้าที่จะรุกราน
FactionInfo_虎威镖局,"Once the largest escort agency in the world, but a few years ago it encountered a change, the former head of the escort disappeared, and now it is taken over by the daughter of the head of the escort, Han Hongyu, but the situation of the escort agency is far from the past.","ครั้งหนึ่งเคยเป็นสำนักคุ้มภัยที่ใหญ่ที่สุดในโลก, แต่เมื่อไม่กี่ปีที่แล้วก็พบกับเหตุเปลี่ยนแปลงครั้งใหญ่, อดีตหัวหน้าสำนักคุ้มภัยหายตัวไป, และตอนนี้ถูกยึดครองโดยลูกสาวของหัวหน้าสำนักคุ้มภัย หาน หงหยู, แต่สถานการณ์ตอนนี้ของสำนักคุ้มภัยพยัคฆายังห่างไกลจากอดีตมากนัก"
FactionInfo_夜摩坊,"A market outside Daliang City that only opens at night, it is very lively every night. There is an auction every night, and it has the posture of competing with the Glittering Artifact Auction.",ตลาดนอกเมืองต้าเหลียงที่เปิดเฉพาะตอนกลางคืนและคึกคักทุกคืน มีการประมูลทุกคืน และมีท่าทีแข่งขันกับหอไข่มุก
FactionInfo_玄衣会,"A killer organization that only recognizes money and does not recognize people. As long as you are on their target list, there is only one way to die.",องค์กรนักฆ่าที่ยอมรับแต่เงินและไม่สนใจผู้ใด ตราบใดที่คุณอยู่ในรายชื่อเป้าหมาย มีทางเดียวเท่านั้นคือ ตาย
FactionInfo_摸金门,"Mysterious organization, living by stealing cultural relics in ancient tombs, all the disciples are proficient in the technique of dividing gold and determining acupoints, and no one knows where their power is.",องค์กรลึกลับที่ใช้ชีวิตโดยการขโมยโบราณวัตถุในสุสานโบราณ สาวกทุกคนมีความเชี่ยวชาญในเทคนิคการแยกทองคำและกำหนดจุดฝังเข็ม และไม่มีใครรู้ที่มาของวิชาพวกเขา
FactionInfo_冷皮帮,"Located in the Flame City in the desert, it is the actual ruler of Flame City. Under the management of Master Huo Shilou, it resists the self-proclaimed Western Regions hegemon, the Holy Fire Sect.",ตั้งอยู่ในเมืองอัคคี ซึ่งตั้งอยู่กลางทะเลทราย ถือเป็นผู้ปกครองที่แท้จริงของเมืองอัคคี ภายใต้การบริหารของหัวหน้าพรรคฮั่วซื่อเหล่า เขาทำงานอย่างหนักเพื่อต่อต้านนิกายไฟศักดิ์สิทธิ์ ซึ่งอ้างตัวว่าเป็นเจ้าเหนือหัวของภูมิภาคตะวันตก
FactionInfo_燕云铁军,"The elite army of the Yan Kingdom, with strong soldiers and horses, is eyeing the Central Plains under the command of Wanyan Wuzhu.",กองทัพชั้นยอดของแคว้นเยี่ยน พร้อมด้วยทหารและม้าที่แข็งแกร่ง กำลังจับตาดูจงหยวน ภายใต้การบังคับบัญชาของหวันเหยียนอู๋จู
