﻿ControlTip_Or,Or,หรือ
ControlTip_Setup,Settings,ตั้งค่า
ControlTip_Back,Return
ControlTip_changeAccount,Adjust Quantity
ControlTip_Max,Max,สูงสุด
ControlTip_Min,Minimum,ต่ำสุด
ControlTip_Wager0,{0} Money
ControlTip_Wager1,{0} Money
ControlTip_Wager2,{0} Money
ControlTip_Esc,Run away
ControlTip_Skip,Skip,ข้าม
ControlTip_Cheat,Bet Thousands
ControlTip_BattleAuto,Auto
ControlTip_BattleSpeedUp,Double Speed,ความเร็วสองเท่า
ControlTip_BattleMove,Move/Normal Attack
ControlTip_BattleCheckActor,Info Target,ข้อมูลเป้าหมาย
ControlTip_BattleField,Battle Range
ControlTip_BattleAction,Execute Action
ControlTip_BattleEscape,Retreat
ControlTip_BattleRest,Rest
ControlTip_BattleTips,Key Prompt
ControlTip_SelectOrCancel,Select/Cancel
ControlTip_OnePointBuild,One-click Setting
ControlTip_SaveSetting,Save Setting,บันทึกการตั้งค่า
ControlTip_ReMove,Re-move
ControlTip_Stealth,Stealth
ControlTip_Battle,Battle
ControlTip_Map,Open Map
ControlTip_Pet,Call Pet
ControlTip_Meditation,Meditate,นั่งสมาธิ
ControlTip_Settings,Settings,ตั้งค่า
ControlTip_Characters,Character,ตัวละคร
ControlTip_Log,Log
ControlTip_ControlTip,Key Prompt
ControlTip_Journal,Journal
ControlTip_ExitStealth,Exit Stealth
ControlTip_ApplyAction,Execute Interaction
ControlTip_PoisonSetup,Poison Setting
ControlTip_MoveConfirm,Move
ControlTip_SwitchToggle,Switch Tab
ControlTip_ScrollLog,Scroll Log
ControlTip_GiftingNpc,Gift
ControlTip_ItemTip,Item Description
ControlTip_MapScale,Zoom
ControlTip_MapGo,Set Off
ControlTip_MapBack,Return to Start
ControlTip_SwitchTipShow,Close/Open Key Prompt
ControlTip_Enter,Go
ControlTip_InputPetName,Pet Naming
ControlTip_InputSaveName,Save Naming
ControlTip_DeleteSave,Delete Save,ลบข้อมูลบันทึก
ControlTip_BattleStart,Start Battle,เริ่มการต่อสู้
ControlTip_BattleReadyShowActor,Show avatar,แสดงรูปประจำตัว
ControlTip_BattleReadyHiddenActor,Hide avatar,ซ่อนรูปประจำตัว
ControlTip_BattleReadyDragActor,Drag Character,ลากตัวละคร
ControlTip_BattleReadySelectOrCancel,Join Battle/Cancel
ControlTip_BattleBegin,Enter the battle
ControlTip_PetsFeed,Feed,ให้อาหาร
ControlTip_PetsHeal,Heal,รักษา
ControlTip_WeaponProduce,Craft
ControlTip_WeaponType,Type,ประเภท
ControlTip_WeaponCanProduce,Can Craft,สามารถผลิต
ControlTip_WeaponInformation,Info Special Skill
ControlTip_WeaponFactor,Info Data
ControlTip_TailorProduce,Tailoring
ControlTip_TailorCanProduce,Can be tailored
ControlTip_AlchemistProduce,Refining
ControlTip_AlchemistCanProduce,Can be refined
ControlTip_SundriesProduce,Making
ControlTip_SundriesCanProduce,Can be made,สร้างได้
ControlTip_CookProduce,Cooking,ทำอาหาร
ControlTip_CookCanProduce,Can be cooked,ทำอาหารได้
ControlTip_Authenticate,Appraise
ControlTip_PoisionSelect,Select Focus Poison
ControlTip_PoisionAutoSelect,Automatically select when exhausted
ControlTip_PoisionSetting,Open Poison Setting
ControlTip_AuctionGoodsConfirm,Item Auction
ControlTip_AuctionExit,Exit
ControlTip_AuctionType,Type,ประเภท
ControlTip_AuctionEnter,Join Auction,เข้าร่วมประมูล
ControlTip_AuctionGoodsCancel,Retrieve Auction
ControlTip_AuctionGoodsCheck,Info Auction Item
ControlTip_AuctionPreview,Auction Preview
ControlTip_SwitchFiefShared,Switch Home Progress Sharing
ControlTip_TeleportToFief,Go to Home
ControlTip_Rename,Rename
ControlTip_FiefCheckCost,Info Upgrade
ControlTip_FiefSetting,Edit Teammate
ControlTip_FiefEnter,Go
ControlTip_FiefUnlock,Unlock
ControlTip_FiefLvUp,Upgrade
ControlTip_FiefMainClose,Close
ControlTip_FiefMainLeave,Run away home base
ControlTip_FeifJoyTipSwitch,Open/Close Key Prompt
ControlTip_FeifMoveNpc,Move Partner
ControlTip_FeifKungfuIn,Engrave Martial Arts
ControlTip_FeifKungfuOut,Expand Martial Arts
ControlTip_FeifKungfuLeftTip,Preview Expand Martial Arts
ControlTip_FeifKungfuRightTip,Preview Engrave Martial Arts
ControlTip_FeifEquipIn,Place Item
ControlTip_FeifEquipOut,Take Item
ControlTip_FeifEquipLeftTip,Preview Display Item
ControlTip_FeifEquipRightTip,Preview Backpack Item
ControlTip_LivingExpUpgrade,Promote Level
ControlTip_FiefTitleEdit,Homeland Naming
ControlTip_MakeOffer,Make an Offer
