﻿UI_InstantKill,Instant death,เสียชีวิตทันที
UIThankList_SpecialThanks_Content,"九九重阳\nVan尔一啸\n212\nAgan\nAmiz\nAngel LuvSic.\nBeyox\nblank\nblankws\nChips ahoy\nCstloH\nFan\nGrow again\nJoe\nKei\nL\nOP\nPanacea\nsyy\ntlovez\nyelan\n阿米巴虫\n阿叹\n阿钊钊钊\n敖天99\n不倒的木偶\n常悟心\n陈星\n陈子游\n大金橙\n等风来\n点\n东方该\n東君（\n肚\n端寤\n否极泰来\n格鲁特\n公子玄\n哈喇子精星星\n行将就木\n红娘·墨小西\n花见\n渐行渐远渐无书\n江上弄笛_\n金人玉\n橘生淮南\n快看我烧起来了\n拉默默\n蓝乐乐\n李佳泰\n李竣功\n两儀Ryo\n琉球的哀华\n陆陆侠\n陆奕辰myj\n马屁公园\n猫头狂揉\n毛豆王\n毛乙俊\n梦\n秒针\n摩拉克星\n乃琳爱你哟\n奈何桥卖豆浆\n楠橙与秋霞\n三金\n傻不啦畅\n少侠王平知\n十四先生\n水云浩淼\n嗣音。\n苏弦\n随性\n孙艺源\n涛声依旧\n田肖洛\n焞哑\n王仲霖\n王梓谕\n温良。\n伍迪\n悟空的狗\n夏天不雨\n蠢忧忧\n小p\n小路\n小星星\n小越越\n新泡峰波丁云龙\n虚佑\n许许\n钥匙链\n楪祈\n渝晚\n原以为\n招财进宝\n照章纳税\n支小白\n重感情\n紫妹千碎\nヾ(*´∀｀*)5678iu67Iﾉだよ\n葛林\n李阔\n尚天赐\nZhen Hui\nAvalonian\n虎牙直播",
制作人,Producer,โปรดิวเซอร์
主程序,Lead Programmer,
主美术,Lead Artist,
资深程序开发,Senior Programmer,
系统&数值,System & Balance Designer,
系统&事件,System & Event Designer,
事件&脚本,Event & Stroy Designer,
场景&资源管理,Scene Designer & Resource Management,Scene & Resource Management
UI&图标,UI Artist,
游戏测试,Quality Assurance,
制作人_Content,半瓶神仙醋,半瓶神仙醋
主程序_Content,和谐之猫（金城）,和谐之猫（金城）
主美术_Content,小E掌柜（袁毅）,小E掌柜（袁毅）
资深程序开发_Content,"二九（殷实佳）\n螺纹（罗敬儒）","二九（殷实佳）\n螺纹（罗敬儒）"
系统&数值_Content,小鬼（张超）,小鬼（张超）
系统&事件_Content,石老猫（石天骄）,石老猫（石天骄）
事件&脚本_Content,骁骐（赵琦）,骁骐（赵琦）
场景&资源管理_Content,迪女王（张迪）,迪女王（张迪）
UI&图标_Content,张少杰,张少杰
游戏测试_Content,冯骏,冯骏
外部支援,————External Support————,————External Support————
美术支援,Outsourcing Artist,
音乐支援,Outsourcing Musician,Music support
美术支援_Content,"Lupo\n疾风小土狗\n马屁公园\n木菠萝\n陈东城\n弥雾\n肉大大大大王\n顾潇涵","Lupo\n疾风小土狗\n马屁公园\n木菠萝\n陈东城\n弥雾\n肉大大大大王\n顾潇涵"
音乐支援_Content,"武聆音雄\n小旭音乐","武聆音雄\n小旭音乐"
特别感谢,————Special Thanks————,————Special Thanks————
UIThankList_EndTip,"""Hero's Adventure"" is now officially on sale on the Steam platform.\nThank you to all the young heroes who have been following ""Hero's Adventure"". Your support and love have helped the team to persevere.\nA journey of a thousand miles begins with a single step. ""Hero"" has just taken its first step, and there is a long way to go in the future. We will not let you down.\n\n<color=#ffff00>It's not easy for a domestic single-player survival game, thank you for supporting the genuine version!</color>","""Hero's Adventure"" is now officially on sale on the Steam platform.\nThank you to all the young heroes who have been following ""Hero's Adventure"". Your support and love have helped the team to persevere.\nA journey of a thousand miles begins with a single step. ""Hero"" has just taken its first step, and there is a long way to go in the future. We will not let you down.\n\n<color=#ffff00>It's not easy for a domestic single-player survival game, thank you for supporting the genuine version!</color>"
EATag,Official Version,เวอร์ชั่นอย่างเป็นทางการ
BattleDragRoleTip,"Choose <#29F161>display avatar</color> to set the character to join the battle, drag your own character to change the initial position","คลิกที่<#29F161>รูปประจำตัว</color>เพื่อเลือกตัวละครที่จะให้เข้าร่วมการต่อสู้, สามารถลากตัวละครเพื่อเปลี่ยนตำแหน่งเริ่มต้นได้"
RemoveKungfu_Button,Forget,ถอดออก
LogTab_All,All,ทั้งหมด
LogTab_Normal,Daily,รายวัน
LogTab_Battle,Battle,การต่อสู้
TeachAbility,LRN,เรียนรู้
10Percent,One tenth,หนึ่งในสิบ
20Percent,One fifth,หนึ่งในห้า
AllIn,All in,หมดหน้าตัก
UISigBo_LeftBetTime,Remaining betting time:,เวลาลงพนันที่เหลืออยู่:
UIKungfu_BondTag,Fate,ผูก
BondAssist,Assist,ช่วยเหลือ
MoralFondnessTitle,<color=#C5935D>Character tendency{0}</color>,<color=#C5935D>นิสัยเฉพาะของตัวละคร{0}</color>
GamblingMoney,Chips,ซิป
ResetAcupoint,Relearn,เรียนรู้ใหม่
ZzPointEdit,Distribute,แบ่ง
ZzPointReset,Reset,แบ่งใหม่
ZzPointRestHead,Points:,แต้มที่มี:
HPBar_state_imgEnhanceSpeed_Text,Light,แสง
EnglishWarning_Title,Attention,ความสนใจ
EnglishWarning_Content,"The current English localization is provided by voluntary community works.\nIt's still in early version stage, so please understand that this will result in some unpolished translations.\nIf the localization fails to meet your expectations, please feel free to refund the game within 2 hours of gameplay. \n\nJoin in our Discord Channel for more infos and help.","The current English localization is provided by voluntary community works.\nIt's still in early version stage, so please understand that this will result in some unpolished translations.\nIf the localization fails to meet your expectations, please feel free to refund the game within 2 hours of gameplay. \n\nJoin in our Discord Channel for more infos and help."
EnglishWarning_Confirm,OK,ตกลง
InteractiveUi_Options_OptionsBg_Text1,What do you want to do,เจ้าอยากทำอะไรล่ะ
InteractiveUi_Options_OptionsBg_Text2,"Stamina is zero\nInteraction restricted","แรงกายเหลือ 0\nการโต้ตอบถูกจำกัด."
TwoButtonsWindow_Notice_Image_BG_Image_Bar_Text(TMP),"Text\n","ข้อความ\n"
TwoButtonsWindow_Notice_Image_BG_Image_Bar_Button_Close_Text(TMP),"Text\n","ข้อความ\n"
TwoButtonsWindow_Notice_Image_BG_Equipment_Text(TMP),"Text\n","ข้อความ\n"
TwoButtonsWindow_Notice_Image_BG_Buttons_Button_Text(TMP),"Text\n","ข้อความ\n"
TwoButtonsWindow_Notice_Image_BG_Buttons_Button(1)_Text(TMP),"Text\n","ข้อความ\n"
UIMenuPanel_Role_RolePanel_IsFull_Name,Kitty,แมว
UIMenuPanel_Role_RolePanel_IsFull_shengming,HP,HP
UIMenuPanel_Role_RolePanel_IsFull_shengming_left,8888,8888
UIMenuPanel_Role_RolePanel_IsFull_shengming__,/,/
UIMenuPanel_Role_RolePanel_IsFull_shengming_right,8888,8888
UIMenuPanel_Role_RolePanel_IsFull_neili,MP,MP
UIMenuPanel_Role_RolePanel_IsFull_neili_left,8888,8888
UIMenuPanel_Role_RolePanel_IsFull_neili__,/,/
UIMenuPanel_Role_RolePanel_IsFull_neili_right,8888,8888
UIMenuPanel_Role_RolePanel_IsFull_neili_yang_Text(TMP),Yang,หยาง
UIMenuPanel_Role_RolePanel_IsFull_yin_Text(TMP),Yin,หยิน
UIMenuPanel_UIRoleMenuPanel_RightPanel_Down_Features_1_jiesuo_Text(TMP),Kitty,แมว
UIMenuPanel_UIRoleMenuPanel_RightPanel_Down_Features_2_jiesuo_Text(TMP),Kitty,แมว
UIMenuPanel_UIRoleMenuPanel_RightPanel_Down_Features_3_jiesuo_Text(TMP),Kitty,แมว
UIMenuPanel_UIRoleMenuPanel_RightPanel_titleTxt,Gain status,สถานะที่ได้รับ
UIMenuPanel_UIRoleMenuPanel_RightPanel_Item_txt,Kitty,แมว
UIMenuPanel_UIRoleMenuPanel_LeftPanel_lv,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_lv_Text(TMP),Level,ระดับ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Exp_Text(TMP),EXP,ค่าประสบการณ์
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Exp_expIndex,0/100,0/100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_txt,CON,พลังกาย
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text1,INT,สติปัญญา
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text2,LUK,โชค
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text3,DEX,คล่องแคล่ว
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Text4,STR,พละกำลัง
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_tizhi,50,50
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_wuxing,70,70
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_fuyuan,10,10
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_minjie,20,20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Radar_Base_txt_bili,30,30
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip_Item_num,22,22
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip_Item_mark_Text(TMP),EQ,สวมใส่
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip1_Item_num,22,22
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip1_Item_mark_Text(TMP),EQ,สวมใส่
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip2_Item_num,22,22
UIMenuPanel_UIRoleMenuPanel_LeftPanel_Equip2_Item_mark_Text(TMP),EQ,สวมใส่
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text,ATK,โจมตี
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(1),QG,ตัวเบา
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(2),FIST,หมัด
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(3),BLD,ดาบ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(4),SW,อาวุธสั้น
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(5),ACC,แม่นยำ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(6),CRIT,คริติคอล
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(7),MED,แพทย์
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(8),THRW,อาวุธลับ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag_Text(9),KNOW,ความเข้าใจวรยุทธ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text,DEF,ป้องกัน
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(1),AS,ท่าร่าง
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(2),SWD,กระบี่
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(3),LW,อาวุธยาว
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(4),MUS,ดนตรี
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(5),EVA,หลบ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(6),PAR,ปัดป้อง
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(7),TOX,พิษ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(8),COM,โจมตีต่อเนื่อง
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_tag1_Text(9),CBT,การต่อสู้
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_gongji,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_qinggong,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_quanzhang,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_shuadao,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_duanbing,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_mingzhong,109% +10%,109% +10%
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_baoji,10%,10%
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_yishu,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_anqi,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo_wuxuechangshi,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_fangyu,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_jiqi,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_yujian,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_changbing,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_yinlv,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_shanbi,100% +19%,100% +19%
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_gedang,100% +19%,100% +19%
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_dushu,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_hubo,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_RoleInfo1_shizhannengli,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional_gongji,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional_qinggong,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional1_fangyu,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor1_Additional1_jiqi,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text,Attack power,พลังโจมตี
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(1),Qinggong,วิชาตัวเบา
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(2),Fist,หมัด
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(3),Blade,ดาบ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag_Text(4),Short,อาวุธสั้น
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text,Defense power,พลังป้องกัน
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(1),Initial Action Point,ปราณเคลื่อนที่เริ่มต้น
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(2),Sword,กระบี่
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(3),Long,อาวุธยาว
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_tag1_Text(4),Musical,ดนตรี
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_gongji,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_qinggong,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_quanzhang,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_shuadao,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo_duanbing,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_fangyu,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_jiqi,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_yujian,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_changbing,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_RoleInfo1_yinlv,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Additional_gongji,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Additional_qinggong,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Additional1_fangyu,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Additional1_jiqi,+20,+20
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button_Text(TMP),Gift,ของขวัญ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button(1)_Text(TMP),Spar,ประลอง
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button(2)_Text(TMP),Trade,แลกเปลี่ยน
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Interaction_Button(3)_Text(TMP),Leave team,ออกจากกลุ่ม
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag_Text,Benevolence,ศีลธรรม
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag_Text(1),Propriety,มารยาท
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag_Text(2),Trustworthy,ซื่อสัตย์
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag(1)_Text,Righteous,คุณธรรม
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag(1)_Text(1),Wisdom,ภูมิปัญญา
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_tag(1)_Text(2),Courage,ความกล้าหาญ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo_lijie,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo_xinyong,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo(1)_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo(1)_lijie,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_RoleInfor_Character_RoleInfo(1)_xinyong,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_PlayerInfo_Viewport_Content,"Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan.",ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_1_Text,BENE,ศีลธรรม
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_1_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_2_Text,RIGH,คุณธรรม
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_2_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_3_Text,PRO,มารยาท
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_3_rende,<color=#FF0000>100,<color=#FF0000>100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_4_Text,TRUST,ซื่อสัตย์
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_4_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_5_Text,WIS,ภูมิปัญญา
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_5_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_6_Text,COUR,ความกล้าหาญ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_PlayerInfo_playerBottom_6_rende,100,100
UIMenuPanel_UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_songli_Text(TMP),Gift,ของขวัญ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_yiwu_Text(TMP),Trade,แลกเปลี่ยน
UIMenuPanel_UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_qingjiao_Text(TMP),Request,คำขอ
UIMenuPanel_UIRoleMenuPanel_LeftPanel_NpcInfo_npcBottom_leave_Text(TMP),Leave team,ออกจากกลุ่ม
UIMenuPanel_UIRoleMenuPanel_LeftPanel_NpcInfo_Relation,[Intimate],[ใกล้ชิด]
UIMenuPanel_UIRoleMenuPanel_LeftPanel_NpcInfo_Info_Viewport_Content,"Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan. Biography of Yue Fei: Since the age of twenty, he has joined the army four times, starting from the 20th year of Jianyan. He has joined the army four times since the 20th year of Jianyan.",ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน ชีวประวัติของเย่ว์เฟย: ตั้งแต่อายุยี่สิบปี เขาเข้าร่วมกองทัพสี่ครั้ง เริ่มตั้งแต่ปีที่ 20 ของเจียนหยาน เขาได้เข้าร่วมกองทัพสี่ครั้งนับตั้งแต่ปีที่ 20 ของเจียนหยาน
UIMenuPanel_UIPack_Package_Item_num,22,22
UIMenuPanel_UIPack_Package_Item_mark_Text(TMP),Unknown,ไม่ทราบ
UIMenuPanel_UIPack_Package_menu_Equipment_Text(TMP),Equipment,ของสวมใส่
UIMenuPanel_UIPack_Package_menu_Equipment_Text(TMP)(1),Equipment,ของสวมใส่
UIMenuPanel_UIPack_Package_menu_SecretBook_Text(TMP),Manual,ตำรา
UIMenuPanel_UIPack_Package_menu_SecretBook_Text(TMP)(1),Manual,ตำรา
UIMenuPanel_UIPack_Package_menu_Consume_Text(TMP),Consumables,ของใช้
UIMenuPanel_UIPack_Package_menu_Consume_Text(TMP)(1),Consumables,ของใช้
UIMenuPanel_UIPack_Package_menu_Material_Text(TMP),Material,วัตถุดิบ
UIMenuPanel_UIPack_Package_menu_Material_Text(TMP)(1),Material,วัตถุดิบ
UIMenuPanel_UIPack_Package_menu_Map_Text(TMP),Map,แผนที่
