﻿NewsIssueTitle,Issue {0},ฉบับ{0}
TestKey_武功点评_13,"Vairocana Godly Palm: A secret palm technique hidden in the scripture library of Shifa Temple. It is rarely seen in the martial arts world. It is said to be like the coming of the Tathagata, exterminating all the demons in the world when used.",ฝ่ามือยูไล: วิทยายุทธฝ่ามือที่ซ่อนอยู่ในหอพระคัมภีร์ของอารามฉีฟา มีเพียงไม่กี่คนในยุทธภพที่ได้เห็นมัน ว่ากันว่าหากใช้ออกไปเปรียบเสมือนตถาคตเสด็จมาเยือนโลกเพื่อกำจัดวิญญาณชั่วร้ายทั้งหมด
TestKey_武功点评_14,"One Blade: The unique sword technique of Dragonfly City, named One Blade, meaning only one blade is needed. The move is extremely swift, making it unclear when one has been hit.",ดาบเดี่ยว: วิชาดาบอันเป็นเอกลักษณ์ของเมืองแมลงปอ คำว่า ดาบเดี่ยว หมายถึงฟันเพียงครั้งเดียว การเคลื่อนไหวรวดเร็วเป็นอย่างยิ่ง ยากที่จะเห็นว่าลงมือโจมตีเมื่อใด
TestKey_武功点评_15,"Herbal Medical Canon: The secret medical canon of the Plant Sect, which almost includes the rescue methods for all diseases.",หลักการทางการแพทย์ด้วยสมุนไพร: หลักการทางการแพทย์ที่เป็นความลับของนิกายพืช ซึ่งเกือบจะรวมวิธีการช่วยชีวิตสำหรับโรคทั้งหมด
TestKey_游戏小贴士_1,Gathering and crafting do not consume time.,การรวบรวมและการประดิษฐ์ไม่ต้องใช้เวลา
TestKey_游戏小贴士_2,Time continues even if you stand still.,เวลายังคงดำเนินต่อไปแม้ว่าคุณจะหยุดนิ่งก็ตาม
TestKey_游戏小贴士_3,Everyone has their own schedule.,ทุกคนมีตารางเวลาของตัวเอง
TestKey_游戏小贴士_4,Remember to rest and avoid overworking.,อย่าลืมพักผ่อนและหลีกเลี่ยงการทำงานหนักเกินไป
TestKey_游戏小贴士_5,"Sleeping on a straw mat can cause colds, please take precautions.",การนอนบนเสื่อฟางอาจทำให้เป็นหวัดได้ โปรดใช้ความระมัดระวัง
TestKey_游戏小贴士_6,Please avoid being seen by others when sneaking.,โปรดอย่าให้ผู้อื่นเห็นขณะลับๆล่อๆ
TestKey_游戏小贴士_7,"Every choice is important, please be cautious.",ทุกทางเลือกมีความสำคัญ โปรดใช้ความระมัดระวัง
TestKey_游戏小贴士_8,Some objects can be destroyed.,วัตถุบางอย่างสามารถถูกทำลายได้
TestKey_游戏小贴士_9,Don't take things that belong to others.,อย่าหยิบของที่เป็นของผู้อื่น
TestKey_游戏小贴士_10,Committing crimes in the city will result in arrest.,การก่ออาชญากรรมในเมืองจะส่งผลให้มีการจับกุม
TestKey_游戏小贴士_11,Everyone has their own preferences.,ทุกคนมีความชอบของตัวเอง
TestKey_游戏小贴士_12,Some things will happen even if you don't participate.,บางสิ่งจะเกิดขึ้นแม้ว่าคุณจะไม่ได้เข้าร่วมก็ตาม
TestKey_游戏小贴士_13,"Please support the official version, do not buy pirated items.",กรุณาสนับสนุนเวอร์ชั่นอย่างเป็นทางการ อย่าซื้อสินค้าละเมิดลิขสิทธิ์
TestKey_游戏小贴士_14,Some places prohibit animals from entering.,สถานที่บางแห่งห้ามสัตว์เข้า
TestKey_游戏小贴士_15,"There are many paths in life, and success can come from any of them.",มีหลายเส้นทางในชีวิต และความสำเร็จอาจมาจากเส้นทางใดก็ได้
TestKey_游戏小贴士_16,Powerful martial arts are often harder to obtain.,วรยุทธอันทรงพลังมักจะได้มายากกว่า
TestKey_游戏小贴士_17,Using martial arts requires the corresponding weapon.,การใช้วรยุทธต้องใช้อาวุธที่เกี่ยวข้อง
TestKey_本期要闻_1,"The world-renowned courtesan - Miss Qincheng is visiting Lin'an City Maiden House, those who want to see her beauty should seize the opportunity!",โสเภณีชื่อดังระดับโลก - แม่นางชิงเฉิง กำลังเยือนเมืองหลินอันผู้ที่ต้องการเห็นความงามของเธอควรคว้าโอกาสนี้ไว้!
TestKey_江湖简讯_1,"The Grand Marshal of the Yan Kingdom's army suddenly died, the Iron Army of Yan and Yun is leaderless, the remaining troops have retreated to the north, and the crisis in Chuxiang City has been resolved!",แม่ทัพใหญ่แห่งกองทัพแคว้นเยี่ยนเสียชีวิตกะทันหัน กองทัพเหล็กเยี่ยนหยุนขาดผู้นำ กองทหารที่เหลือรอดล่าถอยกลับไปทางเหนือ และวิกฤตในเมืองฉู่เซียงได้รับการแก้ไขแล้ว!
TestKey_江湖简讯_2,"For some unknown reason, the Grand Marshal of the Yan Kingdom's army hastily led the Iron Army of Yan and Yun to retreat to the Yan Kingdom. Chuxiang City has once again escaped from the war. It seems that there is a divine will protecting the people of Chuxiang City.",ด้วยเหตุผลใดไม่ทราบ แม่ทัพใหญ่แห่งกองทัพแคว้นเยี่ยนรีบนำกองทัพเหล็กเยี่ยนหยุนล่าถอยกลับไปยังแคว้นเยี่ยน เมืองฉู่เซียง ได้รอดพ้นจากภัยสงครามได้อีกครั้ง ดูเหมือนว่าจะมีสิ่งศักดิ์สิทธิ์คอยปกป้องผู้คนเมืองฉู่เซียงไว้
