﻿Talking_default,Talk,พูดคุย
2004_1_name,Mysterious iron spearhead 1,หัวหอกเหล็กลึกลับ1
2004_1_overview,Maybe the <color=#c44b0e>blacksmith</color> knows something,บางที<color=#c44b0e>ช่างตีเหล็ก</color>อาจจะรู้อะไรบางอย่าง
2004_2_name,Mysterious iron spearhead 2,หัวหอกเหล็กลึกลับ2
2004_2_overview,Give the blacksmith a bowl of <color=#c44b0e>Burning blade wine</color>.,มอบ <color=#c44b0e>สุราเผาดาบ</color> ให้กับช่างตีเหล็ก
2005_name,Improve relations with Lost Forest,ปรับปรุงความสัมพันธ์กับป่าสาปสูญ
2005_overview,Giving Lingzhi to the Wild Boar King might have unexpected effects,การให้เห็ดหลินจือแก่ราชาหมูป่าอาจมีผลที่ไม่คาดคิด
2005_options1_3,Think about it again,ลองคิดดูอีกครั้ง
2005_options1_2,Ignore it (<color=#c44b0e>irreversible</color>),ไม่ต้องสนใจมัน (<color=#c44b0e>ไม่สามารถย้อนกลับได้</color>)
2005_options1_1,Hand over the <color=#c44b0e>Lingzhi</color>,ส่งมอบ<color=#c44b0e>เห็ดหลินจือ</color>
2006_name,Improve relations with Wild Wolf Valley,ปรับปรุงความสัมพันธ์กับหุบเขาหมาป่า
2006_overview,Giving 10 pieces of Wild boar meat to Wolf King Xiao Yue might have unexpected effects,การให้เนื้อหมูป่า 10 ชิ้นแก่ราชาหมาป่าเสี่ยวเยว่อาจมีผลที่ไม่คาดคิด
2006_options1_3,Think about it again,คิดดูอีกครั้ง
2006_options1_2,Ignore it (<color=#c44b0e>irreversible</color>),ไม่ต้องสนใจมัน (<color=#c44b0e>ไม่สามารถย้อนกลับได้</color>)
2006_options1_1,Hand over <color=#c44b0e>10 pieces of Wild boar meat</color>,ส่งมอบ <color=#c44b0e>เนื้อหมูป่า 10 ชิ้น</color>
2007_name,
2007_overview,
2007_overview_1,
2008_name,Trouble in Lost Forest,ปัญหาในป่าสาปสูญ
2008_overview,Head to the Lost Forest to deal with the <color=#c44b0e>Wild Boar King·Gang Lie</color> deep in the woods,มุ่งหน้าไปยังป่าสาบสูญเพื่อจัดการกับ <color=#c44b0e>ราชาหมูป่า กังเลี่ย</color> ที่อยู่ลึกเข้าไปในป่า
2008_overview_1,Return to the village and tell <color=#c44b0e>Village Head</color> that Gang Lie has been dealt with,กลับไปที่หมู่บ้านแล้วบอก <color=#c44b0e>หัวหน้าหมู่บ้าน</color> ว่า กังเลี่ย ถูกจัดการแล้ว
2008_detail,——,——
2009_name,Rescue Liu Xiao Bao,ช่วยเหลือหลิวเสี่ยวเป่า
2009_overview,Go to Blue Wind Camp to rescue Liu Xiao Bao,ไปที่ค่ายลมสีน้ำเงินเพื่อช่วยเหลือหลิวเสี่ยวเป่า
2010_name,Sell Wild boar meat,ขายเนื้อหมูป่า
2010_overview,
2010_options01_01,Choose to sell for money,เลือกขายเพื่อเงิน
2010_options01_02,Choose not to take money,เลือกที่จะไม่รับเงิน
2010_options01_03,[Run away] Don't want to sell!,[หนี] ไม่อยากขาย!
2011_name,News about Lingzhi,ข่าวเกี่ยวกับเห็ดหลินจือ
2011_overview,Heard there's a Lingzhi under a special big tree in Lost Forest,ได้ยินมาว่ามีเห็ดหลินจืออยู่ใต้ต้นไม้ใหญ่พิเศษในป่าสาปสูญ
2012_name,Village Head's Secret chamber,ห้องลับของหัวหน้าหมู่บ้าน
2012_overview,"There's a Secret chamber in the Village head's house - Bedroom, use the Dragon key to open the Chest in the Secret chamber",มีห้องลับอยู่ในบ้านของหัวหน้าหมู่บ้าน ห้องนอน ใช้กุญแจมังกรเพื่อเปิดหีบในห้องลับ
2013_name,Wolf King of the Wild Wolf Valley,ราชาหมาป่าแห่งหุบเขาหมาป่า
2013_options1,Give the hunter the <color=#c44b0e>Wolf king fang</color>,มอบ <color=#c44b0e>เขี้ยวราชาหมาป่า</color> ให้กับนักล่า
2013_options2,Don't give,อย่าให้
2014_name,Xiao Bao's Wooden sword,กระบี่ไม้ของเสี่ยวเป่า
2014_overview_1,"Xiao Bao admires you a lot, go have a chat with Xiao Bao",เสี่ยวเป่าชื่นชมคุณมาก ไปคุยกับเสี่ยวเป่าสิ
2014_overview_2,Go see the Woodcutter and see if there's a solution,ไปพบคนตัดฟืนและดูว่ามีวิธีแก้ปัญหาหรือไม่
2014_overview_3,Find a piece of <color=#c44b0e>firewood</color> and give it to the Woodcutter,ค้นหา<color=#c44b0e>ฟืน</color>ชิ้นหนึ่งแล้วมอบให้คนตัดไม้
2014_overview_4,Find the Woodcutter again later,ค้นหาคนตัดไม้อีกครั้งในภายหลัง
2014_overview_5,Give the <color=#c44b0e>Wooden sword</color> to Xiao Bao,มอบ<color=#c44b0e>กระบี่ไม้</color>ให้กับเสี่ยวเป่า
2015_name,Blacksmith's request,คำขอจากช่างตีเหล็ก
2015_overview_1,Have a chat with the blacksmith,พูดคุยกับช่างตีเหล็ก
2015_overview_2,Go to the <color=#c44b0e>village well</color> to fetch water,ไปที่<color=#c44b0e>บ่อน้ำของหมู่บ้าน</color>เพื่อตักน้ำ
2015_overview_3,Give the fetched water to the blacksmith,มอบน้ำที่ได้มาให้กับช่างตีเหล็ก
2016_name,Village Head's request,คำขอจากหัวหน้าหมู่บ้าน
2016_overview_1,Village Head seems to have something to ask,หัวหน้าหมู่บ้านดูเหมือนมีเรื่องจะถาม
2016_overview_2,Stay at the Village head's house until the Village Head returns,อยู่บ้านของหัวหน้าหมู่บ้านจนกว่าหัวหน้าหมู่บ้านจะกลับมา
2016_options1,Gladly accept,ยอมรับด้วยความยินดี
2016_options2,Politely decline,ปฏิเสธอย่างสุภาพ
2016_options3,Wait a bit longer,รออีกสักหน่อย
2016_options4,Decisively leave,ออกไปอย่างเด็ดเดี่ยว
2016_3_options_1,Look around,มองไปรอบๆ
2016_3_options_2,Wait patiently,รออย่างอดทน
2016_3_options_3,Take a nap,งีบหลับสักครู่
M1200-2_options_1,Eat and drink together!,กินดื่มไปพร้อมๆ กัน!
M1200-2_options_2,Leave first due to other matters.,ออกไปก่อนเพราะเรื่องอื่น
M1200-3_1_options_1,Join the Blue Wind Camp.,เข้าร่วมค่ายวายุคราม
M1200-3_1_options_2,Force your way in.,บุกเข้าไปข้างใน
M1200-3_4_options_1,Offer the Wolf king skin.<color=#097a76>(Wolf king skin)</color>,เสนอหนังราชาหมาป่า<color=#097a76>(หนังราชาหมาป่า)</color>
M1200-3_4_options_2,Test of Strength.<color=#097a76>(Strength)</color>,ทดสอบพละกำลัง<color=#097a76>(พละกำลัง)</color>
M1200-3_4_options_3,Test of combat.<color=#097a76>(Solo fight)</color>,ทดสอบการต่อสู้<color=#097a76>(ต่อสู้เดี่ยว)</color>
M1200-4_name,Investigate <color=#c44b0e>Second in command</color>.,ตรวจสอบ <color=#c44b0e>ผู้บังคับบัญชาคนที่สอง</color>
M1200-4_overview_1,Further improve relations with <color=#c44b0e>Leader</color>.,ปรับปรุงความสัมพันธ์กับ <color=#c44b0e>ผู้นำ</color> ให้ดียิ่งขึ้น
M1200-4_overview_2,Check out the small path on the right side of the camp at night.,ลองสังเกตเส้นทางเล็กๆ ทางด้านขวาของค่ายในเวลากลางคืน
M1200-5_name,Second in command's secret,ที่สองในความลับของคำสั่ง
M1200-5_overview_1,Further improve relations with <color=#c44b0e>Second in command</color>.,ปรับปรุงความสัมพันธ์เพิ่มเติมด้วย <color=#c44b0e>ผู้บังคับบัญชาคนที่สอง</color>
M1200-5_overview_2,Join forces with <color=#c44b0e>Second in command</color> to kill the Leader.,รวมพลังกับ <color=#c44b0e>ผู้บังคับบัญชาคนที่สอง</color> เพื่อสังหารผู้นำ
M1200-5_overview_3,Chat with <color=#c44b0e>Second in command</color>.,แชทกับ <color=#c44b0e>ผู้บังคับบัญชาคนที่สอง</color>
M1200-5_1_options_1,Agree with Second in command.,เห็นด้วยกับผู้บังคับบัญชาคนที่สอง
M1200-5_1_options_2,Refuse Second in command.,ปฏิเสธผู้บังคับบัญชาคนที่สอง
M1200-6_name,Discovered by the dog,ถูกค้นพบโดยสุนัข
3001_name,First time going to Wild Wolf Valley from Hanging bridge,ครั้งแรกที่ไปหุบเขาหมาป่าจากสะพานแขวน
3001_options01_01,[Item] Use a rope to climb down,[Item] ใช้เชือกปีนลงมา
3001_options01_02,[Attribute] Use Qinggong to jump down,[คุณสมบัติ] ใช้วิชาตัวเบาเพื่อกระโดดลงมา
3001_options01_03,"[Run away] Not interested, better to run away",[หนี] ไม่สนใจ หนีดีกว่า
3002_name,Going to Wild Wolf Valley from Hanging bridge again,มุ่งหน้าสู่หุบเขาหมาป่าจากสะพานแขวนอีกครั้ง
3003_name,Rescue the Woodcutter,ช่วยชีวิตคนตัดไม้
3003_options1,Go to rescue,ไปช่วยเหลือ
3003_options2,Ignore,ไม่สนใจ
3004_name,Dog at the hunter's door,สุนัขที่ประตูนายพราน
3005_name,Ask Bao Dating from Nameless village for information,ถามข้อมูลจากเปาต้าถิงแห่งหมู่บ้านไร้นาม
3005_options1_1,Around Nameless village,รอบๆหมู่บ้านไร้นาม
3005_options1_2,How to make money,วิธีหาเงิน
3005_options1_3,Blue Wind Camp,ค่ายวายุคราม
3005_options1_5,Say goodbye,กล่าวคำอำลา
3005_options1_1(1),Wild Wolf Valley,หุบเขาหมาป่า
3005_options1_1(2),Lost Forest,ป่าสาปสูญ
3005_options1_1(3),"Never mind, I want to ask something else",ลืมไปเสียเถอะ ข้าเพียงอยากจะถามอีกเรื่อง
3008_name,"Knowing that Tong Daofu destroyed Blue Wind Camp, go to scavenge.",เมื่อรู้ว่า ถงเต๋าฟู่ ทำลายค่ายวายุคราม ก็ไปเก็บกวาดงาน
3008_options01_01,[Item] Feed him <color=#c44b0e>Lingzhi</color> for HP recovery,[Item] ป้อน <color=#c44b0e>เห็ดหลินจือ</color> แก่เขาเพื่อฟื้นฟู HP
3008_options01_02,[Attribute] Use <color=#c44b0e>500MP</color> to heal him,[คุณสมบัติ] ใช้ <color=#c44b0e>500MP</color> เพื่อรักษาเขา
3008_options01_03,"Helpless, can't do anything",หมดหนทางทำอะไรไม่ได้เลย
M1400-3_name,Bandits in Lost Forest are surrounded by wild boars,โจรในป่าสาปสูญ ถูกรายล้อมไปด้วยหมูป่า
M1400-3_options1_1,"I don't care about them, it's a good thing if these bandits die here!",ข้าไม่สนใจพวกมัน มันคงจะดีถ้าโจรพวกนี้ตายที่นี่!
M1400-3_options1_2,"I can't just watch people die, I have to help.<color=#c44b0e>(Specific Battle)</color>",ข้าไม่สามารถดูคนตายได้ แต่ข้าต้องช่วย<color=#c44b0e>(เข้าสู่การต่อสู้)</color>
3010_name,Abandoned Temple Fist,หมัดสิ้นรำลึกสถาน
3011_name,Read the Sword Tombstone,อ่านป้ายสุสานกระบี่
3011_options1_1,Try to read the tombstone,ลองอ่านป้ายสุสานดู
