﻿end015_1,Life is impermanent and constantly changing; home can be found wherever you discover peace of mind.,ชีวิตเป็นสิ่งไม่เที่ยงและเปลี่ยนแปลงตลอดเวลา บ้านสามารถเป็นได้ทุกที่ที่เจ้ารู้สึกสบายใจ
end021_2,"Yet, after this battle, you have emerged as a world-renowned hero.",แต่หลังจากการต่อสู้ครั้งนี้ เจ้าได้กลายเป็นวีรบุรุษที่มีชื่อเสียงระดับโลก
end021_3,The people of Chuxiang City erected a tall statue in the city center to commemorate your valor.,เพื่อเป็นการรำลึกถึงการมีส่วนร่วมในความสำเร็จของเจ้า ชาวเมืองฉู่เซียงจึงได้สร้างรูปปั้นของเจ้าตั้งสูงตระหง่านอยู่ใจกลางเมือง...
end021_4,"——Decades later, your heroic deeds are still being praised",——หลายทศวรรษผ่านไป วีรกรรมของเจ้ายังคงได้รับการยกย่อง
end021_5,"——The chosen one, the great hero of Chuxiang City.",——บุรุษผู้ถูกเลือก วีรบุรุษผู้ยิ่งใหญ่แห่งเมืองฉู่เซียง
end021_6,Who knows what will happen in your next life.,ไม่มีใครรู้ว่าจะเกิดอะไรขึ้นกับเจ้าในการกลับชาติมาเกิดครั้งต่อไป
end022_1,"With your assistance, Chuxiang City successfully repelled the formidable Yan Army despite having only a handful of defenders.",ด้วยความช่วยเหลือของเจ้า เมืองฉู่เซียงสามารถขับไล่กองทัพหยานด้วยผู้พิทักษ์เพียงไม่กี่คน
end022_2,"However, despite your heroic actions, you are now despised by everyone in Chuxiang City.",แต่เจ้าควรได้รับการปฏิบัติเยี่ยงวีรบุรุษ กลับกลายเป็นผู้ถูกทุกคนในเมืองฉู่เซียงดูถูกเหยียดหยาม
end022_3,No one understood the humiliation and burdens you had to endure. Your bitterness and pain remained hidden from everyone,ไม่มีใครเข้าใจความอัปยศอดสูและภาระที่เจ้าต้องแบกรับ ความขมขื่นและความเจ็บปวดของเจ้าไม่มีใครล่วงรู้
end022_4,"In the face of the criticisms from the common folk, your refutations fell on deaf ears, and eventually, you gave up trying to plead your case. Ultimately, you departed from Chuxiang City with a broken spirit.",เมื่อต้องเผชิญคำดูถูกเหยียดหยามจากคนทั่วไป เจ้าจึงแสร้งเป็นใบหูหนวก เลิกพยายามอธิบายเหตุผลของเจ้า ในที่สุด เจ้าก็ออกจากเมืองฉู่เซียงไปด้วยจิตวิญญาณที่แตกสลาย
end022_5,"You did what you believed was right, and as for the judgment of right or wrong, let that be determined by future generations.",เจ้าทำสิ่งที่เจ้าเชื่อว่าถูกต้อง และสำหรับการตัดสินว่ามันถูกหรือผิดนั้นเป็นหน้าที่ของคนรุ่นต่อๆ ไป
end022_6,"At last, you are free from worldly attachments, living a carefree life in mountains and forests, without any restraints or worries.",ในที่สุดเจ้าก็เป็นอิสระจากความผูกพันทางโลก เจ้ายังคงใช้ชีวิตอย่างไร้กังวลบนภูเขาและป่าไม้ โดยไม่มีข้อจำกัดหรือความกังวลใดๆ
end022_7,"Whether your actions were a feat of valor or a mistake, right or wrong, none of it holds importance for you any longer.",ไม่ว่าการกระทำของเจ้าจะเป็นการกระทำที่กล้าหาญหรือผิดพลาด? ถูกหรือผิด? ทั้งหมดนี้ไม่สําคัญสําหรับเจ้าอีกต่อไป
end023_1,"From beginning to end, you were merely a pawn in the hands of others.",ตั้งแต่ต้นจนจบ เจ้าเป็นเพียงเบี้ยในมือของผู้อื่น
end023_2,"Your fantasy of rising to power with the Yan army proved to be nothing but naive, and ultimately, it brought harm upon you.",ครั้งหนึ่งเจ้าเคยจินตนาการว่าเจ้าสามารถขึ้นสู่อำนาจร่วมกับกองทัพหยานได้ แต่ความไร้เดียงสานี้กลับทำร้ายเจ้าในที่สุด
end023_3,"The anger of the Yan army never subsided, and the people of Chuxiang City suffered because of your actions.",ความโกรธของกองทัพหยานไม่เคยลดลง และผู้คนในเมืองฉู่เซียงต้องทนทุกข์ทรมานเพราะการกระทำของเจ้า
end023_4,"After the city was breached, the Yan army left no survivors as they advanced.",หลังจากที่เมืองถูกโจมตี กองทัพหยานไม่ทิ้งผู้รอดชีวิตไว้ไม่ว่าจะรุกคืบไปที่ไหนก็ตาม
end023_5,"You, who made a deal with the devil, now lie quietly in a lonely grave by the roadside, and no one utters your name.",เจ้า ผู้เคยสมรู้ร่วมคิดกับปีศาจ ในตอนนี้ได้แต่นอนเงียบๆ อยู่ในหลุมศพที่โดดเดี่ยวริมทางและไม่มีใครพูดถึงเจ้าอีกต่อไป
end024_1,"Survival has become your sole goal. As for those grand ambitions, how can they compare to a full meal?",การเอาชีวิตรอดคือเป้าหมายเดียวของเจ้า สําหรับความทะเยอทะยานที่ยิ่งใหญ่ จะเปรียบเทียบกับอาหารมากมายได้อย่างไร?
end025_1,Dreams of becoming a great hero turned out to be mere illusions. Your remaining days are to be spent in a cold prison cell.,ความฝันที่จะเป็นจอมยุทธที่ยิ่งใหญ่กลายเป็นเพียงภาพลวงตา ชีวิตที่เหลือของเจ้าต้องถูกจองจำอยู่ในคุกอันหนาวเหน็บ
end026_1,Half Amateur studio wishes all players a prosperous Year of the Rabbit.,Half Amateur studio ขออวยพรให้ผู้เล่นทุกคนโชคดีในปีกระต่าย.
end027_1,"The title of ""World's Number One"" drives countless people to insanity, becoming an obsession in the hearts of many.","ฉายา ""หนึ่งในใต้หล้า"" นี้ทำให้ผู้คนนับไม่ถ้วนคลั่งไคล้ และกลายเป็นความหลงใหลในหัวใจของใครหลายๆ คน"
end027_2,"Over the past several decades, many talents have emerged, but none have been able to live up to the title of ""World's Number One.""","ตลอดหลายทศวรรษที่ผ่านมา แม้ว่าจะมีผู้มีความสามารถมากมาย แต่ก็ไม่มีใครสามารถดำเนินชีวิตสมตำแหน่ง ""หนึ่งในใต้หล้า"" ได้"
end027_3,A once unknown youngster emerged from obscurity and now stands at the unreachable peak.,เด็กหนุ่มที่ครั้งหนึ่งไม่มีใครรู้จักโผล่ออกมาจากที่ไหนสักแห่ง และปัจจุบันยืนอยู่บนยอดเขาสูงที่มิอาจเอื้อมถึงได้
end027_4,"The title of 'World's Number One' is well-deserved, and you've become a new legend in the martial arts world!","สมควรอย่างยิ่งกับฉายา ""หนึ่งในใต้หล้า"" และเจ้าได้กลายเป็นตำนานบทใหม่แห่งยุทธภพนี้แล้ว!"
end030_1,"By the grace of heaven, the emperor decrees:",ด้วยบัญชาแห่งสวรรค์ ฝ่าบาททรงมีราชโองการ:
end030_2,"You have judged the situation and put the greater good before your own family, which greatly comforts my heart. I grant you the title of Duke of Dingguo, in charge of the Imperial City Department, overseeing Jianghu, by my decree!",เจ้าประเมินสถานการณ์ และเลือกให้ความสำคัญกับภาพรวมมากยิ่งกว่าครอบครัวของตนเอง ทำให้ข้าปลาบปลื้มใจยิ่ง รับราชโองการ มอบตำแหน่งอ๋องแห่งติงกั้ว มีอำนาจควบคุมกรมวังหลวง คอยดูแลทั่วทั้งยุทธภพ
end030_3,The imperial edict causes a commotion among the ministers!,ราชโองการของฝ่าบาทสร้างความปั่นป่วนให้กับเหล่าขุนนาง!
end030_4,"Among them, some risk their lives to remonstrate, some resign in anger, some simply express envy",ในหมู่พวกเขา บางคนเสี่ยงชีวิตเพื่อจะตำหนิ บางคนลาออกด้วยความโกรธ บางคนเพียงแสดงความอิจฉา
end030_5,"However, you show no intersest.  You calmly accept the decree, and thank the emperor's kindness.",อย่างไรก็ตาม เจ้าก็ไม่ได้แสดงความสนใจแม้แต่น้อย เจ้ายอมรับพระราชกฤษฎีกาอย่างใจเย็น รวมถึงขอบคุณพระมหากรุณาธิคุณอย่างสงบ
end031_1,"You gained the trust of Wanyan Wuzhu, and upon his recommendation, the Emperor of the Yan Kingdom, breaking with tradition, bestowed upon you the title of Han King despite your different surname.",เจ้าได้รับความไว้วางใจจาก หวันหยานอู๋จู และด้วยคำแนะนำของเขา จักรพรรดิแห่งอาณาจักรหยานได้ทำลายขนบธรรมเนียมประเพณีพระราชทานแต่งตั้งให้เจ้าเป็นฮ่องเต้ฮั่นเป็นกรณีพิเศษ แม้ว่าจะมาจากชื่อแซ่เดียวกันก็ตาม
end031_2,"You were crowned as the Han King, overseeing both Xiangfan and Wuyue, marking the first time in the history of the Yan Kingdom that a king not from the royal family held such power.",เจ้าได้รับแต่งตั้งให้เป็นฮ่องเต้ฮั่น ปกครองเหนือเขตเซียงหยางและหวู่เยว่ทั้งหมด กลายเป็นคนแรกในประวัติศาสตร์ของอาณาจักรหยาน ที่ดำรงตำแหน่งที่ทรงอำนาจในฐานะฮ่องเต้เช่นนี้ แม้จะไม่ได้มาจากชื่อแซ่ที่เดียวกันก็ตาม
end031_3,"Figures from the martial arts world despised your act of siding with the Yan Kingdom, leading to several assassination attempts on you, all of which you managed to thwart.",ผู้คนจากยุทธภพดูหมิ่นเจ้าการที่เจ้าเข้าข้างอาณาจักรหยาน นำไปสู่การลอบสังหารเจ้าหลายต่อหลายครั้ง ซึ่งทั้งหมดนี้เจ้าสามารถขัดขวางได้
end031_4,"Years later, relying on your own strength, you repeatedly crushed major sects and martial arts schools. From then on, no one dared to disrespect you anymore.",หลายปีต่อมา ด้วยพละกำลังของเจ้าเอง เจ้าบดขยี้สำนักหลักๆ และโรงฝึกยุทธต่างๆ ซ้ำแล้วซ้ำเล่า ตั้งแต่นั้นมาก็ไม่มีใครกล้าดูหมิ่นเจ้าอีกต่อไป...
end032_1,"General's mansion, Duke Kang's manor, Ye Family Battalion, and Yan Yun Iron Army—one by one, these once regionally dominant forces have come to an end.","จวนแม่ทัพ, ตำหนักอ๋องคัง, กองพันตระกูลเย่, และกองทัพเหล็กหยานหยุน กองกำลังที่ครั้งหนึ่งเคยมีอำนาจเหล่านี้ล้วนสิ้นสุดลง"
end032_2,"As these old factions dissolve, new power struggles between new opportunistic forces ensue, as they attempt to seize power, influence, and resources.",เมื่อกลุ่มอำนาจเก่าล่มสลาย การแย่งชิงอำนาจใหม่ระหว่างกองกำลังใหม่ก็ก่อตัวขึ้น เมื่อพวกเขาพยายามยึดอำนาจ อิทธิพล และทรัพยากร
end032_3,"The world descends into anarchy, marked by billowing smoke and fields strewn with starved corpses. This enduring chaos spans centuries.",โลกไม่มีระเบียบอีกต่อไป ควันลอยขึ้นทั่วทุกแห่งหน ซากศพที่หิวโหยกระจัดกระจายไปทั่วทุ่งนา ความวุ่นวายดังกล่าวกินเวลานานหลายศตวรรษ...
end032_4,"As the instigator of all these tragedies, one wonders what you were thinking.",ในฐานะผู้จุดชนวนให้เกิดโศกนาฏกรรมเหล่านี้ มีหลายคนสงสัยว่าเจ้ากำลังคิดอะไรอยู่
Role1-1_1_1,"That was close, finally got rid of that guy...",อีกนิดเดียว ในที่สุดก็จัดการคนผู้นั้นได้แล้ว...
Role1-1_1_2,"Hmph, I'm sorry to disappoint you!",ฮึ่ม ขออภัยที่ทำให้เจ้าผิดหวัง!
Role1-1_1_3,Cease your futile resistance! Admit to your transgressions and embrace your punishment!,หยุดดิ้นรนอย่างไร้ประโยชน์ เจ้าจงรับสารภาพ และยอมรับการลงโทษเสียเถอะ!
Role1-1_1_4,"{yell} Pah!\nDo you really think I'm afraid of you?","{yell}เฮอะ!\nเจ้าคิดว่าข้ากลัวเจ้าจริงๆเหรอ?"
Role1-1_2_1,"Well, well... it appears the renowned constable of the Crime Investigation Bureau is nothing more than a paper tiger!",ดูเหมือนหัวหน้าสำนักสืบสวนผู้โด่งดัง แท้จริงแล้วก็แค่เสือกระดาษ!
Role1-1_2_2,"An old injury flares up at this moment, hands and feet go numb and weak, if this continues...",(อาการบาดเจ็บเก่ากำเริบในเวลานี้ มือและเท้าชา และเริ่มอ่อนแรง หากเป็นเช่นนี้ต่อไป...)
Role1-1_2_3,Ah--,ฮะ--
Role1-1_2_4,<size=120%>Ah----</size>,<size=120%>ฮาาา----</size>
Role1-1_2_5,<size=200%>Achoo!!!!!!</size>,<size=200%>ฮัด-ชิ้ว!!!!!!</size>
Role1-1_2_6,Sorry for the interruption.. don't mind me. I'll just quietly head back to the tree for some more shut-eye.,โทษทีๆ ข้าไม่ตั้งใจจะรบกวนท่านทั้งสอง เชิญพวกท่านทั้งสองสู้กันต่อเลย แหะๆ เดี๋ยวข้าจะกลับขึ้นไปนอนบนต้นไม้ต่อล่ะ
Role1-1_2_7,"Hey, you stop!",นี่ เจ้า ช้าก่อน!
Role1-1_2_8,Wanderer! Please wait!,จอมยุทธน้อย โปรดรอสักครู่!
Role1-1_2_9,Do you two have any requests for me?,เจ้าทั้งสองมีคำขออะไรไหม?
Role1-1_2_10,Help me and I'll make it worth your while!,ช่วยข้าที แล้วข้าจะตอบแทนเจ้า
Role1-1_2_11,"Wanderer, I'm from the Crime Investigation Bureau. This woman is a thief from Swallow Nest, capturing her is my top priority!","จอมยุทธน้อย ข้ามาจากสำนักสืบสวน อยู่ระหว่างสืบคดี\nสตรีนางนี้คือหัวขโมยจาก รังนกนางแอ่น การจับกุมนางนับเป็นความชอบอันใหญ่หลวง!"
Role1-1_2_12,"I was just catching some Z's up in this tree. Didn't see a thing, didn't hear a thing. You two can just pretend I'm not even here.","ข..ข้าเพียงบังเอิญงีบหลับอยู่บนต้นไม้นี้\nข้าไม่รู้ไม่เห็นอะไรทั้งสิ้น แสร้งทำเหมือนข้าไม่มีตัวตนอยู่ตรงนี้เถอะนะ "
Role1-1_2_13,"Hmph, you coward!",ฮึ่ม เจ้าคนตาขาว!
Role1-1_2_20,"Don't let her fool you! She's just buying time! If her companions show up, capturing her will be impossible!","อย่าหลงกลนางนะ! นางกำลังถ่วงเวลา!\nหากพรรคพวกของนางตามมาถึง มันจะเป็นการยากต่อการจัดการกับนางเสียแล้ว!"
Role1-1_2_21,Who should I help? Such a troublesome situation...,ข้าควรจะช่วยผู้ใดดี? ช่างเป็นตัวเลือกที่น่าปวดหัวเสียจริง...
Role1-1_3_1,(How should I treat this constable?),(ข้าจะทำอย่างไรกับมือปราบดี?)
Role1-1_3_2,"{yell} You dare to add fuel to the flame!\nDo you realize the consequences of what you're doing?!","{yell}เจ้าคิดจะช่วยคนชั่วนั่นจริงๆ!\nเจ้ารู้ผลที่ตามมาของการกระทำเช่นนี้หรือไม่?"
Role1-1_3_3,"Blah blah, so annoying!",พูดมาก น่ารำคาญเสียจริง!
Role1-1_3_4,Let's quickly tie you up.,ข้าจะมัดเจ้าไว้ก่อน!
Role1-1_3_5,You find a rope and tie this handsome constable up tightly.,เจ้าหาเชือกมามัดมือปราบหนุ่มเอาไว้อย่างแน่นหนา
Role1-1_3_6,You accidently touch something soft under the constable's uniform...,เจ้าสัมผัสบางสิ่งที่นุ่มนิ่มโดยไม่ตั้งใจ...
Role1-1_3_7,You're... you're a woman?!,จะ.. เจ้า เจ้าเป็นสตรีงั้นหรือ?!
Role1-1_3_8,"You scoundrel, untie me! If you collaborate with this thief, the Crime Investigation Bureau won't let you off the hook!","เจ้าคนสารเลว ปล่อยข้าไปนะ! \nหากเจ้าร่วมมือกับหัวขโมยผู้นี้ สำนักสืบสวนจะไม่ละเว้นเจ้าแน่!!"
Role1-1_3_9,"We can't stay here... quickly <color=#c44b0e>help me up</color>. We need to flee, and fast.",เรามิอาจรั้งรอในที่แห่งนี้ได้นาน เร็วเข้า รีบ<color=#c44b0e>ช่วยข้า</color> และไปจากที่แห่งนี้โดยไว
Role1-1_3_1_9,"You scoundrel, untie me!",ไอ้สารเลว ปล่อยข้านะ!
Role1-1_4_1,"{yell} You dare to add fuel to the flame!\nDo you realize the consequences of what you're doing?!","{yell}เจ้าคิดจะช่วยคนชั่วนั่นจริงๆ!\nเจ้ารู้ผลที่ตามมาของการกระทำเช่นนี้หรือไม่?"
Role1-1_4_2,Are these your last words?,เจ้าพูดพอหรือยัง?
Role1-1_4_3,The Crime Investigation Bureau... won't... let you off...,สำนักสืบสวน...จะไม่...ปล่อยเจ้าไป...
Role1-1_5_1,"You... behave yourself, don't struggle!",เจ้า... ทำตัวดีๆ อย่าขยับนะ!
Role1-1_5_2,"Sorry, I didn't realize you were a woman...",ขอโทษจริงๆ ข้าไม่คิดว่าเจ้าเป็นเป็นสตรี...
Role1-1_6_1,(How should I treat her?),(ข้าจะทำอย่างไรกับหญิงคลุมหน้าดี?)
Role1-1_6_2,{yell}Hey! We're all just trying to make a living in this world. You should be lenient so we can still get along in the future!,"{yell}นี่เจ้างั่ง! เราต่างก็เป็นชาวยุทธ\nอย่าได้ละทิ้งหนทางที่จะอยู่ร่วมยุทธภพกันในอนาคตเลย!"
Role1-1_6_3,{yell}Exploiting someone's vulnerability! What kind of hero does that make you!?,{yell} น่าไม่อาย ฉกฉวยประโยชน์ตอนผู้อื่นลำบาก เป็นจอมยุทธเช่นใดกัน!
Role1-1_6_4,"Just you wait, I'll settle the score with you!",คอยดูเถอะ ข้าไม่ปล่อยเจ้าไว้แน่!
Role1-1_6_5,"Blah blah, so annoying!",พูดมาก น่ารำคาญเสียจริง!
Role1-1_6_6,Let's quickly tie you up.,ข้าจะมัดเจ้าไว้ก่อน!
Role1-1_6_7,You find a rope and tie masked woman up tightly.,เจ้าหาเชือกมามัดหญิงคลุมหน้าไว้อย่างแน่นหนา
Role1-1_6_8,Untie me this instant or you will regret it!,แก้มัดให้ข้าเดี๋ยวนี้นะ ไม่เช่นนั้นเจ้าจะต้องเสียใจ!
Role1-1_6_9,"For a wanderer, you certainly have a keen sense of justice! <color=#c44b0e>Help me up</color>, and let's get out of here before her companions arrive.",จอมยุทธน้อยเห็นแก่ส่วนรวม เปี่ยมด้วยคุณธรรม! โปรด<color=#c44b0e>ช่วยข้า</color> และรีบออกจากที่นี่ก่อนพรรคพวกของนางจะมาเถอะ
Role1-1_7_1,"I've helped you with your trouble, can you do me a favor now?",ข้าช่วยแก้ปัญหาของท่านแล้ว คราวนี้ถึงตาท่านช่วยข้าบ้าง?
Role1-1_7_2,"How can I help, wanderer?",จอมยุทธน้อย มีอะไรให้ข้าช่วยเหลือ?
Role1-1_7_3,"I seem to be lost and out of money, can you help me get out of here?",ดูเหมือนข้าจะหลงทาง แถมไม่เหลือเงินสักอีแปะเดียว เจ้าช่วยพาข้าออกไปจากที่นี่ได้หรือไม่?
Role1-1_7_4,"With my current injuries, I doubt I'll be able to travel far. There's an abandoned temple nearby which can provide shelter. I'll rest there for a few days before deciding what to do next.",ด้วยอาการบาดเจ็บของข้าในตอนนี้ ข้าเกรงว่าจะเดินทางไกลไม่ได้ มีศาลเจ้าร้างอยู่ใกล้ๆนี้ ให้ข้าพักที่นั่นสักสองสามวัน เมื่อข้าหายดีแล้วข้าจะพาเจ้าออกไป ตกลงไหรือไม่?
Role1-1_7_5,We'll take her with us as well. I need to take her back to the Crime Investigation Bureau and have her tried for her crimes.,โปรดช่วยพานางโจรผู้นี้ไปที่ศาลเจ้าร้าง และจับตาดูนางสักสองสามวันได้หรือไม่? ข้าต้องพานางกลับไปที่สำนักสืบสวนด้วยตัวเองเพื่อให้นางยอมสารภาพ!
Role1-1_7_6,Should I agree to this plan?,ข้าควรเห็นด้วยกับแผนหรือไม่?
Role1-1_8_1,"Her demise here is the result of her own actions. Unfortunately, I won't be able to bring her back to face justice at the Bureau. It appears my capabilities lag far behind my brother's...","หากนางตายลงที่นี่ ย่อมเป็นกรรมของนางเสียเอง\nช่างน่าเสียดายที่ข้าไม่สามารถจับตัวนางไปรับโทษได้ ดูเหมือนข้ายังห่างชั้นจากท่านพี่อยู่มาก..."
Role1-1_8_2,"I've helped you with your trouble, can you do me a favor now?",ข้าช่วยแก้ปัญหาของท่านแล้ว คราวนี้ถึงตาท่านช่วยข้าบ้าง?
Role1-1_8_3,"How can I help, wanderer?",จอมยุทธน้อย มีอะไรให้ข้าช่วยเหลือ?
Role1-1_8_4,"I seem to be lost and out of money, can you help me get out of here?",ดูเหมือนข้าจะหลงทาง แถมไม่เหลือเงินสักอีแปะเดียว เจ้าช่วยพาข้าออกไปจากที่นี่ได้หรือไม่?
Role1-1_8_5,"With my current injuries, I doubt I'll be able to travel far. There's an abandoned temple nearby which can provide shelter. I'll rest there for a few days before deciding what to do next.",ด้วยอาการบาดเจ็บของข้าในตอนนี้ ข้าเกรงว่าจะเดินทางไกลไม่ได้ มีศาลเจ้าร้างอยู่ใกล้ๆนี้ ให้ข้าพักที่นั่นสักสองสามวัน เมื่อข้าหายดีแล้วข้าจะช่วยเจ้าออกไป ตกลงไหม?
Role1-1_8_6,"Alright, let's head toward the temple together.",เอาล่ะ ข้าจะช่วยเจ้า ไปที่ศาลเจ้าร้างด้วยกันเถอะ
Role1-1_8_7,"Supporting the constable's arm, the two of you hobble your way to the temple. Though it's a bit run-down and sparsely furnished, it will serve as a temporary shelter.","เจ้าช่วยมือปราบไปตลอดทางและในที่สุดก็มาถึงศาลเจ้าร้าง\nแม้ว่ามันจะทรุดโทรมไปบ้าง แต่อย่างน้อยก็ใช้พักแรมตอนนี้ได้"
Role1-1_9_1,You accept the constable's suggestion and travel with her and the masked woman to the nearby temple.,เจ้ายอมรับคำแนะนำของมือปราบ และพาสตรีคลุมหน้าไปที่ศาลเจ้าร้างที่อยู่ใกล้เคียง
Role1-1_9_2,"On the journey, the masked woman is surprisingly cooperative, displaying no signs of resistance.",ระหว่างทาง หญิงคลุมหน้าให้ความร่วมมืออย่างน่าประหลาดใจ และไม่มีท่าทีต่อต้านใดๆ
Role1-1_9_3,"You finally arrive at the temple. Despite its somewhat deteriorated state, it serves as a temporary shelter, at the very least.",ในที่สุดเจ้าก็มาถึง ศาลเจ้าร้าง ถึงแม้จะทรุดโทรมไปบ้าง แต่อย่างน้อยก็เป็นสถานที่พักพิงชั่วคราวได้
Role1-1_9_4,"Unfortunately, you're oblivious to the danger that will befall you...",และเจ้าไม่รู้ตัวเลย ว่าเจ้าจะตกอยู่ในอันตราย...
Role1-1_10_1,"I'm not like you... I don't belong to any sect. My martial arts skills are basic. If she recovers and breaks free, I'm afraid I won't be able to handle her!","ข้าไม่เหมือนท่าน ข้ามิได้สังกัดสำนักใด รู้วรยุทธแค่เพียงผิวเผินเท่านั้น\nหากนางฟื้นตัวและหลุดรอดไปได้ ข้าเกรงว่าจะรับมือนางไม่ไหว!"
Role1-1_10_2,"You won't need to worry about that, wanderer.",เจ้ามิต้องกังวลไปหรอกจอมยุทธน้อย
Role1-1_10_3,"I'll stay here and regain my strength. I won't allow her to escape, not after all the effort of capturing her.","ข้าจะรักษาตัวที่นี่ ตราบใดที่ข้าฟื้นฟูก่อน ข้าก็สามารถคุมตัวนางได้\nหลังจากที่พยายามจับกุมมาทั้งวัน ข้าคงมิอาจปล่อยนางหลุดมือไป"
Role1-1_11_1,"Is there anything else you need, wanderer?",มีอะไรอีกไหมจอมยุทธน้อย?
Role1-1_12_1,"{yell} Why are you wasting time, wanderer?\nIf we wait any longer, trouble may find us!","{yell}เจ้ามัวทำอะไรอยู่จอมยุทธน้อย?\nหากรอนานกว่านี้คงลำบากแน่!"
Role1-1_12_2,"Hmph, it's too late now!",ฮึ่ม ตอนนี้สายเกินไปแล้ว!
Role1-1_12_3,What do you mean?,เจ้าหมายความว่าอย่างไร?
Role1-1_12_4,Oh no...,ไม่นะ.
Role1-1_12_5,"Finally, help has arrived.",ในที่สุดความช่วยเหลือก็มาถึง
Role1-1_12_6,May you both have a good journey in the underworld!,ขอให้เจ้าทั้งสองมีความสุขในการเดินทางสู่ยมโลกนะ!
Role1-1_13_1,"How is this possible, you can't be this powerful!",เป็นไปได้ยังไง เจ้าไม่สามารถแข็งแกร่งขนาดนี้ได้!
Role1-1_13_2,"Don't mistake me for a novice who just entered the martial arts scene. While I was carving out a name in this world, you were still mastering the basics with your squatting horse stance.",อย่าคิดว่าข้าเป็นมือใหม่ที่เพิ่งก้าวเข้าสู่ยุทธภพ ตอนที่ข้าสร้างชื่อในยุทธภพ เจ้ายังคงเรียนรู้พื้นฐานอยู่เลย
Role1-1_13_3,"I grew weary of the ceaseless battles and bloodshed in the martial arts world, so I opted for a life of seclusion here. Meeting novices like you, I can't resist the urge to tease.",ข้าเริ่มเบื่อหน่ายกับการต่อสู้และการสังหารที่ไม่มีที่สิ้นสุดในยุทธภพแล้ว ดังนั้นข้าจึงเลือกที่จะใช้ชีวิตอย่างสันโดษที่นี่ เจอพวกเจ้าที่เป็นมือใหม่ก็อดไม่ได้ที่จะหยอกล้อพวกเจ้าสักหน่อย
Role1-1_13_4,I see...,อ้อ...
Role1-1_13_5,Now I can rest in peace...,ตอนนี้ข้าได้พักผ่อนอย่างสงบแล้ว...
