隆中书院老学究_题目10,"What is the next line after ""The movement of the sun and the moon is as if it were among them""?","What is the next line after ""The movement of the sun and the moon is as if it were among them""? (ตอบข้อ 2)"
隆中书院老学究_题目11,"What is the next line after ""Honorable and magnanimous""?","What is the next line after ""Honorable and magnanimous""? (ตอบข้อ 2)"
隆中书院老学究_题目12,"What is the next line after ""Learning without thought is labor lost""?","What is the next line after ""Learning without thought is labor lost""? (ตอบข้อ 1)"
隆中书院老学究_题目13,"What is the next line after ""Confucianists confuse the law with their writings""?","What is the next line after ""Confucianists confuse the law with their writings""? (ตอบข้อ 2)"
隆中书院老学究_题目14,"What is the next line after ""A long journey tests a horse's strength""?","What is the next line after ""A long journey tests a horse's strength""? (ตอบข้อ 4)"
隆中书院老学究_题目15,"What is the next line after ""The waves behind drive on those before""?","What is the next line after ""The waves behind drive on those before""? (ตอบข้อ 3)"
隆中书院老学究_题目16,"What is the next line after ""Planning behind the curtain""?","What is the next line after ""Planning behind the curtain""? (ตอบข้อ 1)"
隆中书院老学究_题目17,"What is the next line after ""In poverty, one focuses on self-improvement""?","What is the next line after ""In poverty, one focuses on self-improvement""? (ตอบข้อ 3)"
隆中书院老学究_题目18,"What is the next line after ""Cruel World, treating all things as straw dogs""?","What is the next line after ""Cruel World, treating all things as straw dogs""? (ตอบข้อ 4)"
隆中书院老学究_题目19,"What is the next line after ""It's easy to paint the skin of a tiger, but not its bones""?","What is the next line after ""It's easy to paint the skin of a tiger, but not its bones""? (ตอบข้อ 2)"
隆中书院老学究_题目20,"What is the next line after ""A journey of a thousand miles begins with a single step""?","What is the next line after ""A journey of a thousand miles begins with a single step""? (ตอบข้อ 3)"
隆中书院老学究_题目21,"What is the next line after ""If a father does not teach his son, he is to blame""?","What is the next line after ""If a father does not teach his son, he is to blame""? (ตอบข้อ 1)"
隆中书院老学究_题目22,"What is the next line after ""At four years old, he could yield pears""?","What is the next line after ""At four years old, he could yield pears""? (ตอบข้อ 3)"
隆中书院老学究_题目23,"What is the next line after ""The three powers are heaven, earth and man""?","What is the next line after ""The three powers are heaven, earth and man""? (ตอบข้อ 1)"
隆中书院老学究_题目24,"What is the next line after ""The wise man is as good as water, Great Ocean Manual""?","What is the next line after ""The wise man is as good as water, Great Ocean Manual""? (ตอบข้อ 3)"
隆中书院老学究_题目25,"What is the next line after ""Respect the old, and extend it to others""?","What is the next line after ""Respect the old, and extend it to others""? (ตอบข้อ 2)"
隆中书院老学究_题目1_答案1,"Nature is close, habit is far.","Nature is close, habit is far. <<<"
隆中书院老学究_题目1_答案2,"Habit is close, nature is far."
隆中书院老学究_题目1_答案3,"If not taught, nature will change."
隆中书院老学究_题目1_答案4,"The way of teaching, value in focus."
隆中书院老学究_题目2_答案1,"In the past, Mencius' mother chose her neighbors carefully."
隆中书院老学究_题目2_答案2,"If a child does not learn, it is like breaking the loom."
隆中书院老学究_题目2_答案3,"If a father does not teach his son, he is to blame."
隆中书院老学究_题目2_答案4,"If not taught, nature will change.","If not taught, nature will change. <<<"
隆中书院老学究_题目3_答案1,"If a child does not learn, it is like breaking the loom."
隆中书院老学究_题目3_答案2,"If a person does not learn, he does not know righteousness.","If a person does not learn, he does not know righteousness.<<<"
隆中书院老学究_题目3_答案3,"If a person does not learn, he does not become a tool."
隆中书院老学究_题目3_答案4,"If a tool is not sharpened, it is not worth money."
隆中书院老学究_题目4_答案1,"A modest and virtuous young lady, I dream of her."
隆中书院老学究_题目4_答案2,"A modest and virtuous young lady, Honorable towards her."
隆中书院老学究_题目4_答案3,"A lady of grace, Gentleman's Courtship.",แด่เธอผู้มีพระคุณ. สุภาพบุรุษขอรัก <<<
隆中书院老学究_题目4_答案4,"A modest and virtuous young lady, a friend of the zither."
隆中书院老学究_题目5_答案1,Benefits all things and does not compete.,Benefits all things and does not compete.<<<
隆中书院老学究_题目5_答案2,Moistens all things and makes no sound.
隆中书院老学究_题目5_答案3,Understands all things in silence.
隆中书院老学究_题目5_答案4,Flows eastward and does not return.
隆中书院老学究_题目6_答案1,"A thousand-mile dike, destroyed by an ant hole."
隆中书院老学究_题目6_答案2,"Without accumulating small steps, there is no way to reach a thousand miles."
隆中书院老学究_题目6_答案3,A thousand-mile journey begins with a single step.,A thousand-mile journey begins with a single step.<<<
隆中书院老学究_题目6_答案4,"The mighty river and sea, accumulate from small streams."
隆中书院老学究_题目7_答案1,The petty man is always worried.
隆中书院老学究_题目7_答案2,The petty man is inconsistent.
隆中书院老学究_题目7_答案3,The petty man agrees but does not harmonize.,The petty man agrees but does not harmonize.<<<
隆中书院老学究_题目7_答案4,The petty man is timid and hesitant.
隆中书院老学究_题目8_答案1,"Heaven, earth and man, man can conquer heaven."
隆中书院老学究_题目8_答案2,"Heaven's movement is strong, keep striving without rest."
隆中书院老学究_题目8_答案3,"When the blue sky dies, the yellow sky will rise."
隆中书院老学究_题目8_答案4,The way of heaven is the way of nature.,The way of heaven is the way of nature.<<<
隆中书院老学究_题目9_答案1,"This is a humble room, but it is filled with my virtue."
隆中书院老学究_题目9_答案2,"How high is the sky, how deep is the sea."
隆中书院老学究_题目9_答案3,"Duke Zhou fed the people, and all hearts turned to him.","Duke Zhou fed the people, and all hearts turned to him.<<<"
隆中书院老学究_题目9_答案4,"Where sincerity is, even metal and stone will open."
隆中书院老学究_题目10_答案1,A thousand-mile journey begins with a single step.
隆中书院老学究_题目10_答案2,"The stars in the sky are brilliant, as if they come from within.","The stars in the sky are brilliant, as if they come from within.<<<"
隆中书院老学究_题目10_答案3,"The world is vast, the starry sea is boundless."
隆中书院老学究_题目10_答案4,"Heaven and Earth are Mysterious Yellow, the universe is Primal Land."
隆中书院老学究_题目11_答案1,Evil can live for a thousand years.
隆中书院老学究_题目11_答案2,The petty man is always worried.,The petty man is always worried.<<<
隆中书院老学究_题目11_答案3,It's hard to raise a petty person.
隆中书院老学究_题目11_答案4,A petty person is always happy.
隆中书院老学究_题目12_答案1,To think without learning is dangerous.,To think without learning is dangerous.<<<
隆中书院老学究_题目12_答案2,"If you don't know, be Optimistic."
隆中书院老学究_题目12_答案3,It's not angering if people don't know.
隆中书院老学究_题目12_答案4,To think without learning is shallow.
隆中书院老学究_题目13_答案1,Retreat in order to advance.
隆中书院老学究_题目13_答案2,A hero uses martial arts to break the law.,A hero uses martial arts to break the law.<<<
隆中书院老学究_题目13_答案3,A mother values her son.
隆中书院老学究_题目13_答案4,People regard food as their heaven.
隆中书院老学究_题目14_答案1,Practice brings true knowledge.
隆中书院老学究_题目14_答案2,The ends of the earth are as close as next door.
隆中书院老学究_题目14_答案3,"Heaven is long, earth is also long."
隆中书院老学究_题目14_答案4,Time reveals a person's heart.,Time reveals a person's heart.<<<
隆中书院老学究_题目15_答案1,The previous wave dies on the beach.
隆中书院老学究_题目15_答案2,"In front of a sick tree, a thousand trees bloom in spring."
隆中书院老学究_题目15_答案3,New people in the world replace the old.,New people in the world replace the old.<<<
隆中书院老学究_题目15_答案4,Each generation is stronger than the last.
隆中书院老学究_题目16_答案1,Win a thousand miles away.,Win a thousand miles away.<<<
隆中书院老学究_题目16_答案2,Don't listen to the outside world.
隆中书院老学究_题目16_答案3,Only hear the woman's sigh.
隆中书院老学究_题目16_答案4,Only read the books of sages.
隆中书院老学究_题目17_答案1,"If you are rich, you are not benevolent."
隆中书院老学究_题目17_答案2,Death is heavier than Mount Tai.
隆中书院老学究_题目17_答案3,"If you are successful, you are kind to the world.","If you are successful, you are kind to the world.<<<"
隆中书院老学究_题目17_答案4,"If you are rich, even chickens and dogs can ascend to heaven."
隆中书院老学究_题目18_答案1,"The emperor is not benevolent, treating the world as fish meat."
隆中书院老学究_题目18_答案2,"The mountains and rivers are unjust, with the tyrant as the ruler."
隆中书院老学究_题目18_答案3,"Cruel World, there is justice in the world."
隆中书院老学究_题目18_答案4,"The sage is not benevolent, treating the people as straw dogs.","The sage is not benevolent, treating the people as straw dogs.<<<"
隆中书院老学究_题目19_答案1,There will be a master painter.
隆中书院老学究_题目19_答案2,"Know a person's face, but not their heart.","Know a person's face, but not their heart. <<<"
隆中书院老学究_题目19_答案3,"Know a scholar's face, but not their heart."
隆中书院老学究_题目19_答案4,Drawing a tiger but it turns out to be a dog.
隆中书院老学究_题目20_答案1,"If you don't sweep your own house, you can't sweep the world."
隆中书院老学究_题目20_答案2,"If you don't read books, you can't pass the exam."
隆中书院老学究_题目20_答案3,"If you don't accumulate small streams, you can't form rivers and seas.","If you don't accumulate small streams, you can't form rivers and seas.<<<"
隆中书院老学究_题目20_答案4,"If you don't accumulate soil, you can't pile up Mount Tai."
隆中书院老学究_题目21_答案1,"If the teaching is not strict, the teacher is lazy.","If the teaching is not strict, the teacher is lazy.<<<"
隆中书院老学究_题目21_答案2,"If the young do not learn, what will the old do?"
隆中书院老学究_题目21_答案3,"If the child does not learn, it is not appropriate."
隆中书院老学究_题目21_答案4,"If not taught, nature will change."
隆中书院老学究_题目22_答案1,"In the past, Mencius' mother chose her neighbors carefully."
隆中书院老学究_题目22_答案2,"If the young do not learn, what will the old do?"
隆中书院老学究_题目22_答案3,"Respect the elder, should know first.","Respect the elder, should know first.<<<"
隆中书院老学究_题目22_答案4,"At the age of nine, can warm the bed."
隆中书院老学究_题目23_答案1,"The three lights are the sun, the moon, and the stars.","The three lights are the sun, the moon, and the stars.<<<"
隆中书院老学究_题目23_答案2,The three principles are the duties of the king and the minister.
隆中书院老学究_题目23_答案3,The ten heavenly stems are from Jia to Gui.
隆中书院老学究_题目23_答案4,"The twelve earthly branches, from Zi to Hai."
隆中书院老学究_题目24_答案1,The tyrant is the only one who is supreme.
隆中书院老学究_题目24_答案2,"The minister is below one person, but above ten thousand."
隆中书院老学究_题目24_答案3,"The benevolent person is like a high mountain, carrying heavy virtue.","The benevolent person is like a high mountain, carrying heavy virtue.<<<"
隆中书院老学究_题目24_答案4,"The king is like Duke Zhou, all hearts turn to him."
隆中书院老学究_题目25_答案1,"I feel cold, as do others."
隆中书院老学究_题目25_答案2,"I was young, as were others.","I was young, as were others.<<<"
隆中书院老学究_题目25_答案3,"I worry, as do others."
隆中书院老学究_题目25_答案4,"I am happy, as are others."
院试1_题目1,"""What is the next sentence of 'The frog in the well cannot speak of the sea, because it is confined to the void'?""","""What is the next sentence of 'The frog in the well cannot speak of the sea, because it is confined to the void'?"" (ตอบข้อ 3)"
院试1_题目2,"""What is the next sentence of 'A thousand cups are too few when you meet an Intimate'?"""," ""What is the next sentence of 'A thousand cups are too few when you meet an Intimate'?"" (ตอบข้อ 4)"
院试1_题目3,"""What is the next sentence of 'He who knows others is wise, he who knows himself is enlightened'?""","""What is the next sentence of 'He who knows others is wise, he who knows himself is enlightened'?"" (ตอบข้อ 1)"
院试2_题目1,"""What is the next sentence of 'Not seeing oneself, therefore enlightened'?""","""What is the next sentence of 'Not seeing oneself, therefore enlightened'?"" (ตอบข้อ 4)"
院试2_题目2,"""What is the next sentence of 'Piling up soil to form a mountain, wind and rain will rise'?""","""What is the next sentence of 'Piling up soil to form a mountain, wind and rain will rise'?"" (ตอบข้อ 4)"
院试2_题目3,"""What is the next sentence of 'Persist and give up, rotten wood will not break'?""","""What is the next sentence of 'Persist and give up, rotten wood will not break'?"" (ตอบข้อ 2)"
院试3_题目1,"""What is the next sentence of 'If you don't climb high mountains, you won't know how high the sky is'?""","""What is the next sentence of 'If you don't climb high mountains, you won't know how high the sky is'?"" (ตอบข้อ 1)"
院试3_题目2,"""What is the next sentence of 'A good farmer does not stop plowing because of drought or flood'?""","""What is the next sentence of 'A good farmer does not stop plowing because of drought or flood'?"" (ตอบข้อ 3)"
院试3_题目3,"""What is the next sentence of 'If the year is not cold, you won't know the strength of the pine and cypress'?""","""What is the next sentence of 'If the year is not cold, you won't know the strength of the pine and cypress'?"" (ตอบข้อ 4)"
院试4_题目1,"""What is the next sentence of 'A gentleman dies for his Intimate'?""","""What is the next sentence of 'A gentleman dies for his Intimate'?"" (ตอบข้อ 2)"
院试4_题目2,"""What is the next sentence of 'Drain the pond to fish, won't you catch them? But next year there will be no fish'?""","""What is the next sentence of 'Drain the pond to fish, won't you catch them? But next year there will be no fish'?"" (ตอบข้อ 3)"
院试4_题目3,"""What is the next sentence of 'Having ten good Horses is not as good as having one Bole'?""","""What is the next sentence of 'Having ten good Horses is not as good as having one Bole'?"" (ตอบข้อ 3)"
院试5_题目1,"""What is the next sentence of 'Without indifference, there is no way to clarify your ambition'?""","""What is the next sentence of 'Without indifference, there is no way to clarify your ambition'?"" (ตอบข้อ 1)"
院试5_题目2,"""What is the next sentence of 'Under the fragrant bait, there must be a hanging fish'?""","""What is the next sentence of 'Under the fragrant bait, there must be a hanging fish'?"" (ตอบข้อ 2)"
院试5_题目3,"""What is the next line of 'Three years of good deeds, known by few'?""","""What is the next line of 'Three years of good deeds, known by few'?"" (ตอบข้อ 1?)"
院试1_题目1_答案1,"The sparrow cannot speak to the eagle, for their ambitions differ."
院试1_题目1_答案2,"The mayfly cannot speak to the mountain, for their perspectives differ."
院试1_题目1_答案3,"The summer insect cannot speak to the ice, for they are bound by time.","The summer insect cannot speak to the ice, for they are bound by time.<<<"
院试1_题目1_答案4,"The crooked man cannot speak to the Tao, for he is bound by teachings."
院试1_题目2_答案1,Another round of 'Brotherhood'.
院试1_题目2_答案2,True friends are hard to find.
院试1_题目2_答案3,"Effective learner, one-stop solution."
院试1_题目2_答案4,"If words are not to the point, it is an abuse.","If words are not to the point, it is an abuse.<<<"
院试1_题目3_答案1,"The one who overcomes others is strong, the one who overcomes himself is powerful.","The one who overcomes others is strong, the one who overcomes himself is powerful.<<<"
院试1_题目3_答案2,"The contented are rich, the ambitious have will."
院试1_题目3_答案3,"Know your enemy, win every battle."
院试1_题目3_答案4,"Those who do not lose their place endure, those who die but do not perish have longevity."
院试2_题目1_答案1,"Do not boast, thus merit is achieved."
院试2_题目1_答案2,"Only by not contending, can no one in the world contend with you."
院试2_题目1_答案3,"Do not be arrogant, thus you will endure."
院试2_题目1_答案4,"Do not be self-righteous, thus you will shine.","Do not be self-righteous, thus you will shine.<<<"
院试2_题目2_答案1,"Days and years pass, such is the passage of time."
院试2_题目2_答案2,"Good deeds accumulate to form virtue, and the divine is naturally attained."
院试2_题目2_答案3,"Accumulate thickness to create radiance, and your descendants will be shaded."
院试2_题目2_答案4,"Accumulate water to form a deep pool, and the dragon will be born there.","Accumulate water to form a deep pool, and the dragon will be born there.<<<"
院试2_题目3_答案1,"Where sincerity is, even metal and stone will open."
院试2_题目3_答案2,"Persist without giving up, and even metal and stone can be carved.","Persist without giving up, and even metal and stone can be carved.<<<"
院试2_题目3_答案3,"With daily accumulation, even an iron rod can be ground into a needle."
院试2_题目3_答案4,Ten mediocre horses can achieve success through perseverance.
院试3_题目1_答案1,"Without standing by a deep stream, one cannot know the thickness of the earth.","Without standing by a deep stream, one cannot know the thickness of the earth.<<<"
院试3_题目1_答案2,"Without hearing the words left by the ancient kings, one cannot know the greatness of learning."
院试3_题目1_答案3,"Without entering the tiger's den, how can one obtain tiger cubs?"
院试3_题目1_答案4,"Without entering the cold pool, one cannot know the depth of the water."
院试3_题目2_答案1,The honorable do not bend their waists for five pecks of rice.
院试3_题目2_答案2,The gentleman does not abandon his path due to poverty.
院试3_题目2_答案3,A good merchant does not sell at a loss.,A good merchant does not sell at a loss.<<<
院试3_题目2_答案4,A man is not moved by a woman's beauty.
院试3_题目3_答案1,"If you don't sweep your own house, how can you sweep the world?"
院试3_题目3_答案2,"Without time, one cannot see a person's heart."
院试3_题目3_答案3,"Without learning, one cannot know filial piety and brotherly respect."
院试3_题目3_答案4,"Without difficulty, one cannot know a gentleman.","Without difficulty, one cannot know a gentleman.<<<"
院试4_题目1_答案1,A country that seeks self-interest will perish.
院试4_题目1_答案2,A woman who pleases herself will be beautiful.,A woman who pleases herself will be beautiful. <<<
院试4_题目1_答案3,A family that is harmonious will prosper.
院试4_题目1_答案4,Laws are established for those who break the rules.
院试4_题目2_答案1,"Killing the chicken to get the eggs, isn't it profitable? But there will be no eggs tomorrow."
院试4_题目2_答案2,"Burning the forest to farm, isn't it profitable? But there will be no hunting next year."
院试4_题目2_答案3,"Burning the bush to farm, isn't it profitable? But there will be no animals next year.","Burning the bush to farm, isn't it profitable? But there will be no animals next year.<<<"
院试4_题目2_答案4,"Disbanding the army and scattering the horses, isn't it peaceful? But there will be no soldiers next year."
院试4_题目3_答案1,Gaining a thousand miles of land is not as good as gaining a sage.
院试4_题目3_答案2,Gaining a thousand acres of farmland is not as good as gaining a god of agriculture.
院试4_题目3_答案3,Gaining ten good swords is not as good as gaining a blacksmith.,Gaining ten good swords is not as good as gaining a blacksmith.<<<
院试4_题目3_答案4,"There are always good horses in a thousand miles, but there are not always good horse trainers."
院试5_题目1_答案1,"Without tranquility, one cannot reach far.","Without tranquility, one cannot reach far.<<<"
院试5_题目1_答案2,"Without generosity, one cannot cover all."
院试5_题目1_答案3,"Without kindness and generosity, one cannot embrace the masses."
院试5_题目1_答案4,"Without fairness and justice, one cannot make decisions."
院试5_题目2_答案1,"Jiang Taigong fishes, those who are willing will take the bait."
院试5_题目2_答案2,"Under heavy rewards, there must be brave men.","Under heavy rewards, there must be brave men. <<<"
院试5_题目2_答案3,"In the beauty's scheme, there are often hidden plots."
院试5_题目2_答案4,"When the city gate catches fire, the fish in the moat suffer."
院试5_题目3_答案1,"Commit evil for a day, and it will be heard throughout the world.","Commit evil for a day, and it will be heard throughout the world <<<"
院试5_题目3_答案2,"If it does not crow, it is fine. Once it crows, it shocks people."
院试5_题目3_答案3,"Good begets good, evil begets evil."
院试5_题目3_答案4,"Those who do good live long, those who accumulate virtue have blessings."
太学馆对对子_题目1,Please complete the couplet: Nurturing the righteous qi of heaven and earth;,Please complete the couplet: Nurturing the righteous qi of heaven and earth; (ตอบข้อ 3)
太学馆对对子_题目2,Please complete the couplet: A big belly can tolerate things that the world cannot tolerate;,Please complete the couplet: A big belly can tolerate things that the world cannot tolerate; (ตอบข้อ 2)
太学馆对对子_题目3,Please complete the couplet: How can a sparrow know the ambition of a swan;,Please complete the couplet: How can a sparrow know the ambition of a swan; (ตอบข้อ 4)
太学馆对对子_题目4,Please complete the couplet: The body is a Buddha tree;,Please complete the couplet: The body is a Buddha tree; (ตอบข้อ 2)
太学馆对对子_题目5,Please complete the couplet: An old horse in the stable still aspires to gallop a thousand miles;,Please complete the couplet: An old horse in the stable still aspires to gallop a thousand miles; (ตอบข้อ 4?)
太学馆对对子_题目6,"Please complete the couplet: Great Ocean Manual, tolerance is greatness;","Please complete the couplet: Great Ocean Manual, tolerance is greatness; (ตอบข้อ 1)"
太学馆对对子_题目7,"Please complete the couplet: The sound of wind, rain, and reading enters the ears;","Please complete the couplet: The sound of wind, rain, and reading enters the ears; (ตอบข้อ 3)"
太学馆对对子_题目8,Please complete the couplet: A tiger drinks a cup and gets drunk in the mountains;,Please complete the couplet: A tiger drinks a cup and gets drunk in the mountains; (ตอบข้อ 2)
太学馆对对子_题目9,Please complete the couplet: All mountains bow down to it;,Please complete the couplet: All mountains bow down to it; (ตอบข้อ 3)
太学馆对对子_题目10,Please complete the couplet: Water flows from the jade ring;,Please complete the couplet: Water flows from the jade ring; (ตอบข้อ 1)
太学馆对对子_题目11,Please complete the couplet: Favorable wind and rain;,Please complete the couplet: Favorable wind and rain; (ตอบข้อ 2)
太学馆对对子_题目12,Please complete the couplet: The tomb door is locked by misty clouds;,Please complete the couplet: The tomb door is locked by misty clouds; (ตอบข้อ 1)
太学馆对对子_题目13,Please complete the couplet: Three generations of a family buried in the same soil;,Please complete the couplet: Three generations of a family buried in the same soil; (ตอบข้อ 3)
太学馆对对子_题目14,Please complete the couplet: Three religions and nine schools of thought all return to the great path;,Please complete the couplet: Three religions and nine schools of thought all return to the great path; (ตอบข้อ 1)
太学馆对对子_题目15,Please complete the couplet: Teach your children and grandchildren to first teach yourself;,Please complete the couplet: Teach your children and grandchildren to first teach yourself; (ตอบข้อ 3)
太学馆对对子_题目16,Please complete the couplet: The sea is wide for fish to leap;,Please complete the couplet: The sea is wide for fish to leap; (ตอบข้อ 1)
太学馆对对子_题目17,"Please complete the couplet: Among men, a fine horse can gallop a thousand miles;","Please complete the couplet: Among men, a fine horse can gallop a thousand miles; (ตอบข้อ 2)"
太学馆对对子_题目18,Please complete the couplet: Moon under the water;,Please complete the couplet: Moon under the water; (ตอบข้อ 1)
太学馆对对子_题目19,"Please complete the couplet: East, South, West, North;","Please complete the couplet: East, South, West, North; (ตอบข้อ 2)"
太学馆对对子_题目20,Please complete the couplet: Clouds mindlessly emerge from the mountains;,Please complete the couplet: Clouds mindlessly emerge from the mountains; (ตอบข้อ 4)
太学馆对对子_题目21,Please complete the couplet: Actions without shame under heaven and earth;,Please complete the couplet: Actions without shame under heaven and earth; (ตอบข้อ 2)
太学馆对对子_题目22,Please complete the couplet: Heard that mountain stones have no false colors;,Please complete the couplet: Heard that mountain stones have no false colors; (ตอบข้อ 1)
太学馆对对子_题目23,Please complete the couplet: Thousand autumns of ink and brush shock heaven and earth;,Please complete the couplet: Thousand autumns of ink and brush shock heaven and earth; (ตอบข้อ 3)
太学馆对对子_题目24,Please complete the couplet: Peace is originally set by the general;,Please complete the couplet: Peace is originally set by the general; (ตอบข้อ 2)
太学馆对对子_题目25,Please complete the couplet: Destined to meet from a thousand miles away;,Please complete the couplet: Destined to meet from a thousand miles away; (ตอบข้อ 1)
太学馆对对子_题目26,Please complete the couplet: The sharpness of a treasure sword comes from grinding;,Please complete the couplet: The sharpness of a treasure sword comes from grinding; (ตอบข้อ 3)
太学馆对对子_题目27,Please complete the couplet: Holding a three-foot Longquan sword;,Please complete the couplet: Holding a three-foot Longquan sword; (ตอบข้อ 1)
太学馆对对子_题目28,Please complete the couplet: Jade can be shattered but its whiteness cannot be changed;,Please complete the couplet: Jade can be shattered but its whiteness cannot be changed; (ตอบข้อ 2)
太学馆对对子_题目29,Please complete the couplet: Good birds choose trees to nest;,Please complete the couplet: Good birds choose trees to nest; (ตอบข้อ 3)
太学馆对对子_题目30,Please complete the couplet: Proud soldiers often lead to defeat since ancient times;,Please complete the couplet: Proud soldiers often lead to defeat since ancient times; (ตอบข้อ 2)
太学馆对对子_题目31,Please complete the couplet: Horse neighs when it meets a good master;,Please complete the couplet: Horse neighs when it meets a good master; (ตอบข้อ 1)
太学馆对对子_题目32,"Please complete the couplet: Draw a sword to cut water, water flows more;","Please complete the couplet: Draw a sword to cut water, water flows more; (ตอบข้อ 2)"
太学馆对对子_题目33,Please complete the couplet: How can life always go as one wishes;,Please complete the couplet: How can life always go as one wishes; (ตอบข้อ 4)
太学馆对对子_题目34,Please complete the couplet: Ideal not to enjoy the sweet wine.,Please complete the couplet: Ideal not to enjoy the sweet wine. (ตอบข้อ 1)
太学馆对对子_题目35,Please complete the couplet: A thousand cups of fine wine become self-knowledge;,Please complete the couplet: A thousand cups of fine wine become self-knowledge; (ตอบข้อ 2)
太学馆对对子_题目36,"Please complete the couplet: One flower, one Buddha, one world;","Please complete the couplet: One flower, one Buddha, one world; (ตอบข้อ 2)"
太学馆对对子_题目37,Please complete the couplet: Blue Mountain does not ink a thousand autumn paintings;,Please complete the couplet: Blue Mountain does not ink a thousand autumn paintings; (ตอบข้อ 3)
太学馆对对子_题目38,"Please complete the couplet: Fortune comes twice, today it comes;","Please complete the couplet: Fortune comes twice, today it comes; (ตอบข้อ 2)"
太学馆对对子_题目39,Please complete the couplet: Ancient and modern wonders belong to the rocky gorges;,Please complete the couplet: Ancient and modern wonders belong to the rocky gorges; (ตอบข้อ 2)
太学馆对对子_题目40,Please complete the couplet: All mountains are paintings;,Please complete the couplet: All mountains are paintings; (ตอบข้อ 2)
太学馆对对子_题目41,Please complete the couplet: Good books are not tired of reading and re-reading;,Please complete the couplet: Good books are not tired of reading and re-reading; (ตอบข้อ 1)
太学馆对对子_题目42,Please complete the couplet: Ask the green ox who rode away;,Please complete the couplet: Ask the green ox who rode away; (ตอบข้อ 2)
太学馆对对子_题目43,Please complete the couplet: There are no mountains and rivers in the sky;,Please complete the couplet: There are no mountains and rivers in the sky; (ตอบข้อ 4)
太学馆对对子_题目44,Please complete the couplet: The clear wind intends to keep me from staying;,Please complete the couplet: The clear wind intends to keep me from staying; (ตอบข้อ 1)
太学馆对对子_题目45,Please complete the couplet: Don't discuss worldly affairs with Blue Mountain;,Please complete the couplet: Don't discuss worldly affairs with Blue Mountain; (ตอบข้อ 3)
太学馆对对子_题目46,Please complete the couplet: Less water reveals the sand;,Please complete the couplet: Less water reveals the sand; (ตอบข้อ 1)
太学馆对对子_题目47,Please complete the couplet: The moon under the water is like the moon in the sky;,Please complete the couplet: The moon under the water is like the moon in the sky; (ตอบข้อ 4)
