﻿common_tip_title,Hint,คำแนะนำ
Hit_Resist,No damage,ไม่มีความเสียหาย
Hit_DamageRtn,Reflect,สะท้อน
Hit_DamageNear,Share,แบ่ง
Hit_DamageSplash,Splash,กระจาย
Hit_DamageIsFlank,Side attack,โจมตีด้านข้าง
Hit_DamageIsBackStab,Back attack,โจมตีด้านหลัง
Hit_DamageGuard,Parry,ปัดป้อง
Hit_DamageTransfer,Transfer,โอนย้าย
KungfuAvalible_EpLow,Not enough MP,MP ไม่พอ
MiningGiveUp,Run away,ออกไป
KungfuAvalibleLog_EpLow,"%c%Not enough MP, can't use {0}","%c%MP ไม่พอ, ไม่สามารถใช้ {0}"
KungfuAvalible_SpUsed,Used,ถูกใช้
KungfuAvalibleLog_SpUsed,%c%Can't use {0} again in this battle,%c%ไม่สามารถใช้{0}ซ้ำ ในการต่อสู้นี้
KungfuAvalible_NoWeapon,Incorrect weapon,อาวุธไม่ถูกต้อง
KungfuAvalibleLog_NoWeapon,"%c%Incorrect weapon equipped, can't use {0}","%c%ใส่อาวุธไม่ถูกต้อง, ไม่สามารถใช้{0}"
KungfuAvalibleLog_AccuUniqueLow,%c%Activate after accumulating {0} Spirit
KungfuAvalible_IsCooling,On cooldown,อยู่ระหว่างคูลดาวน์
KungfuAvalibleLog_IsCooling,%c%Normal use after {0} actions
AssistAvalibleLog_AccuUniqueLow,%c%Need to obtain {0} Spirit first to assist
KungfuAvalibleLog_DisposableUsed,%c%Already used in this battle,%c%ใช้ไปแล้วในการต่อสู้นี้
KungfuAvalible_DisposableUsed,Already used,ใช้ไปแล้ว
KungfuAvalibleLog_NoBondTarget,%c%{0} did not assist,%c%{0} ช่วยเหลือไม่ได้
KungfuAvalible_NoBondTarget,Can't use,ไม่สามารถใช้ได้
KungfuAvalibleLog_NotInBondArea,"%c%Too far from {0}, can't use","%c%อยู่ห่างจาก {0}เกินไป, ไม่สามารถใช้ได้"
KungfuAvalible_NotInBondArea,Can't use,ไม่สามารถใช้ได้
NormalAttack_NotAvalible,%c%Exceeded normal attack range
NormalAttack_NoKungfu,%c%Unable to attack,%c%โจมตีไม่ได้
KungfuCastForbiden_NoPath,"%c%Path is blocked, can't use"
KungfuCastForbiden_NoActor,%c%No target to use,%c%ไม่มีเป้าหมายให้ใช้
KungfuCastForbiden_NoEmptyGround,%c%Can't use in this area,%c%ใช้ในพื้นที่นี้ไม่ได้
KungfuCastForbiden_IsBlock,%c%Can't use in this area,%c%ใช้ในพื้นที่นี้ไม่ได้
KungfuCastForbiden_CantCharge,"%c%No place to move, can't use"
InBattle_InternalAtk,Boost</color>,เพิ่ม</color>
InBattle_InternalDef,<#7C7CFF>Protection</color>
InBattle_SecondWind,One-hit invincible
BattleDamageStyle_Normal,<size=+12>{0},<size=+12>{0}
BattleDamageStyle_DamageSplash,<size=+12>{0},<size=+12>{0}
BattleDamageStyle_DamageRtn,<size=+12>{0},<size=+12>{0}
BattleDamageStyle_DamageNear,<size=+12>{0},<size=+12>{0}
BattleDamageStyle_Action,<#5FF2FF>Charge up<size=+12>{0}</color>,<#5FF2FF>รวบรวมปราณ<size=+12> {0} </color>
BattleDamageStyle_Bleed,<#F55452>{0}</color>,<#F55452>{0}</color>
BattleDamageStyle_Heal,<#94FF4D>HP<size=+12>{0}</color>,<#94FF4D>HP<size=+12>{0}</color>
BattleDamageStyle_Ep,<#FFFFFF>MP<size=+12>{0}</color>,<#FFFFFF>MP<size=+12>{0}</color>
BattleDamageStyle_Crit,<size=+12><#FF793E>Critical<size=+24>{0}</color>,<size=+12><#FF793E>คริติคอล<size=+24>{0}</color>
BattleDamageStyle_Parry,Parry{0},ปัดป้อง{0}
BattleDamageStyle_DamageGuard,<size=+12>{0}
BattleDamageStyle_DamageTransfer,<size=+12>{0}
BattleDamageStyle_UnknownDamage,<#F55452>HP{0}</color>
InstantBattle_RetreatConfirm,"<#61C3C8>{0}</color> has left the combat area, do you want to exit the battle?"
InstantBattle_RetreatFriend,<#61C3C8>{0}</color> successfully left the battle
InstantBattle_RetreatEnemy,<#FF0000>{0}</color> successfully left the battle
InstantBattle_TimeCost,This battle took a total of <#F55452>{0}</color>,ใช้เวลาต่อสู้ไปทั้งหมด <#F55452>{0}</color>
BattleUseItemCount_Med,Used <#00ff00>{0}/{1}</color> in this battle
BattleUseItemCount_Wine,Drank {0}/{1} in this battle
BattlePropModified_Hp,
BattlePropModified_Ep,MP{0},MP{0}
BattlePropModified_NegPoison,<#F55452>Poisoned{0}</color>
BattlePropModified_NegInjure,<#F55452>Internal Injury{0}</color>,<#F55452>บาดเจ็บภายใน {0}</color>
BattlePropModified_NegSeal,<#F55452>Sealed{0}</color>
BattlePropModified_NegBleed,<#F55452>Bleeding{0}</color>,<#F55452>เลือดไหล {0}</color>
BattlePropModified_NegBlind,<#F55452>Blind {0}</color>
AutoBattle_NoEnemy,"%c%No enemies nearby, can't auto-battle",%c%ไม่มีเป้าหมายอยู่ใกล้เคียง ไม่สามารถต่อสู้อัตโนมัติได้
PlayerCreate_NameIllegal,"%c%The name contains sensitive words, please re-enter"
PlayerCreate_TraitCount,Available achievement points: <#ffffff>{0}</color>,แต้มความสำเร็จที่มี: <#ffffff>{0}</color>
PlayerCreate_AbilityCount,Please select {1} initial skills ({0}/{1}),โปรดเลือกทักษพเริ่มต้น {1} ทักษะ ({0}/{1})\n
PlayerCreate_MainPropPoint,Available points: {0},แต้มที่มี: {0}
PlayerCreate_Item,Please select {1} sets of initial items ({0}/{1}),โปรดเลือกสิ่งของเริ่มต้น {1} ชิ้น ({0}/{1})
PlayerCreate_AbilityTip,{0}：{1},{0}：{1}
PlayerCreate_EmptyTraitAvalible,"There are still points left for selection, \ndo you want to give up?",ยังเหลือแต้มความสำเร็จอยู่\nท่านต้องการข้ามไปหรือไม่?
PlayerCreate_ItemtAvalible,"There are still items not selected, \ndo you want to give up the selection?",ยังเลือกสิ่งของเริ่มต้นไม่ครบ\nท่านยืนยันที่จะข้ามไปหรือไม่?
PlayerCreate_PropPointAvalible,"There are still unallocated attributes available, \ndo you want to give up the allocation?",ยังมีแต้มที่ยังไม่ได้จัดสรรคงเหลืออยู่\nต้องการข้ามไปหรือไม่?
PlayerCreate_AbilityAvalible,"There are still skills not selected, \ndo you want to give up the selection?"
PlayerCreate_DiscardCharacterSheet,Are you sure you want to return to the difficulty selection screen? \nThe content of this screen will be reset!,ต้องการกลับไปหน้าเลือกระดับความยากหรือไม่?\nข้อมูลในหน้าจอปัจจุบันจะถูกล้างทั้งหมด
PlayerCreate_MaxTrait,%c%The limit of selectable features has been reached
PlayerCreate_MaxItem,%c%Can't carry more items
PlayerCreate_LockItem,%c%This item has not been unlocked
PlayerCreate_MaxAbility,%c%The limit of selectable skills has been reached
PlayerCreate_LockAbility,%c%This skill has not been unlocked
PlayerCreate_LockTraitMax,%c%Can only lock-on {0} features
PlayerCreate_NoTraitPoints,%c%Not enough achievement points,%c%แต้มความสำเร็จไม่เพียงพอ
PlayerCreate_TraitInfo0,"Fist, the origin of all arts. Sacrifice attack range and distance for extremely high damage.\n<color=yellow>Main sources: Shifa Temple, Taoist Sect, Town Martial Arts Hall</color>","หมัด: ต้นกำเนิดของศิลปะการต่อสู้ มีขอบเขตการโจมตีที่แคบและสั้น แลกกับพลังทำลายมหาศาล \n<color=yellow>สถานที่ฝึกฝนหลัก: อารามฉีฟา, สำนักเต๋า, หอฝึกยุทธประจำเมือง</color>"
PlayerCreate_TraitInfo1,"Sword, the king of all weapons, the ancestor of short weapons. It's flexible and elegant, light and fast, widely spread, and popular among martial artists.\n<color=yellow>Main sources: Langya Sword Pavilion, Taoist Sect, Crime Investigation Bureau, Town Martial Arts Hall</color>","กระบี่: ราชาแห่งอาวุธทั้งมวล ต้นกำเนิดของอาวุธสั้น คล่องแคล่วและสง่างาม เบาและรวดเร็ว แพร่หลายเป็นที่นิยมของชาวยุทธ\n<color=yellow>สถานที่ฝึกฝนหลัก: ศาลากระบี่หลางหยา, สำนักเต๋า, สำนักสืบสวน, หอฝึกยุทธประจำเมือง</color>"
PlayerCreate_TraitInfo2,"The sword, the leader of all weapons. It has been used in the army since ancient times, brave and fierce, strong and powerful, it is the strongest in short-range combat.\n<color=yellow>Main sources: Jiujiang Water Camp, Yan Yun Iron Army, Blue Wind Camp, Town Martial Arts Hall</color>","ดาบ: เป็นผู้นำของอาวุธทั้งปวง ใช้ในการรบมาตั้งแต่สมัยโบราณ กล้าหาญและดุดัน แข็งแกร่งและทรงพลัง เป็นอาวุธสั้นที่ทรงพลังที่สุด\n<color=yellow>สถานที่ฝึกฝนหลัก: ค่ายน้ำจิ่วเจียง, ทัพเหล็กหยานหยุน, ค่ายวายุคราม, หอฝึกยุทธประจำเมือง</color>"
PlayerCreate_TraitInfo3,"Dagger. An inch short, an inch dangerous. Small and flexible, with concealed moves, as mighty as the thunder, defeating the enemy in one strike.\n<color=yellow>Main Source: Nest of Swallow</color>",มีด: ยาวเพียงหนึ่งนิ้ว แต่อันตรายอย่างมาก มีขนาดเล็กและยืดหยุ่น ซ่อนเร้นการเคลื่อนไหว จู่โจมดั่งสายฟ้า สังหารศัตรูในคราเดียว\n<color=yellow>สถานที่ฝึกฝนหลัก: รังนกนางแอ่น</color>
PlayerCreate_TraitInfo4,"Fan. Incorporating the elegance of its own blade in Short weapon skill, with varied and elegant moves, loved by most literati.\n<color=yellow>Main Source: Confucius Temple, Imperial School</color>","พัด: ใช้ความคล่องแคล่วสง่างาม ผสมผสานกับทักษะอาวุธสั้น พร้อมการเคลื่อนไหวที่หลากหลายและสง่างาม เป็นที่ชื่นชอบของเหล่าบัณฑิตเป็นอย่างมาก\n<color=yellow>สถานที่ฝึกฝนหลัก: วัดขงจื้อ, สำนักบัณฑิตหลวง</color>"
PlayerCreate_TraitInfo5,"Pen. Using the pen as a weapon, wielding it like a knife, splashing ink like arrows, painting a landscape with every move.\n<color=yellow>Main Source: Confucius Temple, Imperial School</color>","พู่กัน: ใช้พู่กันแทนอาวุธ กวัดแกว่งดั่งคมมีด สาดหมึกดั่งลูกศร รังสรรค์จิตกรรมในทุกการเคลื่อนไหว\n<color=yellow>สถานที่ฝึกฝนหลัก: วัดขงจื้อ, สำนักบัณฑิตหลวง</color>"
PlayerCreate_TraitInfo6,"Staff, the ancestor of all weapons. Combining solidity and flexibility, balancing offense and defense, versatile.\n<color=yellow>Main Source: Shifa Temple, Town Martial Arts School</color>","ไม้เท้า: ต้นกำเนิดของอาวุธทั้งปวง ผสานความแข็งแกร่งและยืดหยุ่น สมดุลทั้งรุกและรับ ใช้งานได้หลากหลาย\n<color=yellow>สถานที่ฝึกฝนหลัก: อารามฉีฟา, โรงเรียนฝึกยุทธประจำเมือง</color>"
PlayerCreate_TraitInfo7,"Spear, the king of all weapons. Combining hardness and softness, moving like a swimming dragon, leading to thousands of changes.\n<color=yellow>Main Source: Ye Family Battalion, Town Martial Arts School</color>","หอก: ราชาแห่งอาวุธยาว มีทั้งความแข็งและอ่อน เคลื่อนไหวราวมังกรแหวกว่าย แปรเปลี่ยนได้นับพัน\n<color=yellow>สถานที่ฝึกฝนหลัก: กองพันตระกูลเย่, โรงเรียนฝึกยุทธประจำเมือง</color>"
PlayerCreate_TraitInfo8,"The flute. Using breath to drive the sound, capturing people's souls, its sound is distant, and you can control the enemy with sound from ten steps away.\n<color=yellow>Main sources: Melody House, Maiden House, Tower of Prosperity</color>","ขลุ่ย: ใช้ลมหายใจเพื่อขับเคลื่อนเสียง ดึงดูดจิตวิญญาณของผู้คน ส่งเสียงระยะไกล สามารถควบคุมศัตรูที่อยู่ห่างออกไปสิบก้าวได้\n<color=yellow>สถานที่ฝึกฝนหลัก: ตำหนักบทเพลง, ตำหนักพิสุทธิ์, หอเจิดจรัส</color>"
PlayerCreate_TraitInfo9,"The lute, the king of all music. The combination of its sound and MP can break people's minds from several meters away.\n<color=yellow>Main sources: Melody House, Maiden House, Tower of Prosperity</color>","ผีผา: ราชาแห่งเครื่องดนตรี เมื่อเสียงของมันรวมกับพลังภายใน สามารถทำลายจิตใจของผู้คนในระยะไกลได้\n<color=yellow>สถานที่ฝึกฝนหลัก：ตำหนักบทเพลง, ตำหนักพิสุทธิ์, หอเจิดจรัส</color>"
PlayerCreate_TraitInfo10,"The zither. By adding MP to your fingers and causing attacks through the vibration of the strings, the sound is varied and difficult to block, controlling the enemy invisibly.\n<color=yellow>Main sources: Melody House, Maiden House, Tower of Prosperity</color>","พิณ: รวบรวมลมปราณไว้ที่ปลายนิ้ว ใช้การสั่นของสายพิณเพื่อโจมตี เสียงแปรเปลี่ยนหลากหลายยากที่จะสกัดกั้น ควบคุมศัตรูรอบทิศ\n<color=yellow>สถานที่ผึกฝนหลัก: ตำหนักบทเพลง, ตำหนักพิสุทธิ์, หอเจิดจรัส</color>"
PlayerCreate_TraitZone0,Fist Range (Level 10 Effect),ระยะหมัด (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone1,Sword Range (Level 10 Effect),ระยะกระบี่ (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone2,Blade Range (Level 10 Effect),ระยะดาบ (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone3,Short Weapon Range (Level 10 Effect),ระยะอาวุธสั้น (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone4,Fan Range (Level 10 Effect),ระยะพัด (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone5,Pen Range (Level 10 Effect),ระยะพู่กัน (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone6,Staff Range (Level 10 Effect),ระยะไม้เท้า (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone7,Spear Range (Level 10 Effect),ระยะหอก (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone8,Flute Range (Level 10 Effect),ระยะขลุ่ย (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone9,Lute Range (Level 10 Effect),ระยะผีผา (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitZone10,Guqin Range (Level 10 Effect),ระยะพิณ (ประสิทธิภาพระดับ 10)
PlayerCreate_TraitRarityWindow,"The current list contains <#d09a09>Legendary features</color>, do you want to give up and randomize again?","รายการปัจจุบันมี <#d09a09>คุณสมบัติในตำนาน</color>, เจ้าต้องการยอมแพ้และสุ่มอีกครั้งหรือไม่?"
PlayerCreate_TraitRarityWindowCheckInfo,Don't remind again for this character creation
PlayerCreate_PropPointViaAchv,The current achievement adds an extra point of {0}
PlayerCreate_TraitPointViaAchv,The current number of additional features to choose is {0}
InputWindow_InputIllegal,"%c%The content you entered contains sensitive words, please re-enter"
GameLog_Equip,%c%Equip successful,%c%สวมใส่สำเร็จ
GameLog_UnEquip,%c%Unequip successful,%c%ถอนการติดตั้งแล้ว
GameLog_WeaponNotMatching,%c%Some external skills cannot be used
GameLog_GetEquipPenalty,%c%Equipment effect weakened
GameLog_EquipBook,%c%Choose {0} to learn,%c% เลือก {0} เพื่อฝึกฝน
GameLog_UnEquipBook_LvPeaked,"%c%Already at full weight, no need to learn"
GameLog_UnEquipBook_NumPeaked,%c%The limit of learnable martial arts has been reached
GameLog_UnEquipBook_dissatisfaction,%c%Do not meet the conditions to learn,%c%คุณสมบัติในการเรียนไม่ตรงตามเงื่อนไข
GameLog_UnUseItem,%c%Cannot use item
GameLog_UseItem,%c%Item used successfully
GameLog_UnUseItem_dead,"%c%Near-death status, temporarily unable to use"
GameLog_NoNeedUseItem,%c%No need to use item
UIConfirm_EquipDebuffBook,Do you want to teach {0} to learn {1}?,ท่าต้องการให้ {0} เรียน {1} หรือไม่?
UIConfirm_EquipOwnedDebuffBook,Do you want to transfer {3}'s {1} to {0} to learn?
UIConfirm_UnEquipBook,Do you want to cancel {0} learning {1}?,ต้องการให้{0}ยกเลิกการเรียน{1} หรือไม่
UIConfirm_EquipBook,Do you want to teach {0} to learn {1}?,ท่าต้องการให้ {0} เรียน {1} หรือไม่?
UIConfirm_EquipOwnedBook,Do you want to transfer {2}'s {1} to {0} to learn?
UIConfirm_UnEquip,Do you want to unequip {0}'s {1}?,ท่านต้องการถอด {1} ของ {0} หรือไม่?
UIConfirm_Equip,Do you want to equip {0} with {1}?
GameLog_UnDanYao,%c%Pill usage has reached its limit
UIConfirm_WeaponNotMatching,"<size=24><#FF5809>(Weapon type mismatch, some Martial Arts will be ineffective after equipping)"
UIConfirm_GetEquipPenalty,"<size=24><#FF5809>(Insufficient equip conditions, Accuracy or Action Speed will decrease after equipping)"
UIConfirm_UseItem,Do you want to use {1} on {0}?
