﻿FondTag_武器,Weapon,อาวุธ
FondTag_宝箱,Chest,หีบสมบัติ
FondTag_钥匙,Key,กุญแจ
FondTag_材料,Material,วัตถุดิบ
FondTag_令牌,Token,โทเค็น
FondTag_兽环,Animal ring,แหวนสัตว์
FondTag_经书,Scripture,คัมภีร์
FondTag_结缘,Betrothal,การหมั้น
FondTag_珍品,
FondTag_释法寺典籍,
UnitName_枚,Piece,แผ่น
UnitName_点,Dot,จุด
UnitName_块,Block,ปิดกั้น
UnitName_副,Pair,คู่
UnitName_把,Handle,รับมือ
UnitName_杆,Pole,เสา
UnitName_根,Root,ราก
UnitName_柄,Handle,รับมือ
UnitName_支,Stick,ไม้เท้า
UnitName_张,Sheet,แผ่น
UnitName_件,Item,ไอเทม
UnitName_束,Bundle,มัด
UnitName_个,Individual,รายบุคคล
UnitName_朵,Blossom,ดอก
UnitName_贴,Patch
UnitName_条,Strip
UnitName_只,Only
UnitName_口,Mouth
UnitName_颗,Grain
UnitName_组,Group
UnitName_包,Pack
UnitName_本,Book
UnitName_封,Seal,ผนึก
UnitName_堆,Pile
UnitName_两,Two,สอง
UnitName_份,Portion
UnitName_笼,Cage,กรง
UnitName_碗,Bowl
UnitName_串,String
UnitName_瓶,Bottle
UnitName_坛,Jar
UnitName_桶,Barrel
UnitName_匹,Horse
UnitName_盒,Box
UnitName_罐,Can
UnitName_方,Square
UnitName_壶,Pot
UnitName_杯,Cup
UnitName_段,Segment
UnitName_卷,Roll
ItemName_铜钱,Coin
ItemName_江湖历练,Jianghu Knowledge
ItemName_名声历练,Fame point
ItemName_门派贡献,Sect contribution
ItemName_试炼令牌,Trial token
ItemName_残渣,Residue
ItemName_粗布裹手,Simple cloth gloves
ItemName_棉布手套,Cotton gloves
ItemName_皮革手套,Leather gloves
ItemName_兽纹手套,Beast-pattern gloves
ItemName_铁手,Iron fist
ItemName_缠丝拳套,Silk glove
ItemName_精钢护手,Steel gauntlet
ItemName_震山拳套,Mountain Basher glove
ItemName_铁虎爪,Iron tiger claw
ItemName_奔雷铁手,Quick gauntlet
ItemName_幽冥拳套,Hell glove
ItemName_金刚护手,Diamond gauntlet
ItemName_寒铁拳套,Cold iron glove
ItemName_昆仑,Kunlun
ItemName_降龙,Dragon Slayer
ItemName_乾坤,Heaven and Earth
ItemName_开明,Enlightened
ItemName_少昊,Freedom
ItemName_北冥,North Sea,ทะเลเหนือ
ItemName_木剑,Wooden sword,กระบี่ไม้
ItemName_黑铁剑,Black iron sword,กระบี่เหล็กดำ
ItemName_青铜剑,Bronze sword
ItemName_生铁剑,Cast iron sword,กระบี่เหล็กหลอม
ItemName_白虹剑,Rainbow sword
ItemName_紫电剑,Lightning sword
ItemName_游龙剑,Dragon sword
ItemName_青罡剑,Blue Steel sword
ItemName_倚天剑,Heaven sword
ItemName_青冥剑,Dawn sword
ItemName_承影剑,Shadow sword
ItemName_百炼剑,Damascus sword
ItemName_龙渊剑,Abyss Dragon sword
ItemName_干将,Ganjiang
ItemName_含光,Hidden Light
ItemName_鱼肠,Fish Stomach
ItemName_轩辕,Xuanyuan
ItemName_九凤,Nine Phoenix
ItemName_巨阙,The Giant
ItemName_大石剑,Big stone sword
ItemName_菜刀,Kitchen knife
ItemName_剔骨尖刀,Bone remover knife,มีดเลาะกระดูก
ItemName_砍柴刀,Hatchet
ItemName_大砍刀,Big blade,ดาบใหญ่
ItemName_砍山刀,Mountain blade
ItemName_九环刀,Nine rings blade
ItemName_宣花斧,Xuanhua axe
ItemName_碎宇刀,Rain Breaker
ItemName_冷艳锯,Cold Saw
ItemName_绣春刀,Officer blade
ItemName_太乙刀,Taiyi blade
ItemName_修罗刀,Shura blade
ItemName_绿露刀,Six ways blade
ItemName_玄铁菜刀,Black iron blade
ItemName_大夏龙雀,Summer Sparrow
ItemName_犬神刀,Canine God
ItemName_龙牙刀,Dragon Tooth
ItemName_昆吾,Kunwu
ItemName_应龙,Ying Dragon
ItemName_刑天,Xingtian
ItemName_红缨枪,Red spear
ItemName_梅花枪,Plum spear
ItemName_雁翅枪,Wings spear
ItemName_钢叉,Trident
ItemName_木枪,Wooden spear
ItemName_蛇矛枪,Snake spear
ItemName_混铁枪,Iron spear
ItemName_牛角叉,Horn trident
ItemName_梨花枪,Pear Blossom,หอกหลีฮวา
ItemName_霸王枪,Emperor Spear
ItemName_沥泉枪,Slipstream Spear
ItemName_句芒,Jumang
ItemName_勾陈,Gouchen
ItemName_混沌,Origin
ItemName_烧火棍,Fire stick
ItemName_木棍,Wooden stick,ท่อนไม้
ItemName_木杵,Wooden hammer
ItemName_竹竿,Bamboo stick,กระบองไม้ไผ่
ItemName_短棒,Short stick
ItemName_镔铁杖,Steel staff
ItemName_齐眉棍,Eyebrow staff
ItemName_青竹杖,Bamboo staff
ItemName_长弓,Long bow
ItemName_盘龙棍,Dragon staff
ItemName_齐天棍,Heaven staff
ItemName_囚龙柱,Dragon Seal
ItemName_烛阴,Zhuyin
ItemName_穷奇,Qiongqi
ItemName_亮银锤,Silver hammer
ItemName_大铁锤,Big Iron Hammer
ItemName_蒲扇,Cattail fan
ItemName_折扇,Folding fan
ItemName_鹅羽扇,Butterfly fan
ItemName_铁骨扇,Steel fan
ItemName_团扇,Round fan
ItemName_绢宫扇,Silk palace fan
ItemName_雕翎扇,Eagle feather fan
ItemName_留香扇,Liuxiang fan
ItemName_西江月,Moon over West River
ItemName_满江红,Prismatic River
ItemName_破阵子,Formation Breaker
ItemName_定风波,Ding Fengbo
ItemName_浪淘沙,Waves Scouring the Sands
ItemName_卜算子,Fortune Teller
ItemName_祝融,Zhurong
ItemName_夸父,Kuafu
ItemName_青丘,Qingqiu,ชิงชิว
ItemName_短剑,Short sword,กระบี่สั้น
ItemName_匕首,Dagger,มีด
ItemName_峨嵋刺,Emei dagger
ItemName_短刀,Short blade
ItemName_狼牙匕,Wolf fang dagger
ItemName_点钢刺,Diangang dagger
ItemName_三棱锥,Tri-dagger
ItemName_飞来梭,Flying dagger
ItemName_流云锥,Drifting Cloud
ItemName_孤星刺,Lone Star
ItemName_飞影匕,Flying Shadow
ItemName_织女梭,Weaver Girl
ItemName_残雪刺,Last Snow
ItemName_嘲风,Wind Jester
ItemName_精卫,Jingwei
ItemName_睚眦,Vengeful
ItemName_狼毫笔,Wolf hair pen
ItemName_羊毫笔,Goat hair pen
ItemName_猪鬃笔,Pig hair pen
ItemName_鼠须笔,Mouse whisker pen
ItemName_圆锋,Round Edge
ItemName_昌化,Changhua
ItemName_佩阿,Peia
ItemName_鸡距,Cockspur
ItemName_鹿毛笔,Deer hair pen
ItemName_龙须,Dragon Whisker
ItemName_麟角,Unicorn Horn
ItemName_太虚,Taixu
ItemName_玄黄,Mysterious Yellow
ItemName_洪荒,Primal Land
ItemName_梧桐琴,Parasol Tree
ItemName_玉瑶琴,Beautiful Jade
ItemName_响泉琴,Melody River
ItemName_百纳琴,Assimilator
ItemName_七弦,Seven Strings
ItemName_落霞,Sunset
ItemName_独幽,Loneliness
ItemName_春雷,Spring Thunder
ItemName_焦尾,Scorched Tail
ItemName_绿绮,Green Beauty
ItemName_绕梁,Lingering
ItemName_号钟,Bell Sound
ItemName_囚牛,Qiuniu
ItemName_木箫,Wooden flute,ขลุ่ยไม้
ItemName_洞箫,Hole flute
ItemName_竹箫,Bamboo flute,ขลุ่ยไม้ไผ่
ItemName_铁箫,Iron flute,ขุล่ยเหล็ก
ItemName_紫竹箫,Violet bamboo flute
ItemName_玉屏箫,Jade flute,ขลุ่ยหยก
ItemName_九节箫,Nine-sections flute
ItemName_枉凝眉,Vain Eyebrows
ItemName_关山月,Mountain Moon
ItemName_冷沧浪,Blue Waves
ItemName_有凤来仪,Phoenix's Grace
ItemName_碧海潮声,Sound of the Tide
ItemName_笑傲江湖,Proud Wanderer
ItemName_硬木琵琶,Wooden lute
ItemName_鸡翅琵琶,Chicken wing lute
ItemName_花梨琵琶,Pear lute
ItemName_紫檀琵琶,Rosewood lute
ItemName_牛角琵琶,Ox horn lute
ItemName_象牙琵琶,Elephant tooth lute
ItemName_玉石琵琶,Jade lute
ItemName_双凤琵琶,Twin Phoenix lute
ItemName_绕殿雷,Circling Thunder
ItemName_烧槽,Burning Hole
ItemName_玄象,Mysterious Elephant
ItemName_青山,Blue Mountain
ItemName_狮子丸,Lion Ball
ItemName_窄袖衣,Female clothes
ItemName_绢麻衣,Linen clothes
ItemName_兽皮袄,Leather clothes
ItemName_护心铠,Protection armor
ItemName_粗布衣,Rugged clothes,เสื้อผ้าหยาบ
ItemName_麻布衣,Cloth robe
ItemName_戎装,Uniform
ItemName_百衲衣,Monk clothes
ItemName_官差服,Official uniform
ItemName_逍遥衣,Wanderer clothes
ItemName_精铁内甲,Steel armor
ItemName_锁子铠,Chain armor,เกราะโซ่
ItemName_僧袍,Monk robe
ItemName_道袍,Taoist robe
ItemName_夜行衣,Night clothes
ItemName_儒生服,Student clothes
ItemName_赤翎服,Chiling robe
ItemName_飞鱼锦服,Flying Fish uniform
ItemName_侠客装,Jianghu outfit
ItemName_蚕丝衣,Silk clothes
ItemName_青红襦,Blue outfit
ItemName_流云衫,Drifting Cloud robe
ItemName_金刚甲,Diamond armor
ItemName_明光铠,Glorious armor
ItemName_朱雀服,Phoenix outfit
ItemName_麒麟甲,Unicorn armor
ItemName_玄武铠,Turtle armor
ItemName_紫罗裙,Purple dress
ItemName_山海袍,Mountain and Sea robe
ItemName_袈裟,Seven Artifacts cassock
ItemName_太极服,Taichi outfit
ItemName_黑色披风,Black cape
ItemName_秀才服,Hongru Green Collar
ItemName_隐形披风,Invisible cape
ItemName_天蚕宝衣,Silk armor
ItemName_兽王宝甲,Beast King armor
ItemName_霹雳宝铠,Thunder armor
ItemName_紫薇,Emperor
ItemName_狻猊,Suanni
ItemName_真武,Zhenwu
ItemName_碧霞,Jade Cloud
ItemName_不动山,Immovable Mountain
ItemName_彩绣香囊,Embroidered sachet
ItemName_粗糙的护身符,Simple Safe-keeping Charm
ItemName_香包,Sachet
ItemName_花环,Wreath
ItemName_艾草束,Wormwood bundle
ItemName_狼牙吊坠,Wolf fang amulet
ItemName_长命锁,Longevity lock
ItemName_玉石吊坠,Jade pendant
ItemName_佛手玉坠,Buddha earrings
ItemName_投名状,Nomination Certificate
ItemName_工字佩,"""GONG"" inscripted jade ornament"
ItemName_三彩乐俑,Three colors statue
ItemName_三足金蟾,Three-legged golden toad
ItemName_酒葫芦,Wine gourd
ItemName_檀木念珠,Sandalwood prayer beads
ItemName_茱萸花,Dogwood flower
ItemName_牡丹花,Peony
ItemName_护心镜,Protector glass
ItemName_狗皮膏药,Dog-skin plaster
ItemName_静心玉环,Mind-clearing jade ring
ItemName_锦帕,Brocade handkerchief
ItemName_碎玉风铃,Broken jade wind chimes
ItemName_板砖,Brick
ItemName_官府腰牌,Official token
ItemName_黑玉扳指,Obsidian ring
ItemName_青须剑穗,Blue sword string
ItemName_双鱼玉佩,Yin Yang jade ornament
ItemName_玉莲花,Lotus gem
ItemName_滴水观音,Water Avalokitesvara
ItemName_玉辟邪,Exorcist gem
ItemName_金雕长羽,Golden eagle feather
ItemName_兽皮鼓,Beast skin drum
ItemName_云纹琉璃珠,Sculptured jade
ItemName_青铜面具,Bronze mask
ItemName_玉蝉,Cicada gem
ItemName_青风令牌,Blue Wind token
ItemName_太极玉佩,Taichi jade ornament
ItemName_虎威镖旗,Tiger Escort flag
ItemName_爪甲挟刀,Claw blade
ItemName_玄衣令,Black Robe token
ItemName_神捕腰牌,Crime Investigation token
ItemName_将军府腰牌,General Mansion token
ItemName_叶家军腰牌,Ye Family Battalion token
ItemName_玄色绳结,Black knot
ItemName_九江鱼篓,Jiujiang fish pole
ItemName_玄铁令牌,Black iron token
ItemName_百草符,Hundred Plants charm
ItemName_君子玉,Gentleman gem
ItemName_菩提佛珠,Buddha prayer beads
ItemName_通犀辟毒牌,Detoxification plate
ItemName_游商令牌,Wandering merchant token
ItemName_火焰令,Flame Token
ItemName_透光镜,Magnifying glass
ItemName_引虫香,Bug-attracting fragrance
ItemName_大黑锅,Black pot
ItemName_百味调料罐,Spice bottle
ItemName_磨刀石,Whetstone
ItemName_玉如意,Wish gem
ItemName_寒玉玦,Cold gem
ItemName_羊脂玉佩,Jade ornament
ItemName_金蚕蛊,Golden silkworm
ItemName_六寸金针,Six inches gold needle
ItemName_凤鸟玉佩,Phoenix jade ornament
ItemName_盗圣扳指,Bandit God's ring
ItemName_神捕令,Crime Investigator Token
ItemName_平衡车,Balanced vehicle
ItemName_皇族玉佩,Royal jade ornament
ItemName_金饭碗,Golden bowl
ItemName_四海全舆图,Four Seas map
ItemName_调兵虎符,Troops deploying Tiger token
ItemName_传国玉玺,Imperial Seal
ItemName_千机钥,Heaven key
ItemName_免死金牌,Death-exemption Plate
ItemName_高僧舍利,Eminent monk's Śarīra
ItemName_七宝佛珠,Seven Artifacts prayer beads
ItemName_功德牌,Merit Plaque
ItemName_天穹之印,Seal of the Sky
ItemName_苍生之印,Seal of the People
ItemName_社稷之印,Seal of the State
ItemName_虚日鼠兽环,Animal ring - The Mouse
ItemName_牛金牛兽环,Animal ring - The Ox
ItemName_尾火虎兽环,Animal ring - The Tiger
ItemName_房日兔兽环,Animal ring - The Rabbit
ItemName_亢金龙兽环,Animal ring - The Dragon
ItemName_翼火蛇兽环,Animal ring - The Snake
ItemName_星日马兽环,Animal ring - The Horse
ItemName_鬼金羊兽环,Animal ring - The Goat
ItemName_觜火猴兽环,Animal ring - The Monkey
ItemName_昴日鸡兽环,Animal ring - The Rooster
ItemName_娄金狗兽环,Animal ring - The Dog
ItemName_室火猪兽环,Animal ring - The Pig
ItemName_石灰粉,Lime powder
ItemName_飞蝗石,Sharp stone,หินแหลมคม
ItemName_袖箭,Shuriken
ItemName_铜钱镖,Throwing coin
ItemName_飞刀,Throwing blade
ItemName_鸡毛箭,Feather arrow
ItemName_毒镖,Poisoned dart,ลูกดอกอาบยาพิษ
ItemName_五毒梅花针,Five Poisons plum needle
ItemName_铁胎丸,Steel ring
ItemName_霹雳弹,Thunder bullet
ItemName_玉毫针,Jade needle,เข็มหยก
ItemName_霹雳雷火弹,Exploding thunder bullet
ItemName_暴雨梨花钉,Violent storm pear needle
ItemName_迷魂烟,Ecstasy smoke
ItemName_蚀筋化骨水,Bone melting liquid
ItemName_夺命十三香,Killing fragrance
ItemName_铜钥匙,Bronze key
ItemName_西域珠宝,Xiyu treasure
ItemName_释门戒律,Temple rules
ItemName_释门戒律（手抄本）,Temple rules (handwritten)
ItemName_破草鞋,Tattered shoes
ItemName_柴王府请帖,Duke Chai's invitation card
ItemName_铁胎弓,Steel bow
ItemName_杨家牌位,Yang Family memorial tablet
ItemName_风闻令牌,Rumor token
ItemName_账本,Ledger
ItemName_字迹潦草的信纸,Bad handwriting letter
ItemName_樵夫的钥匙,Woodcutter's key
ItemName_王大锤的钥匙,Hammer Wang's key
ItemName_略有磨损的钥匙,Damaged key
ItemName_尚武钥匙,Martial key
ItemName_铁钥匙,Iron key
ItemName_孔一刀的钥匙,Blade Kong's key
ItemName_玛瑙石,Agate
ItemName_佛医经,Buddhist Medical Scripture
ItemName_金刚经,Diamond Sutra
ItemName_法华经,Lotus Sutra
ItemName_多心经,Heart Sutra
ItemName_兽环图录,Animal rings record
ItemName_染血密信,Bloodied letter
ItemName_花四娘的钥匙,Hua Siniang's key
ItemName_白玉钥匙,Jade key
ItemName_山寨牢房钥匙,Bandit camp prison key
ItemName_霖安牢房钥匙,Lin'an prison key
ItemName_银钥匙,SIlver key
ItemName_楚襄牢房钥匙,Chuxiang prison key
ItemName_大梁牢房钥匙,Daliang prison key
ItemName_英雄帖,Hero Card
ItemName_花四娘的手帕,Hua Siniang's handkerchief
ItemName_燕子窝密室钥匙,Nest of Swallow secret chamber key
ItemName_“燕”字纸条,"""NEST"" note"
ItemName_“子”字纸条,"""OF"" note"
ItemName_“窝”字纸条,"""SWALLOW"" note"
ItemName_地煞牌,Earthly Fiend Card
ItemName_虎头牌,Tiger Head Card
ItemName_武备库钥匙,Armory key
ItemName_马王洞密室钥匙,Horse King Cave secret chamber key
ItemName_软垫,Soft cushion
ItemName_官印,Official seal
ItemName_老婆婆特制檀香,Old woman's special incense
ItemName_摸金门密室钥匙,Tomb Raider secret chamber key
ItemName_残破的羊皮碎片·一,Tattered leather note - One
ItemName_残破的羊皮碎片·二,Tattered leather note - Two
ItemName_残破的羊皮碎片·三,Tattered leather note - Three
ItemName_神捕门牢房钥匙,Crime Investigation Bureau prison key
ItemName_吕文桓的书信,Lu Wenhuan's letter
ItemName_行辕大营牢房钥匙,Royal camp prison key
ItemName_叶家军机要钥匙,Ye Family Battalion secret key
ItemName_如来经译本·上卷,Translation of Vairocana Sutra - First half
ItemName_如来经译本·下卷,Translation of Vairocana Sutra - Second half
ItemName_大日如来经（梵文）,Vairocana Solar Sutra (Sanskrit)
ItemName_梵文解译,Sanskrit dictionary
ItemName_龙树菩萨养性方,Dragon Tree Buddha medical recipe
ItemName_妙法莲华经,Lotus Sutra of Wondrous Dharma
ItemName_楞伽经,Lankavatara Sutra
ItemName_完颜乌珠的密信,Huanyan Wuzhu's secret letter
ItemName_仁字玉竹,"""Benevolence"" inscripted jade bamboo"
ItemName_义字玉竹,"""Righteous"" inscripted jade bamboo"
ItemName_礼字玉竹,"""Propriety"" inscripted jade bamboo"
ItemName_智字玉竹,"""Wisdom"" inscripted jade bamboo"
ItemName_信字玉竹,"""Trustworthy"" inscripted jade bamboo"
ItemName_治疗腿疾的药,Medicine for legs
ItemName_齐王引荐信,Qi Wang Recommendation Letter
ItemName_巧舌秘典,Eloquent Secret Book
ItemName_商道通鉴,Business Mirror
ItemName_风水秘术,Feng Shui Secret Art
ItemName_地理图志,Geographical Atlas
ItemName_百兽通志,Beast Compendium
ItemName_太上感应篇,Supreme Induction Chapter
ItemName_三十三剑客图,Thirty-three Swordsmen Picture
ItemName_礼书通故,Ritual Book
ItemName_玉台新咏,Jade Platform New Song
ItemName_推背图,Push Back Picture
ItemName_康王手谕,Kang Wang's Hand Decree
ItemName_齐王手谕,Qi Wang's Hand Decree
ItemName_奇怪气味的书信,Letter with a Strange Smell
ItemName_率意帖（摹本）,Outspoken Letter (fake)
ItemName_溪山行旅图（摹本）,Mountain Stream Travel Painting (fake)
ItemName_呕血谱（摹本）,Blood Vomitting Kifu (fake)
ItemName_广陵散（摹本）,Guangling Melody (fake)
ItemName_燕国布防图,Yan Army military map
ItemName_武经七书,Martial Sutra Seven Books
ItemName_金钥匙,Gold key
ItemName_蟠龙钥匙,Dragon key
ItemName_叶家军布防图,Ye Family Battalion military map
ItemName_天罡牌,Heaven Spirits Card
ItemName_龙头牌,Dragon Head Card
ItemName_藏兵阁密钥,Weapon Pavilion key,กุญแจหอศาสตรา
ItemName_神剑匙,Sacred Sword key
ItemName_三生石,Wedding Stone
ItemName_失心腐志丹,Heart Broken pill
ItemName_盟主金令,Jianghu Master token
ItemName_金牌令箭,Imperial token
ItemName_婆罗门诸仙药方,Brahman Immortals medical recipe
ItemName_大般若经,Great Prajna Sutra
ItemName_维摩诘经,Vimalakirtinirdesa Sutra
ItemName_开化塔宝藏钥匙,Enlighten Tower chest key
ItemName_木桶,Wooden barrel
ItemName_麻绳,Rope
ItemName_粗糙的鱼竿,Simple fishing pole
ItemName_铁铲,Iron shovel
ItemName_粗糙的矿镐,Simple pickaxe
ItemName_粗糙的伐木斧,Simple hatchet
ItemName_粗糙的长镐,Simple shovel
ItemName_丁品檀香,Normal incense,ธูป
ItemName_青草,Green grass
ItemName_破旧的包裹,Worn-out package
ItemName_野猪牙,Wild boar fang
ItemName_狼牙,Wolf fang
ItemName_无价值的字帖,Worthless calligraphy
ItemName_无价值的画卷,Worthless painting
ItemName_无价值的器具,Worthless appliance
ItemName_失效的药品,Worthless medicine
ItemName_无价值的装饰,Worthless ornament
ItemName_无价值的书籍,Worthless book
ItemName_粗糙的镰刀,Simple sickle
ItemName_粗糙的捕虫网,Simple worm-catching net
ItemName_点燃的火把,Burning torch
ItemName_未点燃的火把,Unlit torch
ItemName_狼王牙,Wolf king fang
ItemName_丙品檀香,Rare incense
ItemName_优质矿镐,Good pickaxe
ItemName_优质伐木斧,Good hatchet
ItemName_优质鱼竿,Good fishing pole
ItemName_优质镰刀,Good sickle
ItemName_优质捕虫网,Good worm-catching net
ItemName_乙品檀香,Epic incense
ItemName_交子,Money order
ItemName_碎银子,Scrap silver
ItemName_精品矿镐,Great pickaxe
ItemName_精品伐木斧,Great hatchet
ItemName_精品鱼竿,Great fishing pole
ItemName_精品镰刀,Great sickle
ItemName_精品捕虫网,Great worm-catching net
ItemName_甲品檀香,Legendary incense
ItemName_金豆子,Scrap gold
ItemName_金元宝,Gold bullion
ItemName_稀有矿镐,Perfect pickaxe
ItemName_稀有伐木斧,Perfect hatchet
ItemName_稀有鱼竿,Perfect fishing pole
ItemName_稀有镰刀,Perfect sickle
ItemName_稀有捕虫网,Perfect worm-catching net
ItemName_无名小村地图,Map - Nameless village,แผนที่ - หมู่บ้านไร้นาม
ItemName_青风寨地图,Map - Blue Wind Camp,แผนที่ - ค่ายวายุคราม
ItemName_迷踪林地图,Map - Lost Forest,แผนที่ - ป่าสาปสูญ
ItemName_野狼谷地图,Map - Wild Wolf Valley
ItemName_断魂林地图,Soul Destroyer Forest Map
ItemName_琼花谷地图,Map - Viburnum Valley
ItemName_邙山穴地图,Mang Mountain Pit Map
ItemName_长生冢地图,Longevity Tomb Map
ItemName_霖安城地图,Map - Lin'an City,แผนที่ - เมืองหลินอัน
ItemName_楚襄城地图,Map - Chuxiang City,แผนที่ - เมืองฉู่เซียง
ItemName_大梁城地图,Map - Daliang City,แผนที่ - เมืองต้าเหลียง
ItemName_释法寺地图,Map - Shifa Temple,แผนที่ - วัดชี่ฟา
ItemName_儒圣馆地图,Map - Confucius Temple,แผนที่ - วัดขงจื้อ
ItemName_道玄宗地图,Map - Taoist Sect,แผนที่ - สำนักเต๋า
ItemName_武帝陵地图,Map - Emperor Wu Mausoleum
ItemName_野狼谷藏宝图,Treasure map,แผนที่สมบัติ
ItemName_迷踪林藏宝图,Treasure map,แผนที่สมบัติ
ItemName_谜之藏宝图·一,Secret treasure map - Part 1
ItemName_谜之藏宝图·二,Secret treasure map - Part 2
ItemName_谜之藏宝图·三,Secret treasure map - Part 3
ItemName_羊皮地图,Leather map
ItemName_大燕龙脉宝图,Yan Empire dragon vein map
ItemName_五毒散,Five poisons powder
ItemName_蒙汗药,Anesthetic drug
ItemName_腐骨散,Bone breaking powder
ItemName_断筋丸,Tendon breaking pill
ItemName_断肠散,Intestine destroying pill
ItemName_迷魂散,Narcotic powder
ItemName_软骨散,Weaken powder
ItemName_逍遥丸,Carefree pill
ItemName_催魂散,Soul catcher powder
ItemName_销魂烟,Soul breaking smoke
ItemName_化骨散,Bone melting powder
ItemName_散功丹,Energy taker pill
ItemName_鹤顶红,Red crane poison
ItemName_怯战丹,Cowardice pill
ItemName_血煞丹,Blood rage pill
ItemName_软筋散,Enfeeble pill
ItemName_冰蚕蛊毒,Ice silkworm poison
ItemName_脑神丹,Brain control pill
ItemName_闺门暗香,Secret fragrance
ItemName_馒头,Steamed bun,ซาลาเปานึ่ง
ItemName_花卷,Steamed bread
ItemName_青菜卷饼,Veggie strudel
ItemName_油条,Fritter
ItemName_清汤面,Vegan noodle
ItemName_花椒饼,Pan cake
ItemName_饭团,Rice ball
ItemName_米饭,Rice,ข้าว
ItemName_鸡蛋饼,Egg cake
ItemName_杂粮饼,Grain cake
ItemName_一言难尽的面食,Unspeakable noodle
ItemName_菠菜面,Spinach noodle
ItemName_鸡丝面,Chicken noodle
ItemName_阳春面,Yangchun noodle
ItemName_肉馅饺子,Meat dumpling
ItemName_素馅饺子,Vegan dumpling
ItemName_青菜包,Vegetable wrap
ItemName_豆包,Bean wrap
ItemName_香菇包,Mushroom bun
ItemName_鲜笋包,Bamboo shoot bun
ItemName_糖饼,Sweet cake
ItemName_鸡肉饼,Chicken cake
ItemName_鲜肉包,Meat bun
ItemName_蛋黄酥,Egg yolk
ItemName_卤肉饭,Pork rice
ItemName_海鲜饭,Seafood rice
ItemName_蛋炒饭,Omelette rice
ItemName_杂馅饺子,Mixed dumpling
ItemName_咸肉粽,Bacon dumpling
